band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
908632,105404,30234,11212,3643,821,303,905044,87922,33770,21024,9901,2284,304,819945,148621,42726,26783,16554,5368,252,233424,282950,203833,151836,105068,63836,19302,519289,194679,108002,88797,74053,47435,27994,1897,732594,188838,93401,37867,5617,35,2380,728078,188755,96280,39162,5567,27,615481,173100,90339,72171,51940,41057,16161,703213,213407,83984,37381,16593,5414,257,21374,3522,13303,43614,94990,178332,705114,232283,102799,92729,99084,147176,267650,118528,420992,238911,106218,62262,52069,49469,130328,563
161,4026,10180,34742,153345,275638,26041,454,4349,9601,31412,133822,278630,45865,1428,7324,20037,44944,126936,264987,38477,7003,15866,44310,112197,199372,118272,7113,4354,4704,19109,51428,147075,233473,43990,24,3507,14478,31741,52500,120461,281422,136,3387,14145,31324,54887,116806,283448,3683,6804,21894,42558,109191,249314,70689,4503,3817,14081,64263,171461,219017,26991,23131,166373,139762,91939,57797,22930,2201,5833,47980,206878,161368,50496,23468,8110,1770,20405,48045,85289,174580,145285,28759,170
12438,33319,54185,69625,75894,70243,23463,10396,49636,71053,78462,62402,57154,9948,15782,75134,72399,63395,48590,53840,9861,31055,24137,31998,53815,76951,85023,35993,29147,37163,53378,70496,66406,54562,28382,856,80589,135111,57059,32996,24462,8526,1142,72798,139255,58823,34579,24408,8636,36008,54544,68463,64481,61973,46230,7510,23762,27700,45313,67572,101646,62708,15204,13346,21020,49481,56393,67285,84387,46299,22979,60195,73344,55818,47250,40341,34540,33986,60878,72889,59880,55980,37955,13343,617
412934,6433,1445,543,284,327,1010,400241,13927,4450,2086,929,529,811,380102,28251,8072,3663,1618,732,566,42039,53311,71140,92554,86526,57012,20421,220926,94266,51637,29339,15693,8894,2261,14735,318163,77873,10501,1582,158,14,17004,314835,78291,11104,1657,141,16,269438,84135,37016,16352,9816,5483,768,272372,98837,34015,11999,3637,1441,969,1079,369,753,2810,11348,48841,357748,103118,71786,69597,58531,52062,49685,17907,234593,84554,36490,23182,17024,12362,14527,576
4112,59074,48312,20920,11952,7442,722,4873,42864,51503,27718,15185,9521,870,12065,75663,34487,14694,10159,5162,304,1160,2444,10319,31438,63014,40427,3732,4606,36357,67094,31901,9623,2673,280,146,25262,77440,29456,14290,4904,1036,197,24543,76971,29683,15239,4895,1006,4788,51059,48852,25096,14861,6439,1439,1299,3915,25100,67127,46066,8580,447,1046,2962,4472,7073,16558,69731,50692,780,2595,9503,28714,65082,42382,3478,12502,85736,37665,12307,3720,539,65,139
563,76874,152178,199796,210631,133511,21716,6457,146587,156763,175970,177902,123373,8217,4998,96050,161340,171959,191947,160684,8291,268926,148704,135223,132648,79540,25612,4616,34654,101990,119470,134280,146702,166937,91236,72,15196,154553,289623,236955,96540,2330,77,15302,151110,287496,245311,93661,2312,9687,85009,130378,144960,154802,194981,75452,161192,130502,123936,134776,144868,94138,5857,100149,301582,211314,103070,51394,21620,6140,142119,171594,120042,95252,98082,128444,39736,8906,18294,55273,115302,144184,147260,306050,537
13319,70872,139236,153073,96135,19189,1699,12643,38103,73677,136459,148853,81750,2038,13764,25058,37109,76496,168707,165699,6690,43784,60229,61395,80664,125302,110389,11760,14401,26711,75825,98088,94288,106911,77299,82,13088,21446,47998,103272,132228,175409,116,12749,20876,47323,105560,131152,175747,12732,23611,51012,116661,121633,115536,52338,17281,22392,72373,112492,134571,127809,6605,50140,102095,113421,101284,65115,45332,16136,116744,88903,74080,74797,75127,46367,17505,11765,42298,68063,107446,118126,77985,67840,125
483,65778,70067,93698,262227,314084,56341,612,94883,80052,122313,264479,272621,27545,26123,146893,149191,214157,210030,105849,10085,29415,47319,124677,287155,294901,72490,6147,33155,107393,133032,221517,222125,129379,14956,500,16370,199993,319181,199590,92611,33060,707,15855,194281,322122,203679,92406,32255,41111,122566,137832,176011,185528,164787,33876,13085,59163,113023,212365,329675,129110,9624,31329,39231,95556,182348,260820,190380,62138,3043,44423,132836,185843,224245,211678,57166,36621,142410,235900,212658,139206,68511,23860,153
19283,48114,31611,22278,27466,27669,17970,57147,48183,34031,25486,18869,7033,3642,80466,62319,31569,12248,3561,3195,1032,39042,63673,44147,28009,13142,4805,1572,58385,61187,35265,24679,12077,2464,326,158389,35555,424,0,0,0,0,161664,32206,496,2,0,0,0,69648,64617,34602,16986,4596,2308,1629,67656,47369,38932,26679,9533,3507,715,7522,4254,5360,13227,32398,70060,61569,1436,9816,15781,21561,33393,63456,48940,30037,70555,44112,27409,14328,5591,2350,320
28,2916,13100,21802,43131,134792,45697,25,2061,8950,20275,36682,143244,50229,242,9737,16322,30651,67581,116028,20905,3668,5410,18982,40711,83303,95911,13481,3477,7887,27055,50257,70515,77179,25096,22,13274,19469,31758,60297,59194,77452,56,12553,19373,31191,62275,58666,77352,3535,12073,28895,41234,54963,82643,38123,2939,2215,11656,24716,54650,134582,30708,6430,51438,56017,67754,61415,17473,939,13,1162,39201,84451,79891,49520,7228,838,25638,74210,68641,49712,38770,3656,161
