band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,census_code
871104,128380,36183,14955,6790,2016,587,234,873918,105002,37737,22671,13318,6041,1337,225,779542,171615,46711,27748,20117,11520,2844,152,188547,270196,188004,156397,117486,75621,49241,14757,469829,210894,103064,83628,74661,56327,38674,23172,14,625131,238388,114284,56899,22461,3062,10,44,634684,236043,107701,56772,22140,2856,9,575784,183049,88648,69411,56166,40538,34667,11986,652459,229930,96398,45568,21532,10860,3345,157,20997,2667,7439,23801,55936,98877,185727,664805,216717,95138,80878,82367,96464,161443,239719,87523,374836,240987,119365,64561,48566,43899,46370,121665,563
70,2407,7097,17644,58570,178536,229047,10762,268,3010,6665,15309,51557,157375,250577,19372,772,5741,12659,27482,58130,149089,234492,15768,6155,9888,29316,64652,138484,175407,76250,3981,4117,3005,11596,28369,71283,167689,190942,27132,12,1180,8904,20371,35591,53312,135336,249427,118,1277,9846,19595,35749,52778,135088,249682,3342,4584,14652,27077,52480,137465,220432,44101,4169,3004,6860,28821,95648,178021,174787,12823,12622,132206,142572,93405,65130,42621,14153,1424,4063,28415,134190,196372,84347,32859,17282,6605,991,13387,34797,56281,104022,166576,109171,18908,170
9097,27948,39681,64231,50946,68189,66366,12709,7147,39127,49341,76825,55231,55061,49738,6581,8196,64235,60930,61014,51609,42789,43886,6342,27927,20226,25367,35754,59823,75449,69391,25035,24884,29942,41171,57637,62850,53488,46379,23183,284,32840,130098,86116,37805,24484,21555,6417,496,37108,136323,75030,38140,24679,21533,6332,29786,43930,59639,58997,56984,50850,33663,5360,20643,23035,33324,51267,75059,75614,55981,8982,11494,16012,34915,49227,51853,63888,74199,36623,18656,45946,66342,55326,44472,40551,33475,29699,26796,50486,64682,56846,49956,46802,28664,10679,617
410238,8389,1806,721,321,232,300,969,395697,16428,5356,2378,1268,655,474,717,369599,35358,9233,4408,2247,1075,603,481,34647,47296,53574,77024,81834,67508,45131,15989,196621,101951,51255,33871,19543,11347,6755,1673,4918,265036,124349,23770,4183,660,99,11,5871,271238,120337,20701,4119,673,97,12,252319,86003,41831,19983,10930,7532,3945,465,249805,104482,41847,16949,5983,2288,1104,812,1028,305,480,1274,4387,15721,53092,346661,94068,62876,62141,56151,47264,46128,41253,12805,209315,96736,38028,24307,17381,13367,10867,12731,576
1425,42831,52733,27156,12861,9777,5339,412,2376,33475,46894,32686,17980,11812,6917,394,6474,65086,41987,17081,10329,7968,3529,80,1046,1555,6191,17258,41215,57175,25925,2169,2984,22794,60893,41085,17376,5312,1943,147,45,12582,64864,42108,19446,9084,3737,668,72,13261,67624,38501,19429,9202,3831,614,2996,37676,48955,29730,16599,11262,4291,1025,1072,2473,12514,44788,61200,25478,4841,168,849,2212,3791,4683,8091,21671,75378,35859,640,1715,5511,15919,37549,63640,25172,2388,6970,71529,48584,16352,6806,1927,320,46,139
104,39974,122421,156430,195505,163553,105006,12276,1770,110618,144158,141728,154583,150947,87455,4010,3647,57776,139302,146047,153280,177048,114693,3476,244771,137518,125480,120145,94924,53138,15582,3711,24142,85597,97763,113897,122132,133185,147431,71122,38,8428,75202,223386,255396,172224,59692,903,41,8827,79426,220491,250287,175569,59768,860,7861,54436,111754,121862,130087,143153,173824,52292,141717,119683,105654,113418,128327,118778,64935,2757,68987,258774,225634,121301,64582,36120,14822,5049,117122,159272,116654,90134,80282,93969,112518,25318,7584,12931,34644,78133,117825,124636,140655,278861,537
7975,53921,105191,140831,115181,59274,10021,1129,9350,30352,49888,95372,137811,118879,51080,791,11165,20768,27636,47899,97583,166485,120532,1455,36029,53491,50923,59743,86758,116736,83095,6748,13066,18041,51924,83644,84115,83331,97539,61863,25,8066,15448,28981,61192,98865,124332,156614,53,8693,16235,27887,60857,98790,124786,156222,11379,17084,35080,74146,113192,104404,99006,39232,16410,14370,46718,87928,105100,123471,97647,1879,34694,92021,98224,96923,72136,51330,35976,12219,102085,84013,66135,64567,66592,62890,32121,15120,7705,33771,51597,76158,109962,89031,68750,56549,125
234,38046,75475,58577,121960,273642,261183,33561,339,63122,77029,78925,156673,266901,203405,16111,11413,135472,106907,169910,198223,163495,71280,5628,25983,35896,79330,163406,318341,192231,42462,4455,24880,87938,100653,164701,206969,174288,92873,9255,252,8482,65177,324870,220592,140773,75834,25325,389,9342,77750,316229,216714,140849,76004,24028,25757,109158,110170,139767,162622,163443,128843,21951,11827,40675,94669,128746,250549,251908,82469,5202,28415,27966,68928,119943,194872,230013,148186,43479,2000,25388,94352,148142,175357,209494,162012,42489,24291,110755,186340,208383,158816,100567,51921,18093,153
13816,44053,31736,20947,20937,24937,24504,13461,47201,47693,33936,23337,21072,12222,6306,2624,68143,63187,33870,16756,6255,2718,2826,635,31566,56543,44026,30774,18328,8573,3284,1296,45504,62495,35365,24936,17486,6743,1664,190,129457,63274,1613,24,0,0,0,0,137238,55693,1420,17,0,0,0,0,58286,63353,36307,21883,8405,2845,2021,1286,60934,43062,35265,31856,15643,4671,2552,408,6605,4235,3865,7486,17149,36570,69713,48767,957,6826,12937,16199,21459,36751,60942,38312,20671,65400,44033,29977,18852,9318,4366,1765,320
12,1060,9120,14085,24051,59647,122040,31451,2,843,6275,13302,21025,47326,146921,25772,46,6292,13466,18449,39196,71857,102255,9905,3513,3063,12867,26714,46681,89537,71846,7245,3324,4183,18180,36472,49366,66691,65582,17668,0,8011,16047,19822,42071,49908,58356,67251,0,8279,17114,18560,42284,49719,59429,66081,3087,7857,20225,33154,39119,55197,75496,27331,2856,1111,7432,15481,30207,66195,123380,14804,4525,37677,52336,50696,63564,41806,10424,438,10,412,13397,68477,75271,64066,34384,5449,408,15023,55160,67239,51653,40346,30143,1493,161
