band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,census_code
3238,4097,9734,16807,30320,38787,70956,148384,153916,6750,3199,7502,12657,17800,24939,30519,42797,118349,216873,8354,6116,11226,16176,22785,26558,30791,53281,136119,169878,10059,1193,1544,2641,5537,12930,33188,82457,161194,157503,24802,8130,18556,24019,36395,42517,60498,104270,118530,56730,13344,30,16207,50629,60512,58923,78282,73010,50445,50273,44678,38,16599,49986,59553,60074,83526,71329,51610,45473,44801,8065,16417,24934,28692,33378,39669,61932,123954,111824,34124,680,772,1518,2820,6741,20611,82099,204109,154164,9475,5531,51803,70016,77554,70411,61444,47770,41795,40095,16570,459,1359,6389,30169,81780,124609,105546,70090,50656,11932,17682,51843,61880,79278,93658,85087,56483,26589,9898,591,80
0,0,57,1114,5828,17316,36539,78282,115644,4835,0,167,2738,12892,34253,59286,56943,60436,31458,1442,15,6673,43327,53872,51153,47172,34150,17561,5250,442,3838,1888,4053,10748,24504,46316,67817,74177,25664,610,4233,30473,51569,50573,43350,35018,24560,14599,4846,394,3078,30515,49301,85672,55012,20619,9445,5228,744,1,3188,30529,49184,84287,56222,21935,9216,4619,433,2,3991,33086,53150,48238,41632,32840,24747,15310,5458,1163,1431,1566,3871,10387,25349,55578,92238,61841,6855,499,5323,2162,3279,7546,15581,32624,58014,73481,59077,2528,83,442,2242,7506,15506,24659,37395,58198,88297,25287,7573,73736,64825,49588,30956,17596,9644,4275,1334,88,178
3,2,1,1,0,1,0,0,3,3,7,6,2,7,1,1,5,2,10,8,0,9,4,18,5,7,6,8,16,4,58,8,5,4,4,1,2,0,0,2,38,22,12,7,6,7,3,2,1,0,0,6,11,13,6,0,0,0,0,0,0,10,11,13,8,0,0,0,0,0,0,0,27,39,20,19,11,20,18,7,62,18,9,10,9,5,6,12,18,19,82,6,1,0,2,0,0,0,0,10,70,0,0,0,0,0,0,1,3,56,0,0,0,20,61,12,3,2,1,20,339
467,24427,103469,141233,164248,166580,148050,161947,212046,52035,1389,2907,24720,70120,122233,152424,186455,215859,342782,55613,1490,19721,50665,74881,100805,128967,166480,226518,345879,59096,7221,9769,13645,20042,28343,38719,56744,116125,373943,509951,3055,831,2954,26067,80951,134870,187153,258018,315751,164852,0,1551,8737,65675,204438,265498,269165,238992,111500,8946,0,1669,8891,63434,202439,278843,278667,241939,89817,8803,2757,7138,36589,63531,89519,115488,146354,213866,312371,186889,4848,4873,8761,13526,21747,36723,83301,262647,637894,100182,20742,62569,95983,144127,153303,141425,134864,162294,177016,82179,66904,131513,193218,295448,287549,138440,42063,12975,2949,3443,13353,105515,180029,170927,152981,159481,155127,116108,78033,42948,469
956,16345,35180,33046,35857,43151,36944,27370,12918,1251,7882,64773,47743,38191,31544,22449,16115,10335,3316,670,23020,87297,52235,30565,20043,12963,9693,5791,1161,250,26304,49293,53908,41031,26367,18904,12362,7303,5184,2362,23923,44010,49555,42565,30669,21476,14316,9957,5927,620,7992,202521,31902,573,29,1,0,0,0,0,6566,202549,33240,626,36,1,0,0,0,0,25897,53934,52397,37889,26158,17396,12776,10312,5589,670,36899,51936,48506,39395,29041,18383,11062,6111,1405,280,8975,2563,4360,10252,15760,26629,42593,57098,55555,19233,965,6564,16127,23157,28325,30682,33839,41239,40162,21958,18289,29164,44428,46223,36227,25540,18846,12275,10569,1457,352
42941,21439,8967,8140,6054,4029,3476,2405,1441,118,27669,19635,9031,9132,9057,6337,8980,6367,2719,83,17182,25424,13268,8891,7138,8371,8735,7679,2256,66,5407,15980,13919,11688,9136,11689,12291,11950,5923,1027,2038,10308,20308,18350,16008,14159,11179,5574,1033,53,8,1417,1871,1741,3852,7562,18413,27146,30637,6363,8,1433,1824,1715,4016,9348,19346,30562,24132,6626,1652,12483,21955,14016,12288,11549,10886,9788,4081,312,18402,15104,10030,7767,8213,10765,14696,10706,3221,106,228,1395,1889,3082,5137,8758,14124,24296,30900,9201,657,4659,17655,25060,20802,13046,8188,5249,3287,407,793,5248,22022,33709,23415,10666,2679,385,63,30,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,11,6,0,6,0,1,1,5,1,4,31,19,12,7,2,4,2,1,5,1,181,1,2,4,2,1,0,0,0,0,292,27,3,5,2,7,3,0,0,0,0,1,123,0,0,0,0,0,0,0,0,0,166,2,0,0,0,0,0,0,219,215,175,62,61,22,11,29,18,0,748,49,37,17,7,8,8,13,34,5,89,0,0,0,0,0,0,0,0,154,425,0,0,0,0,0,0,0,0,43,5,2,8,39,67,11,8,1,8,222,598
32814,42181,19611,7054,4552,3655,2109,1737,1491,482,34853,45556,15350,6284,4699,3093,2103,1703,1648,253,41981,42994,13619,6638,3937,2314,1502,1267,1120,29,13831,16629,14715,13812,13608,15157,11710,8493,5288,2011,9861,39993,28302,17190,10512,5111,2602,1073,204,12,20235,21504,42066,20092,5985,3018,1118,272,166,218,19876,22062,40756,20760,6469,3075,1077,237,137,225,9852,45561,25484,14512,8308,5413,3066,1763,966,78,28629,18057,16863,17423,15592,10448,5558,2534,1251,35,810,1305,992,1373,1961,3724,7517,17677,43355,36533,213,1676,5426,10626,14965,17884,21661,25114,14844,2243,6667,35333,32910,19399,9907,5573,3050,966,450,188,22
306510,223187,87271,39596,24266,12797,6494,2291,787,225,199040,161554,112059,73189,65761,41161,31910,15234,3295,221,141449,113479,99881,82684,75664,70291,59493,43674,16525,284,29515,31374,55637,85133,122233,132154,126206,83075,33416,4681,62181,67542,49802,50476,55697,66107,79374,94646,104642,72957,150,74558,140409,163308,168084,104167,38188,12919,1628,13,800,74856,143017,156560,168985,110255,36690,11189,1059,13,90274,66148,61556,59387,62137,66837,81901,103197,92780,19207,86526,102809,106202,104773,89189,78803,62085,50928,21650,459,6704,1921,5830,24090,59020,102578,121064,122300,110902,149015,356204,99485,60922,45665,37034,30431,25742,21262,14788,11891,66836,77901,57896,54097,49563,49589,53785,53095,81976,158686,574
