band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,census_code
2296,4319,6595,13762,21038,30157,46374,76007,158832,120424,3185,2431,7040,10540,14066,20996,24284,30181,47838,139538,183072,3003,5082,10080,13096,18950,22645,25552,33493,62434,150768,136025,4864,1071,1318,2087,3985,8275,18098,42999,96809,160986,128553,18808,5579,17153,20274,30015,36375,44017,66656,111530,96107,44467,10816,14,10050,39106,57694,51026,63980,76521,53815,45415,43101,42267,17,10717,38311,57717,53507,61765,73761,61100,43271,42222,40601,6895,13836,21775,24323,28513,31901,41277,68815,128472,88999,28183,619,644,1177,2126,3983,10474,35101,106521,198424,118882,5038,3021,43278,60310,70860,65494,62022,50757,40177,38501,34342,14227,383,1037,3778,17627,52662,98481,113818,85799,56377,44275,8752,14519,44158,54616,65871,82037,84449,68163,41727,20019,7033,397,80
0,0,30,510,4441,8314,21396,42960,78896,100071,2997,0,65,1263,7895,20890,42442,56271,54277,54130,21263,1119,5,3252,34011,46716,48320,44825,40489,24834,13207,3705,251,3729,1658,2927,7139,15875,30966,51931,67169,61598,16275,348,3799,21632,46514,47096,42251,36662,27739,19300,10924,3424,274,1337,22249,48366,59845,71728,33273,11828,6889,3746,353,1,1327,22516,46788,61479,73176,31473,11763,7890,2972,230,1,3370,23592,48306,46857,39125,34514,26978,20136,11906,3817,1014,1340,1322,2591,6700,16662,35038,64458,87458,39535,4180,331,5081,2025,2488,5298,10086,20919,38995,59029,67994,46421,1279,69,314,1503,4849,11088,17812,26465,39901,56827,84973,15814,4712,62803,62230,49766,35028,21320,12673,6964,3135,925,59,178
3,2,1,1,0,1,0,0,1,2,3,5,7,3,5,3,0,3,3,4,9,7,0,5,7,15,6,5,8,6,5,16,4,58,6,5,4,3,3,2,1,0,0,2,35,23,11,10,4,7,3,2,2,1,0,0,4,8,14,10,0,0,0,0,0,0,0,5,11,13,11,2,0,0,0,0,0,0,0,12,45,20,17,16,11,23,11,6,61,16,8,8,10,7,6,4,13,21,14,81,6,2,0,2,0,0,0,0,0,10,70,0,0,0,0,0,0,0,2,5,53,0,0,0,6,62,22,5,3,0,1,20,339
179,14332,76615,121577,148967,150769,147585,130078,154978,189212,40210,1325,1997,15144,48054,93013,127361,149185,181152,204896,315616,36759,1371,13495,39876,61743,80846,103519,132853,164376,222988,315783,37652,6547,8504,11413,15999,22443,31030,40697,60272,132928,389818,454851,3005,673,1778,12679,50640,99307,141518,186068,253701,284824,140309,0,750,5411,34084,129786,239841,246430,223347,216150,71262,7441,0,703,5395,32787,131353,230714,247638,257100,200842,61458,6512,2714,3541,27653,49459,71999,92214,114317,149294,212270,295531,155510,4434,3908,7234,11077,15701,24995,41945,108336,303012,589716,64144,15681,54964,76983,120478,136511,139196,122095,127363,155395,156800,69036,58664,111728,160676,237608,290996,194979,80294,25400,8659,2213,3285,8408,84135,155120,162325,143426,140380,147413,132958,96309,66487,37541,469
410,11981,29990,30618,31579,37903,35239,32372,22216,9597,1113,5157,53986,49444,37027,31536,24145,17802,12772,8464,2146,539,15016,81954,53763,33172,20896,14610,10423,8028,4121,887,148,23092,41296,51506,41649,29145,19658,14569,9582,6037,4540,1944,20319,39204,44509,41681,32413,23728,16373,11392,8322,4679,398,2755,175013,63517,1634,88,10,1,0,0,0,0,3348,169198,68631,1738,96,6,1,0,0,0,0,22788,46639,50059,38115,28118,19476,13475,10906,8728,4130,584,32255,48988,46180,35237,31926,21006,13163,8594,4450,1037,182,8687,2409,3160,7593,11671,18821,29637,43568,54208,47547,15717,756,4729,13119,19019,24150,26921,28733,33105,37662,37276,17548,16641,23967,38287,42913,37394,27941,20420,15147,10365,9017,926,352
38205,21858,13134,7273,4323,4988,3195,2839,2038,1067,90,23907,20304,9165,8953,6302,8888,7920,6092,5673,1746,60,14098,26118,12334,8814,6967,7055,8145,7896,6049,1489,45,4239,13757,14098,10476,10197,8941,10771,10509,10861,4353,808,1405,8926,16741,18721,14471,13215,12289,8603,3976,624,39,5,862,1945,1419,2621,4878,12489,16878,27808,23767,6338,4,987,1822,1357,2914,5192,10548,22077,26931,21877,5301,1284,8709,20671,15018,12440,10190,10580,8712,8138,3073,195,15773,14859,10632,6889,7097,8538,11427,13304,8013,2399,79,191,1125,1603,2249,3733,6286,9566,15239,24620,27348,7050,551,3121,13136,21661,21852,15231,9800,6367,4413,2547,331,680,3555,15613,29924,26469,15208,5935,1339,210,49,28,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,0,11,6,0,4,2,0,1,2,5,0,4,31,17,11,7,4,2,4,1,3,4,0,181,1,2,0,5,2,0,0,0,0,0,288,30,4,0,5,7,4,1,0,0,0,0,0,114,10,0,0,0,0,0,0,0,0,0,138,30,0,0,0,0,0,0,0,200,182,172,99,53,42,9,15,25,15,0,745,45,35,22,9,6,9,4,17,33,1,88,1,0,0,0,0,0,0,0,0,154,425,0,0,0,0,0,0,0,0,0,43,5,2,7,11,79,23,9,4,2,8,221,598
26373,45883,16358,10723,5552,3250,2553,1792,1558,1289,355,30532,45947,16447,7185,4717,3489,2547,1603,1440,1530,105,35446,44689,16022,7075,4413,2659,1831,1210,1093,950,13,12448,14803,14194,13207,12830,13025,12062,9196,7509,4317,1663,7977,34893,28626,18223,12089,7001,3392,1818,704,126,11,17635,19184,34602,27239,8906,4026,1953,597,182,133,217,17565,19510,34612,27159,9155,3642,1877,661,150,130,213,7748,39010,28395,15769,9456,6210,3824,2323,1477,731,60,26483,17358,14802,15746,15773,11459,7847,4041,1920,947,14,675,1247,906,1081,1476,2405,4456,8921,19531,44110,30439,167,1200,4041,7918,12313,15035,17657,20917,22411,11262,1731,4535,30596,32034,21718,11587,6641,4095,2021,673,379,164,22
272704,233317,93548,43995,28485,15797,8986,4155,1631,618,188,180792,158707,106674,73944,66792,45054,34933,23415,10738,2201,174,131502,104406,94341,79545,69918,65862,59309,51628,36424,10299,190,27426,27293,43322,68535,90972,122733,122401,107499,65242,24315,3686,52402,67713,45669,44781,49163,54553,64683,75943,90517,94019,63981,141,48184,133307,136375,154662,134496,66234,20342,8842,834,7,794,42956,136466,135069,159809,129117,67196,24474,6927,611,5,83170,61435,56671,54454,54259,58469,66205,79891,96003,78609,14258,76349,94187,94240,98239,88109,75017,65315,55647,40860,15155,306,6569,1621,3674,14187,37962,76057,103248,111609,110001,99061,139435,343184,98386,60365,44777,36865,29969,26054,22487,17830,12661,10846,56435,76939,53745,50513,46504,44339,46293,49596,49427,81912,147721,574
