band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,census_code
1101,4764,5292,9658,18571,24810,29901,52432,82430,156799,95513,1718,1488,5591,8836,13377,17120,19685,24622,31609,59365,150193,149899,1204,4237,8886,11333,16149,20045,22211,24625,36570,74313,157001,105343,2276,1003,1143,1656,2985,5565,11493,24500,55154,107298,152960,105516,13716,4015,16245,17517,24288,31815,35737,46693,78094,105478,78923,35492,8692,3,6191,27360,49981,47986,54780,67770,67309,44382,40852,39408,36967,7,5840,31969,49380,50688,48366,63978,68688,49583,36739,40612,37139,5954,11748,18692,21613,25324,28155,32023,43219,77925,121692,72390,24254,571,544,928,1666,2687,6135,15522,49908,125348,185130,92041,2509,1590,36119,52485,63208,64900,57013,52193,42436,35387,35830,29236,12592,346,819,2529,10386,33679,72397,102496,96469,71192,47461,38673,6542,12099,37707,49411,56478,70144,78502,72658,53677,31183,15866,4977,287,80
0,0,8,179,1815,4997,14171,23906,46203,87512,78472,2352,0,35,1047,4563,12813,31592,41513,53665,51867,48244,13387,889,5,1436,26361,42158,42004,43076,41098,31433,19194,10012,2699,139,3579,1481,2300,4999,10952,21720,36399,52444,65838,48784,10923,196,3425,16142,41158,42816,40807,35850,30063,22326,15913,8498,2436,181,36,17459,39543,40400,77010,49130,18995,8713,5764,2409,155,1,64,16872,41560,42785,81836,40293,19057,9403,5820,1775,149,1,2898,17645,44332,41884,39027,34311,27780,22314,16456,9255,2828,885,1266,1083,2137,5072,11799,21247,44633,68403,76020,24924,2846,185,4854,1920,2015,3836,7671,13595,25441,43379,57809,62539,35881,675,58,225,1019,3189,7808,13480,19588,27944,41348,55459,79769,9728,3085,52066,60537,48840,37643,24507,15258,9524,5093,2379,642,41,178
3,1,2,1,0,0,1,0,0,1,2,3,4,8,3,2,5,1,0,4,2,6,10,4,0,5,7,10,9,5,4,7,7,5,15,3,58,4,5,5,3,4,0,2,1,0,0,2,26,31,7,12,4,5,7,3,1,2,0,0,0,2,10,8,12,4,0,0,0,0,0,0,0,4,8,13,11,6,0,0,0,0,0,0,0,0,6,39,26,15,17,11,12,19,11,5,61,14,8,7,10,8,4,4,8,10,20,14,79,8,2,0,0,2,0,0,0,0,0,10,70,0,0,0,0,0,0,0,1,1,9,49,0,0,0,1,43,37,11,3,3,0,1,20,339
46,9126,56349,102304,128235,137784,139608,124560,128630,151258,164057,32545,1152,1470,8628,33641,74012,102466,124588,145317,171084,203335,282202,26607,1309,9069,33068,51240,68096,84780,104879,129225,166274,218689,281567,26306,6103,7498,9855,13213,17961,24390,31969,42113,65350,152705,400026,403319,2965,607,1164,6128,30583,72411,109126,142114,186008,245333,255267,122796,0,397,3272,14598,70477,191657,226712,233307,202148,182735,44300,4899,0,397,3860,15807,79138,177231,220066,243627,223693,158172,47679,4832,2667,1891,20431,39416,58694,76435,94508,112588,149938,212107,272312,133515,4250,3408,5851,8801,12750,18695,29696,54176,128151,343560,521493,43671,11792,48624,64437,98232,128134,125505,119239,110444,122804,147372,138568,59351,52310,95534,137980,191103,265311,232394,123861,47761,17501,5819,1776,3152,5072,67967,131872,154346,136204,127344,132567,132964,113045,82137,57658,33326,469
126,8571,25524,29096,28503,29564,35336,31464,28419,18991,6440,984,2910,49200,44459,35942,34417,23205,19457,14504,10122,6860,1494,448,10064,75976,53771,34572,22636,16141,11134,8409,6725,2701,796,93,20850,36294,46814,40172,31801,20972,15907,11625,7753,5239,3984,1607,17662,34675,41029,38863,33178,25315,18602,12971,9710,7053,3685,275,356,129990,107542,4842,258,29,1,0,0,0,0,0,371,136861,101669,3873,220,23,1,0,0,0,0,0,20157,39843,47805,38266,29171,21033,14858,11390,9463,7419,3099,514,29557,41941,42554,38334,30389,23002,16090,10062,7028,3153,772,136,8452,2253,2479,5477,9821,13428,21181,31940,43291,50655,41145,12896,604,3583,10488,15930,20663,23870,25335,27068,32529,34177,34784,13987,15269,20119,33038,39424,36980,29501,21945,16947,12308,9293,7572,622,352
34831,22433,11867,8119,6625,3666,3898,2651,2343,1704,799,74,19419,24022,9651,6272,6257,8903,5691,7556,5576,4304,1313,46,11334,26451,12728,7459,7141,6790,6833,7479,7241,4474,1048,32,3704,11298,13578,10879,8687,7984,9197,10183,10685,8583,3521,711,1104,6768,14286,16364,14900,13590,12101,9786,6865,2832,379,35,0,630,1647,1336,1660,3616,7480,12898,18610,27332,19578,4223,2,550,1944,1178,1948,3374,5950,16230,21431,22639,19495,4269,1072,6863,17086,16200,10925,10248,9636,9977,8620,5946,2281,156,12695,17389,9316,6816,5522,7778,8729,11763,11409,5960,1574,59,172,902,1402,1834,2914,4507,7024,10350,16002,24478,23935,5490,480,2197,9780,18576,21022,16778,11428,7460,5265,3767,1983,274,603,2535,10930,25507,26902,18710,9646,3286,695,127,46,23,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,3,3,0,1,1,2,4,0,4,31,17,3,12,6,2,4,2,0,3,4,0,181,1,0,2,4,2,1,0,0,0,0,0,283,34,5,0,5,2,7,3,0,0,0,0,0,0,72,52,0,0,0,0,0,0,0,0,0,0,104,64,0,0,0,0,0,0,0,0,188,174,143,138,44,45,22,4,20,21,13,0,741,42,33,26,11,5,7,7,7,14,33,0,88,1,0,0,0,0,0,0,0,0,0,154,425,0,0,0,0,0,0,0,0,0,0,43,5,1,6,5,64,40,10,7,3,1,8,221,598
20972,42752,22725,9832,5912,4019,3204,1982,1567,1297,1151,273,24673,44571,20955,7726,5402,3415,2718,1933,1429,1316,1358,46,28445,47304,17371,8316,4464,3269,2043,1321,1134,967,755,12,10780,14718,13141,11860,11258,10838,12166,10941,8049,6449,3616,1438,6297,29779,29815,18465,13305,8197,4546,2529,1344,497,76,10,16701,18056,23251,32113,14000,5761,2740,1233,361,129,132,197,16726,18020,28642,28731,13349,4455,2572,1360,375,114,130,200,5792,34923,29407,16531,10488,6576,4702,2904,1859,1182,598,41,24373,16976,13771,14414,14871,12159,9253,5237,3053,1520,754,9,559,1188,840,929,1210,1715,2907,5198,10109,21108,44183,25301,126,924,3014,6107,10019,12716,14962,16902,20313,19622,8690,1257,3084,26167,30528,22983,13693,7761,4821,3077,1316,546,315,152,22
238696,236058,109893,49478,27911,18794,11586,6100,3076,1167,501,164,166496,148214,108587,71905,68083,48318,36857,28007,17497,7895,1425,140,124060,93203,90463,76659,67185,61587,58733,52300,43326,29254,6500,154,25718,22961,36277,55108,77003,106825,105008,115381,86344,51098,18742,2959,44422,67181,42631,41364,43271,46829,54785,62207,73592,85718,84138,57286,130,17891,123172,114715,137381,153220,90882,45452,14537,5671,370,3,787,21582,127820,113261,145628,135140,92963,46815,15076,3954,396,2,76392,58775,52732,50218,49139,52246,55229,65015,77805,89453,65329,11091,67693,91963,81373,89236,85993,73241,66034,55195,47823,34543,10101,229,6459,1404,2579,8845,25050,53228,83466,99436,102270,99668,89696,131323,331695,97154,59985,44163,35792,30521,25679,22233,19980,15176,11012,10034,47034,76284,50845,47204,44008,40918,41188,43733,44867,47937,81544,137862,574
