band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,census_code
1080,4501,3872,8468,12604,18334,25039,38590,50926,99836,145146,73611,982,1454,5087,8303,10624,13373,17553,20667,24516,33864,68858,164870,113351,469,3482,8252,9916,13029,17699,19816,20257,26737,41272,86207,155204,80085,1033,940,988,1527,2285,4059,7589,16403,30843,66197,114127,142925,84825,10281,2712,15324,14955,20104,27844,31580,37047,52920,82949,97389,63832,29169,7164,3,1970,25578,43275,47768,39296,57306,68981,53416,40047,35384,34649,35316,7,2500,26067,44251,46391,43495,52284,67724,50130,44940,32484,38712,34004,4994,10415,15851,19650,22161,25015,27060,33283,47189,85665,109123,62082,20501,532,496,784,1250,2137,4021,8514,22080,65128,142926,162903,70981,1237,930,29792,46252,56372,60458,54321,52619,44299,36056,32009,33704,24997,11180,314,683,1808,6489,21741,50497,83820,97906,80143,59332,41723,33788,4745,10087,32397,45106,49245,60503,70382,71908,60711,42476,23487,12946,3527,214,80
0,0,5,72,857,4110,7716,13945,31525,51649,87518,60179,2039,0,22,399,2696,9189,19614,36669,48386,45288,45811,42952,7853,736,1,794,16484,40725,36243,41243,38793,34628,25729,15286,7597,2017,75,3502,1314,1829,3478,7830,14866,25972,41130,54572,59899,37902,7194,127,3265,11757,34485,40702,39362,34133,31262,24526,19087,12627,6356,1919,134,5,12060,37334,37292,66633,50201,31100,11959,7058,4536,1365,71,1,9,13161,36179,37673,67776,53043,27292,11826,6492,4922,1145,96,1,2623,12233,38235,42365,35850,34213,27708,24168,18533,13554,7155,2218,760,1147,1009,1599,3502,8514,14647,30977,50215,70542,59987,15255,2119,102,4641,1880,1697,2921,5582,9525,17602,30043,45398,55382,57345,27232,367,49,183,712,2140,5623,10146,15000,21202,29112,41967,54608,72762,6111,2145,42278,58646,47417,38873,27235,18002,11582,7232,3873,1846,457,29,178
2,2,2,0,1,0,1,0,0,0,1,2,3,4,7,4,0,7,1,0,1,4,2,5,11,3,0,4,8,2,16,3,5,5,6,7,4,14,3,58,1,7,5,2,3,3,1,2,0,0,0,2,23,31,8,10,7,5,4,5,2,1,2,0,0,0,2,7,9,11,7,0,0,0,0,0,0,0,0,2,9,11,11,7,2,0,0,0,0,0,0,0,0,3,26,36,13,14,13,10,15,16,11,4,57,18,7,7,8,6,7,5,4,6,12,21,10,78,8,3,0,0,2,0,0,0,0,0,0,10,70,0,0,0,0,0,0,0,0,1,1,18,40,0,0,0,0,13,60,14,7,1,3,1,0,20,339
24,5455,42548,88791,108592,124050,135655,118964,116154,119202,147364,140225,27478,860,1190,5449,26346,52220,83030,105408,127205,141610,160165,206019,244036,20964,1263,6094,27243,41206,58788,71440,88172,103756,133960,160171,217830,244302,20277,5606,6426,8708,11209,15182,20041,25045,33598,43816,72038,172889,396152,363792,2922,533,902,3128,18606,48108,82088,115888,144745,186283,234659,228686,107954,0,245,2704,9435,47222,110425,211935,217021,216077,186328,135449,33542,4119,0,269,2876,9390,46568,124166,200057,217061,197173,208144,128325,36788,3685,2639,843,15002,32088,47689,61619,81195,93243,112438,150805,210758,252255,113928,3977,2949,5135,6949,10513,14486,21760,33336,65940,154041,367299,456560,31557,9269,42970,55176,81931,111558,115105,117805,104648,103218,119276,139659,122654,51233,47245,82593,120777,159275,225754,243687,165032,79269,29695,12600,4037,1519,3019,2760,55707,111289,143365,132461,118636,118707,124207,119280,96045,71238,50894,29913,469
108,5717,20483,27337,28269,26532,27082,33750,30589,20911,16478,4858,904,1513,39819,45419,34824,32692,25884,20416,16030,10507,9372,4933,1248,361,6458,68644,54382,35621,24505,16400,12575,9159,7308,5485,1712,710,59,19112,30096,43870,40911,30933,23214,17076,12608,9549,6313,4456,3546,1334,15652,30703,37086,37518,32805,26680,19687,14817,10698,8172,6072,2929,199,180,102843,131521,7943,475,45,10,1,0,0,0,0,0,177,101708,132791,7866,421,48,6,1,0,0,0,0,0,18311,34719,45067,37733,29048,22773,15992,12125,9822,8320,6410,2212,486,25908,41414,37069,38005,28985,24559,18333,12142,8086,5543,2210,680,84,8244,2165,2035,4018,7811,10474,15798,23384,33299,42345,47133,35432,10880,487,2700,8495,13473,17614,21073,22757,24067,26030,31506,31181,31834,11801,14048,17237,28673,35641,35785,30230,23676,17976,14219,10177,8656,6303,397,352
32173,23218,10560,8028,6895,3961,4251,3362,2274,2072,1587,567,62,17333,23486,9457,6134,6670,8462,5913,5490,6870,4707,3574,879,35,8931,26030,13445,7649,7096,5442,6494,6777,6806,6232,3334,749,25,3081,10700,12414,10374,7597,8791,8226,8147,10051,9228,6984,2836,581,860,5486,12581,16215,13270,12123,12704,9616,8721,5298,1859,244,33,0,249,1721,1389,1338,2155,4738,8361,14913,19977,26081,13893,4195,0,328,1710,1351,1289,2543,4156,8993,13943,22342,21964,17089,3302,914,5391,15541,16070,11796,8541,9669,7797,9012,7156,5331,1687,105,12445,14153,10020,8015,4702,7136,6320,10680,11362,8262,4692,1174,49,153,723,1241,1549,2277,3304,5395,7587,11030,16771,23685,20866,4429,442,1554,7218,15492,19587,17366,12962,8872,6078,4389,3323,1495,232,514,1881,7884,20491,26308,20725,12770,6036,1865,391,81,44,20,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,4,2,0,1,1,3,3,1,3,29,15,7,11,6,2,2,4,1,0,3,4,0,181,1,0,2,4,1,2,0,0,0,0,0,0,270,42,10,0,1,4,7,4,1,0,0,0,0,0,0,56,68,0,0,0,0,0,0,0,0,0,0,0,53,114,1,0,0,0,0,0,0,0,0,179,154,145,142,45,49,32,10,9,17,20,10,0,741,29,44,26,8,9,2,9,5,8,14,31,0,87,2,0,0,0,0,0,0,0,0,0,0,154,425,0,0,0,0,0,0,0,0,0,0,0,43,2,4,3,6,29,67,15,7,6,2,2,7,221,598
16928,43355,25003,9832,5857,3985,3106,2059,1775,1278,1269,1024,215,21621,42328,22343,10351,4569,3806,3142,2041,1598,1337,1239,1145,22,23370,47493,19398,9035,5025,3585,2282,1551,1150,1018,847,637,10,9911,12970,12442,11246,9681,11488,11979,9896,9155,6668,5484,3098,1236,5242,25676,28877,19818,13500,9506,5625,3296,1938,948,367,60,7,16396,16623,18848,32542,17283,5874,3807,1947,698,240,107,112,197,16392,16738,20177,32617,16146,6076,3201,1931,704,279,96,134,183,4693,29913,29919,17850,11185,7418,5108,3685,2163,1540,1019,479,31,22705,16882,12380,12215,14799,11333,10449,7340,4078,2343,1285,574,7,442,1166,806,790,1021,1301,2062,3388,5945,11196,22516,43344,21270,100,729,2263,4825,8069,10729,12698,14694,16469,19317,17180,6674,905,2168,22194,28903,23614,15241,9033,5579,3665,2283,902,455,269,137,22
221261,236663,102762,59281,33463,19588,14089,8397,4289,2105,957,425,144,153585,143521,101791,80788,58036,51687,41821,30015,21969,13426,5624,1036,125,119147,81439,88333,71052,68082,57115,55796,51002,46004,37212,24130,3993,119,23920,20253,30564,45855,64012,87557,97110,107929,97281,69322,42828,14394,2399,37367,66637,41035,38088,38647,42174,47017,52290,60927,70838,79609,76935,51860,126,7957,114404,106153,125502,118527,123293,67293,25609,11231,3111,216,2,784,7277,116739,104991,124123,130018,111999,67252,25051,12230,2692,267,1,70282,56877,49025,45809,46401,45728,49708,54292,62452,77183,82506,54662,8499,61171,81978,78945,81322,80572,73765,65036,52481,51501,41083,28630,6751,189,6387,1231,1973,5761,17013,36116,64853,84849,93615,94621,90188,82297,124520,321160,95864,59778,43854,35319,30059,25513,22469,19555,17505,13225,9791,9332,38421,75767,48841,43854,41833,38762,37585,38659,41798,40263,47663,80630,129348,574
