band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,census_code
202,4778,3406,6558,11365,15366,22521,26348,36428,61691,108530,130389,54749,658,571,4601,6798,8909,11548,15944,17726,20781,25135,36992,81091,166693,85970,230,2602,7931,8780,11161,15476,17222,19689,20261,28098,47575,95533,147732,60543,386,892,870,1256,1924,3112,5415,10376,19667,41442,73405,115856,132160,68833,7781,1683,14450,13468,17045,23528,28478,30965,38713,60096,85863,85883,52246,24752,5819,1,1141,20742,35018,46419,41378,41602,56884,61106,47372,35974,28124,31912,35316,5,1042,20992,35991,45661,41314,41245,58489,59063,45291,34793,31403,34963,32737,4549,9044,14249,18109,18453,23067,24015,26623,33900,52933,92657,95535,52004,17851,486,450,674,1102,1752,2706,5361,12201,31635,78851,151426,141686,54068,591,587,24444,41269,50123,55806,50542,52544,45423,38126,31511,29811,31320,21344,10139,289,551,1355,4254,13975,35149,64583,87182,87430,68032,49683,37872,29588,3046,8444,28128,41416,43710,52790,62360,67493,63257,50049,33662,18432,10569,2515,164,80
0,0,3,39,482,1654,4821,9487,20404,31107,54476,87190,48151,1801,0,16,173,2395,4487,13356,29623,36604,48662,41057,41711,35727,5214,590,0,313,11184,34507,34402,38780,35854,34858,29150,20710,12283,5927,1599,48,3408,1181,1573,2855,6030,9992,19992,30436,41627,55396,52253,29790,4998,84,3132,8211,30479,36868,37070,33755,30683,25922,21251,14951,10533,5242,1412,106,0,10068,32048,34464,50322,63745,32931,17373,8150,6218,3488,746,61,1,0,10214,30384,35724,51783,63029,32276,17812,8404,5890,3233,807,58,1,2483,9025,33109,38037,36867,32184,28392,23811,20776,15724,11067,5721,1746,673,1066,929,1371,2852,5368,11970,19048,38288,53743,69163,44878,9244,1631,64,4448,1846,1515,2304,4233,6741,12804,20895,33837,45928,52412,52386,20048,218,44,151,528,1525,3910,7791,11830,16297,22302,30670,41469,53684,65092,4322,1577,33702,56383,45891,39295,29491,20339,13518,8999,5602,3033,1429,332,24,178
2,2,1,1,1,0,0,1,0,0,0,1,2,3,1,8,5,1,5,2,1,0,4,2,2,6,11,1,0,4,6,3,12,7,4,4,6,6,5,5,14,1,58,0,8,5,1,3,4,0,2,1,0,0,0,2,15,36,11,8,9,3,3,6,3,1,1,2,0,0,0,2,5,7,11,9,2,0,0,0,0,0,0,0,0,2,8,6,13,8,5,0,0,0,0,0,0,0,0,0,0,22,34,19,11,16,10,5,16,15,9,4,57,16,7,7,6,9,6,4,4,4,7,12,19,10,78,8,3,0,0,1,1,0,0,0,0,0,0,10,70,0,0,0,0,0,0,0,0,0,1,2,43,14,0,0,0,0,4,48,29,11,3,1,2,1,0,20,339
9,3251,33100,67828,101219,107599,120838,121674,110980,106666,116586,139352,122794,22606,757,1134,3854,15580,40706,66603,92735,102805,128156,134764,154372,205348,210541,17147,1225,3397,22514,35293,48223,62062,74848,88006,107043,128944,163001,215220,208493,16233,5368,5602,7929,9754,12621,16600,21146,26021,34270,46185,80845,189463,394462,324236,2888,457,751,1898,10517,33154,64193,91258,115178,144859,184694,223929,205418,95308,0,61,2220,5489,26430,91007,155194,197173,200520,189757,176833,99269,26430,4119,0,160,2254,5518,26446,83884,158171,197793,201919,193786,166116,107361,27892,3202,2610,525,10596,26053,38953,53283,67514,78106,95070,114454,150222,204927,234033,98156,3859,2594,4067,6339,8429,12172,16295,23365,39914,76100,186440,390109,380146,24673,7714,37403,48740,68492,95208,103986,115181,103283,94612,99275,115603,131183,109134,44688,43126,72268,106783,136888,187984,233786,193797,112399,50673,20325,9218,2979,1385,2891,1448,45674,94385,130461,128854,112930,109053,113212,115334,105783,82378,62351,45559,27080,469
16,3951,18012,22777,24147,27809,24672,31725,28245,25454,18904,13552,2928,826,1074,33742,42993,35074,28105,27737,21408,17544,11953,10540,7958,3494,1096,300,3768,61075,54556,36860,25973,17177,13751,9626,7741,6373,4278,1166,638,36,17760,26282,38785,38808,33297,24255,17716,14112,10516,7994,5287,3929,3145,1132,13828,28069,33010,35502,32406,26775,21132,16336,12140,8996,7081,5222,2380,141,44,79861,147587,14502,922,81,20,1,0,0,0,0,0,0,2,73664,151761,16544,940,89,17,1,0,0,0,0,0,0,16576,29568,42789,36582,29521,23848,17391,12904,10473,8535,7295,5501,1596,439,22727,36889,36345,35645,29713,25698,18760,14748,9082,6935,4145,1679,586,66,8064,2068,1786,3044,6158,8232,12558,17504,25265,33929,41043,43395,30765,9207,409,2117,6846,11534,15256,18345,20631,21663,22767,25696,29753,28690,28818,10493,12893,15102,25060,31939,34059,30504,24774,19184,15316,12061,8572,8018,5242,294,352
28550,23663,12385,8669,4626,6071,3577,3370,2724,1882,1742,1301,392,58,14505,23194,9959,8501,6058,6269,6038,5658,5268,6030,4018,2872,614,26,7013,23254,14406,9438,5883,6579,5330,6501,6198,6465,4933,2459,529,22,2299,9510,12475,8962,7872,8745,6267,8277,8114,9586,8476,5561,2396,470,677,4586,10873,13737,13858,12067,11214,10241,8771,7293,4212,1301,149,31,0,149,1544,1352,1034,1941,2869,4952,10412,16836,20907,18958,13861,4195,0,188,1536,1359,960,2010,2943,5883,10572,15764,19353,21051,14106,3285,682,4333,11812,16626,12093,8660,8188,9301,7257,7432,6948,4251,1339,88,11615,14441,9665,6428,5959,5665,5743,6909,11068,10027,7299,3399,750,42,147,543,1157,1329,1790,2695,4070,5771,8089,11773,17301,22667,18172,3506,402,1153,5302,12700,17705,17465,14106,10248,6813,5096,3705,3003,1111,201,435,1448,5910,15791,24190,22001,15412,8763,3623,1081,237,69,32,18,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0,4,2,0,1,0,2,3,2,2,2,29,14,8,8,7,3,2,3,2,1,0,4,3,0,181,1,0,2,0,4,2,1,0,0,0,0,0,0,259,51,10,2,0,5,2,7,3,0,0,0,0,0,0,0,25,95,4,0,0,0,0,0,0,0,0,0,0,0,20,139,9,0,0,0,0,0,0,0,0,0,173,140,152,119,69,42,37,18,7,11,20,19,5,0,734,36,31,30,12,10,5,7,6,4,10,16,25,0,87,2,0,0,0,0,0,0,0,0,0,0,0,154,425,0,0,0,0,0,0,0,0,0,0,0,8,35,2,3,3,6,9,59,39,10,5,4,1,2,7,221,598
11514,45592,19615,15512,6916,4240,2823,2389,2160,1517,1331,1017,905,155,18765,41566,24008,9016,6481,3714,3192,2360,1791,1331,1204,1091,1011,12,19164,48515,19971,9398,6017,3417,2687,1718,1276,998,907,835,490,8,9041,11855,11867,10291,10749,9441,9351,11456,9244,7749,5914,4455,2730,1111,4455,21589,28464,20212,14528,9445,7165,3965,2520,1512,719,236,43,7,16158,15610,14650,31440,20537,7624,3863,2424,1332,504,148,78,109,197,16070,15681,15206,31663,19995,7797,3511,2410,1317,485,147,89,120,183,4126,23342,32553,18097,11708,8259,5632,4213,2710,1860,1230,881,372,20,22204,14623,12218,12314,11698,12827,10680,7830,5596,3068,1789,1118,418,7,373,1084,796,746,830,1071,1541,2382,3914,6694,12307,23583,42109,17817,83,575,1749,3884,6421,9191,11003,12713,14068,16387,18114,14415,5411,638,1479,18848,27017,23646,16406,10491,6329,4273,2956,1621,635,386,233,123,22
196640,231758,119801,58325,36443,23590,14273,10359,6038,3364,1612,719,374,128,145969,131937,103462,76164,57924,51159,44988,31354,26716,17597,11336,3946,770,102,113248,76329,81859,69838,65871,53388,52624,50808,45965,40509,31461,18986,2430,108,23095,18101,25994,37698,57306,70064,91634,92836,96660,84758,58162,33922,11154,2040,32249,64700,39959,35021,35801,37974,39994,46740,51633,58886,67729,75243,70241,47254,126,3137,95384,99244,105985,129141,113492,84708,44005,18317,8113,1608,162,2,782,2537,96881,97891,105831,124395,115901,84142,47342,17998,7698,1847,178,1,65497,54351,45681,43460,42895,41931,45687,47312,52702,62248,74892,75199,44738,6831,56328,76422,68091,81898,71577,71093,64090,57923,46665,45458,35877,23660,4181,161,6314,1100,1640,3861,11630,24881,48139,70405,83382,87631,87590,82134,76096,118621,311698,94717,59231,43466,34842,29694,25662,22096,19874,17689,15280,11666,8765,8744,31002,74891,47523,41252,39818,36849,34958,35040,37065,38946,37322,47570,79540,121648,574
