band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_1_15,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_2_15,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_3_15,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_4_15,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_5_15,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_6_15,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_7_15,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_8_15,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_9_15,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_10_15,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_11_15,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,band_12_15,census_code
188,4634,2513,5131,8349,13061,15911,22911,30285,43546,63675,112119,117591,42612,463,540,4463,5698,8913,9678,11866,16275,18658,20525,25712,42342,93092,164184,60922,121,2518,7139,7685,9823,13440,15698,17082,18068,22199,30404,53784,105212,133926,45851,160,836,781,1120,1613,2437,4128,7223,13549,25346,46466,78805,118380,120263,56113,5929,1086,13424,12176,15088,20291,25035,28136,31385,43494,64289,84528,73983,44100,20963,5011,1,611,15625,29724,37574,43843,39747,35552,61906,56797,38824,27834,34114,31383,29454,3,530,16104,27607,42952,38980,41495,43866,58239,49140,37979,35820,27563,33367,29344,3664,8495,12323,16188,17337,20101,21838,23664,27545,35573,57080,93233,85697,44386,15865,463,407,582,944,1313,2081,3763,7232,16357,44819,91226,150163,122290,41068,281,440,19809,37085,44774,51294,51502,47216,45319,39320,33185,28488,27892,28980,18401,9284,264,477,1077,2925,9337,24296,47891,72784,85714,74356,59164,42116,34796,26182,1610,6990,24858,37677,39935,46235,54988,62060,62264,54421,41248,26692,15132,8514,1837,138,80
0,0,0,24,163,984,3936,7362,11846,20761,36914,57146,84282,34563,1634,0,8,159,1098,4380,10152,17088,28609,47842,35892,40572,40915,29160,3275,465,0,146,6542,26528,36744,33927,34548,34432,29345,25359,15930,10422,4353,1318,21,3330,1118,1278,2201,4432,8168,13236,23694,33890,42527,52809,46658,22716,3516,42,3009,5889,25808,34404,34431,33307,29182,27362,21824,17371,13160,8628,4055,1111,74,0,8586,25007,34647,29198,71128,41373,21146,13112,7089,5330,2254,717,27,1,0,8645,25072,32792,34772,65907,43607,23080,11470,6525,4542,2768,398,37,0,2350,6772,27955,36709,32973,31706,28508,25068,20896,17254,13866,8937,4568,1454,599,1027,805,1165,2047,4514,7697,15243,25111,40573,57458,64648,31973,5974,1345,35,4300,1798,1387,1895,3245,5685,8846,15176,24183,36196,45599,49700,47025,14446,134,43,117,365,1210,2756,5782,9403,13079,17683,22873,31983,40737,53425,56645,3514,1239,26531,53539,44726,38493,31194,22357,15538,10657,7186,4347,2386,1160,242,20,178
2,2,1,1,1,0,0,1,0,0,0,0,1,2,3,1,7,5,2,2,5,1,0,1,3,2,2,6,11,1,0,4,5,3,10,9,2,4,6,4,6,4,6,13,1,58,0,8,3,3,3,1,3,1,1,1,0,0,0,2,12,35,13,6,10,3,5,4,4,3,0,2,1,0,0,0,2,4,6,8,10,6,0,0,0,0,0,0,0,0,0,2,8,3,12,9,6,2,0,0,0,0,0,0,0,0,0,0,12,33,21,12,14,13,9,8,14,12,9,4,55,13,12,4,6,9,5,6,3,3,7,8,12,17,8,77,7,4,1,0,0,2,0,0,0,0,0,0,0,10,70,0,0,0,0,0,0,0,0,0,0,1,2,53,4,0,0,0,0,1,19,54,13,6,2,3,0,1,0,20,339
7,2182,22705,59432,83499,101771,109426,113527,107875,97588,103004,109405,142499,102615,18967,499,1177,2620,11662,28933,54245,74683,90343,109631,117481,138409,146424,205983,178001,14411,1176,2053,17982,30968,42507,52071,63619,75080,91073,105137,132168,155693,217667,173723,13585,4985,5132,6873,8728,10951,14008,17465,21975,27622,35363,48356,89150,195580,397252,291062,2850,425,611,1291,5687,22043,46659,72669,96493,116370,146338,182463,210717,183989,85897,0,1,1550,3768,12948,57696,119482,148167,202287,194521,175030,138606,97756,20400,2290,0,15,1654,3563,14832,53930,121880,173425,185977,184850,165564,170192,74688,21740,2192,2576,382,6937,22160,32350,45610,58018,66840,80149,91608,115115,153497,199184,213466,86610,3658,2320,3743,5633,6956,9698,13854,17838,26778,47149,88939,209860,403702,314437,19937,6558,32727,44026,57786,81988,100336,101729,101397,91602,88258,96204,112696,122118,97964,39113,39720,63660,95037,120229,158281,210156,206457,143092,76440,33182,15067,6789,2325,1291,2776,744,37413,80711,117196,123193,110567,102109,102675,107678,106050,93147,72038,55272,41019,24690,469
14,2951,14336,20942,25074,22210,24353,25606,29049,23649,23566,17099,11337,2105,727,777,29138,42740,30410,29446,26078,22852,18780,12361,11512,8452,6486,2787,951,248,2155,52618,55544,37084,26982,18734,14256,10499,8251,6580,5623,3281,830,566,15,16336,23253,36008,36322,32211,26406,18578,14709,11984,8628,6309,4728,3551,3098,897,12364,24974,30595,32999,31297,27824,21691,17363,13091,10097,7926,6250,4579,1847,121,0,58436,152077,30370,1847,258,26,3,1,0,0,0,0,0,0,0,55340,153775,31319,2340,207,32,4,1,0,0,0,0,0,0,15198,25892,38741,36805,29435,24046,18750,14032,10772,8852,7783,6453,4677,1186,396,21761,32015,35059,33220,30331,24350,20552,16491,10381,7769,5686,3718,1104,536,45,7895,1997,1646,2380,4743,7489,9468,13719,19202,26492,33895,39304,40048,26851,7889,346,1747,5436,9959,13117,16208,18571,19612,20824,21721,25542,27815,26706,25823,9591,11855,13616,21982,28662,31735,30254,25261,20493,16013,13352,10265,7504,7554,4254,218,352
25533,26241,12606,5721,7149,4237,5208,2388,2487,2520,1760,1601,1211,296,52,10676,26598,10030,6006,6054,6103,6133,3646,5615,6910,4162,4275,2361,417,24,5115,24523,12968,9736,5630,6793,5224,5050,5235,5941,6129,4344,1969,335,18,2223,8755,10409,9827,8245,7535,6005,6977,7843,7691,8081,8469,4737,1836,377,511,3882,7953,14622,11554,12482,11492,9076,9599,7728,6014,3011,953,102,31,0,94,1331,1349,839,1424,2590,2539,6285,12816,18586,14157,23817,10482,2701,0,114,1327,1220,1013,1306,2663,3646,7055,12832,13725,23351,16128,12074,2556,576,3395,10164,15806,11280,8885,8249,8072,7516,8064,6529,6081,3328,992,73,9631,13690,10185,7484,5226,5087,5196,6257,7525,9727,9266,6409,2751,543,33,137,424,1062,1150,1537,2284,2960,4582,6353,8616,12198,17606,21489,15836,2776,370,887,4059,10254,15463,16998,14692,11303,7853,5842,4348,3247,2654,872,168,350,1178,4513,12146,21388,22197,17082,11117,5882,2266,631,167,50,27,16,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,2,0,3,3,0,0,1,1,2,3,1,2,2,28,13,9,1,12,6,1,2,3,2,0,1,3,3,0,181,1,0,2,0,4,1,2,0,0,0,0,0,0,0,245,60,14,3,0,5,0,7,2,3,0,0,0,0,0,0,0,1,110,13,0,0,0,0,0,0,0,0,0,0,0,0,0,133,35,0,0,0,0,0,0,0,0,0,0,159,134,141,99,110,28,46,29,8,4,16,20,16,2,0,734,27,36,28,17,9,6,2,7,6,6,9,21,18,0,87,2,0,0,0,0,0,0,0,0,0,0,0,0,154,425,0,0,0,0,0,0,0,0,0,0,0,0,14,29,2,3,2,6,4,37,59,11,8,6,2,1,4,5,221,598
9891,40048,25056,13395,7891,5379,3593,2670,1944,1531,1148,1167,1023,856,94,16897,36905,26607,11359,6157,4118,3034,3027,1731,1558,1089,1159,1059,830,12,16385,46176,22414,10606,5855,3796,2782,2038,1431,1050,932,787,763,380,6,8288,11293,10879,9827,10212,8488,9151,10196,9418,7950,7147,5106,3953,2334,1012,3842,17657,28355,20712,13790,10990,7886,4740,2997,1964,1116,595,178,32,6,15390,14748,11601,28975,19407,13776,4695,2176,2132,955,352,83,106,109,169,15663,14768,11507,25918,24263,11335,5207,2541,1796,857,326,131,73,122,167,3449,20064,31900,19037,12203,8756,5835,4556,3330,2193,1542,1094,752,277,15,19487,16131,11068,10989,11859,11438,10962,8038,7040,4042,2633,1417,970,309,7,321,985,809,648,753,964,1149,1777,2759,4381,7404,13409,24415,40546,14927,69,457,1363,3114,5168,7770,9548,11059,12242,13980,16097,16698,12181,4499,407,980,15997,25023,23309,17453,11547,7348,4791,3341,2325,1179,512,329,201,108,22
186327,223265,120105,61709,42719,22439,16802,13203,7058,4889,2599,1297,579,319,114,137232,125125,98237,83090,51518,50640,44331,38119,24472,23703,14448,8993,2853,570,93,108671,70349,75908,68130,61327,53108,52437,48752,44766,40742,34170,28255,15211,1508,90,21716,16070,23103,34077,45098,61595,75995,89542,88850,88235,69017,52029,27420,8989,1688,27452,62353,39918,32729,33146,34403,37005,40855,43944,50885,56455,66680,71486,61775,44338,125,854,73729,95003,86197,122517,116233,83750,72268,32167,14151,4789,1553,88,0,782,831,74043,92671,95123,111783,119849,94467,64924,29523,11885,6471,965,107,0,60049,53393,42980,41718,39977,39248,40936,41389,46649,53407,61499,70192,67722,38774,5491,49717,70529,69089,71113,69817,70045,59330,57678,50984,42426,39152,31435,19265,2708,136,6268,974,1383,2803,7859,19258,33047,56602,71949,80324,81741,81299,75454,71048,113415,302827,93601,59261,42861,34447,29279,25710,22012,19743,17481,16271,13252,10517,7977,8185,24572,73668,46497,39043,37587,35363,33364,32579,33209,35332,36186,35362,47653,78056,114953,574
