band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,census_code
7335,26541,69107,219340,160666,10701,30457,55458,161146,225227,17342,38961,57349,189400,179937,2737,8178,46118,243651,182305,26686,60414,103015,222800,70074,16237,111141,137205,123455,94951,16637,109539,143600,122939,90274,24482,53626,73047,185886,145948,1452,4338,27352,286208,163639,57334,147570,131855,89565,56665,1818,36558,206389,175636,62588,69525,141158,178745,83072,10489,80
0,1171,23144,114821,120479,167,15630,93539,117379,32900,6688,97199,98325,51711,5692,5726,14801,70820,141994,26274,34706,102142,78368,39159,5240,33593,134973,75631,14673,745,33717,133471,78157,13835,435,37077,101388,74472,40057,6621,2997,14258,80927,154079,7354,7485,10825,48205,131495,61605,525,9748,40165,95593,113584,81309,114413,48552,13919,1422,178
5,2,1,0,6,13,9,2,7,18,9,22,12,14,20,66,9,5,2,2,60,19,13,5,1,6,24,6,0,0,10,24,8,0,0,0,66,39,31,25,80,19,14,18,37,88,1,2,0,10,70,0,0,1,59,0,20,73,5,21,339
24894,244702,330828,309997,264081,4296,94840,274657,402314,398395,21211,125546,229772,392998,404975,16990,33687,67062,172869,883894,3886,29021,215821,445171,480603,1551,74412,469936,508157,120446,1669,72325,481282,520606,98620,9895,100120,205007,360220,499260,9721,22287,58470,345948,738076,83311,240110,294728,297158,259195,198417,488666,425989,55038,6392,118868,350956,312462,271235,120981,469
17301,68226,79008,64314,14169,72655,85934,53993,26450,3986,110317,82800,33006,15484,1411,75597,94939,45271,19665,7546,67933,92120,52145,24273,6547,210513,32475,30,0,0,209115,33866,37,0,0,79831,90286,43554,23088,6259,88835,87901,47424,17173,1685,11538,14612,42389,99691,74788,7529,39284,59007,75078,62120,47453,90651,61767,31121,12026,352
64380,17107,10083,5881,1559,47304,18163,15394,15347,2802,42606,22159,15509,16414,2322,21387,25607,20825,24241,6950,12346,38658,30167,16753,1086,1425,3612,11414,45559,37000,1441,3539,13364,49908,30758,14135,35971,23837,20674,4393,33506,17797,18978,25402,3327,1623,4971,13895,38420,40101,5316,42715,33848,13437,3694,6041,55731,34081,3064,93,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,17,6,1,6,5,50,19,6,3,6,182,6,3,0,0,319,8,9,3,0,1,123,0,0,0,0,168,0,0,0,434,237,83,40,18,797,54,15,21,39,89,0,0,0,154,425,0,0,0,43,7,47,78,9,230,598
74995,26665,8207,3846,1973,80409,21634,7792,3806,1901,84975,20257,6251,2769,1149,30460,28527,28765,20203,7299,49854,45492,15623,3675,216,41739,62158,9003,1390,384,41938,61516,9544,1314,362,55413,39996,13721,4829,1044,46686,34286,26040,8092,1286,2115,2365,5685,25194,79888,1889,16052,32849,46775,17087,42000,52309,15480,4016,638,22
529697,126867,37063,8785,1012,360594,185248,106922,47144,3516,254928,182565,145955,103167,16809,60889,140770,254387,209281,38097,129723,100278,121804,174020,177599,74708,303717,272251,51107,1641,75656,299577,279240,47879,1072,156422,120943,128974,185098,111987,189335,210975,167992,113013,22109,8625,29920,161598,243364,259917,455689,106587,67465,47004,26679,144737,111993,99152,106880,240662,574
7680,95040,215916,365163,189468,9435,100951,207698,354441,200742,10307,83746,218071,379356,181787,197329,151759,167047,233347,123785,53547,161758,235783,303726,118453,2589,33819,90322,238480,508057,2645,33864,97315,255987,483456,23892,102632,237567,344710,164466,80860,123323,190787,314899,163398,318608,251703,151579,114437,36940,15177,220153,250889,232864,154184,30831,155635,329003,276365,81433,474
330777,1043,306,195,712,330259,1503,389,248,634,330030,1992,308,254,449,46361,57079,68281,79869,81443,206527,113979,11160,968,399,282555,50207,253,17,1,280630,52115,272,15,1,314635,15197,2333,575,293,196730,89535,35498,10208,1062,42,131,483,3971,328406,71178,94772,72654,58357,36072,295536,33822,2763,646,266,281
353854,37370,6410,1452,875,370813,23488,3801,1173,686,364588,28128,5140,1591,514,41702,132830,144883,60421,20125,243397,93639,40291,17688,4946,38245,341959,19182,570,5,39805,340416,19207,531,2,295235,72762,21596,8712,1656,271315,107583,17372,3135,556,5035,2015,5849,35208,351854,58578,62005,69395,122166,87817,244631,95187,31974,14711,13458,569
694,25970,97322,86305,48741,1962,53459,100509,95604,7498,12179,146781,81505,17577,990,17593,67208,111825,55819,6587,37191,162076,45655,11794,2316,116499,125223,14084,2973,253,118097,123588,14333,2844,170,45619,149358,47282,13584,3189,4209,39621,154457,59321,1424,3832,18839,52253,139201,44907,881,6635,20078,92643,138795,62921,148274,33988,10092,3757,229
