band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
5865,14950,43381,82333,239229,97231,7079,22213,36805,56231,209558,151103,13123,27482,42256,61195,231314,107619,2146,4641,17058,79654,260258,119232,20260,41805,67552,124787,184401,44184,6194,77341,102766,135079,85234,76375,5847,81349,99054,132666,86322,77751,17702,40305,53479,75242,199617,96644,1115,2594,8822,65430,310478,94550,37709,115693,121913,94629,71217,41828,1165,12915,106076,198965,118653,45215,49806,105889,148646,126335,47049,5264,80
0,187,6812,38077,133715,80824,35,5610,44405,95178,100111,14276,1441,68519,85080,72531,29206,2838,5060,7299,32672,88843,114622,11119,19567,83974,76657,52389,24411,2617,17495,79943,126140,27708,8173,156,16936,84345,122129,28460,7595,150,20543,86216,73338,50094,25711,3713,2349,7209,33046,113036,100944,3031,6774,5851,21266,68820,120348,36556,283,4208,21288,47532,96807,89497,55151,109377,62150,24782,7472,683,178
4,3,0,1,1,5,12,5,6,4,8,14,5,17,14,11,12,18,62,10,7,2,1,2,57,19,9,10,3,0,2,18,16,0,0,0,4,21,17,0,0,0,0,45,41,28,31,16,75,15,18,8,18,34,87,2,2,0,0,10,70,0,0,0,2,58,0,1,80,14,3,21,339
9172,158653,266019,264168,279888,196602,2622,42269,176478,269905,374419,308809,10378,84308,152876,234104,384963,307873,13601,23068,42351,74082,218055,803345,3572,7292,102994,251240,431341,378063,397,17870,262134,460019,384883,49199,397,19667,256369,463693,381865,52511,4558,59847,135129,207096,362045,405827,7658,14652,31445,83872,471711,565164,60416,162669,253639,229683,270176,197919,147844,329083,497705,171622,23320,4928,73039,286218,263548,265531,195182,90984,469
8697,54620,58067,66800,47410,7424,52110,80401,57622,33961,16982,1942,86040,88343,38777,19543,9426,889,57144,86986,52773,27532,12992,5591,52337,79892,58493,31573,16763,3960,130346,112384,287,1,0,0,137232,105542,243,1,0,0,60000,86071,50204,26248,16882,3613,71498,80888,53391,26152,10181,908,10705,7956,23249,53121,93946,54041,4187,26418,44533,52403,66706,48771,35388,72462,66481,38892,21601,8194,352
57264,19986,10291,6549,4047,873,43441,15923,15160,13247,9880,1359,37785,20187,13931,14312,11715,1080,15002,24457,16671,19380,19268,4232,7872,30650,28490,21887,9697,414,630,2983,5276,20378,45942,23801,552,3122,5322,22180,44070,23764,7935,33286,21173,19613,14566,2437,30084,16132,13300,20492,17369,1633,1074,3236,7421,17374,40480,29425,2677,28356,37800,18888,9032,2257,3138,36437,45612,12932,822,69,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,17,3,3,2,6,4,48,15,8,6,3,4,182,2,6,1,0,0,317,5,7,10,0,0,0,124,0,0,0,0,0,168,0,0,0,0,362,281,89,26,41,13,783,59,16,14,21,33,89,0,0,0,0,154,425,0,0,0,0,43,6,11,104,17,4,229,598
63724,32557,9931,5186,2864,1424,69244,28681,8817,4651,2745,1404,75749,25687,7733,3364,2101,767,25498,25001,22096,23107,14498,5054,36076,48280,21502,7075,1841,86,34757,55364,19761,3973,490,329,34746,57373,17804,3932,489,330,40715,45938,17064,7606,3041,639,41349,28185,27030,14490,4573,763,1747,1769,2925,8105,31217,69484,1050,9121,22735,31864,39935,9947,29251,53511,21454,7898,1862,467,22
474754,159371,46705,17686,4243,665,314710,180492,116401,64864,25392,1565,217263,167122,128772,111033,72580,6654,48679,91385,183828,220389,137442,21701,111603,83995,90100,116992,159310,141424,18021,237887,290601,136334,20208,373,22369,241081,280768,139778,19030,398,135167,102950,101385,120244,167258,76420,159656,170609,159234,121229,82366,10330,7863,11424,78278,182902,201938,221019,428849,104148,66313,47912,35156,21046,123318,98049,84926,84921,92804,219406,574
2355,56393,135331,225485,330236,123467,3246,61363,134789,212383,333575,127911,5484,48332,132151,228997,348827,109476,171258,129803,125777,161154,201004,84271,37647,116326,170160,220777,250307,78050,648,17874,53408,116031,265928,419378,648,19359,53599,119384,256852,423425,20487,50285,165393,224543,312235,100324,64176,96974,123378,203299,283335,102105,255499,249411,145529,113913,85659,23256,6764,125346,247113,172976,218728,102340,21536,89718,230114,287926,191238,52735,474
330037,1610,352,201,156,677,329171,2324,504,235,217,582,328447,3342,415,192,238,399,37669,44787,53575,60935,68321,67746,172856,128423,28424,2496,517,317,182271,149834,857,66,5,0,182461,149698,802,67,5,0,300288,27605,3492,1078,333,237,174099,92620,42221,18260,5167,666,30,86,218,834,5932,325933,55074,81362,69012,52944,46875,27766,257793,68561,4896,1160,421,202,281
331598,55185,8679,2834,939,726,357857,33362,5631,1720,858,533,348806,39910,7442,2394,1047,362,29669,90782,136877,89356,38007,15270,215922,98458,46787,23880,11596,3318,10766,315061,70898,3091,145,0,10918,322084,63749,3082,128,0,269266,84704,27581,11967,5466,977,226385,134698,29759,7025,1752,342,4788,1380,2849,8952,48492,333500,49074,50094,54814,67079,117154,61746,214617,104395,40185,18903,10169,11692,569
303,10110,57610,91713,66171,33125,583,31447,73297,91409,59701,2595,5189,97343,108670,39062,8395,373,11837,45850,81160,84563,31873,3749,13872,145284,71151,20184,7128,1413,62891,163510,24546,6670,1267,148,63152,164890,23079,6493,1277,141,21798,138567,66115,22077,8388,2087,2489,17554,95827,121210,21446,506,2392,11731,27809,67658,125437,24005,601,3640,10843,26756,116155,101037,33232,147476,53563,15528,6423,2810,229
6778,38867,42365,70268,77389,38906,11668,56327,49182,68399,78768,10229,16027,89217,71280,60535,33884,3630,26605,50610,95729,80072,19753,1804,12933,91735,84447,44127,28636,12695,60202,162765,45574,4019,1830,183,60841,164531,43014,4096,1927,164,17895,96664,70820,43174,31118,14902,28332,24668,58954,118967,39754,3898,5230,25503,42260,77795,110901,12884,4379,28827,42155,50753,95491,52968,14476,102333,69428,41018,26201,21117,237
138891,248324,136085,68966,22969,2360,103906,194668,139750,111082,61746,6443,94873,122251,99450,123331,144914,32776,95052,107529,122848,155558,118207,18401,81587,49861,58186,90787,132433,204741,1853,144889,158997,243067,68505,284,1924,147974,153523,243609,70217,348,95459,51331,56398,89835,158929,165643,76946,144143,141443,120032,110292,24739,16501,154437,148968,98030,103635,96024,367200,79470,35975,26579,44636,63735,82284,62646,38588,42310,54573,337194,567
512777,25761,4727,1499,210,241,526108,14761,3381,662,122,181,527833,14002,2713,453,105,109,93218,100989,96829,88106,80440,85633,327178,168022,39678,7969,2163,205,533428,11719,68,0,0,0,533638,11515,62,0,0,0,482107,49571,9382,3184,894,77,319163,131915,58944,25196,9229,768,2361,899,1537,5489,23314,511615,51995,86757,90251,91094,121207,103911,405860,109864,17928,6575,2672,2316,315
0,0,0,0,0,0,0,0,6,17,9,73,0,0,32,14,22,93,102,31,12,31,23,39,69,45,35,48,15,33,0,0,8,66,2,0,0,0,5,75,0,0,0,22,75,44,68,85,86,13,19,29,37,124,184,0,0,0,0,110,200,0,0,0,1,119,0,15,233,17,5,10,582
21734,27573,28896,28875,17933,4218,13376,13279,23150,33360,40306,5758,11658,16135,20627,31231,46066,3512,3436,10424,14427,35445,54034,11463,3396,13972,33255,49285,28422,899,1151,1517,3853,10772,52903,59033,1055,1642,3849,12206,51556,58921,3037,14492,22528,35734,44746,8692,6668,8325,13068,43448,53837,3883,3639,12851,23522,34148,39889,15180,781,19106,51323,32758,19258,6003,5218,36450,59720,24146,3475,220,52
0,0,0,0,0,0,4,0,0,0,0,10,5,4,0,1,0,39,25,7,8,4,9,38,40,15,15,6,13,49,72,6,0,0,0,0,105,7,0,0,0,0,69,64,51,46,56,158,144,40,18,21,42,216,56,3,2,3,1,61,177,0,0,0,1,18,14,18,36,18,11,89,26
0,0,0,0,0,0,4,2,0,2,2,4,15,11,9,18,25,12,131,1,2,5,9,0,119,36,3,10,8,0,11,11,26,14,0,0,12,14,26,18,0,0,33,68,74,48,16,26,162,23,35,16,12,40,95,2,0,0,0,79,230,0,0,0,0,15,6,16,110,9,2,39,180
325661,247298,44006,4655,376,9,224223,236198,128619,28835,4065,65,101972,220464,172823,110334,16210,202,331557,180762,69307,31109,8729,541,27054,155015,268575,138534,28714,4113,5028,15799,42121,72162,111951,374944,5165,16454,41683,71333,108528,378842,35613,116890,217889,187019,57958,6636,259658,259454,82722,16620,3430,121,46807,183474,124541,93178,95808,78197,106124,158460,160385,119343,69304,8389,18485,63665,92222,176010,172201,99422,453
6870,124747,148589,84824,44521,5570,7019,90780,151554,103821,56518,5429,15303,162118,128392,72302,34962,2044,5981,28699,98462,165627,101403,14949,10281,82752,164835,111778,39648,5827,5006,60077,188413,124778,33620,3227,4850,62652,183807,126413,33991,3408,11783,102630,132489,96930,59317,11972,5171,51462,141440,145711,67647,3690,3283,11140,27551,88788,224384,59975,2273,39035,115499,147458,92896,17960,16606,183328,143488,55099,14286,2314,135
6870,124747,148589,84824,44521,5570,7019,90780,151554,103821,56518,5429,15303,162118,128392,72302,34962,2044,5981,28699,98462,165627,101403,14949,10281,82752,164835,111778,39648,5827,5006,60077,188413,124778,33620,3227,4850,62652,183807,126413,33991,3408,11783,102630,132489,96930,59317,11972,5171,51462,141440,145711,67647,3690,3283,11140,27551,88788,224384,59975,2273,39035,115499,147458,92896,17960,16606,183328,143488,55099,14286,2314,135
35317,145768,125646,121269,46168,6488,94418,177252,125513,62737,15392,5344,155976,182015,91197,38464,8057,4947,47050,185823,176398,56672,10405,4308,62913,135420,120728,97988,53483,10124,10121,289219,171510,9449,354,3,9876,300415,160906,9189,267,3,116778,148087,107692,68930,32261,6908,79960,235436,115252,37598,7717,4693,11445,11788,35353,106330,180829,134911,27900,101297,108796,104518,102131,36014,44670,136172,112140,87674,57799,42201,383
470591,337564,55296,5986,464,81,597214,235022,33808,3641,260,37,446795,296667,100965,23513,1997,45,323568,358387,122411,42286,18695,4635,161411,249757,201615,165329,85026,6844,443,233278,398646,194693,36184,6738,511,237417,389510,199323,36334,6887,235993,287160,182133,126179,37926,591,522264,273301,61336,11035,1929,117,17920,32486,68743,152402,314266,284165,258527,203380,151957,113279,98901,43938,79958,239786,172272,120681,92805,164480,528
124164,551,186,116,182,718,123217,1269,362,229,266,574,122417,2106,533,273,271,317,22166,12201,11978,14825,21614,43133,67901,37952,15776,3128,876,284,119673,6126,103,15,0,0,119832,5976,95,14,0,0,107667,13952,2586,1057,467,188,61345,24679,19787,14160,4969,977,12,70,141,587,2483,122624,44416,24639,16608,12761,13558,13935,105828,16518,2485,587,256,243,285
7026,10649,25481,50347,270913,164802,4451,6910,12663,32951,154617,317626,5614,7335,14671,37419,178538,285641,1681,3836,10961,45643,257266,209831,7805,10116,26609,70100,236544,178044,492,18909,61964,132958,183150,131745,442,20075,61433,125236,185216,136816,6674,10146,20102,45402,173110,273784,773,1337,4811,23272,219705,279320,67136,218649,126943,63920,38196,14374,2410,43147,249871,165400,52607,15783,15736,53163,112703,208069,129073,10474,81
7962,12508,8947,11433,6749,545,16412,13816,9850,6204,1596,266,18935,16011,9384,3034,668,112,41818,4587,1098,267,156,218,28659,13523,4626,1085,223,28,2505,22062,17182,5276,1065,54,2018,23490,16340,5262,981,53,19001,17794,7364,3297,643,45,36468,8900,1745,683,298,50,16491,7560,5327,5934,8336,4496,306,1134,2130,3222,8685,32667,13272,12187,12853,6121,2769,942,518
1,0,1,0,4,1,0,1,1,2,8,2,0,4,7,6,9,2,22,3,2,1,0,0,23,12,6,1,0,0,0,0,0,2,2,8,0,0,0,4,0,12,0,8,47,28,18,4,68,16,23,15,21,11,35,0,1,0,0,0,40,0,0,0,0,18,0,1,30,4,1,20,501
49594,284597,304413,274769,231402,70984,51895,262204,282488,263708,279904,75560,9949,141685,308468,325714,351433,78510,511122,246553,199078,149322,78012,31672,72509,328191,390483,274020,120740,29816,1716,14442,40537,108814,273743,776507,1773,15337,40519,103919,269835,784376,15663,123987,406473,425047,205722,38867,260927,250193,219017,222618,211639,51365,518861,420082,135515,78027,49026,14248,11732,47922,163975,399987,476735,115408,21616,87830,310217,538646,208857,48593,476
7778,911,725,644,915,21633,6571,1847,1134,956,1285,21391,7120,2569,1288,1075,1565,20163,4898,1613,1412,2075,2294,22134,21090,3679,2667,2072,1204,5527,36818,85,0,0,0,0,36807,104,0,0,0,0,19382,5512,2389,1256,1341,5671,4340,1817,1493,1868,2174,20865,16259,3871,2249,1969,2858,6502,705,1498,1527,1309,2054,25531,21753,8894,2748,299,91,88,8
0,0,2,2,2,8,0,0,2,10,9,28,0,0,17,13,11,29,45,2,18,2,0,10,34,14,24,0,10,2,0,0,0,0,0,24,0,0,0,0,0,24,0,0,32,19,28,19,23,11,7,8,12,37,87,0,0,0,0,10,50,0,0,0,0,62,0,1,90,0,1,11,458
13660,103278,34362,56941,246577,167668,112350,93129,141566,218774,55646,1350,213659,282582,102656,22714,1460,55,267149,166059,106563,49188,24884,9603,491175,79605,30897,20531,2082,49,583378,41381,38,0,0,0,580327,44446,24,0,0,0,459458,105262,36122,20441,2284,420,271938,217907,87891,38306,8456,64,91859,48604,53158,70449,158150,200762,204,2330,10017,15248,36836,557055,406114,129364,38452,20717,20028,7434,337
25085,125338,107320,42470,5044,250,17454,74061,104515,85540,23566,371,15643,38395,55906,93267,98737,3559,38072,52347,84361,82807,41651,6269,16520,36532,69450,96961,75114,10930,165,7569,19600,65949,132121,80103,113,7851,19834,68054,127306,82349,13859,36878,67606,113684,72281,1199,24788,44058,78878,90846,63172,3765,13510,70873,111269,62319,32924,14612,43003,90694,79492,48036,27852,16430,14508,36901,65369,119774,60810,8145,487
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640
121923,78649,54205,30953,9068,601,108395,68478,47130,44263,24631,2502,87056,78072,48355,46559,32083,3274,20340,70545,91252,74327,34075,4860,16190,41417,59660,60699,70292,47141,27734,130261,126642,10680,82,0,28140,136876,119821,10494,68,0,22679,58742,52689,53768,68883,38638,60459,85893,53803,49429,39677,6138,434,5699,29645,72297,114746,72578,154637,79447,32349,15728,10389,2849,7679,49213,57641,57781,61038,62047,365
145757,42908,9853,2664,554,675,173700,23889,3396,667,328,431,169752,26451,4475,1090,392,251,11899,27232,48181,50937,45002,19160,80152,73806,28253,14730,4832,638,1332,153021,41118,6175,699,66,1300,155669,38438,6144,793,67,131296,46372,16038,7050,1462,193,68743,95284,31599,5687,756,342,1774,834,2669,7176,24845,165113,29133,35825,38407,37136,43542,18368,112128,54531,15716,7213,4532,8291,588
172049,85288,33810,20159,25822,13920,179421,96686,40085,22395,8435,2900,213483,94774,30330,6915,2595,649,28050,96489,116902,74398,28123,3594,100367,95609,68434,61944,17648,186,188672,151900,1557,16,0,0,194908,146256,1342,13,0,0,136816,104700,68300,30330,4583,668,135883,98027,76715,38249,3253,430,5288,3093,5181,22033,90912,221048,37698,71592,70663,62317,58624,43196,84229,127933,75521,36822,14584,4875,300
0,3,8,6,9,51,1,3,6,17,25,67,0,2,34,22,34,55,99,16,23,7,3,13,61,49,41,11,16,4,10,12,32,0,0,0,7,22,27,0,0,0,0,9,65,37,58,41,65,29,15,19,29,53,175,0,0,0,0,30,100,0,0,0,2,147,0,6,153,29,6,36,362
