band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
4980,9964,26731,48869,98119,238919,55407,5172,15707,27492,38507,62127,247784,86200,10533,19941,32698,39950,75673,243265,60929,1762,3180,8527,30043,114847,248016,76614,16133,30513,52006,69678,145959,138129,30571,1142,55760,87797,98486,108478,64098,67228,1047,56983,86975,99734,104354,66196,67700,13593,32358,41520,50638,86833,188192,69855,936,1776,4458,17562,110486,293112,54659,25031,91392,106348,97967,69637,61131,31483,840,5609,49124,151765,155462,87555,32634,36572,85126,115150,130750,83711,29001,2679,80
0,42,2136,14308,51511,141666,49952,16,2568,17843,66227,89719,77438,5804,313,45691,73182,70712,49860,18210,1647,4589,4428,16022,50428,97023,82043,5082,11343,67347,70825,56605,36202,15775,1518,10068,66512,114067,50304,14368,4234,62,10214,66108,114812,50088,14294,4040,59,11508,71146,69051,52203,36500,16788,2419,1995,4223,17338,57336,122906,54122,1695,6294,3819,10974,33699,79765,104798,20266,195,2053,11701,28127,52972,95153,69414,35279,102274,68786,33857,14601,4462,356,178
4,2,1,1,0,1,5,9,6,7,1,6,8,12,4,9,19,8,12,10,15,58,13,4,4,3,0,2,51,19,12,9,4,3,0,2,12,20,2,0,0,0,2,14,21,5,0,0,0,0,22,53,27,15,31,13,73,14,15,10,8,19,29,86,3,1,1,0,0,10,70,0,0,0,0,3,57,0,0,52,40,4,3,20,339
3260,100928,208818,242512,217646,255938,145400,1891,19434,107309,195540,262920,359720,227688,4622,57807,110285,162854,235987,378221,224726,10970,17683,29221,47167,80455,270308,718698,3345,2649,43671,155451,260037,408623,300726,61,7709,117437,352367,390277,276102,30549,160,7772,110330,355964,395705,273477,31094,3135,36649,92236,145620,209524,355149,332189,6453,10406,20601,39660,116014,576549,404819,45117,117232,199194,218464,193887,246786,153822,115394,243671,421770,306196,70998,12197,4276,47122,224846,241784,222265,221117,144729,72639,469
3967,40789,51956,56397,53699,32456,3754,34816,78067,55842,38952,22493,11452,1396,64843,91416,43150,23377,14114,5444,674,44042,77593,57552,31828,18510,9216,4277,41897,68512,59181,37468,21136,12303,2521,79905,162089,1003,21,0,0,0,73666,168305,1029,18,0,0,0,46144,79371,53369,30295,19008,12796,2035,59616,71990,55411,33508,16017,5824,652,10132,4830,14390,30062,59194,84438,39972,2526,18380,33601,42294,48463,58443,39311,27995,56999,64563,43958,27377,16590,5536,352
52213,21054,10697,6947,4606,3043,450,37699,18460,12327,11696,11298,6890,640,30267,23844,12462,11831,12663,7392,551,11809,21437,16617,14544,17700,14037,2866,5263,24610,25925,21455,16064,5513,180,149,2896,2975,7821,27248,39865,18056,188,2895,2970,8826,26336,40404,17391,5015,28438,20753,17489,14689,11199,1427,26056,16093,11624,12652,21095,10698,792,690,2486,4485,9841,19862,39968,21678,1555,18002,35170,24354,11909,6708,1312,1883,21701,46191,24175,4704,306,50,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,17,0,6,1,2,5,4,43,16,10,5,3,4,3,182,2,4,3,0,0,0,310,12,5,9,3,0,0,0,120,4,0,0,0,0,0,159,9,0,0,0,0,313,271,111,55,18,39,5,770,61,22,12,10,26,25,89,0,0,0,0,0,154,425,0,0,0,0,0,43,5,9,68,49,9,3,228,598
57106,35127,11156,5212,3677,2348,1060,60331,33024,10195,5552,3122,2295,1023,67679,29369,9434,4405,2274,1742,498,20896,22158,20190,20807,16993,10369,3841,26044,48676,23973,11130,4032,955,50,31768,46090,28161,6287,1836,226,306,31751,46869,27792,5921,1802,236,303,27468,50650,19967,9845,4570,2111,392,36827,24532,24525,18510,8664,2907,425,1457,1542,1901,3923,10608,35890,59926,658,5633,15612,23716,30455,32529,6049,20327,50663,26897,10602,4577,1021,356,22
428398,178126,60033,24632,9402,2331,502,277906,179626,109083,76342,44313,15282,872,189577,151697,119259,103432,86474,50447,2538,41196,63692,127370,184470,181418,92084,13194,96949,74980,73775,86734,110519,142972,117495,3263,194628,235126,198200,62322,9721,164,3319,194772,230226,200043,65340,9545,179,119848,89141,84826,92999,114950,150091,51569,132750,149989,142670,122013,92123,59537,4342,7414,5501,36511,118544,171013,169724,194717,406415,102697,64536,47758,37563,26946,17509,105893,88775,76667,69998,76011,84892,201188,574
