band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,census_code
4201,6956,18028,35011,51903,112860,223257,30773,4264,11651,21531,28651,40496,75100,258216,43080,9006,15450,25578,32827,40440,95068,230064,34556,1525,2277,5443,14600,46275,140677,219861,52331,12899,24878,39732,52108,79022,151243,100581,22526,239,33315,73640,79107,99201,80260,58897,58330,250,37566,75143,73291,98750,83499,56660,57830,11156,25238,33477,41615,50513,102654,165157,53179,828,1215,2862,7626,32208,158570,248506,31174,16069,74125,95671,89450,74648,55368,53184,24474,660,3034,23247,93215,154795,115362,69039,23637,27908,71309,90040,115084,102337,55181,19614,1516,80
0,8,591,6400,22362,61918,141608,26728,2,1080,10380,38588,69749,77296,59683,2837,93,27709,63709,63529,57736,33989,11763,1087,4279,3081,9323,28348,59949,94732,57493,2410,7156,53569,63159,56314,42274,26028,10159,956,7399,49639,76394,90146,23213,10259,2541,24,7699,50797,85527,79387,23787,10493,1906,19,7161,57714,63146,52076,39986,26564,11211,1757,1673,2813,9683,28435,74852,114204,26844,1111,5917,2872,7109,17993,44785,81844,88794,10301,131,1171,6419,18058,32512,56368,92883,52073,21370,94318,69543,41447,20597,9278,2868,194,178
4,2,1,0,1,0,2,4,7,8,5,3,1,5,8,12,4,8,15,9,10,8,12,11,58,9,6,6,1,2,0,2,45,19,15,6,8,3,2,0,0,12,14,10,0,0,0,0,2,10,20,10,0,0,0,0,0,6,55,25,19,21,22,13,66,17,12,13,7,9,23,21,84,5,0,2,0,0,0,10,70,0,0,0,0,1,2,57,0,0,9,72,13,4,1,20,339
1668,63853,164286,204037,203614,189184,245010,102850,1610,9640,65599,144520,198396,242593,358098,154046,2638,40808,82817,121299,165981,234397,375627,150935,9387,14069,21753,33811,50247,89185,310682,645368,3230,1506,17674,91448,176721,260527,382761,240635,0,3669,37506,239226,334287,327880,212603,19331,0,4257,44169,228007,334310,353076,192080,18603,2868,22121,65625,108920,146767,210267,345961,271973,5720,7789,14474,25772,50391,161632,644311,264413,34297,90556,159960,191911,174145,178342,222750,122541,93558,192266,318680,370128,154701,34422,6859,3888,30914,173997,225146,192748,199852,178724,113387,59734,469
2225,31996,41959,45204,53538,41681,24069,2346,22923,73646,53713,39851,26998,17085,7709,1093,46439,93372,46437,26912,15645,10623,3092,498,35615,68343,57798,35147,22067,13218,7295,3535,33916,59450,57321,40035,25569,15714,9459,1554,39397,198491,5031,98,1,0,0,0,39037,199864,4043,73,1,0,0,0,36648,71157,53928,34542,20822,14889,9784,1248,49664,64388,54345,37380,21868,11312,3563,498,9691,3493,9922,18804,35517,60895,74199,30497,1745,12930,25718,34745,38698,46234,50688,32260,23472,44954,58663,47242,30940,20260,13877,3610,352
47931,21200,11708,6702,5356,3536,2295,282,33701,19391,9413,12019,8448,10375,5344,319,26623,23890,11227,10163,11303,10250,5311,243,9225,19355,15527,12023,14929,15136,10880,1935,3681,18477,24113,20741,17243,11509,3141,105,53,2224,1954,4658,11067,27921,37973,13160,71,2425,1920,4580,11387,32224,34303,12100,3283,21738,22813,14560,14978,13255,7574,809,22876,16524,9876,10240,14051,17850,7191,402,447,2029,3130,6125,11640,21736,37809,16094,1040,11417,29134,27242,15581,8572,5245,779,1268,12800,39293,31826,11813,1814,157,39,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,15,2,4,2,1,3,4,4,38,13,17,3,5,1,4,3,182,0,2,6,1,0,0,0,300,22,0,7,9,1,0,0,0,72,52,0,0,0,0,0,0,104,64,0,0,0,0,0,282,223,155,72,24,22,34,0,761,55,32,10,10,11,31,16,89,0,0,0,0,0,0,154,425,0,0,0,0,0,0,43,5,7,26,83,15,5,6,224,598
47780,38669,14164,5599,4115,2638,1873,848,48954,41245,10682,5861,3737,2343,2034,686,58950,34170,10656,5393,2689,1809,1467,267,18061,20578,16653,17303,18359,12797,8556,2947,18211,47680,25909,14058,6032,2387,556,27,27968,30040,40677,11197,3460,874,180,278,28317,35071,37231,9304,3396,911,172,272,19419,50703,22060,11535,6368,3097,1597,224,34280,20840,22975,18469,11977,5566,2043,240,1191,1396,1490,2364,5109,13105,39312,51280,436,3628,10664,18178,23118,29059,25557,4012,14090,45689,30662,13775,6559,2655,734,279,22
381678,202969,65807,30376,15133,5629,1462,370,246295,177002,112137,76169,51944,30417,8933,527,168640,139086,108436,96995,85229,69130,34958,950,36141,48815,90302,148634,165475,141258,63876,8923,83950,70284,62468,68996,85200,105384,129496,97646,360,140833,177704,227612,118750,32121,5979,65,1058,149131,184282,209747,120959,33895,4292,60,107863,80036,74265,77338,85831,112218,128403,37470,114551,126478,134250,114220,95186,73866,42955,1918,7091,3351,19167,67956,132039,153133,145132,175555,387507,101327,63001,47475,37377,30515,21234,14988,91180,82983,69708,62422,62443,67345,82124,185219,574
183,22440,63745,107711,158366,223778,239792,57252,805,23643,66910,108040,148802,212013,270319,42735,1564,19129,56970,108304,161058,235721,257749,32772,134744,102381,92372,97341,114874,144946,142869,43740,24168,61629,106035,132301,160362,195114,155781,37877,0,7530,19718,44682,73595,138993,265282,323467,0,8552,21682,43372,74677,154663,251566,318755,16291,18290,69441,132143,162140,206674,226276,42012,45803,63690,78407,96628,145659,194131,213238,35711,161781,237806,147743,103109,87752,73622,51480,9974,2312,38421,154896,183594,131576,138136,179020,45312,13601,38968,101472,187327,216813,187229,105848,22009,474
327074,4192,502,231,153,123,132,626,325635,5352,695,317,185,152,201,496,323476,7615,853,260,149,155,313,212,28449,31390,35316,40876,44667,49791,53695,48849,123925,126538,65020,14220,2204,598,296,232,100750,222357,9470,385,61,9,1,0,104400,220494,7716,351,59,12,1,0,241916,80663,6614,2192,907,367,201,173,142923,82215,56496,27306,14290,7390,1989,424,22,49,79,184,479,1839,10485,319896,36484,59089,60339,49536,40707,36926,32565,17387,162458,152908,13128,2756,999,430,220,134,281
275782,97213,16593,5874,2516,851,694,438,321751,59957,11770,3372,1439,729,672,271,311080,67085,13201,4792,1979,1033,662,129,19097,45368,87193,105670,73658,38721,20884,9370,168915,106132,54032,32088,19133,11673,6164,1824,109,134227,229253,33136,2848,368,20,0,759,161974,207088,26930,2825,369,16,0,227224,97247,38763,18317,9525,5845,2580,460,157277,158218,57238,18109,6201,1978,782,158,4467,942,1272,2336,5384,16985,72084,296491,37899,35254,39425,41404,46721,72372,94828,32058,162924,115901,54108,26264,15184,9429,6927,9224,569
242,1840,16882,49059,73457,50956,54299,12297,294,6405,41769,56859,66702,66698,20007,298,1254,31240,104914,73794,33623,11608,2546,53,5949,25066,44036,63796,69457,36832,12238,1658,2805,81242,102077,44183,16970,7652,3426,677,23776,155221,56643,15307,5699,1838,446,102,25018,163543,49320,13240,5557,1917,345,92,5337,87719,90975,42449,18424,8802,4261,1065,1315,6479,25245,82831,99959,38855,4260,88,1074,5651,12373,22834,44537,86324,77788,8451,391,1333,4416,8944,17107,46690,134337,45814,9009,104547,88299,32416,12835,6544,3632,1750,229
1372,23550,31930,31158,51159,56415,61103,17886,2625,37719,38288,38545,48530,61841,44443,2582,4108,53488,67522,51406,47050,36539,12999,1461,15425,34395,47708,75416,68218,26538,6003,870,5413,47187,77235,59280,35578,24171,18190,7519,29381,120470,93743,24947,3324,1561,1129,18,30375,125499,91428,21084,3438,1696,1042,11,6686,57833,71086,49774,33908,25560,20984,8742,16921,26401,15878,52754,95607,50560,14880,1572,1715,13654,24929,32695,51658,91310,53562,5050,1606,13938,27520,32297,36212,54667,85597,22736,3956,58653,75737,47891,32339,23064,18434,14499,237
48558,238261,135688,100793,58377,25798,9293,827,37470,177946,122483,100425,88525,61667,27904,1175,46157,117871,77301,75245,90170,106773,97580,6498,68014,80097,82454,94864,114248,112865,58160,6893,58347,50587,34334,46366,64740,87033,112329,163859,0,65220,113964,126555,183077,117397,11372,10,0,73597,112337,117487,181404,123664,9099,7,74678,49245,34224,45041,63941,93438,148132,108896,52780,87192,121164,101396,90835,85686,72622,5920,6756,67382,142875,102893,75293,69769,90883,61744,333744,81961,42192,24748,19720,24580,49691,40959,49637,70761,34944,28176,30464,37224,52140,314249,567
475486,56669,7934,3176,1284,384,70,212,506492,29717,5901,2140,609,128,75,153,516055,21991,4889,1613,400,113,75,79,72265,67968,75414,75389,65507,63669,59453,65550,260013,171004,81726,22135,6829,2697,752,59,478973,65328,898,16,0,0,0,0,483918,60539,744,14,0,0,0,0,420534,98857,15690,5979,2733,1065,331,26,264085,132402,73966,39569,20447,10677,3810,259,2162,614,778,1243,3296,9661,33924,493537,34528,58657,68660,67158,67904,80233,98200,69875,296088,193846,32410,11308,5390,2794,1559,1820,315
0,0,0,0,0,0,0,0,0,0,0,6,14,10,4,71,0,0,1,31,13,4,42,70,88,37,10,10,27,20,8,38,63,25,43,18,42,14,8,32,0,0,0,8,66,2,0,0,0,0,0,5,75,0,0,0,0,0,62,35,19,50,68,60,79,15,9,15,20,30,46,94,182,2,0,0,0,0,0,110,200,0,0,0,0,1,2,117,0,2,56,190,15,4,3,10,582
14453,19990,23405,20355,23234,16618,9899,1275,7596,12886,9907,19416,19702,34940,23881,901,6305,13841,12729,15545,22386,33059,24836,528,1828,6509,8618,11332,24767,39299,31999,4877,2054,6093,15940,26536,36502,33377,8490,237,2,2251,1006,3262,5112,22118,57339,38139,2,2340,1091,3113,5310,27031,54554,35788,1754,6535,14851,16917,25386,35389,25970,2427,4033,6957,6304,10767,26018,51032,23245,873,1470,7699,12150,18693,24740,29230,27962,7285,444,4059,27836,38871,26505,16751,12271,2492,2550,14948,39673,44217,21227,5646,894,74,52
0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,10,4,3,2,0,1,0,1,38,24,4,5,7,4,2,7,38,36,10,14,10,4,9,10,45,61,17,0,0,0,0,0,0,98,14,0,0,0,0,0,0,48,53,37,46,35,37,52,136,138,27,20,17,13,21,45,200,56,0,4,1,3,1,1,60,177,0,0,0,0,0,4,15,13,14,6,35,15,8,9,86,26
0,0,0,0,0,0,0,0,4,0,2,0,2,0,4,2,8,9,10,8,10,18,18,9,125,6,1,2,5,2,7,0,101,41,15,1,9,9,0,0,0,14,18,16,13,1,0,0,0,14,27,11,18,0,0,0,28,35,66,46,40,15,19,16,147,27,19,27,16,4,16,32,93,4,0,0,0,0,0,79,230,0,0,0,0,0,0,15,4,7,20,101,9,1,1,39,180
199434,292704,101368,23459,4234,731,70,5,148104,202091,152794,86051,24882,7214,865,4,53908,165451,148416,127484,94800,28765,3174,7,246807,201320,87864,45635,25956,11375,2958,90,11486,75587,158553,205018,120406,37787,11496,1672,1260,10633,14376,36679,49729,67781,107360,334187,1547,11318,15378,35059,48848,72133,103384,334338,16431,64452,118450,171059,154785,72796,21557,2475,172293,237125,143048,49368,14366,4768,1026,11,12814,129865,124449,87694,71479,67434,76269,52001,73313,107268,126879,117509,92874,73059,26417,4686,5529,43559,51243,74041,125111,146507,112424,63591,453
749,54718,115158,109581,69252,41924,22688,1051,1008,38746,99302,110297,85183,52229,27883,473,2419,83735,129847,89812,57340,37854,13885,229,3381,12136,34413,83212,123984,105363,45666,6966,4543,32383,95698,125244,91994,46019,16960,2280,2489,15433,83396,152178,101611,44780,13993,1241,2609,19090,87414,142196,102337,48205,12051,1219,3905,47466,98507,97024,76436,56131,30155,5497,2630,18008,66454,110981,111990,80139,24425,494,1910,5653,11789,22622,55373,134348,163972,19454,894,11633,50387,93893,112971,92509,44756,8078,3699,86046,158892,94785,46351,18249,6263,836,135
749,54718,115158,109581,69252,41924,22688,1051,1008,38746,99302,110297,85183,52229,27883,473,2419,83735,129847,89812,57340,37854,13885,229,3381,12136,34413,83212,123984,105363,45666,6966,4543,32383,95698,125244,91994,46019,16960,2280,2489,15433,83396,152178,101611,44780,13993,1241,2609,19090,87414,142196,102337,48205,12051,1219,3905,47466,98507,97024,76436,56131,30155,5497,2630,18008,66454,110981,111990,80139,24425,494,1910,5653,11789,22622,55373,134348,163972,19454,894,11633,50387,93893,112971,92509,44756,8078,3699,86046,158892,94785,46351,18249,6263,836,135
10319,97601,105897,92914,95734,58147,15738,4306,36888,157877,113143,89275,51203,22957,5062,4251,94868,167579,105642,61099,32845,11644,2941,4038,25065,98299,165951,119956,50640,13232,4349,3164,31170,99479,97112,91300,76450,55615,23605,5925,376,121427,241752,107295,8491,1311,2,2,428,143335,235131,92303,8204,1252,1,2,69508,123810,100710,78529,55153,34743,12871,5332,39824,165225,148101,77498,32101,11397,2584,3926,7545,8290,13132,29619,70030,123820,144545,83675,12501,61638,82723,81131,78508,81898,62226,20031,12479,105274,91924,83305,68154,52159,38306,29055,383
251375,461361,121226,29489,5535,774,178,44,424623,344073,78973,18375,3420,421,79,18,311554,323563,144942,64368,21250,3911,384,10,205715,339167,183724,75760,34774,18477,10058,2307,100300,188395,176596,147492,129034,93008,33401,1756,2,46989,295133,290243,163485,55000,15161,3969,3,50717,307766,268952,167030,58594,13086,3834,142965,257664,172918,131739,101580,54799,8176,141,399172,306666,113923,37140,9834,2577,651,19,13539,17947,31240,56423,103797,177023,297737,172276,196713,170951,136664,109536,87087,80235,59682,29114,37757,160183,173387,120689,92940,76655,71704,136667,528
123680,856,239,126,85,111,195,625,121980,2129,484,255,181,168,252,468,120621,3357,707,371,218,165,302,176,18791,9807,8638,9109,10772,13559,20307,34934,54594,34515,23090,9430,2701,1026,374,187,105140,20053,661,48,14,1,0,0,105424,19880,557,42,14,0,0,0,88772,29793,3968,1672,818,527,226,141,55321,19677,16206,14607,11349,6104,2067,586,2,52,50,119,352,991,3537,120814,36173,21855,15746,11889,9723,9614,10788,10129,84207,33975,5170,1479,501,233,180,172,285
