band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,census_code
3329,5765,11721,23450,40290,61974,134001,187508,14951,3351,10177,15764,23448,30223,39365,92260,248337,20064,7297,13137,20171,27082,30264,46105,116695,203266,18972,1332,1853,3602,8342,22812,65558,155749,188938,34803,10076,21397,30592,43294,53646,95399,137502,73938,17145,49,22327,61159,70199,68136,99510,60608,50732,50269,99,25282,61815,67563,71554,92603,64545,49609,49919,9327,20364,28316,34245,39542,54934,118062,135979,42220,725,955,2029,4161,12433,57658,188685,198954,17389,9678,61736,81988,82225,75669,58648,46841,46417,19787,538,1928,11614,53124,119772,132145,88714,58366,16788,21799,60795,73101,95905,102985,76091,37443,13964,906,80
0,3,184,2736,12300,29853,69610,133777,11152,1,367,5277,23079,51630,64874,68143,44351,1893,48,14000,55912,55836,57428,44347,23518,7790,736,4041,2357,5961,16815,38575,66125,85983,38543,1215,5216,40613,57712,52931,44389,31726,19508,6914,606,4973,37236,55229,101557,37803,14488,7406,916,7,6088,39329,55864,99054,37717,13818,6837,902,6,5071,44526,57162,51695,40283,31454,20398,7622,1404,1537,1961,6060,17515,43205,85362,90736,12508,731,5604,2390,4631,10947,25553,53586,78463,73261,5180,102,724,3665,11706,21865,35249,58015,90999,37290,12735,84491,67302,46964,26141,13827,6145,1893,117,178
3,2,2,0,1,0,0,2,4,7,8,2,6,0,4,3,10,9,1,10,11,11,5,9,9,14,7,58,8,6,4,3,2,1,0,2,44,18,14,7,8,4,1,2,0,0,7,13,15,1,0,0,0,0,1,9,15,15,2,0,0,0,0,0,1,44,31,23,15,18,21,8,62,19,9,12,9,5,10,23,19,83,6,0,2,0,0,0,0,10,70,0,0,0,0,0,1,3,56,0,0,1,59,30,5,3,1,20,339
1177,42128,124520,176177,183782,170228,173319,231059,72112,1469,5060,38362,98899,155698,191786,231902,357001,94325,1790,29110,63786,92598,126642,167740,230515,365950,96371,8173,11635,16861,25468,37334,53631,99356,346530,575514,3125,1071,6668,49676,121310,183248,262776,348422,198206,0,2360,15907,130838,260767,330548,289593,131697,12792,0,2750,17314,130641,269914,319507,289328,132825,12223,2803,13010,48592,80561,113440,148224,209793,334245,223834,5128,5952,11230,18042,30919,66356,211394,659397,166084,26801,73464,122820,166527,168255,148540,169063,199771,99261,77887,157602,241438,353126,238209,77992,20390,4229,3629,20357,134387,204513,178635,172372,178072,143091,92929,50146,469
1123,23055,39139,37648,44727,42492,35608,17678,1548,15455,67888,49168,42274,29120,20189,13292,4767,865,32980,90727,50676,28498,18172,11650,8202,1757,356,30305,57070,56755,39775,23850,16680,9722,5956,2905,28339,50810,53080,42859,28724,18483,12273,7484,966,14783,213679,14268,277,10,1,0,0,0,17767,213800,11207,234,9,1,0,0,0,30399,62371,53301,36999,23632,15821,12308,7317,870,41584,60446,50356,38805,25953,14785,8387,2350,352,9307,2847,6507,13395,22989,39986,59751,64310,23926,1290,9154,20161,28242,32961,35733,44198,44614,26665,20417,35866,51567,47690,34180,23503,15373,12121,2301,352
43659,21468,12123,6932,5657,4251,2869,1879,172,29334,20825,9205,9235,8946,10226,7449,3644,146,20877,25799,11296,10326,8444,9473,9351,3329,115,7204,17701,14554,10782,11971,13298,13751,8417,1332,2635,14076,21811,19599,17116,13662,8372,1668,71,15,1678,1920,3019,5098,17537,32713,27797,9233,20,1852,1802,3006,5672,18824,29381,30282,8171,2155,17116,21950,14975,13957,11854,10718,5792,493,19478,17066,9672,7710,10600,15482,13960,4850,192,304,1686,2320,4003,7690,13102,23392,34383,12130,805,7178,23050,27332,18512,10844,6623,4135,531,977,7936,30662,34231,18692,5621,760,95,36,69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256
0,0,0,0,0,0,0,0,0,15,2,3,3,1,1,4,2,4,35,16,12,6,3,5,0,4,3,182,0,2,4,3,0,0,0,0,295,25,2,5,8,4,0,0,0,0,25,99,0,0,0,0,0,0,0,41,127,0,0,0,0,0,0,246,221,176,60,46,9,25,29,0,753,59,30,14,9,7,9,35,10,89,0,0,0,0,0,0,0,154,425,0,0,0,0,0,0,0,43,5,3,9,81,30,10,3,8,222,598
38455,39678,18148,8400,3673,3044,1955,1697,636,41766,43954,12205,6367,4421,2680,1897,1820,432,49274,39783,12379,5582,3660,1855,1436,1314,118,15550,18428,16521,15278,15104,14821,10782,6377,2393,13541,44121,26694,16166,8596,3815,1576,333,18,22679,23746,43696,17228,4243,2263,431,142,246,24199,25905,42015,15276,4377,2083,427,153,239,13380,49049,24224,12812,7606,4252,2283,1257,140,30260,19716,19558,19711,13464,8345,3721,1535,80,983,1359,1174,1684,2963,6383,15456,41847,43398,294,2430,7447,14017,18342,22240,27437,19467,2978,9709,40512,32541,16705,8203,4444,1529,582,218,22
349507,205830,78788,35866,18683,9842,3582,1024,302,217259,171680,106263,78133,63612,39520,21398,5237,322,153588,123746,107051,88523,82027,69255,54221,24557,456,32350,38190,69524,110434,141412,152371,107289,45577,6277,72384,68159,55055,59324,66462,81306,100978,116647,83109,167,104200,151541,201132,150125,75678,18635,1922,24,837,111065,151548,197203,150484,72859,17303,2101,24,98176,72571,67370,64887,72685,84057,107327,110015,26336,96771,122771,110723,114239,91045,75179,60307,31553,836,6871,2440,9976,38020,93510,129650,136335,125829,160793,370830,100284,61883,46466,37187,30572,25555,17430,13217,78261,79769,63337,57822,54357,57668,59276,82058,170876,574
