band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,census_code
48195,47946,48574,48160,48454,48461,48185,48252,48391,48371,48195,47946,48574,48160,48454,48461,48185,48252,48391,48371,48195,47946,48574,48160,48454,48461,48185,48252,48391,48371,48195,47946,48574,48160,48454,48461,48185,48252,48391,48371,48195,47946,48574,48160,48454,48461,48185,48252,48391,48371,48195,47946,48574,48160,48454,48461,48185,48252,48391,48371,48195,47946,48574,48160,48454,48461,48185,48252,48391,48371,48195,47946,48574,48160,48454,48461,48185,48252,48391,48371,48195,47946,48574,48160,48454,48461,48185,48252,48391,48371,48195,47946,48574,48160,48454,48461,48185,48252,48391,48371,48195,47946,48574,48160,48454,48461,48185,48252,48391,48371,48195,47946,48574,48160,48454,48461,48185,48252,48391,48371,80
23258,27482,27105,25637,26306,25817,25198,26008,22874,29930,23258,27482,27105,25637,26306,25817,25198,26008,22874,29930,23258,27482,27105,25637,26306,25817,25198,26008,22874,29930,23258,27482,27105,25637,26306,25817,25198,26008,22874,29930,23258,27482,27105,25637,26306,25817,25198,26008,22874,29930,23258,27482,27105,25637,26306,25817,25198,26008,22874,29930,23258,27482,27105,25637,26306,25817,25198,26008,22874,29930,23258,27482,27105,25637,26306,25817,25198,26008,22874,29930,23258,27482,27105,25637,26306,25817,25198,26008,22874,29930,23258,27482,27105,25637,26306,25817,25198,26008,22874,29930,23258,27482,27105,25637,26306,25817,25198,26008,22874,29930,23258,27482,27105,25637,26306,25817,25198,26008,22874,29930,178
137488,151845,142585,146073,63889,179760,191682,140582,144314,149875,137488,151845,142585,146073,63889,179760,191682,140582,144314,149875,137488,151845,142585,146073,63889,179760,191682,140582,144314,149875,137488,151845,142585,146073,63889,179760,191682,140582,144314,149875,137488,151845,142585,146073,63889,179760,191682,140582,144314,149875,137488,151845,142585,146073,63889,179760,191682,140582,144314,149875,137488,151845,142585,146073,63889,179760,191682,140582,144314,149875,137488,151845,142585,146073,63889,179760,191682,140582,144314,149875,137488,151845,142585,146073,63889,179760,191682,140582,144314,149875,137488,151845,142585,146073,63889,179760,191682,140582,144314,149875,137488,151845,142585,146073,63889,179760,191682,140582,144314,149875,137488,151845,142585,146073,63889,179760,191682,140582,144314,149875,339
116424,117529,118301,114656,119833,117771,117582,114373,120249,117784,116424,117529,118301,114656,119833,117771,117582,114373,120249,117784,116424,117529,118301,114656,119833,117771,117582,114373,120249,117784,116424,117529,118301,114656,119833,117771,117582,114373,120249,117784,116424,117529,118301,114656,119833,117771,117582,114373,120249,117784,116424,117529,118301,114656,119833,117771,117582,114373,120249,117784,116424,117529,118301,114656,119833,117771,117582,114373,120249,117784,116424,117529,118301,114656,119833,117771,117582,114373,120249,117784,116424,117529,118301,114656,119833,117771,117582,114373,120249,117784,116424,117529,118301,114656,119833,117771,117582,114373,120249,117784,116424,117529,118301,114656,119833,117771,117582,114373,120249,117784,116424,117529,118301,114656,119833,117771,117582,114373,120249,117784,469
19758,25849,27255,16046,17240,20404,42427,20670,28987,24382,19758,25849,27255,16046,17240,20404,42427,20670,28987,24382,19758,25849,27255,16046,17240,20404,42427,20670,28987,24382,19758,25849,27255,16046,17240,20404,42427,20670,28987,24382,19758,25849,27255,16046,17240,20404,42427,20670,28987,24382,19758,25849,27255,16046,17240,20404,42427,20670,28987,24382,19758,25849,27255,16046,17240,20404,42427,20670,28987,24382,19758,25849,27255,16046,17240,20404,42427,20670,28987,24382,19758,25849,27255,16046,17240,20404,42427,20670,28987,24382,19758,25849,27255,16046,17240,20404,42427,20670,28987,24382,19758,25849,27255,16046,17240,20404,42427,20670,28987,24382,19758,25849,27255,16046,17240,20404,42427,20670,28987,24382,352
9878,9865,9916,9867,9951,9855,9974,9889,9914,9901,9878,9865,9916,9867,9951,9855,9974,9889,9914,9901,9878,9865,9916,9867,9951,9855,9974,9889,9914,9901,9878,9865,9916,9867,9951,9855,9974,9889,9914,9901,9878,9865,9916,9867,9951,9855,9974,9889,9914,9901,9878,9865,9916,9867,9951,9855,9974,9889,9914,9901,9878,9865,9916,9867,9951,9855,9974,9889,9914,9901,9878,9865,9916,9867,9951,9855,9974,9889,9914,9901,9878,9865,9916,9867,9951,9855,9974,9889,9914,9901,9878,9865,9916,9867,9951,9855,9974,9889,9914,9901,9878,9865,9916,9867,9951,9855,9974,9889,9914,9901,9878,9865,9916,9867,9951,9855,9974,9889,9914,9901,69
846238,847582,837195,860975,848302,846823,849306,848064,848026,848097,846238,847582,837195,860975,848302,846823,849306,848064,848026,848097,846238,847582,837195,860975,848302,846823,849306,848064,848026,848097,846238,847582,837195,860975,848302,846823,849306,848064,848026,848097,846238,847582,837195,860975,848302,846823,849306,848064,848026,848097,846238,847582,837195,860975,848302,846823,849306,848064,848026,848097,846238,847582,837195,860975,848302,846823,849306,848064,848026,848097,846238,847582,837195,860975,848302,846823,849306,848064,848026,848097,846238,847582,837195,860975,848302,846823,849306,848064,848026,848097,846238,847582,837195,860975,848302,846823,849306,848064,848026,848097,846238,847582,837195,860975,848302,846823,849306,848064,848026,848097,846238,847582,837195,860975,848302,846823,849306,848064,848026,848097,256
76833,52598,99955,78300,72305,80399,78011,69714,84174,76930,76833,52598,99955,78300,72305,80399,78011,69714,84174,76930,76833,52598,99955,78300,72305,80399,78011,69714,84174,76930,76833,52598,99955,78300,72305,80399,78011,69714,84174,76930,76833,52598,99955,78300,72305,80399,78011,69714,84174,76930,76833,52598,99955,78300,72305,80399,78011,69714,84174,76930,76833,52598,99955,78300,72305,80399,78011,69714,84174,76930,76833,52598,99955,78300,72305,80399,78011,69714,84174,76930,76833,52598,99955,78300,72305,80399,78011,69714,84174,76930,76833,52598,99955,78300,72305,80399,78011,69714,84174,76930,76833,52598,99955,78300,72305,80399,78011,69714,84174,76930,76833,52598,99955,78300,72305,80399,78011,69714,84174,76930,598
11641,10641,12563,11857,11534,11768,11594,11901,11673,11708,11641,10641,12563,11857,11534,11768,11594,11901,11673,11708,11641,10641,12563,11857,11534,11768,11594,11901,11673,11708,11641,10641,12563,11857,11534,11768,11594,11901,11673,11708,11641,10641,12563,11857,11534,11768,11594,11901,11673,11708,11641,10641,12563,11857,11534,11768,11594,11901,11673,11708,11641,10641,12563,11857,11534,11768,11594,11901,11673,11708,11641,10641,12563,11857,11534,11768,11594,11901,11673,11708,11641,10641,12563,11857,11534,11768,11594,11901,11673,11708,11641,10641,12563,11857,11534,11768,11594,11901,11673,11708,11641,10641,12563,11857,11534,11768,11594,11901,11673,11708,11641,10641,12563,11857,11534,11768,11594,11901,11673,11708,22
69325,71224,70274,70205,69351,69943,72073,70081,70492,70456,69325,71224,70274,70205,69351,69943,72073,70081,70492,70456,69325,71224,70274,70205,69351,69943,72073,70081,70492,70456,69325,71224,70274,70205,69351,69943,72073,70081,70492,70456,69325,71224,70274,70205,69351,69943,72073,70081,70492,70456,69325,71224,70274,70205,69351,69943,72073,70081,70492,70456,69325,71224,70274,70205,69351,69943,72073,70081,70492,70456,69325,71224,70274,70205,69351,69943,72073,70081,70492,70456,69325,71224,70274,70205,69351,69943,72073,70081,70492,70456,69325,71224,70274,70205,69351,69943,72073,70081,70492,70456,69325,71224,70274,70205,69351,69943,72073,70081,70492,70456,69325,71224,70274,70205,69351,69943,72073,70081,70492,70456,574
87310,87165,86537,88282,83232,91434,85609,84687,91679,87332,87310,87165,86537,88282,83232,91434,85609,84687,91679,87332,87310,87165,86537,88282,83232,91434,85609,84687,91679,87332,87310,87165,86537,88282,83232,91434,85609,84687,91679,87332,87310,87165,86537,88282,83232,91434,85609,84687,91679,87332,87310,87165,86537,88282,83232,91434,85609,84687,91679,87332,87310,87165,86537,88282,83232,91434,85609,84687,91679,87332,87310,87165,86537,88282,83232,91434,85609,84687,91679,87332,87310,87165,86537,88282,83232,91434,85609,84687,91679,87332,87310,87165,86537,88282,83232,91434,85609,84687,91679,87332,87310,87165,86537,88282,83232,91434,85609,84687,91679,87332,87310,87165,86537,88282,83232,91434,85609,84687,91679,87332,474
29758,32828,37043,31119,35564,28894,33700,34470,27536,42121,29758,32828,37043,31119,35564,28894,33700,34470,27536,42121,29758,32828,37043,31119,35564,28894,33700,34470,27536,42121,29758,32828,37043,31119,35564,28894,33700,34470,27536,42121,29758,32828,37043,31119,35564,28894,33700,34470,27536,42121,29758,32828,37043,31119,35564,28894,33700,34470,27536,42121,29758,32828,37043,31119,35564,28894,33700,34470,27536,42121,29758,32828,37043,31119,35564,28894,33700,34470,27536,42121,29758,32828,37043,31119,35564,28894,33700,34470,27536,42121,29758,32828,37043,31119,35564,28894,33700,34470,27536,42121,29758,32828,37043,31119,35564,28894,33700,34470,27536,42121,29758,32828,37043,31119,35564,28894,33700,34470,27536,42121,281
39847,39558,39202,41377,37681,35700,41457,45144,39807,40188,39847,39558,39202,41377,37681,35700,41457,45144,39807,40188,39847,39558,39202,41377,37681,35700,41457,45144,39807,40188,39847,39558,39202,41377,37681,35700,41457,45144,39807,40188,39847,39558,39202,41377,37681,35700,41457,45144,39807,40188,39847,39558,39202,41377,37681,35700,41457,45144,39807,40188,39847,39558,39202,41377,37681,35700,41457,45144,39807,40188,39847,39558,39202,41377,37681,35700,41457,45144,39807,40188,39847,39558,39202,41377,37681,35700,41457,45144,39807,40188,39847,39558,39202,41377,37681,35700,41457,45144,39807,40188,39847,39558,39202,41377,37681,35700,41457,45144,39807,40188,39847,39558,39202,41377,37681,35700,41457,45144,39807,40188,569
25707,23374,28610,24870,26780,25979,25973,22957,28757,26025,25707,23374,28610,24870,26780,25979,25973,22957,28757,26025,25707,23374,28610,24870,26780,25979,25973,22957,28757,26025,25707,23374,28610,24870,26780,25979,25973,22957,28757,26025,25707,23374,28610,24870,26780,25979,25973,22957,28757,26025,25707,23374,28610,24870,26780,25979,25973,22957,28757,26025,25707,23374,28610,24870,26780,25979,25973,22957,28757,26025,25707,23374,28610,24870,26780,25979,25973,22957,28757,26025,25707,23374,28610,24870,26780,25979,25973,22957,28757,26025,25707,23374,28610,24870,26780,25979,25973,22957,28757,26025,25707,23374,28610,24870,26780,25979,25973,22957,28757,26025,25707,23374,28610,24870,26780,25979,25973,22957,28757,26025,229
27146,27658,26539,28346,27177,27877,27047,27672,27288,27823,27146,27658,26539,28346,27177,27877,27047,27672,27288,27823,27146,27658,26539,28346,27177,27877,27047,27672,27288,27823,27146,27658,26539,28346,27177,27877,27047,27672,27288,27823,27146,27658,26539,28346,27177,27877,27047,27672,27288,27823,27146,27658,26539,28346,27177,27877,27047,27672,27288,27823,27146,27658,26539,28346,27177,27877,27047,27672,27288,27823,27146,27658,26539,28346,27177,27877,27047,27672,27288,27823,27146,27658,26539,28346,27177,27877,27047,27672,27288,27823,27146,27658,26539,28346,27177,27877,27047,27672,27288,27823,27146,27658,26539,28346,27177,27877,27047,27672,27288,27823,27146,27658,26539,28346,27177,27877,27047,27672,27288,27823,237
61759,61585,61089,61667,62558,61630,61854,61859,61741,61853,61759,61585,61089,61667,62558,61630,61854,61859,61741,61853,61759,61585,61089,61667,62558,61630,61854,61859,61741,61853,61759,61585,61089,61667,62558,61630,61854,61859,61741,61853,61759,61585,61089,61667,62558,61630,61854,61859,61741,61853,61759,61585,61089,61667,62558,61630,61854,61859,61741,61853,61759,61585,61089,61667,62558,61630,61854,61859,61741,61853,61759,61585,61089,61667,62558,61630,61854,61859,61741,61853,61759,61585,61089,61667,62558,61630,61854,61859,61741,61853,61759,61585,61089,61667,62558,61630,61854,61859,61741,61853,61759,61585,61089,61667,62558,61630,61854,61859,61741,61853,61759,61585,61089,61667,62558,61630,61854,61859,61741,61853,567
