band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,census_code
43714,43418,44301,41644,42819,47522,43336,44386,43704,44058,44087,43714,43418,44301,41644,42819,47522,43336,44386,43704,44058,44087,43714,43418,44301,41644,42819,47522,43336,44386,43704,44058,44087,43714,43418,44301,41644,42819,47522,43336,44386,43704,44058,44087,43714,43418,44301,41644,42819,47522,43336,44386,43704,44058,44087,43714,43418,44301,41644,42819,47522,43336,44386,43704,44058,44087,43714,43418,44301,41644,42819,47522,43336,44386,43704,44058,44087,43714,43418,44301,41644,42819,47522,43336,44386,43704,44058,44087,43714,43418,44301,41644,42819,47522,43336,44386,43704,44058,44087,43714,43418,44301,41644,42819,47522,43336,44386,43704,44058,44087,43714,43418,44301,41644,42819,47522,43336,44386,43704,44058,44087,43714,43418,44301,41644,42819,47522,43336,44386,43704,44058,44087,80
23258,23022,24136,23973,23524,23341,23907,23534,18116,29069,23735,23258,23022,24136,23973,23524,23341,23907,23534,18116,29069,23735,23258,23022,24136,23973,23524,23341,23907,23534,18116,29069,23735,23258,23022,24136,23973,23524,23341,23907,23534,18116,29069,23735,23258,23022,24136,23973,23524,23341,23907,23534,18116,29069,23735,23258,23022,24136,23973,23524,23341,23907,23534,18116,29069,23735,23258,23022,24136,23973,23524,23341,23907,23534,18116,29069,23735,23258,23022,24136,23973,23524,23341,23907,23534,18116,29069,23735,23258,23022,24136,23973,23524,23341,23907,23534,18116,29069,23735,23258,23022,24136,23973,23524,23341,23907,23534,18116,29069,23735,23258,23022,24136,23973,23524,23341,23907,23534,18116,29069,23735,23258,23022,24136,23973,23524,23341,23907,23534,18116,29069,23735,178
128555,120364,141559,69220,182182,146629,124418,130272,141138,131807,131949,128555,120364,141559,69220,182182,146629,124418,130272,141138,131807,131949,128555,120364,141559,69220,182182,146629,124418,130272,141138,131807,131949,128555,120364,141559,69220,182182,146629,124418,130272,141138,131807,131949,128555,120364,141559,69220,182182,146629,124418,130272,141138,131807,131949,128555,120364,141559,69220,182182,146629,124418,130272,141138,131807,131949,128555,120364,141559,69220,182182,146629,124418,130272,141138,131807,131949,128555,120364,141559,69220,182182,146629,124418,130272,141138,131807,131949,128555,120364,141559,69220,182182,146629,124418,130272,141138,131807,131949,128555,120364,141559,69220,182182,146629,124418,130272,141138,131807,131949,128555,120364,141559,69220,182182,146629,124418,130272,141138,131807,131949,128555,120364,141559,69220,182182,146629,124418,130272,141138,131807,131949,339
104636,104874,108108,108586,107583,106189,106381,107524,106851,106543,107227,104636,104874,108108,108586,107583,106189,106381,107524,106851,106543,107227,104636,104874,108108,108586,107583,106189,106381,107524,106851,106543,107227,104636,104874,108108,108586,107583,106189,106381,107524,106851,106543,107227,104636,104874,108108,108586,107583,106189,106381,107524,106851,106543,107227,104636,104874,108108,108586,107583,106189,106381,107524,106851,106543,107227,104636,104874,108108,108586,107583,106189,106381,107524,106851,106543,107227,104636,104874,108108,108586,107583,106189,106381,107524,106851,106543,107227,104636,104874,108108,108586,107583,106189,106381,107524,106851,106543,107227,104636,104874,108108,108586,107583,106189,106381,107524,106851,106543,107227,104636,104874,108108,108586,107583,106189,106381,107524,106851,106543,107227,104636,104874,108108,108586,107583,106189,106381,107524,106851,106543,107227,469
19758,12155,27678,28476,18081,20404,22327,22168,18602,29876,23493,19758,12155,27678,28476,18081,20404,22327,22168,18602,29876,23493,19758,12155,27678,28476,18081,20404,22327,22168,18602,29876,23493,19758,12155,27678,28476,18081,20404,22327,22168,18602,29876,23493,19758,12155,27678,28476,18081,20404,22327,22168,18602,29876,23493,19758,12155,27678,28476,18081,20404,22327,22168,18602,29876,23493,19758,12155,27678,28476,18081,20404,22327,22168,18602,29876,23493,19758,12155,27678,28476,18081,20404,22327,22168,18602,29876,23493,19758,12155,27678,28476,18081,20404,22327,22168,18602,29876,23493,19758,12155,27678,28476,18081,20404,22327,22168,18602,29876,23493,19758,12155,27678,28476,18081,20404,22327,22168,18602,29876,23493,19758,12155,27678,28476,18081,20404,22327,22168,18602,29876,23493,352
8923,8869,9167,8956,9068,8886,9031,9038,9053,9018,9001,8923,8869,9167,8956,9068,8886,9031,9038,9053,9018,9001,8923,8869,9167,8956,9068,8886,9031,9038,9053,9018,9001,8923,8869,9167,8956,9068,8886,9031,9038,9053,9018,9001,8923,8869,9167,8956,9068,8886,9031,9038,9053,9018,9001,8923,8869,9167,8956,9068,8886,9031,9038,9053,9018,9001,8923,8869,9167,8956,9068,8886,9031,9038,9053,9018,9001,8923,8869,9167,8956,9068,8886,9031,9038,9053,9018,9001,8923,8869,9167,8956,9068,8886,9031,9038,9053,9018,9001,8923,8869,9167,8956,9068,8886,9031,9038,9053,9018,9001,8923,8869,9167,8956,9068,8886,9031,9038,9053,9018,9001,8923,8869,9167,8956,9068,8886,9031,9038,9053,9018,9001,69
768019,771326,769063,763570,781031,768087,771155,774910,771478,764808,777161,768019,771326,769063,763570,781031,768087,771155,774910,771478,764808,777161,768019,771326,769063,763570,781031,768087,771155,774910,771478,764808,777161,768019,771326,769063,763570,781031,768087,771155,774910,771478,764808,777161,768019,771326,769063,763570,781031,768087,771155,774910,771478,764808,777161,768019,771326,769063,763570,781031,768087,771155,774910,771478,764808,777161,768019,771326,769063,763570,781031,768087,771155,774910,771478,764808,777161,768019,771326,769063,763570,781031,768087,771155,774910,771478,764808,777161,768019,771326,769063,763570,781031,768087,771155,774910,771478,764808,777161,768019,771326,769063,763570,781031,768087,771155,774910,771478,764808,777161,768019,771326,769063,763570,781031,768087,771155,774910,771478,764808,777161,768019,771326,769063,763570,781031,768087,771155,774910,771478,764808,777161,256
69184,60247,49733,65814,66775,85453,72701,74980,63228,90649,70455,69184,60247,49733,65814,66775,85453,72701,74980,63228,90649,70455,69184,60247,49733,65814,66775,85453,72701,74980,63228,90649,70455,69184,60247,49733,65814,66775,85453,72701,74980,63228,90649,70455,69184,60247,49733,65814,66775,85453,72701,74980,63228,90649,70455,69184,60247,49733,65814,66775,85453,72701,74980,63228,90649,70455,69184,60247,49733,65814,66775,85453,72701,74980,63228,90649,70455,69184,60247,49733,65814,66775,85453,72701,74980,63228,90649,70455,69184,60247,49733,65814,66775,85453,72701,74980,63228,90649,70455,69184,60247,49733,65814,66775,85453,72701,74980,63228,90649,70455,69184,60247,49733,65814,66775,85453,72701,74980,63228,90649,70455,69184,60247,49733,65814,66775,85453,72701,74980,63228,90649,70455,598
9851,10865,10454,10332,11005,11235,9666,11322,10838,10680,10632,9851,10865,10454,10332,11005,11235,9666,11322,10838,10680,10632,9851,10865,10454,10332,11005,11235,9666,11322,10838,10680,10632,9851,10865,10454,10332,11005,11235,9666,11322,10838,10680,10632,9851,10865,10454,10332,11005,11235,9666,11322,10838,10680,10632,9851,10865,10454,10332,11005,11235,9666,11322,10838,10680,10632,9851,10865,10454,10332,11005,11235,9666,11322,10838,10680,10632,9851,10865,10454,10332,11005,11235,9666,11322,10838,10680,10632,9851,10865,10454,10332,11005,11235,9666,11322,10838,10680,10632,9851,10865,10454,10332,11005,11235,9666,11322,10838,10680,10632,9851,10865,10454,10332,11005,11235,9666,11322,10838,10680,10632,9851,10865,10454,10332,11005,11235,9666,11322,10838,10680,10632,22
63412,64452,63952,62939,64947,63909,63970,63903,63959,64021,63960,63412,64452,63952,62939,64947,63909,63970,63903,63959,64021,63960,63412,64452,63952,62939,64947,63909,63970,63903,63959,64021,63960,63412,64452,63952,62939,64947,63909,63970,63903,63959,64021,63960,63412,64452,63952,62939,64947,63909,63970,63903,63959,64021,63960,63412,64452,63952,62939,64947,63909,63970,63903,63959,64021,63960,63412,64452,63952,62939,64947,63909,63970,63903,63959,64021,63960,63412,64452,63952,62939,64947,63909,63970,63903,63959,64021,63960,63412,64452,63952,62939,64947,63909,63970,63903,63959,64021,63960,63412,64452,63952,62939,64947,63909,63970,63903,63959,64021,63960,63412,64452,63952,62939,64947,63909,63970,63903,63959,64021,63960,63412,64452,63952,62939,64947,63909,63970,63903,63959,64021,63960,574
