band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,census_code
39963,40174,39217,41505,40020,40450,39651,40999,39754,40757,39906,40593,39963,40174,39217,41505,40020,40450,39651,40999,39754,40757,39906,40593,39963,40174,39217,41505,40020,40450,39651,40999,39754,40757,39906,40593,39963,40174,39217,41505,40020,40450,39651,40999,39754,40757,39906,40593,39963,40174,39217,41505,40020,40450,39651,40999,39754,40757,39906,40593,39963,40174,39217,41505,40020,40450,39651,40999,39754,40757,39906,40593,39963,40174,39217,41505,40020,40450,39651,40999,39754,40757,39906,40593,39963,40174,39217,41505,40020,40450,39651,40999,39754,40757,39906,40593,39963,40174,39217,41505,40020,40450,39651,40999,39754,40757,39906,40593,39963,40174,39217,41505,40020,40450,39651,40999,39754,40757,39906,40593,39963,40174,39217,41505,40020,40450,39651,40999,39754,40757,39906,40593,39963,40174,39217,41505,40020,40450,39651,40999,39754,40757,39906,40593,80
21571,21562,20214,23016,21715,21710,21416,21510,21901,19977,22944,22079,21571,21562,20214,23016,21715,21710,21416,21510,21901,19977,22944,22079,21571,21562,20214,23016,21715,21710,21416,21510,21901,19977,22944,22079,21571,21562,20214,23016,21715,21710,21416,21510,21901,19977,22944,22079,21571,21562,20214,23016,21715,21710,21416,21510,21901,19977,22944,22079,21571,21562,20214,23016,21715,21710,21416,21510,21901,19977,22944,22079,21571,21562,20214,23016,21715,21710,21416,21510,21901,19977,22944,22079,21571,21562,20214,23016,21715,21710,21416,21510,21901,19977,22944,22079,21571,21562,20214,23016,21715,21710,21416,21510,21901,19977,22944,22079,21571,21562,20214,23016,21715,21710,21416,21510,21901,19977,22944,22079,21571,21562,20214,23016,21715,21710,21416,21510,21901,19977,22944,22079,21571,21562,20214,23016,21715,21710,21416,21510,21901,19977,22944,22079,178
90842,148447,54515,165894,134631,47551,179760,134416,110067,140410,118725,122835,90842,148447,54515,165894,134631,47551,179760,134416,110067,140410,118725,122835,90842,148447,54515,165894,134631,47551,179760,134416,110067,140410,118725,122835,90842,148447,54515,165894,134631,47551,179760,134416,110067,140410,118725,122835,90842,148447,54515,165894,134631,47551,179760,134416,110067,140410,118725,122835,90842,148447,54515,165894,134631,47551,179760,134416,110067,140410,118725,122835,90842,148447,54515,165894,134631,47551,179760,134416,110067,140410,118725,122835,90842,148447,54515,165894,134631,47551,179760,134416,110067,140410,118725,122835,90842,148447,54515,165894,134631,47551,179760,134416,110067,140410,118725,122835,90842,148447,54515,165894,134631,47551,179760,134416,110067,140410,118725,122835,90842,148447,54515,165894,134631,47551,179760,134416,110067,140410,118725,122835,90842,148447,54515,165894,134631,47551,179760,134416,110067,140410,118725,122835,339
97217,97848,98374,96079,99365,97860,98380,95234,97787,100605,97810,97943,97217,97848,98374,96079,99365,97860,98380,95234,97787,100605,97810,97943,97217,97848,98374,96079,99365,97860,98380,95234,97787,100605,97810,97943,97217,97848,98374,96079,99365,97860,98380,95234,97787,100605,97810,97943,97217,97848,98374,96079,99365,97860,98380,95234,97787,100605,97810,97943,97217,97848,98374,96079,99365,97860,98380,95234,97787,100605,97810,97943,97217,97848,98374,96079,99365,97860,98380,95234,97787,100605,97810,97943,97217,97848,98374,96079,99365,97860,98380,95234,97787,100605,97810,97943,97217,97848,98374,96079,99365,97860,98380,95234,97787,100605,97810,97943,97217,97848,98374,96079,99365,97860,98380,95234,97787,100605,97810,97943,97217,97848,98374,96079,99365,97860,98380,95234,97787,100605,97810,97943,97217,97848,98374,96079,99365,97860,98380,95234,97787,100605,97810,97943,469
19758,12155,27678,14300,15017,17240,20404,22327,22168,30747,17731,23493,19758,12155,27678,14300,15017,17240,20404,22327,22168,30747,17731,23493,19758,12155,27678,14300,15017,17240,20404,22327,22168,30747,17731,23493,19758,12155,27678,14300,15017,17240,20404,22327,22168,30747,17731,23493,19758,12155,27678,14300,15017,17240,20404,22327,22168,30747,17731,23493,19758,12155,27678,14300,15017,17240,20404,22327,22168,30747,17731,23493,19758,12155,27678,14300,15017,17240,20404,22327,22168,30747,17731,23493,19758,12155,27678,14300,15017,17240,20404,22327,22168,30747,17731,23493,19758,12155,27678,14300,15017,17240,20404,22327,22168,30747,17731,23493,19758,12155,27678,14300,15017,17240,20404,22327,22168,30747,17731,23493,19758,12155,27678,14300,15017,17240,20404,22327,22168,30747,17731,23493,19758,12155,27678,14300,15017,17240,20404,22327,22168,30747,17731,23493,352
8049,8379,8197,8224,8381,8247,8219,8158,8324,8282,8248,8302,8049,8379,8197,8224,8381,8247,8219,8158,8324,8282,8248,8302,8049,8379,8197,8224,8381,8247,8219,8158,8324,8282,8248,8302,8049,8379,8197,8224,8381,8247,8219,8158,8324,8282,8248,8302,8049,8379,8197,8224,8381,8247,8219,8158,8324,8282,8248,8302,8049,8379,8197,8224,8381,8247,8219,8158,8324,8282,8248,8302,8049,8379,8197,8224,8381,8247,8219,8158,8324,8282,8248,8302,8049,8379,8197,8224,8381,8247,8219,8158,8324,8282,8248,8302,8049,8379,8197,8224,8381,8247,8219,8158,8324,8282,8248,8302,8049,8379,8197,8224,8381,8247,8219,8158,8324,8282,8248,8302,8049,8379,8197,8224,8381,8247,8219,8158,8324,8282,8248,8302,8049,8379,8197,8224,8381,8247,8219,8158,8324,8282,8248,8302,69
706098,705964,707834,685792,727896,706708,700691,712756,706619,706531,636558,777161,706098,705964,707834,685792,727896,706708,700691,712756,706619,706531,636558,777161,706098,705964,707834,685792,727896,706708,700691,712756,706619,706531,636558,777161,706098,705964,707834,685792,727896,706708,700691,712756,706619,706531,636558,777161,706098,705964,707834,685792,727896,706708,700691,712756,706619,706531,636558,777161,706098,705964,707834,685792,727896,706708,700691,712756,706619,706531,636558,777161,706098,705964,707834,685792,727896,706708,700691,712756,706619,706531,636558,777161,706098,705964,707834,685792,727896,706708,700691,712756,706619,706531,636558,777161,706098,705964,707834,685792,727896,706708,700691,712756,706619,706531,636558,777161,706098,705964,707834,685792,727896,706708,700691,712756,706619,706531,636558,777161,706098,705964,707834,685792,727896,706708,700691,712756,706619,706531,636558,777161,706098,705964,707834,685792,727896,706708,700691,712756,706619,706531,636558,777161,256
50993,76901,51270,65814,66775,68238,66337,23579,74980,63228,92120,68984,50993,76901,51270,65814,66775,68238,66337,23579,74980,63228,92120,68984,50993,76901,51270,65814,66775,68238,66337,23579,74980,63228,92120,68984,50993,76901,51270,65814,66775,68238,66337,23579,74980,63228,92120,68984,50993,76901,51270,65814,66775,68238,66337,23579,74980,63228,92120,68984,50993,76901,51270,65814,66775,68238,66337,23579,74980,63228,92120,68984,50993,76901,51270,65814,66775,68238,66337,23579,74980,63228,92120,68984,50993,76901,51270,65814,66775,68238,66337,23579,74980,63228,92120,68984,50993,76901,51270,65814,66775,68238,66337,23579,74980,63228,92120,68984,50993,76901,51270,65814,66775,68238,66337,23579,74980,63228,92120,68984,50993,76901,51270,65814,66775,68238,66337,23579,74980,63228,92120,68984,50993,76901,51270,65814,66775,68238,66337,23579,74980,63228,92120,68984,598
9715,9760,9585,9554,10076,9546,7492,12192,9608,9523,9917,9912,9715,9760,9585,9554,10076,9546,7492,12192,9608,9523,9917,9912,9715,9760,9585,9554,10076,9546,7492,12192,9608,9523,9917,9912,9715,9760,9585,9554,10076,9546,7492,12192,9608,9523,9917,9912,9715,9760,9585,9554,10076,9546,7492,12192,9608,9523,9917,9912,9715,9760,9585,9554,10076,9546,7492,12192,9608,9523,9917,9912,9715,9760,9585,9554,10076,9546,7492,12192,9608,9523,9917,9912,9715,9760,9585,9554,10076,9546,7492,12192,9608,9523,9917,9912,9715,9760,9585,9554,10076,9546,7492,12192,9608,9523,9917,9912,9715,9760,9585,9554,10076,9546,7492,12192,9608,9523,9917,9912,9715,9760,9585,9554,10076,9546,7492,12192,9608,9523,9917,9912,9715,9760,9585,9554,10076,9546,7492,12192,9608,9523,9917,9912,22
56994,59649,57542,60265,58339,57590,59950,57198,59979,58462,58787,58669,56994,59649,57542,60265,58339,57590,59950,57198,59979,58462,58787,58669,56994,59649,57542,60265,58339,57590,59950,57198,59979,58462,58787,58669,56994,59649,57542,60265,58339,57590,59950,57198,59979,58462,58787,58669,56994,59649,57542,60265,58339,57590,59950,57198,59979,58462,58787,58669,56994,59649,57542,60265,58339,57590,59950,57198,59979,58462,58787,58669,56994,59649,57542,60265,58339,57590,59950,57198,59979,58462,58787,58669,56994,59649,57542,60265,58339,57590,59950,57198,59979,58462,58787,58669,56994,59649,57542,60265,58339,57590,59950,57198,59979,58462,58787,58669,56994,59649,57542,60265,58339,57590,59950,57198,59979,58462,58787,58669,56994,59649,57542,60265,58339,57590,59950,57198,59979,58462,58787,58669,56994,59649,57542,60265,58339,57590,59950,57198,59979,58462,58787,58669,574
