band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,census_code
37062,36629,36424,34896,38265,39516,35946,35362,39319,38095,36942,37214,37319,37062,36629,36424,34896,38265,39516,35946,35362,39319,38095,36942,37214,37319,37062,36629,36424,34896,38265,39516,35946,35362,39319,38095,36942,37214,37319,37062,36629,36424,34896,38265,39516,35946,35362,39319,38095,36942,37214,37319,37062,36629,36424,34896,38265,39516,35946,35362,39319,38095,36942,37214,37319,37062,36629,36424,34896,38265,39516,35946,35362,39319,38095,36942,37214,37319,37062,36629,36424,34896,38265,39516,35946,35362,39319,38095,36942,37214,37319,37062,36629,36424,34896,38265,39516,35946,35362,39319,38095,36942,37214,37319,37062,36629,36424,34896,38265,39516,35946,35362,39319,38095,36942,37214,37319,37062,36629,36424,34896,38265,39516,35946,35362,39319,38095,36942,37214,37319,37062,36629,36424,34896,38265,39516,35946,35362,39319,38095,36942,37214,37319,37062,36629,36424,34896,38265,39516,35946,35362,39319,38095,36942,37214,37319,80
17584,22318,19788,20121,20005,19803,20046,19766,20302,15471,22673,19659,22079,17584,22318,19788,20121,20005,19803,20046,19766,20302,15471,22673,19659,22079,17584,22318,19788,20121,20005,19803,20046,19766,20302,15471,22673,19659,22079,17584,22318,19788,20121,20005,19803,20046,19766,20302,15471,22673,19659,22079,17584,22318,19788,20121,20005,19803,20046,19766,20302,15471,22673,19659,22079,17584,22318,19788,20121,20005,19803,20046,19766,20302,15471,22673,19659,22079,17584,22318,19788,20121,20005,19803,20046,19766,20302,15471,22673,19659,22079,17584,22318,19788,20121,20005,19803,20046,19766,20302,15471,22673,19659,22079,17584,22318,19788,20121,20005,19803,20046,19766,20302,15471,22673,19659,22079,17584,22318,19788,20121,20005,19803,20046,19766,20302,15471,22673,19659,22079,17584,22318,19788,20121,20005,19803,20046,19766,20302,15471,22673,19659,22079,17584,22318,19788,20121,20005,19803,20046,19766,20302,15471,22673,19659,22079,178
90842,79697,123265,151502,14392,182182,124527,122394,113714,111183,111046,111254,112095,90842,79697,123265,151502,14392,182182,124527,122394,113714,111183,111046,111254,112095,90842,79697,123265,151502,14392,182182,124527,122394,113714,111183,111046,111254,112095,90842,79697,123265,151502,14392,182182,124527,122394,113714,111183,111046,111254,112095,90842,79697,123265,151502,14392,182182,124527,122394,113714,111183,111046,111254,112095,90842,79697,123265,151502,14392,182182,124527,122394,113714,111183,111046,111254,112095,90842,79697,123265,151502,14392,182182,124527,122394,113714,111183,111046,111254,112095,90842,79697,123265,151502,14392,182182,124527,122394,113714,111183,111046,111254,112095,90842,79697,123265,151502,14392,182182,124527,122394,113714,111183,111046,111254,112095,90842,79697,123265,151502,14392,182182,124527,122394,113714,111183,111046,111254,112095,90842,79697,123265,151502,14392,182182,124527,122394,113714,111183,111046,111254,112095,90842,79697,123265,151502,14392,182182,124527,122394,113714,111183,111046,111254,112095,339
90149,90356,89453,90054,89746,90764,91805,87603,93173,88296,89743,92928,90432,90149,90356,89453,90054,89746,90764,91805,87603,93173,88296,89743,92928,90432,90149,90356,89453,90054,89746,90764,91805,87603,93173,88296,89743,92928,90432,90149,90356,89453,90054,89746,90764,91805,87603,93173,88296,89743,92928,90432,90149,90356,89453,90054,89746,90764,91805,87603,93173,88296,89743,92928,90432,90149,90356,89453,90054,89746,90764,91805,87603,93173,88296,89743,92928,90432,90149,90356,89453,90054,89746,90764,91805,87603,93173,88296,89743,92928,90432,90149,90356,89453,90054,89746,90764,91805,87603,93173,88296,89743,92928,90432,90149,90356,89453,90054,89746,90764,91805,87603,93173,88296,89743,92928,90432,90149,90356,89453,90054,89746,90764,91805,87603,93173,88296,89743,92928,90432,90149,90356,89453,90054,89746,90764,91805,87603,93173,88296,89743,92928,90432,90149,90356,89453,90054,89746,90764,91805,87603,93173,88296,89743,92928,90432,469
10226,21687,13694,28284,15017,17240,20404,22327,18992,18672,16758,20859,18858,10226,21687,13694,28284,15017,17240,20404,22327,18992,18672,16758,20859,18858,10226,21687,13694,28284,15017,17240,20404,22327,18992,18672,16758,20859,18858,10226,21687,13694,28284,15017,17240,20404,22327,18992,18672,16758,20859,18858,10226,21687,13694,28284,15017,17240,20404,22327,18992,18672,16758,20859,18858,10226,21687,13694,28284,15017,17240,20404,22327,18992,18672,16758,20859,18858,10226,21687,13694,28284,15017,17240,20404,22327,18992,18672,16758,20859,18858,10226,21687,13694,28284,15017,17240,20404,22327,18992,18672,16758,20859,18858,10226,21687,13694,28284,15017,17240,20404,22327,18992,18672,16758,20859,18858,10226,21687,13694,28284,15017,17240,20404,22327,18992,18672,16758,20859,18858,10226,21687,13694,28284,15017,17240,20404,22327,18992,18672,16758,20859,18858,10226,21687,13694,28284,15017,17240,20404,22327,18992,18672,16758,20859,18858,352
7522,7680,7512,7747,7451,7673,7728,7566,7576,7678,7608,7647,7622,7522,7680,7512,7747,7451,7673,7728,7566,7576,7678,7608,7647,7622,7522,7680,7512,7747,7451,7673,7728,7566,7576,7678,7608,7647,7622,7522,7680,7512,7747,7451,7673,7728,7566,7576,7678,7608,7647,7622,7522,7680,7512,7747,7451,7673,7728,7566,7576,7678,7608,7647,7622,7522,7680,7512,7747,7451,7673,7728,7566,7576,7678,7608,7647,7622,7522,7680,7512,7747,7451,7673,7728,7566,7576,7678,7608,7647,7622,7522,7680,7512,7747,7451,7673,7728,7566,7576,7678,7608,7647,7622,7522,7680,7512,7747,7451,7673,7728,7566,7576,7678,7608,7647,7622,7522,7680,7512,7747,7451,7673,7728,7566,7576,7678,7608,7647,7622,7522,7680,7512,7747,7451,7673,7728,7566,7576,7678,7608,7647,7622,7522,7680,7512,7747,7451,7673,7728,7566,7576,7678,7608,7647,7622,69
643391,647105,666559,651736,633000,658352,665899,650517,653861,653124,643124,658080,655860,643391,647105,666559,651736,633000,658352,665899,650517,653861,653124,643124,658080,655860,643391,647105,666559,651736,633000,658352,665899,650517,653861,653124,643124,658080,655860,643391,647105,666559,651736,633000,658352,665899,650517,653861,653124,643124,658080,655860,643391,647105,666559,651736,633000,658352,665899,650517,653861,653124,643124,658080,655860,643391,647105,666559,651736,633000,658352,665899,650517,653861,653124,643124,658080,655860,643391,647105,666559,651736,633000,658352,665899,650517,653861,653124,643124,658080,655860,643391,647105,666559,651736,633000,658352,665899,650517,653861,653124,643124,658080,655860,643391,647105,666559,651736,633000,658352,665899,650517,653861,653124,643124,658080,655860,643391,647105,666559,651736,633000,658352,665899,650517,653861,653124,643124,658080,655860,643391,647105,666559,651736,633000,658352,665899,650517,653861,653124,643124,658080,655860,643391,647105,666559,651736,633000,658352,665899,650517,653861,653124,643124,658080,655860,256
50993,65192,60162,53039,63189,62415,42216,72701,61118,58478,57124,53608,68984,50993,65192,60162,53039,63189,62415,42216,72701,61118,58478,57124,53608,68984,50993,65192,60162,53039,63189,62415,42216,72701,61118,58478,57124,53608,68984,50993,65192,60162,53039,63189,62415,42216,72701,61118,58478,57124,53608,68984,50993,65192,60162,53039,63189,62415,42216,72701,61118,58478,57124,53608,68984,50993,65192,60162,53039,63189,62415,42216,72701,61118,58478,57124,53608,68984,50993,65192,60162,53039,63189,62415,42216,72701,61118,58478,57124,53608,68984,50993,65192,60162,53039,63189,62415,42216,72701,61118,58478,57124,53608,68984,50993,65192,60162,53039,63189,62415,42216,72701,61118,58478,57124,53608,68984,50993,65192,60162,53039,63189,62415,42216,72701,61118,58478,57124,53608,68984,50993,65192,60162,53039,63189,62415,42216,72701,61118,58478,57124,53608,68984,50993,65192,60162,53039,63189,62415,42216,72701,61118,58478,57124,53608,68984,598
8978,8651,9327,8978,8770,9106,9108,8934,7336,10656,9041,8949,9046,8978,8651,9327,8978,8770,9106,9108,8934,7336,10656,9041,8949,9046,8978,8651,9327,8978,8770,9106,9108,8934,7336,10656,9041,8949,9046,8978,8651,9327,8978,8770,9106,9108,8934,7336,10656,9041,8949,9046,8978,8651,9327,8978,8770,9106,9108,8934,7336,10656,9041,8949,9046,8978,8651,9327,8978,8770,9106,9108,8934,7336,10656,9041,8949,9046,8978,8651,9327,8978,8770,9106,9108,8934,7336,10656,9041,8949,9046,8978,8651,9327,8978,8770,9106,9108,8934,7336,10656,9041,8949,9046,8978,8651,9327,8978,8770,9106,9108,8934,7336,10656,9041,8949,9046,8978,8651,9327,8978,8770,9106,9108,8934,7336,10656,9041,8949,9046,8978,8651,9327,8978,8770,9106,9108,8934,7336,10656,9041,8949,9046,8978,8651,9327,8978,8770,9106,9108,8934,7336,10656,9041,8949,9046,22
53253,54425,53863,54864,53212,54837,54208,53836,54112,54442,54139,54058,54175,53253,54425,53863,54864,53212,54837,54208,53836,54112,54442,54139,54058,54175,53253,54425,53863,54864,53212,54837,54208,53836,54112,54442,54139,54058,54175,53253,54425,53863,54864,53212,54837,54208,53836,54112,54442,54139,54058,54175,53253,54425,53863,54864,53212,54837,54208,53836,54112,54442,54139,54058,54175,53253,54425,53863,54864,53212,54837,54208,53836,54112,54442,54139,54058,54175,53253,54425,53863,54864,53212,54837,54208,53836,54112,54442,54139,54058,54175,53253,54425,53863,54864,53212,54837,54208,53836,54112,54442,54139,54058,54175,53253,54425,53863,54864,53212,54837,54208,53836,54112,54442,54139,54058,54175,53253,54425,53863,54864,53212,54837,54208,53836,54112,54442,54139,54058,54175,53253,54425,53863,54864,53212,54837,54208,53836,54112,54442,54139,54058,54175,53253,54425,53863,54864,53212,54837,54208,53836,54112,54442,54139,54058,54175,574
