band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,census_code
33505,35298,34591,34395,34703,34407,34430,31992,37160,33205,35126,35143,34517,34517,33505,35298,34591,34395,34703,34407,34430,31992,37160,33205,35126,35143,34517,34517,33505,35298,34591,34395,34703,34407,34430,31992,37160,33205,35126,35143,34517,34517,33505,35298,34591,34395,34703,34407,34430,31992,37160,33205,35126,35143,34517,34517,33505,35298,34591,34395,34703,34407,34430,31992,37160,33205,35126,35143,34517,34517,33505,35298,34591,34395,34703,34407,34430,31992,37160,33205,35126,35143,34517,34517,33505,35298,34591,34395,34703,34407,34430,31992,37160,33205,35126,35143,34517,34517,33505,35298,34591,34395,34703,34407,34430,31992,37160,33205,35126,35143,34517,34517,33505,35298,34591,34395,34703,34407,34430,31992,37160,33205,35126,35143,34517,34517,33505,35298,34591,34395,34703,34407,34430,31992,37160,33205,35126,35143,34517,34517,33505,35298,34591,34395,34703,34407,34430,31992,37160,33205,35126,35143,34517,34517,33505,35298,34591,34395,34703,34407,34430,31992,37160,33205,35126,35143,34517,34517,80
17584,19270,18671,18603,18065,18859,18736,16973,20058,17218,19482,14358,19659,22079,17584,19270,18671,18603,18065,18859,18736,16973,20058,17218,19482,14358,19659,22079,17584,19270,18671,18603,18065,18859,18736,16973,20058,17218,19482,14358,19659,22079,17584,19270,18671,18603,18065,18859,18736,16973,20058,17218,19482,14358,19659,22079,17584,19270,18671,18603,18065,18859,18736,16973,20058,17218,19482,14358,19659,22079,17584,19270,18671,18603,18065,18859,18736,16973,20058,17218,19482,14358,19659,22079,17584,19270,18671,18603,18065,18859,18736,16973,20058,17218,19482,14358,19659,22079,17584,19270,18671,18603,18065,18859,18736,16973,20058,17218,19482,14358,19659,22079,17584,19270,18671,18603,18065,18859,18736,16973,20058,17218,19482,14358,19659,22079,17584,19270,18671,18603,18065,18859,18736,16973,20058,17218,19482,14358,19659,22079,17584,19270,18671,18603,18065,18859,18736,16973,20058,17218,19482,14358,19659,22079,17584,19270,18671,18603,18065,18859,18736,16973,20058,17218,19482,14358,19659,22079,178
90842,79697,123265,114153,51741,158794,23388,179760,108822,100420,106732,103134,103622,103723,90842,79697,123265,114153,51741,158794,23388,179760,108822,100420,106732,103134,103622,103723,90842,79697,123265,114153,51741,158794,23388,179760,108822,100420,106732,103134,103622,103723,90842,79697,123265,114153,51741,158794,23388,179760,108822,100420,106732,103134,103622,103723,90842,79697,123265,114153,51741,158794,23388,179760,108822,100420,106732,103134,103622,103723,90842,79697,123265,114153,51741,158794,23388,179760,108822,100420,106732,103134,103622,103723,90842,79697,123265,114153,51741,158794,23388,179760,108822,100420,106732,103134,103622,103723,90842,79697,123265,114153,51741,158794,23388,179760,108822,100420,106732,103134,103622,103723,90842,79697,123265,114153,51741,158794,23388,179760,108822,100420,106732,103134,103622,103723,90842,79697,123265,114153,51741,158794,23388,179760,108822,100420,106732,103134,103622,103723,90842,79697,123265,114153,51741,158794,23388,179760,108822,100420,106732,103134,103622,103723,90842,79697,123265,114153,51741,158794,23388,179760,108822,100420,106732,103134,103622,103723,339
83841,83833,82214,85684,83875,83741,83555,83241,84874,83990,83956,82282,85092,84324,83841,83833,82214,85684,83875,83741,83555,83241,84874,83990,83956,82282,85092,84324,83841,83833,82214,85684,83875,83741,83555,83241,84874,83990,83956,82282,85092,84324,83841,83833,82214,85684,83875,83741,83555,83241,84874,83990,83956,82282,85092,84324,83841,83833,82214,85684,83875,83741,83555,83241,84874,83990,83956,82282,85092,84324,83841,83833,82214,85684,83875,83741,83555,83241,84874,83990,83956,82282,85092,84324,83841,83833,82214,85684,83875,83741,83555,83241,84874,83990,83956,82282,85092,84324,83841,83833,82214,85684,83875,83741,83555,83241,84874,83990,83956,82282,85092,84324,83841,83833,82214,85684,83875,83741,83555,83241,84874,83990,83956,82282,85092,84324,83841,83833,82214,85684,83875,83741,83555,83241,84874,83990,83956,82282,85092,84324,83841,83833,82214,85684,83875,83741,83555,83241,84874,83990,83956,82282,85092,84324,83841,83833,82214,85684,83875,83741,83555,83241,84874,83990,83956,82282,85092,84324,469
10226,21687,13694,13984,14300,15017,17240,20404,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,22327,22168,18602,13652,21271,18446,352
7008,6977,7168,7104,7104,6844,7272,7083,7036,7119,7037,7027,7124,7107,7008,6977,7168,7104,7104,6844,7272,7083,7036,7119,7037,7027,7124,7107,7008,6977,7168,7104,7104,6844,7272,7083,7036,7119,7037,7027,7124,7107,7008,6977,7168,7104,7104,6844,7272,7083,7036,7119,7037,7027,7124,7107,7008,6977,7168,7104,7104,6844,7272,7083,7036,7119,7037,7027,7124,7107,7008,6977,7168,7104,7104,6844,7272,7083,7036,7119,7037,7027,7124,7107,7008,6977,7168,7104,7104,6844,7272,7083,7036,7119,7037,7027,7124,7107,7008,6977,7168,7104,7104,6844,7272,7083,7036,7119,7037,7027,7124,7107,7008,6977,7168,7104,7104,6844,7272,7083,7036,7119,7037,7027,7124,7107,7008,6977,7168,7104,7104,6844,7272,7083,7036,7119,7037,7027,7124,7107,7008,6977,7168,7104,7104,6844,7272,7083,7036,7119,7037,7027,7124,7107,7008,6977,7168,7104,7104,6844,7272,7083,7036,7119,7037,7027,7124,7107,69
592894,618572,602210,604832,604307,603052,614425,605634,604259,607365,593763,617491,602744,609060,592894,618572,602210,604832,604307,603052,614425,605634,604259,607365,593763,617491,602744,609060,592894,618572,602210,604832,604307,603052,614425,605634,604259,607365,593763,617491,602744,609060,592894,618572,602210,604832,604307,603052,614425,605634,604259,607365,593763,617491,602744,609060,592894,618572,602210,604832,604307,603052,614425,605634,604259,607365,593763,617491,602744,609060,592894,618572,602210,604832,604307,603052,614425,605634,604259,607365,593763,617491,602744,609060,592894,618572,602210,604832,604307,603052,614425,605634,604259,607365,593763,617491,602744,609060,592894,618572,602210,604832,604307,603052,614425,605634,604259,607365,593763,617491,602744,609060,592894,618572,602210,604832,604307,603052,614425,605634,604259,607365,593763,617491,602744,609060,592894,618572,602210,604832,604307,603052,614425,605634,604259,607365,593763,617491,602744,609060,592894,618572,602210,604832,604307,603052,614425,605634,604259,607365,593763,617491,602744,609060,592894,618572,602210,604832,604307,603052,614425,605634,604259,607365,593763,617491,602744,609060,256
50993,58518,50099,60077,25291,66775,68238,17215,72701,74980,53960,60037,41351,68984,50993,58518,50099,60077,25291,66775,68238,17215,72701,74980,53960,60037,41351,68984,50993,58518,50099,60077,25291,66775,68238,17215,72701,74980,53960,60037,41351,68984,50993,58518,50099,60077,25291,66775,68238,17215,72701,74980,53960,60037,41351,68984,50993,58518,50099,60077,25291,66775,68238,17215,72701,74980,53960,60037,41351,68984,50993,58518,50099,60077,25291,66775,68238,17215,72701,74980,53960,60037,41351,68984,50993,58518,50099,60077,25291,66775,68238,17215,72701,74980,53960,60037,41351,68984,50993,58518,50099,60077,25291,66775,68238,17215,72701,74980,53960,60037,41351,68984,50993,58518,50099,60077,25291,66775,68238,17215,72701,74980,53960,60037,41351,68984,50993,58518,50099,60077,25291,66775,68238,17215,72701,74980,53960,60037,41351,68984,50993,58518,50099,60077,25291,66775,68238,17215,72701,74980,53960,60037,41351,68984,50993,58518,50099,60077,25291,66775,68238,17215,72701,74980,53960,60037,41351,68984,598
8181,7658,8422,8307,8934,7562,9172,7492,9347,7533,8880,8611,8261,8520,8181,7658,8422,8307,8934,7562,9172,7492,9347,7533,8880,8611,8261,8520,8181,7658,8422,8307,8934,7562,9172,7492,9347,7533,8880,8611,8261,8520,8181,7658,8422,8307,8934,7562,9172,7492,9347,7533,8880,8611,8261,8520,8181,7658,8422,8307,8934,7562,9172,7492,9347,7533,8880,8611,8261,8520,8181,7658,8422,8307,8934,7562,9172,7492,9347,7533,8880,8611,8261,8520,8181,7658,8422,8307,8934,7562,9172,7492,9347,7533,8880,8611,8261,8520,8181,7658,8422,8307,8934,7562,9172,7492,9347,7533,8880,8611,8261,8520,8181,7658,8422,8307,8934,7562,9172,7492,9347,7533,8880,8611,8261,8520,8181,7658,8422,8307,8934,7562,9172,7492,9347,7533,8880,8611,8261,8520,8181,7658,8422,8307,8934,7562,9172,7492,9347,7533,8880,8611,8261,8520,8181,7658,8422,8307,8934,7562,9172,7492,9347,7533,8880,8611,8261,8520,22
47844,52643,49365,50057,51220,49172,50078,50428,50465,50889,50403,50200,50382,50278,47844,52643,49365,50057,51220,49172,50078,50428,50465,50889,50403,50200,50382,50278,47844,52643,49365,50057,51220,49172,50078,50428,50465,50889,50403,50200,50382,50278,47844,52643,49365,50057,51220,49172,50078,50428,50465,50889,50403,50200,50382,50278,47844,52643,49365,50057,51220,49172,50078,50428,50465,50889,50403,50200,50382,50278,47844,52643,49365,50057,51220,49172,50078,50428,50465,50889,50403,50200,50382,50278,47844,52643,49365,50057,51220,49172,50078,50428,50465,50889,50403,50200,50382,50278,47844,52643,49365,50057,51220,49172,50078,50428,50465,50889,50403,50200,50382,50278,47844,52643,49365,50057,51220,49172,50078,50428,50465,50889,50403,50200,50382,50278,47844,52643,49365,50057,51220,49172,50078,50428,50465,50889,50403,50200,50382,50278,47844,52643,49365,50057,51220,49172,50078,50428,50465,50889,50403,50200,50382,50278,47844,52643,49365,50057,51220,49172,50078,50428,50465,50889,50403,50200,50382,50278,574
