band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_1_10,band_1_11,band_1_12,band_1_13,band_1_14,band_1_15,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_2_10,band_2_11,band_2_12,band_2_13,band_2_14,band_2_15,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_3_10,band_3_11,band_3_12,band_3_13,band_3_14,band_3_15,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_4_10,band_4_11,band_4_12,band_4_13,band_4_14,band_4_15,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_5_10,band_5_11,band_5_12,band_5_13,band_5_14,band_5_15,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_6_10,band_6_11,band_6_12,band_6_13,band_6_14,band_6_15,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_7_10,band_7_11,band_7_12,band_7_13,band_7_14,band_7_15,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_8_10,band_8_11,band_8_12,band_8_13,band_8_14,band_8_15,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_9_10,band_9_11,band_9_12,band_9_13,band_9_14,band_9_15,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_10_10,band_10_11,band_10_12,band_10_13,band_10_14,band_10_15,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_11_10,band_11_11,band_11_12,band_11_13,band_11_14,band_11_15,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,band_12_10,band_12_11,band_12_12,band_12_13,band_12_14,band_12_15,census_code
31857,32357,31927,32584,32134,32016,31874,31834,33207,32189,32117,32131,32346,32118,32298,31857,32357,31927,32584,32134,32016,31874,31834,33207,32189,32117,32131,32346,32118,32298,31857,32357,31927,32584,32134,32016,31874,31834,33207,32189,32117,32131,32346,32118,32298,31857,32357,31927,32584,32134,32016,31874,31834,33207,32189,32117,32131,32346,32118,32298,31857,32357,31927,32584,32134,32016,31874,31834,33207,32189,32117,32131,32346,32118,32298,31857,32357,31927,32584,32134,32016,31874,31834,33207,32189,32117,32131,32346,32118,32298,31857,32357,31927,32584,32134,32016,31874,31834,33207,32189,32117,32131,32346,32118,32298,31857,32357,31927,32584,32134,32016,31874,31834,33207,32189,32117,32131,32346,32118,32298,31857,32357,31927,32584,32134,32016,31874,31834,33207,32189,32117,32131,32346,32118,32298,31857,32357,31927,32584,32134,32016,31874,31834,33207,32189,32117,32131,32346,32118,32298,31857,32357,31927,32584,32134,32016,31874,31834,33207,32189,32117,32131,32346,32118,32298,31857,32357,31927,32584,32134,32016,31874,31834,33207,32189,32117,32131,32346,32118,32298,80
17289,17057,16394,18146,17477,17119,17369,17345,17409,17109,17442,16655,18150,17091,17563,17289,17057,16394,18146,17477,17119,17369,17345,17409,17109,17442,16655,18150,17091,17563,17289,17057,16394,18146,17477,17119,17369,17345,17409,17109,17442,16655,18150,17091,17563,17289,17057,16394,18146,17477,17119,17369,17345,17409,17109,17442,16655,18150,17091,17563,17289,17057,16394,18146,17477,17119,17369,17345,17409,17109,17442,16655,18150,17091,17563,17289,17057,16394,18146,17477,17119,17369,17345,17409,17109,17442,16655,18150,17091,17563,17289,17057,16394,18146,17477,17119,17369,17345,17409,17109,17442,16655,18150,17091,17563,17289,17057,16394,18146,17477,17119,17369,17345,17409,17109,17442,16655,18150,17091,17563,17289,17057,16394,18146,17477,17119,17369,17345,17409,17109,17442,16655,18150,17091,17563,17289,17057,16394,18146,17477,17119,17369,17345,17409,17109,17442,16655,18150,17091,17563,17289,17057,16394,18146,17477,17119,17369,17345,17409,17109,17442,16655,18150,17091,17563,17289,17057,16394,18146,17477,17119,17369,17345,17409,17109,17442,16655,18150,17091,17563,178
90842,79697,118794,96718,73647,118293,63889,124527,55233,134416,105732,92116,96234,100656,97299,90842,79697,118794,96718,73647,118293,63889,124527,55233,134416,105732,92116,96234,100656,97299,90842,79697,118794,96718,73647,118293,63889,124527,55233,134416,105732,92116,96234,100656,97299,90842,79697,118794,96718,73647,118293,63889,124527,55233,134416,105732,92116,96234,100656,97299,90842,79697,118794,96718,73647,118293,63889,124527,55233,134416,105732,92116,96234,100656,97299,90842,79697,118794,96718,73647,118293,63889,124527,55233,134416,105732,92116,96234,100656,97299,90842,79697,118794,96718,73647,118293,63889,124527,55233,134416,105732,92116,96234,100656,97299,90842,79697,118794,96718,73647,118293,63889,124527,55233,134416,105732,92116,96234,100656,97299,90842,79697,118794,96718,73647,118293,63889,124527,55233,134416,105732,92116,96234,100656,97299,90842,79697,118794,96718,73647,118293,63889,124527,55233,134416,105732,92116,96234,100656,97299,90842,79697,118794,96718,73647,118293,63889,124527,55233,134416,105732,92116,96234,100656,97299,90842,79697,118794,96718,73647,118293,63889,124527,55233,134416,105732,92116,96234,100656,97299,339
77558,78238,78157,78051,77514,77392,78646,78354,80604,75843,79600,76512,77442,82083,78508,77558,78238,78157,78051,77514,77392,78646,78354,80604,75843,79600,76512,77442,82083,78508,77558,78238,78157,78051,77514,77392,78646,78354,80604,75843,79600,76512,77442,82083,78508,77558,78238,78157,78051,77514,77392,78646,78354,80604,75843,79600,76512,77442,82083,78508,77558,78238,78157,78051,77514,77392,78646,78354,80604,75843,79600,76512,77442,82083,78508,77558,78238,78157,78051,77514,77392,78646,78354,80604,75843,79600,76512,77442,82083,78508,77558,78238,78157,78051,77514,77392,78646,78354,80604,75843,79600,76512,77442,82083,78508,77558,78238,78157,78051,77514,77392,78646,78354,80604,75843,79600,76512,77442,82083,78508,77558,78238,78157,78051,77514,77392,78646,78354,80604,75843,79600,76512,77442,82083,78508,77558,78238,78157,78051,77514,77392,78646,78354,80604,75843,79600,76512,77442,82083,78508,77558,78238,78157,78051,77514,77392,78646,78354,80604,75843,79600,76512,77442,82083,78508,77558,78238,78157,78051,77514,77392,78646,78354,80604,75843,79600,76512,77442,82083,78508,469
10226,21687,13694,13984,14300,15017,17240,20404,0,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,0,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,0,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,0,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,0,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,0,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,0,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,0,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,0,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,0,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,0,22327,22168,18602,13652,21271,18446,10226,21687,13694,13984,14300,15017,17240,20404,0,22327,22168,18602,13652,21271,18446,352
6531,6581,6631,6336,6770,6677,6542,6718,6546,6522,6749,6592,6593,6612,6610,6531,6581,6631,6336,6770,6677,6542,6718,6546,6522,6749,6592,6593,6612,6610,6531,6581,6631,6336,6770,6677,6542,6718,6546,6522,6749,6592,6593,6612,6610,6531,6581,6631,6336,6770,6677,6542,6718,6546,6522,6749,6592,6593,6612,6610,6531,6581,6631,6336,6770,6677,6542,6718,6546,6522,6749,6592,6593,6612,6610,6531,6581,6631,6336,6770,6677,6542,6718,6546,6522,6749,6592,6593,6612,6610,6531,6581,6631,6336,6770,6677,6542,6718,6546,6522,6749,6592,6593,6612,6610,6531,6581,6631,6336,6770,6677,6542,6718,6546,6522,6749,6592,6593,6612,6610,6531,6581,6631,6336,6770,6677,6542,6718,6546,6522,6749,6592,6593,6612,6610,6531,6581,6631,6336,6770,6677,6542,6718,6546,6522,6749,6592,6593,6612,6610,6531,6581,6631,6336,6770,6677,6542,6718,6546,6522,6749,6592,6593,6612,6610,6531,6581,6631,6336,6770,6677,6542,6718,6546,6522,6749,6592,6593,6612,6610,69
551905,577372,564543,545264,566604,586302,565627,561418,568080,566624,564922,565824,564871,565448,565804,551905,577372,564543,545264,566604,586302,565627,561418,568080,566624,564922,565824,564871,565448,565804,551905,577372,564543,545264,566604,586302,565627,561418,568080,566624,564922,565824,564871,565448,565804,551905,577372,564543,545264,566604,586302,565627,561418,568080,566624,564922,565824,564871,565448,565804,551905,577372,564543,545264,566604,586302,565627,561418,568080,566624,564922,565824,564871,565448,565804,551905,577372,564543,545264,566604,586302,565627,561418,568080,566624,564922,565824,564871,565448,565804,551905,577372,564543,545264,566604,586302,565627,561418,568080,566624,564922,565824,564871,565448,565804,551905,577372,564543,545264,566604,586302,565627,561418,568080,566624,564922,565824,564871,565448,565804,551905,577372,564543,545264,566604,586302,565627,561418,568080,566624,564922,565824,564871,565448,565804,551905,577372,564543,545264,566604,586302,565627,561418,568080,566624,564922,565824,564871,565448,565804,551905,577372,564543,545264,566604,586302,565627,561418,568080,566624,564922,565824,564871,565448,565804,551905,577372,564543,545264,566604,586302,565627,561418,568080,566624,564922,565824,564871,565448,565804,256
50993,36066,42372,49733,65814,62708,47675,41845,63184,9517,74980,63228,52330,39790,68984,50993,36066,42372,49733,65814,62708,47675,41845,63184,9517,74980,63228,52330,39790,68984,50993,36066,42372,49733,65814,62708,47675,41845,63184,9517,74980,63228,52330,39790,68984,50993,36066,42372,49733,65814,62708,47675,41845,63184,9517,74980,63228,52330,39790,68984,50993,36066,42372,49733,65814,62708,47675,41845,63184,9517,74980,63228,52330,39790,68984,50993,36066,42372,49733,65814,62708,47675,41845,63184,9517,74980,63228,52330,39790,68984,50993,36066,42372,49733,65814,62708,47675,41845,63184,9517,74980,63228,52330,39790,68984,50993,36066,42372,49733,65814,62708,47675,41845,63184,9517,74980,63228,52330,39790,68984,50993,36066,42372,49733,65814,62708,47675,41845,63184,9517,74980,63228,52330,39790,68984,50993,36066,42372,49733,65814,62708,47675,41845,63184,9517,74980,63228,52330,39790,68984,50993,36066,42372,49733,65814,62708,47675,41845,63184,9517,74980,63228,52330,39790,68984,50993,36066,42372,49733,65814,62708,47675,41845,63184,9517,74980,63228,52330,39790,68984,598
7356,7445,7481,8863,7469,8088,7531,7605,8166,7916,7439,8140,7771,7815,7795,7356,7445,7481,8863,7469,8088,7531,7605,8166,7916,7439,8140,7771,7815,7795,7356,7445,7481,8863,7469,8088,7531,7605,8166,7916,7439,8140,7771,7815,7795,7356,7445,7481,8863,7469,8088,7531,7605,8166,7916,7439,8140,7771,7815,7795,7356,7445,7481,8863,7469,8088,7531,7605,8166,7916,7439,8140,7771,7815,7795,7356,7445,7481,8863,7469,8088,7531,7605,8166,7916,7439,8140,7771,7815,7795,7356,7445,7481,8863,7469,8088,7531,7605,8166,7916,7439,8140,7771,7815,7795,7356,7445,7481,8863,7469,8088,7531,7605,8166,7916,7439,8140,7771,7815,7795,7356,7445,7481,8863,7469,8088,7531,7605,8166,7916,7439,8140,7771,7815,7795,7356,7445,7481,8863,7469,8088,7531,7605,8166,7916,7439,8140,7771,7815,7795,7356,7445,7481,8863,7469,8088,7531,7605,8166,7916,7439,8140,7771,7815,7795,7356,7445,7481,8863,7469,8088,7531,7605,8166,7916,7439,8140,7771,7815,7795,22
45962,47198,47389,47021,46880,46578,47231,46505,45558,47205,48284,46665,46737,47257,46954,45962,47198,47389,47021,46880,46578,47231,46505,45558,47205,48284,46665,46737,47257,46954,45962,47198,47389,47021,46880,46578,47231,46505,45558,47205,48284,46665,46737,47257,46954,45962,47198,47389,47021,46880,46578,47231,46505,45558,47205,48284,46665,46737,47257,46954,45962,47198,47389,47021,46880,46578,47231,46505,45558,47205,48284,46665,46737,47257,46954,45962,47198,47389,47021,46880,46578,47231,46505,45558,47205,48284,46665,46737,47257,46954,45962,47198,47389,47021,46880,46578,47231,46505,45558,47205,48284,46665,46737,47257,46954,45962,47198,47389,47021,46880,46578,47231,46505,45558,47205,48284,46665,46737,47257,46954,45962,47198,47389,47021,46880,46578,47231,46505,45558,47205,48284,46665,46737,47257,46954,45962,47198,47389,47021,46880,46578,47231,46505,45558,47205,48284,46665,46737,47257,46954,45962,47198,47389,47021,46880,46578,47231,46505,45558,47205,48284,46665,46737,47257,46954,45962,47198,47389,47021,46880,46578,47231,46505,45558,47205,48284,46665,46737,47257,46954,574
