band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,census_code
96141,96734,96915,96437,96762,96141,96734,96915,96437,96762,96141,96734,96915,96437,96762,96141,96734,96915,96437,96762,96141,96734,96915,96437,96762,96141,96734,96915,96437,96762,96141,96734,96915,96437,96762,96141,96734,96915,96437,96762,96141,96734,96915,96437,96762,96141,96734,96915,96437,96762,96141,96734,96915,96437,96762,96141,96734,96915,96437,96762,80
50740,52742,52123,51206,52804,50740,52742,52123,51206,52804,50740,52742,52123,51206,52804,50740,52742,52123,51206,52804,50740,52742,52123,51206,52804,50740,52742,52123,51206,52804,50740,52742,52123,51206,52804,50740,52742,52123,51206,52804,50740,52742,52123,51206,52804,50740,52742,52123,51206,52804,50740,52742,52123,51206,52804,50740,52742,52123,51206,52804,178
289333,288658,243649,332264,294189,289333,288658,243649,332264,294189,289333,288658,243649,332264,294189,289333,288658,243649,332264,294189,289333,288658,243649,332264,294189,289333,288658,243649,332264,294189,289333,288658,243649,332264,294189,289333,288658,243649,332264,294189,289333,288658,243649,332264,294189,289333,288658,243649,332264,294189,289333,288658,243649,332264,294189,289333,288658,243649,332264,294189,339
233953,232957,237604,231955,238033,233953,232957,237604,231955,238033,233953,232957,237604,231955,238033,233953,232957,237604,231955,238033,233953,232957,237604,231955,238033,233953,232957,237604,231955,238033,233953,232957,237604,231955,238033,233953,232957,237604,231955,238033,233953,232957,237604,231955,238033,233953,232957,237604,231955,238033,233953,232957,237604,231955,238033,233953,232957,237604,231955,238033,469
45607,43301,37644,63097,53369,45607,43301,37644,63097,53369,45607,43301,37644,63097,53369,45607,43301,37644,63097,53369,45607,43301,37644,63097,53369,45607,43301,37644,63097,53369,45607,43301,37644,63097,53369,45607,43301,37644,63097,53369,45607,43301,37644,63097,53369,45607,43301,37644,63097,53369,45607,43301,37644,63097,53369,45607,43301,37644,63097,53369,352
19743,19783,19806,19863,19815,19743,19783,19806,19863,19815,19743,19783,19806,19863,19815,19743,19783,19806,19863,19815,19743,19783,19806,19863,19815,19743,19783,19806,19863,19815,19743,19783,19806,19863,19815,19743,19783,19806,19863,19815,19743,19783,19806,19863,19815,19743,19783,19806,19863,19815,19743,19783,19806,19863,19815,19743,19783,19806,19863,19815,69
1693820,1698170,1695125,1697370,1696123,1693820,1698170,1695125,1697370,1696123,1693820,1698170,1695125,1697370,1696123,1693820,1698170,1695125,1697370,1696123,1693820,1698170,1695125,1697370,1696123,1693820,1698170,1695125,1697370,1696123,1693820,1698170,1695125,1697370,1696123,1693820,1698170,1695125,1697370,1696123,1693820,1698170,1695125,1697370,1696123,1693820,1698170,1695125,1697370,1696123,1693820,1698170,1695125,1697370,1696123,1693820,1698170,1695125,1697370,1696123,256
129431,178255,152704,147725,161104,129431,178255,152704,147725,161104,129431,178255,152704,147725,161104,129431,178255,152704,147725,161104,129431,178255,152704,147725,161104,129431,178255,152704,147725,161104,129431,178255,152704,147725,161104,129431,178255,152704,147725,161104,129431,178255,152704,147725,161104,129431,178255,152704,147725,161104,129431,178255,152704,147725,161104,129431,178255,152704,147725,161104,598
22282,24420,23302,23495,23381,22282,24420,23302,23495,23381,22282,24420,23302,23495,23381,22282,24420,23302,23495,23381,22282,24420,23302,23495,23381,22282,24420,23302,23495,23381,22282,24420,23302,23495,23381,22282,24420,23302,23495,23381,22282,24420,23302,23495,23381,22282,24420,23302,23495,23381,22282,24420,23302,23495,23381,22282,24420,23302,23495,23381,22
140549,140479,139294,142154,140948,140549,140479,139294,142154,140948,140549,140479,139294,142154,140948,140549,140479,139294,142154,140948,140549,140479,139294,142154,140948,140549,140479,139294,142154,140948,140549,140479,139294,142154,140948,140549,140479,139294,142154,140948,140549,140479,139294,142154,140948,140549,140479,139294,142154,140948,140549,140479,139294,142154,140948,140549,140479,139294,142154,140948,574
