band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,census_code
80137,80722,80470,80650,80511,80499,80137,80722,80470,80650,80511,80499,80137,80722,80470,80650,80511,80499,80137,80722,80470,80650,80511,80499,80137,80722,80470,80650,80511,80499,80137,80722,80470,80650,80511,80499,80137,80722,80470,80650,80511,80499,80137,80722,80470,80650,80511,80499,80137,80722,80470,80650,80511,80499,80137,80722,80470,80650,80511,80499,80137,80722,80470,80650,80511,80499,80137,80722,80470,80650,80511,80499,80
43133,43230,43425,42926,41878,45023,43133,43230,43425,42926,41878,45023,43133,43230,43425,42926,41878,45023,43133,43230,43425,42926,41878,45023,43133,43230,43425,42926,41878,45023,43133,43230,43425,42926,41878,45023,43133,43230,43425,42926,41878,45023,43133,43230,43425,42926,41878,45023,43133,43230,43425,42926,41878,45023,43133,43230,43425,42926,41878,45023,43133,43230,43425,42926,41878,45023,43133,43230,43425,42926,41878,45023,178
239289,220409,182182,314176,250477,241560,239289,220409,182182,314176,250477,241560,239289,220409,182182,314176,250477,241560,239289,220409,182182,314176,250477,241560,239289,220409,182182,314176,250477,241560,239289,220409,182182,314176,250477,241560,239289,220409,182182,314176,250477,241560,239289,220409,182182,314176,250477,241560,239289,220409,182182,314176,250477,241560,239289,220409,182182,314176,250477,241560,239289,220409,182182,314176,250477,241560,239289,220409,182182,314176,250477,241560,339
195065,194453,197225,193614,198392,195753,195065,194453,197225,193614,198392,195753,195065,194453,197225,193614,198392,195753,195065,194453,197225,193614,198392,195753,195065,194453,197225,193614,198392,195753,195065,194453,197225,193614,198392,195753,195065,194453,197225,193614,198392,195753,195065,194453,197225,193614,198392,195753,195065,194453,197225,193614,198392,195753,195065,194453,197225,193614,198392,195753,195065,194453,197225,193614,198392,195753,195065,194453,197225,193614,198392,195753,469
31913,41978,32257,42731,52915,41224,31913,41978,32257,42731,52915,41224,31913,41978,32257,42731,52915,41224,31913,41978,32257,42731,52915,41224,31913,41978,32257,42731,52915,41224,31913,41978,32257,42731,52915,41224,31913,41978,32257,42731,52915,41224,31913,41978,32257,42731,52915,41224,31913,41978,32257,42731,52915,41224,31913,41978,32257,42731,52915,41224,31913,41978,32257,42731,52915,41224,31913,41978,32257,42731,52915,41224,352
16428,16421,16628,16377,16606,16550,16428,16421,16628,16377,16606,16550,16428,16421,16628,16377,16606,16550,16428,16421,16628,16377,16606,16550,16428,16421,16628,16377,16606,16550,16428,16421,16628,16377,16606,16550,16428,16421,16628,16377,16606,16550,16428,16421,16628,16377,16606,16550,16428,16421,16628,16377,16606,16550,16428,16421,16628,16377,16606,16550,16428,16421,16628,16377,16606,16550,16428,16421,16628,16377,16606,16550,69
1412062,1393626,1434604,1413447,1413150,1413719,1412062,1393626,1434604,1413447,1413150,1413719,1412062,1393626,1434604,1413447,1413150,1413719,1412062,1393626,1434604,1413447,1413150,1413719,1412062,1393626,1434604,1413447,1413150,1413719,1412062,1393626,1434604,1413447,1413150,1413719,1412062,1393626,1434604,1413447,1413150,1413719,1412062,1393626,1434604,1413447,1413150,1413719,1412062,1393626,1434604,1413447,1413150,1413719,1412062,1393626,1434604,1413447,1413150,1413719,1412062,1393626,1434604,1413447,1413150,1413719,1412062,1393626,1434604,1413447,1413150,1413719,256
127894,117084,135013,89916,138208,161104,127894,117084,135013,89916,138208,161104,127894,117084,135013,89916,138208,161104,127894,117084,135013,89916,138208,161104,127894,117084,135013,89916,138208,161104,127894,117084,135013,89916,138208,161104,127894,117084,135013,89916,138208,161104,127894,117084,135013,89916,138208,161104,127894,117084,135013,89916,138208,161104,127894,117084,135013,89916,138208,161104,127894,117084,135013,89916,138208,161104,127894,117084,135013,89916,138208,161104,598
19475,19139,19622,19684,19131,19829,19475,19139,19622,19684,19131,19829,19475,19139,19622,19684,19131,19829,19475,19139,19622,19684,19131,19829,19475,19139,19622,19684,19131,19829,19475,19139,19622,19684,19131,19829,19475,19139,19622,19684,19131,19829,19475,19139,19622,19684,19131,19829,19475,19139,19622,19684,19131,19829,19475,19139,19622,19684,19131,19829,19475,19139,19622,19684,19131,19829,19475,19139,19622,19684,19131,19829,22
116643,117807,115929,117148,118441,117456,116643,117807,115929,117148,118441,117456,116643,117807,115929,117148,118441,117456,116643,117807,115929,117148,118441,117456,116643,117807,115929,117148,118441,117456,116643,117807,115929,117148,118441,117456,116643,117807,115929,117148,118441,117456,116643,117807,115929,117148,118441,117456,116643,117807,115929,117148,118441,117456,116643,117807,115929,117148,118441,117456,116643,117807,115929,117148,118441,117456,116643,117807,115929,117148,118441,117456,574
145216,145873,141437,149601,144954,146186,145216,145873,141437,149601,144954,146186,145216,145873,141437,149601,144954,146186,145216,145873,141437,149601,144954,146186,145216,145873,141437,149601,144954,146186,145216,145873,141437,149601,144954,146186,145216,145873,141437,149601,144954,146186,145216,145873,141437,149601,144954,146186,145216,145873,141437,149601,144954,146186,145216,145873,141437,149601,144954,146186,145216,145873,141437,149601,144954,146186,145216,145873,141437,149601,144954,146186,474
44486,66439,55387,55534,46610,64577,44486,66439,55387,55534,46610,64577,44486,66439,55387,55534,46610,64577,44486,66439,55387,55534,46610,64577,44486,66439,55387,55534,46610,64577,44486,66439,55387,55534,46610,64577,44486,66439,55387,55534,46610,64577,44486,66439,55387,55534,46610,64577,44486,66439,55387,55534,46610,64577,44486,66439,55387,55534,46610,64577,44486,66439,55387,55534,46610,64577,44486,66439,55387,55534,46610,64577,281
66452,65089,66124,67134,68431,66731,66452,65089,66124,67134,68431,66731,66452,65089,66124,67134,68431,66731,66452,65089,66124,67134,68431,66731,66452,65089,66124,67134,68431,66731,66452,65089,66124,67134,68431,66731,66452,65089,66124,67134,68431,66731,66452,65089,66124,67134,68431,66731,66452,65089,66124,67134,68431,66731,66452,65089,66124,67134,68431,66731,66452,65089,66124,67134,68431,66731,66452,65089,66124,67134,68431,66731,569
43043,42034,44264,43344,43056,43291,43043,42034,44264,43344,43056,43291,43043,42034,44264,43344,43056,43291,43043,42034,44264,43344,43056,43291,43043,42034,44264,43344,43056,43291,43043,42034,44264,43344,43056,43291,43043,42034,44264,43344,43056,43291,43043,42034,44264,43344,43056,43291,43043,42034,44264,43344,43056,43291,43043,42034,44264,43344,43056,43291,43043,42034,44264,43344,43056,43291,43043,42034,44264,43344,43056,43291,229
