band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,census_code
68803,68986,69110,66422,70365,70269,69034,68803,68986,69110,66422,70365,70269,69034,68803,68986,69110,66422,70365,70269,69034,68803,68986,69110,66422,70365,70269,69034,68803,68986,69110,66422,70365,70269,69034,68803,68986,69110,66422,70365,70269,69034,68803,68986,69110,66422,70365,70269,69034,68803,68986,69110,66422,70365,70269,69034,68803,68986,69110,66422,70365,70269,69034,68803,68986,69110,66422,70365,70269,69034,68803,68986,69110,66422,70365,70269,69034,68803,68986,69110,66422,70365,70269,69034,80
36854,37274,36924,35709,37276,33840,41738,36854,37274,36924,35709,37276,33840,41738,36854,37274,36924,35709,37276,33840,41738,36854,37274,36924,35709,37276,33840,41738,36854,37274,36924,35709,37276,33840,41738,36854,37274,36924,35709,37276,33840,41738,36854,37274,36924,35709,37276,33840,41738,36854,37274,36924,35709,37276,33840,41738,36854,37274,36924,35709,37276,33840,41738,36854,37274,36924,35709,37276,33840,41738,36854,37274,36924,35709,37276,33840,41738,36854,37274,36924,35709,37276,33840,41738,178
170539,237418,210535,203148,209242,209866,207345,170539,237418,210535,203148,209242,209866,207345,170539,237418,210535,203148,209242,209866,207345,170539,237418,210535,203148,209242,209866,207345,170539,237418,210535,203148,209242,209866,207345,170539,237418,210535,203148,209242,209866,207345,170539,237418,210535,203148,209242,209866,207345,170539,237418,210535,203148,209242,209866,207345,170539,237418,210535,203148,209242,209866,207345,170539,237418,210535,203148,209242,209866,207345,170539,237418,210535,203148,209242,209866,207345,170539,237418,210535,203148,209242,209866,207345,339
167674,167898,167616,166796,168864,166238,169416,167674,167898,167616,166796,168864,166238,169416,167674,167898,167616,166796,168864,166238,169416,167674,167898,167616,166796,168864,166238,169416,167674,167898,167616,166796,168864,166238,169416,167674,167898,167616,166796,168864,166238,169416,167674,167898,167616,166796,168864,166238,169416,167674,167898,167616,166796,168864,166238,169416,167674,167898,167616,166796,168864,166238,169416,167674,167898,167616,166796,168864,166238,169416,167674,167898,167616,166796,168864,166238,169416,167674,167898,167616,166796,168864,166238,169416,469
31913,27678,29317,37644,44495,32254,39717,31913,27678,29317,37644,44495,32254,39717,31913,27678,29317,37644,44495,32254,39717,31913,27678,29317,37644,44495,32254,39717,31913,27678,29317,37644,44495,32254,39717,31913,27678,29317,37644,44495,32254,39717,31913,27678,29317,37644,44495,32254,39717,31913,27678,29317,37644,44495,32254,39717,31913,27678,29317,37644,44495,32254,39717,31913,27678,29317,37644,44495,32254,39717,31913,27678,29317,37644,44495,32254,39717,31913,27678,29317,37644,44495,32254,39717,352
13985,14272,13948,14355,14155,14064,14231,13985,14272,13948,14355,14155,14064,14231,13985,14272,13948,14355,14155,14064,14231,13985,14272,13948,14355,14155,14064,14231,13985,14272,13948,14355,14155,14064,14231,13985,14272,13948,14355,14155,14064,14231,13985,14272,13948,14355,14155,14064,14231,13985,14272,13948,14355,14155,14064,14231,13985,14272,13948,14355,14155,14064,14231,13985,14272,13948,14355,14155,14064,14231,13985,14272,13948,14355,14155,14064,14231,13985,14272,13948,14355,14155,14064,14231,69
1211466,1207042,1207359,1220059,1211624,1211254,1211804,1211466,1207042,1207359,1220059,1211624,1211254,1211804,1211466,1207042,1207359,1220059,1211624,1211254,1211804,1211466,1207042,1207359,1220059,1211624,1211254,1211804,1211466,1207042,1207359,1220059,1211624,1211254,1211804,1211466,1207042,1207359,1220059,1211624,1211254,1211804,1211466,1207042,1207359,1220059,1211624,1211254,1211804,1211466,1207042,1207359,1220059,1211624,1211254,1211804,1211466,1207042,1207359,1220059,1211624,1211254,1211804,1211466,1207042,1207359,1220059,1211624,1211254,1211804,1211466,1207042,1207359,1220059,1211624,1211254,1211804,1211466,1207042,1207359,1220059,1211624,1211254,1211804,256
109511,110176,92066,85453,147681,113997,110335,109511,110176,92066,85453,147681,113997,110335,109511,110176,92066,85453,147681,113997,110335,109511,110176,92066,85453,147681,113997,110335,109511,110176,92066,85453,147681,113997,110335,109511,110176,92066,85453,147681,113997,110335,109511,110176,92066,85453,147681,113997,110335,109511,110176,92066,85453,147681,113997,110335,109511,110176,92066,85453,147681,113997,110335,109511,110176,92066,85453,147681,113997,110335,109511,110176,92066,85453,147681,113997,110335,109511,110176,92066,85453,147681,113997,110335,598
15839,16729,16496,16664,16880,17491,16781,15839,16729,16496,16664,16880,17491,16781,15839,16729,16496,16664,16880,17491,16781,15839,16729,16496,16664,16880,17491,16781,15839,16729,16496,16664,16880,17491,16781,15839,16729,16496,16664,16880,17491,16781,15839,16729,16496,16664,16880,17491,16781,15839,16729,16496,16664,16880,17491,16781,15839,16729,16496,16664,16880,17491,16781,15839,16729,16496,16664,16880,17491,16781,15839,16729,16496,16664,16880,17491,16781,15839,16729,16496,16664,16880,17491,16781,22
100487,99422,100392,100506,101354,100603,100660,100487,99422,100392,100506,101354,100603,100660,100487,99422,100392,100506,101354,100603,100660,100487,99422,100392,100506,101354,100603,100660,100487,99422,100392,100506,101354,100603,100660,100487,99422,100392,100506,101354,100603,100660,100487,99422,100392,100506,101354,100603,100660,100487,99422,100392,100506,101354,100603,100660,100487,99422,100392,100506,101354,100603,100660,100487,99422,100392,100506,101354,100603,100660,100487,99422,100392,100506,101354,100603,100660,100487,99422,100392,100506,101354,100603,100660,574
