band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,census_code
60229,59125,61724,60251,57814,62590,60608,60648,60229,59125,61724,60251,57814,62590,60608,60648,60229,59125,61724,60251,57814,62590,60608,60648,60229,59125,61724,60251,57814,62590,60608,60648,60229,59125,61724,60251,57814,62590,60608,60648,60229,59125,61724,60251,57814,62590,60608,60648,60229,59125,61724,60251,57814,62590,60608,60648,60229,59125,61724,60251,57814,62590,60608,60648,60229,59125,61724,60251,57814,62590,60608,60648,60229,59125,61724,60251,57814,62590,60608,60648,60229,59125,61724,60251,57814,62590,60608,60648,60229,59125,61724,60251,57814,62590,60608,60648,80
32267,31080,33102,33339,30399,34428,32485,32515,32267,31080,33102,33339,30399,34428,32485,32515,32267,31080,33102,33339,30399,34428,32485,32515,32267,31080,33102,33339,30399,34428,32485,32515,32267,31080,33102,33339,30399,34428,32485,32515,32267,31080,33102,33339,30399,34428,32485,32515,32267,31080,33102,33339,30399,34428,32485,32515,32267,31080,33102,33339,30399,34428,32485,32515,32267,31080,33102,33339,30399,34428,32485,32515,32267,31080,33102,33339,30399,34428,32485,32515,32267,31080,33102,33339,30399,34428,32485,32515,32267,31080,33102,33339,30399,34428,32485,32515,178
170539,123265,165894,182182,262958,161285,200904,181066,170539,123265,165894,182182,262958,161285,200904,181066,170539,123265,165894,182182,262958,161285,200904,181066,170539,123265,165894,182182,262958,161285,200904,181066,170539,123265,165894,182182,262958,161285,200904,181066,170539,123265,165894,182182,262958,161285,200904,181066,170539,123265,165894,182182,262958,161285,200904,181066,170539,123265,165894,182182,262958,161285,200904,181066,170539,123265,165894,182182,262958,161285,200904,181066,170539,123265,165894,182182,262958,161285,200904,181066,170539,123265,165894,182182,262958,161285,200904,181066,170539,123265,165894,182182,262958,161285,200904,181066,339
146717,146722,146125,147179,147106,144295,149348,147010,146717,146722,146125,147179,147106,144295,149348,147010,146717,146722,146125,147179,147106,144295,149348,147010,146717,146722,146125,147179,147106,144295,149348,147010,146717,146722,146125,147179,147106,144295,149348,147010,146717,146722,146125,147179,147106,144295,149348,147010,146717,146722,146125,147179,147106,144295,149348,147010,146717,146722,146125,147179,147106,144295,149348,147010,146717,146722,146125,147179,147106,144295,149348,147010,146717,146722,146125,147179,147106,144295,149348,147010,146717,146722,146125,147179,147106,144295,149348,147010,146717,146722,146125,147179,147106,144295,149348,147010,469
19758,39833,29317,17240,42731,22168,40784,31187,19758,39833,29317,17240,42731,22168,40784,31187,19758,39833,29317,17240,42731,22168,40784,31187,19758,39833,29317,17240,42731,22168,40784,31187,19758,39833,29317,17240,42731,22168,40784,31187,19758,39833,29317,17240,42731,22168,40784,31187,19758,39833,29317,17240,42731,22168,40784,31187,19758,39833,29317,17240,42731,22168,40784,31187,19758,39833,29317,17240,42731,22168,40784,31187,19758,39833,29317,17240,42731,22168,40784,31187,19758,39833,29317,17240,42731,22168,40784,31187,19758,39833,29317,17240,42731,22168,40784,31187,352
12207,12418,12500,12352,12238,12463,12437,12395,12207,12418,12500,12352,12238,12463,12437,12395,12207,12418,12500,12352,12238,12463,12437,12395,12207,12418,12500,12352,12238,12463,12437,12395,12207,12418,12500,12352,12238,12463,12437,12395,12207,12418,12500,12352,12238,12463,12437,12395,12207,12418,12500,12352,12238,12463,12437,12395,12207,12418,12500,12352,12238,12463,12437,12395,12207,12418,12500,12352,12238,12463,12437,12395,12207,12418,12500,12352,12238,12463,12437,12395,12207,12418,12500,12352,12238,12463,12437,12395,12207,12418,12500,12352,12238,12463,12437,12395,69
1060075,1059821,1060332,1060064,1056464,1063602,1060164,1060086,1060075,1059821,1060332,1060064,1056464,1063602,1060164,1060086,1060075,1059821,1060332,1060064,1056464,1063602,1060164,1060086,1060075,1059821,1060332,1060064,1056464,1063602,1060164,1060086,1060075,1059821,1060332,1060064,1056464,1063602,1060164,1060086,1060075,1059821,1060332,1060064,1056464,1063602,1060164,1060086,1060075,1059821,1060332,1060064,1056464,1063602,1060164,1060086,1060075,1059821,1060332,1060064,1056464,1063602,1060164,1060086,1060075,1059821,1060332,1060064,1056464,1063602,1060164,1060086,1060075,1059821,1060332,1060064,1056464,1063602,1060164,1060086,1060075,1059821,1060332,1060064,1056464,1063602,1060164,1060086,1060075,1059821,1060332,1060064,1056464,1063602,1060164,1060086,256
87059,92105,105523,95304,89916,74980,115558,108774,87059,92105,105523,95304,89916,74980,115558,108774,87059,92105,105523,95304,89916,74980,115558,108774,87059,92105,105523,95304,89916,74980,115558,108774,87059,92105,105523,95304,89916,74980,115558,108774,87059,92105,105523,95304,89916,74980,115558,108774,87059,92105,105523,95304,89916,74980,115558,108774,87059,92105,105523,95304,89916,74980,115558,108774,87059,92105,105523,95304,89916,74980,115558,108774,87059,92105,105523,95304,89916,74980,115558,108774,87059,92105,105523,95304,89916,74980,115558,108774,87059,92105,105523,95304,89916,74980,115558,108774,598
14446,14614,12442,16734,14753,14539,14222,15130,14446,14614,12442,16734,14753,14539,14222,15130,14446,14614,12442,16734,14753,14539,14222,15130,14446,14614,12442,16734,14753,14539,14222,15130,14446,14614,12442,16734,14753,14539,14222,15130,14446,14614,12442,16734,14753,14539,14222,15130,14446,14614,12442,16734,14753,14539,14222,15130,14446,14614,12442,16734,14753,14539,14222,15130,14446,14614,12442,16734,14753,14539,14222,15130,14446,14614,12442,16734,14753,14539,14222,15130,14446,14614,12442,16734,14753,14539,14222,15130,14446,14614,12442,16734,14753,14539,14222,15130,22
86858,87327,89552,86642,87437,89690,87881,88037,86858,87327,89552,86642,87437,89690,87881,88037,86858,87327,89552,86642,87437,89690,87881,88037,86858,87327,89552,86642,87437,89690,87881,88037,86858,87327,89552,86642,87437,89690,87881,88037,86858,87327,89552,86642,87437,89690,87881,88037,86858,87327,89552,86642,87437,89690,87881,88037,86858,87327,89552,86642,87437,89690,87881,88037,86858,87327,89552,86642,87437,89690,87881,88037,86858,87327,89552,86642,87437,89690,87881,88037,86858,87327,89552,86642,87437,89690,87881,88037,86858,87327,89552,86642,87437,89690,87881,88037,574
