band_1_1,band_1_2,band_1_3,band_1_4,band_1_5,band_1_6,band_1_7,band_1_8,band_1_9,band_2_1,band_2_2,band_2_3,band_2_4,band_2_5,band_2_6,band_2_7,band_2_8,band_2_9,band_3_1,band_3_2,band_3_3,band_3_4,band_3_5,band_3_6,band_3_7,band_3_8,band_3_9,band_4_1,band_4_2,band_4_3,band_4_4,band_4_5,band_4_6,band_4_7,band_4_8,band_4_9,band_5_1,band_5_2,band_5_3,band_5_4,band_5_5,band_5_6,band_5_7,band_5_8,band_5_9,band_6_1,band_6_2,band_6_3,band_6_4,band_6_5,band_6_6,band_6_7,band_6_8,band_6_9,band_7_1,band_7_2,band_7_3,band_7_4,band_7_5,band_7_6,band_7_7,band_7_8,band_7_9,band_8_1,band_8_2,band_8_3,band_8_4,band_8_5,band_8_6,band_8_7,band_8_8,band_8_9,band_9_1,band_9_2,band_9_3,band_9_4,band_9_5,band_9_6,band_9_7,band_9_8,band_9_9,band_10_1,band_10_2,band_10_3,band_10_4,band_10_5,band_10_6,band_10_7,band_10_8,band_10_9,band_11_1,band_11_2,band_11_3,band_11_4,band_11_5,band_11_6,band_11_7,band_11_8,band_11_9,band_12_1,band_12_2,band_12_3,band_12_4,band_12_5,band_12_6,band_12_7,band_12_8,band_12_9,census_code
52111,54659,54089,53503,51494,56123,53371,53832,53807,52111,54659,54089,53503,51494,56123,53371,53832,53807,52111,54659,54089,53503,51494,56123,53371,53832,53807,52111,54659,54089,53503,51494,56123,53371,53832,53807,52111,54659,54089,53503,51494,56123,53371,53832,53807,52111,54659,54089,53503,51494,56123,53371,53832,53807,52111,54659,54089,53503,51494,56123,53371,53832,53807,52111,54659,54089,53503,51494,56123,53371,53832,53807,52111,54659,54089,53503,51494,56123,53371,53832,53807,52111,54659,54089,53503,51494,56123,53371,53832,53807,52111,54659,54089,53503,51494,56123,53371,53832,53807,52111,54659,54089,53503,51494,56123,53371,53832,53807,80
28837,28304,29222,28862,28190,29299,29006,27965,29930,28837,28304,29222,28862,28190,29299,29006,27965,29930,28837,28304,29222,28862,28190,29299,29006,27965,29930,28837,28304,29222,28862,28190,29299,29006,27965,29930,28837,28304,29222,28862,28190,29299,29006,27965,29930,28837,28304,29222,28862,28190,29299,29006,27965,29930,28837,28304,29222,28862,28190,29299,29006,27965,29930,28837,28304,29222,28862,28190,29299,29006,27965,29930,28837,28304,29222,28862,28190,29299,29006,27965,29930,28837,28304,29222,28862,28190,29299,29006,27965,29930,28837,28304,29222,28862,28190,29299,29006,27965,29930,28837,28304,29222,28862,28190,29299,29006,27965,29930,178
160694,133110,165894,182182,154246,159930,166862,160189,164986,160694,133110,165894,182182,154246,159930,166862,160189,164986,160694,133110,165894,182182,154246,159930,166862,160189,164986,160694,133110,165894,182182,154246,159930,166862,160189,164986,160694,133110,165894,182182,154246,159930,166862,160189,164986,160694,133110,165894,182182,154246,159930,166862,160189,164986,160694,133110,165894,182182,154246,159930,166862,160189,164986,160694,133110,165894,182182,154246,159930,166862,160189,164986,160694,133110,165894,182182,154246,159930,166862,160189,164986,160694,133110,165894,182182,154246,159930,166862,160189,164986,160694,133110,165894,182182,154246,159930,166862,160189,164986,160694,133110,165894,182182,154246,159930,166862,160189,164986,339
130247,129826,129445,132006,129975,128858,132948,130634,130563,130247,129826,129445,132006,129975,128858,132948,130634,130563,130247,129826,129445,132006,129975,128858,132948,130634,130563,130247,129826,129445,132006,129975,128858,132948,130634,130563,130247,129826,129445,132006,129975,128858,132948,130634,130563,130247,129826,129445,132006,129975,128858,132948,130634,130563,130247,129826,129445,132006,129975,128858,132948,130634,130563,130247,129826,129445,132006,129975,128858,132948,130634,130563,130247,129826,129445,132006,129975,128858,132948,130634,130563,130247,129826,129445,132006,129975,128858,132948,130634,130563,130247,129826,129445,132006,129975,128858,132948,130634,130563,130247,129826,129445,132006,129975,128858,132948,130634,130563,469
19758,25849,28284,32257,20404,22327,38847,25183,30109,19758,25849,28284,32257,20404,22327,38847,25183,30109,19758,25849,28284,32257,20404,22327,38847,25183,30109,19758,25849,28284,32257,20404,22327,38847,25183,30109,19758,25849,28284,32257,20404,22327,38847,25183,30109,19758,25849,28284,32257,20404,22327,38847,25183,30109,19758,25849,28284,32257,20404,22327,38847,25183,30109,19758,25849,28284,32257,20404,22327,38847,25183,30109,19758,25849,28284,32257,20404,22327,38847,25183,30109,19758,25849,28284,32257,20404,22327,38847,25183,30109,19758,25849,28284,32257,20404,22327,38847,25183,30109,19758,25849,28284,32257,20404,22327,38847,25183,30109,352
10830,11162,10857,11118,11024,10863,11107,11046,11003,10830,11162,10857,11118,11024,10863,11107,11046,11003,10830,11162,10857,11118,11024,10863,11107,11046,11003,10830,11162,10857,11118,11024,10863,11107,11046,11003,10830,11162,10857,11118,11024,10863,11107,11046,11003,10830,11162,10857,11118,11024,10863,11107,11046,11003,10830,11162,10857,11118,11024,10863,11107,11046,11003,10830,11162,10857,11118,11024,10863,11107,11046,11003,10830,11162,10857,11118,11024,10863,11107,11046,11003,10830,11162,10857,11118,11024,10863,11107,11046,11003,10830,11162,10857,11118,11024,10863,11107,11046,11003,10830,11162,10857,11118,11024,10863,11107,11046,11003,69
939925,944655,921108,963465,939840,944741,941826,942713,942335,939925,944655,921108,963465,939840,944741,941826,942713,942335,939925,944655,921108,963465,939840,944741,941826,942713,942335,939925,944655,921108,963465,939840,944741,941826,942713,942335,939925,944655,921108,963465,939840,944741,941826,942713,942335,939925,944655,921108,963465,939840,944741,941826,942713,942335,939925,944655,921108,963465,939840,944741,941826,942713,942335,939925,944655,921108,963465,939840,944741,941826,942713,942335,939925,944655,921108,963465,939840,944741,941826,942713,942335,939925,944655,921108,963465,939840,944741,941826,942713,942335,939925,944655,921108,963465,939840,944741,941826,942713,942335,939925,944655,921108,963465,939840,944741,941826,942713,942335,256
81299,89638,74041,66775,85453,72701,125118,65420,108774,81299,89638,74041,66775,85453,72701,125118,65420,108774,81299,89638,74041,66775,85453,72701,125118,65420,108774,81299,89638,74041,66775,85453,72701,125118,65420,108774,81299,89638,74041,66775,85453,72701,125118,65420,108774,81299,89638,74041,66775,85453,72701,125118,65420,108774,81299,89638,74041,66775,85453,72701,125118,65420,108774,81299,89638,74041,66775,85453,72701,125118,65420,108774,81299,89638,74041,66775,85453,72701,125118,65420,108774,81299,89638,74041,66775,85453,72701,125118,65420,108774,81299,89638,74041,66775,85453,72701,125118,65420,108774,81299,89638,74041,66775,85453,72701,125118,65420,108774,598
12980,11281,14353,12505,13758,13043,12474,13437,13049,12980,11281,14353,12505,13758,13043,12474,13437,13049,12980,11281,14353,12505,13758,13043,12474,13437,13049,12980,11281,14353,12505,13758,13043,12474,13437,13049,12980,11281,14353,12505,13758,13043,12474,13437,13049,12980,11281,14353,12505,13758,13043,12474,13437,13049,12980,11281,14353,12505,13758,13043,12474,13437,13049,12980,11281,14353,12505,13758,13043,12474,13437,13049,12980,11281,14353,12505,13758,13043,12474,13437,13049,12980,11281,14353,12505,13758,13043,12474,13437,13049,12980,11281,14353,12505,13758,13043,12474,13437,13049,12980,11281,14353,12505,13758,13043,12474,13437,13049,22
78058,78092,78300,77979,78242,76856,78970,78319,78608,78058,78092,78300,77979,78242,76856,78970,78319,78608,78058,78092,78300,77979,78242,76856,78970,78319,78608,78058,78092,78300,77979,78242,76856,78970,78319,78608,78058,78092,78300,77979,78242,76856,78970,78319,78608,78058,78092,78300,77979,78242,76856,78970,78319,78608,78058,78092,78300,77979,78242,76856,78970,78319,78608,78058,78092,78300,77979,78242,76856,78970,78319,78608,78058,78092,78300,77979,78242,76856,78970,78319,78608,78058,78092,78300,77979,78242,76856,78970,78319,78608,78058,78092,78300,77979,78242,76856,78970,78319,78608,78058,78092,78300,77979,78242,76856,78970,78319,78608,574
