census__code,sum_nightlights
532,217828.48
146,447450.25
474,454395.78
522,751162.3
283,56537.426
119,409747.38
501,157453.2
598,49407.207
143,240953.73
465,74145.08
175,432623.38
64,110123.55
104,811478.56
70,169063.08
178,92015.32
503,311768.12
480,255344.22
49,433997.38
482,190574.17
553,397708.56
14,85962.42
260,65080.01
384,297960.12
461,107500.09
209,52329.96
616,64961.684
240,11512.501
459,113699.31
162,145721.97
235,79901.05
515,355389.2
191,215355.67
2,69483.75
556,186218.1
63,57039.37
139,95155.695
180,110012.336
324,29923.773
457,125604.805
393,108418.12
377,156370.69
193,149614.22
182,82414.14
469,351211.62
170,115121.06
9,48948.785
583,238944.36
225,49421.6
339,315380.8
125,165296.34
176,135572.72
8,106356.92
128,307142.53
335,680551.56
150,206517.77
370,128211.914
115,635249.44
54,114910.99
303,33898.844
441,103828.8
414,106225.2
185,172128.47
46,431297.12
391,36213.695
222,87525.875
555,406553.6
565,377791.84
447,141577.86
378,71196.84
224,107034.93
506,67346.34
105,369091.22
488,602524.1
481,348528.5
122,399626.28
420,138726.44
81,279258.44
231,51648.754
444,268775.62
523,361047.72
558,177522.14
417,15615.791
557,204969.78
134,195389.06
101,703905.75
406,486481.62
30,59574.723
334,221328.77
275,12763.41
355,302324.62
319,26237.53
149,218657.02
142,264841.84
500,231847.7
121,208961.16
467,36147.004
232,44288.363
316,62127.094
95,92631.97
23,129207.34
57,198186.64
65,47969.438
284,43170.227
578,120015.0
196,116950.1
280,39591.355
55,214545.61
509,182543.31
253,26242.791
347,38745.418
603,130698.65
425,224960.44
455,198227.0
582,146855.47
570,127685.65
320,48591.56
566,250018.4
171,85837.445
126,378623.12
554,446896.28
274,59016.598
102,379617.8
632,303434.6
617,220016.78
381,192572.6
496,100194.94
416,36242.168
331,69671.2
575,110937.48
495,56379.168
428,179163.5
215,48288.7
327,113160.45
325,30363.828
422,81328.26
109,351793.8
567,157171.94
373,41124.21
60,205307.86
350,99252.06
190,153735.64
437,188801.16
291,39762.914
412,76286.17
354,387949.5
438,244975.88
630,120770.78
562,144455.69
106,125202.984
308,20432.8
383,196731.5
301,43724.312
498,170953.03
257,95559.555
310,262541.78
315,25677.092
265,32277.082
612,165627.27
453,57975.98
494,4396.5264
16,59513.266
485,150628.34
362,68775.14
124,117693.39
409,428653.66
294,33596.723
545,301413.03
247,76310.52
298,84886.82
466,118851.65
251,19215.814
244,34097.336
93,317580.53
595,155592.03
610,188690.23
201,122799.375
161,241304.03
177,146802.22
88,336380.5
45,111338.766
159,73390.37
78,173766.47
40,97027.99
172,148290.7
147,216326.23
43,376748.47
561,101274.24
389,37224.05
11,21996.225
473,259801.22
99,310962.3
388,156387.8
508,75628.92
346,44815.758
61,171134.33
141,666684.8
236,143219.34
140,356529.94
195,208102.27
349,132931.81
302,65328.79
351,59550.703
313,116666.58
183,184240.67
507,105352.68
217,52384.832
188,246646.1
579,309786.94
366,69960.28
458,175266.83
548,305543.9
35,321107.94
86,521507.9
421,232973.52
318,20309.229
28,42400.055
168,121103.516
100,249016.14
341,207775.58
448,72577.38
155,160333.72
68,312525.53
574,232237.25
564,133685.58
360,163027.64
512,91788.1
80,257953.5
449,171397.2
38,159717.36
338,210757.27
536,761192.06
596,47565.117
278,34993.74
277,5305.9707
439,341625.9
451,289906.62
380,77356.85
299,58173.715
114,616979.9
382,258972.06
37,275179.2
165,162463.47
499,346968.84
514,227131.84
116,250043.05
328,199714.17
21,406831.3
477,591831.8
363,61259.934
238,35036.27
405,334194.25
402,88646.45
194,158230.67
239,34475.16
464,78235.64
83,232445.38
129,287690.06
166,218979.06
371,138617.45
103,441254.44
77,204149.83
312,68658.62
479,356004.22
137,128332.3
407,116275.305
233,58495.816
73,215219.67
395,96870.6
322,73321.83
321,82892.09
604,468437.1
390,87050.46
24,163742.36
160,133770.47
629,88778.586
589,30343.049
163,126950.28
164,196360.36
202,81175.72
36,125367.234
637,25780.115
107,267184.2
314,108906.91
4,264199.94
317,32742.623
534,356242.4
74,342936.28
613,95871.2
588,22844.854
7,160930.4
212,37068.45
450,186777.9
174,111908.51
379,53598.02
375,292864.66
223,17477.541
541,158790.58
483,221676.5
153,217228.83
386,133121.2
365,36684.418
34,126641.54
269,18311.182
210,32913.89
18,182600.08
329,95023.22
576,40680.395
348,92205.45
270,29707.342
300,66595.45
581,207726.61
282,17365.951
530,221771.58
342,397109.38
600,75231.89
560,204530.1
398,134548.05
404,250952.27
400,105358.82
127,361366.66
597,48595.203
591,29032.91
547,232316.19
631,162796.86
15,34074.062
26,121412.336
1,50380.54
552,258581.02
72,160512.19
256,95602.48
189,112687.14
25,258952.0
307,34309.145
227,23961.672
167,129030.43
359,62419.36
524,145887.44
287,25826.752
356,44877.48
259,11106.276
268,7271.0874
258,41563.547
255,26010.643
157,582704.3
41,442472.62
286,67438.14
213,31238.426
207,65076.348
623,122674.33
144,158462.75
187,95180.4
411,141078.06
538,545232.5
636,824.5779
84,150837.33
471,255333.7
169,89989.836
148,197595.06
592,47132.473
332,128677.98
399,40584.266
281,37418.645
27,110070.81
454,89481.32
433,174729.11
573,224008.75
47,166995.23
304,36072.703
145,352507.66
192,177362.47
376,260661.78
535,499964.84
138,244396.17
87,125610.766
199,148672.22
42,202744.77
262,31439.988
261,24538.03
135,243146.2
419,168484.27
44,201416.17
518,770802.5
519,278137.56
226,30632.996
333,247695.97
133,288048.94
216,108903.59
577,298733.94
397,47858.13
336,186906.1
305,82926.44
618,103169.24
112,656293.5
505,425546.88
66,183671.78
229,98093.87
323,20693.854
539,393942.53
609,170712.78
511,212837.44
497,147472.25
415,22815.002
487,63196.613
452,150595.75
516,694171.94
490,91793.15
237,40529.05
385,50564.6
432,129300.74
94,244328.77
533,275803.28
337,312434.38
92,217510.62
585,170241.0
292,42599.73
241,74178.98
91,234036.1
394,36551.906
525,156252.47
353,41806.035
593,95583.42
358,68348.33
118,354692.53
89,135609.83
484,209120.88
69,91483.53
75,314658.97
426,119525.79
248,42588.875
513,159172.9
203,89482.79
344,388471.94
368,157081.34
470,150802.03
599,43440.754
48,319583.03
230,263552.56
615,53453.758
271,18025.178
266,34719.977
151,91392.586
62,170753.55
478,73726.266
549,251035.94
131,126945.68
173,196054.6
635,76500.53
621,95493.63
12,36957.133
5,118300.0
204,62531.32
345,277101.34
357,218360.05
387,78924.54
211,65662.34
340,245474.53
158,227482.97
559,239120.73
403,377092.06
520,483438.97
410,504141.3
446,222533.03
442,200385.78
476,511153.5
408,192752.83
6,88988.56
123,225048.4
584,207860.16
626,49543.98
17,42755.22
361,182810.66
136,179073.55
364,269734.56
434,151587.03
528,140754.38
396,82629.18
20,80099.5
430,245434.95
85,175942.0
297,44792.848
82,178843.77
234,79020.36
58,57196.32
51,100643.45
472,256920.08
427,349608.72
132,242155.06
214,31798.617
352,43440.324
52,211350.44
288,24436.025
608,333036.53
221,72047.766
22,114669.4
372,172685.23
531,263303.16
53,266143.47
186,82039.82
198,78619.04
369,155888.31
219,82957.52
527,318793.28
429,316926.2
108,227862.2
445,179025.67
272,53332.668
456,140035.08
285,16718.469
460,84104.375
39,74019.055
152,162378.89
436,206780.52
228,13155.039
205,3844.4524
418,112118.31
33,112387.875
568,149190.92
423,229672.78
181,64879.66
13,19580.918
184,114266.74
462,99535.93
111,531591.1
367,32143.018
529,63239.516
463,248203.97
32,94452.34
117,152693.98
79,292532.34
