census_code,ASSET_prediction_2001
6,1
23,1
36,3
37,3
43,2
45,2
55,3
57,1
58,1
61,1
72,3
82,2
83,2
94,3
97,3
108,1
122,1
123,1
126,1
129,1
133,1
135,1
143,1
146,2
147,1
151,1
152,1
153,1
157,2
160,1
161,1
172,1
174,1
184,1
186,1
191,1
194,1
195,1
198,1
209,1
214,1
218,1
221,1
223,1
228,1
233,1
244,2
248,2
266,1
273,1
274,1
275,1
276,1
278,2
280,1
283,3
284,1
288,1
290,1
304,1
305,1
308,1
309,2
316,1
317,1
318,1
319,1
321,1
329,1
334,1
337,2
350,1
356,1
366,1
371,1
378,1
381,2
385,1
410,1
411,1
413,1
414,1
423,1
428,1
430,1
438,1
439,2
458,1
469,1
471,2
475,1
494,3
502,1
506,1
507,1
525,1
528,1
534,1
539,1
543,1
545,1
547,1
548,1
555,1
559,1
560,1
568,2
571,1
581,1
589,3
590,1
592,1
606,1
614,2
615,1
624,1
2,1
4,1
7,1
8,1
14,1
27,1
28,1
29,1
30,2
32,1
34,1
38,3
39,3
44,1
48,3
60,3
63,1
67,2
70,3
71,1
73,3
76,2
86,2
90,3
93,3
98,3
101,1
102,1
104,1
111,1
113,1
119,1
120,1
121,1
137,1
138,3
145,1
148,1
156,1
159,1
162,1
164,2
167,1
183,1
203,1
205,1
206,1
207,1
211,1
217,1
220,1
229,1
231,1
232,1
233,1
239,1
252,1
255,1
257,1
263,1
267,1
270,1
272,1
281,1
282,1
285,1
287,1
293,1
295,1
303,1
307,1
311,1
312,1
328,1
336,1
340,1
368,1
386,1
391,1
397,1
399,1
406,1
407,1
408,1
412,1
449,1
452,1
454,1
466,1
472,1
476,2
480,1
482,1
489,1
495,2
497,1
505,2
514,1
518,3
521,3
535,1
537,1
557,1
562,2
574,1
596,2
597,3
598,2
601,3
607,1
608,2
611,2
616,1
627,2
637,2
638,1
10,1
25,2
26,1
35,3
41,3
46,1
66,2
69,2
74,2
75,2
85,2
99,1
106,1
107,1
110,2
112,1
115,1
118,1
127,1
128,1
130,1
136,1
144,1
149,1
163,1
165,1
166,1
185,1
190,1
192,1
197,1
201,1
210,1
212,1
219,1
225,1
230,1
233,1
236,1
237,1
242,1
243,2
246,1
264,1
265,1
292,1
338,1
339,1
353,1
355,1
357,1
362,1
373,1
375,1
376,1
377,1
382,1
387,1
388,1
389,1
393,1
395,1
400,1
402,1
405,1
409,1
422,1
424,1
425,1
429,1
437,1
440,1
443,1
448,1
450,1
451,1
457,1
460,1
462,1
478,2
486,2
488,2
490,2
501,1
504,1
508,1
512,1
513,1
524,1
526,1
529,1
531,1
532,1
546,1
549,1
550,1
561,1
563,2
564,1
565,1
566,1
567,1
577,1
579,1
593,2
599,2
600,2
604,2
609,2
610,2
613,1
617,1
619,2
621,2
630,1
634,2
12,1
21,3
49,2
53,2
56,1
59,1
62,1
64,1
65,1
68,2
78,2
80,2
81,1
84,1
92,3
95,3
109,1
114,1
116,1
124,1
125,1
132,1
134,1
141,3
142,1
150,1
158,1
170,1
173,1
176,1
177,1
179,1
187,1
199,1
204,1
224,1
227,1
238,1
247,1
249,1
253,1
254,1
262,1
289,2
291,1
294,1
301,1
302,1
310,2
313,1
327,1
330,1
333,1
335,2
343,1
346,1
351,1
358,1
364,1
370,1
372,1
379,1
380,1
390,1
394,1
396,1
398,1
403,1
416,1
420,1
427,1
432,1
434,1
436,1
441,1
444,3
445,1
446,1
447,1
453,1
455,1
456,1
464,1
473,2
477,1
479,2
483,1
484,1
491,2
498,1
499,1
500,1
503,1
515,2
517,2
530,2
536,3
544,1
552,1
556,1
557,1
558,1
573,1
575,1
576,1
578,1
583,2
586,3
603,3
605,2
618,1
626,2
632,2
635,2
636,3
639,2
1,1
5,1
16,1
19,1
24,2
31,3
33,1
40,3
42,2
47,2
51,3
77,2
79,2
88,1
91,3
96,3
100,1
103,1
105,1
117,1
139,1
140,2
154,1
155,1
168,1
169,1
171,1
175,1
178,1
181,1
182,1
188,1
189,1
193,1
196,1
200,1
215,1
216,1
222,1
226,1
233,1
234,1
235,1
241,1
245,1
250,1
251,1
261,1
277,3
279,1
286,1
296,1
297,1
298,1
299,1
300,1
306,1
314,1
315,1
323,1
325,1
331,1
332,1
341,2
342,3
344,1
347,1
348,1
349,1
352,1
354,1
360,1
374,1
383,1
384,1
392,1
401,1
404,1
421,2
426,1
431,1
433,1
435,1
442,1
468,1
470,1
474,2
481,1
485,1
487,1
492,3
496,1
509,1
510,1
516,2
519,3
520,2
523,1
527,1
533,1
551,1
554,1
569,2
570,1
572,3
585,3
587,2
588,2
591,1
594,2
595,3
602,1
612,2
620,2
622,1
623,2
