census_code,MSW_prediction_2011
1,3
12,3
21,3
25,3
26,3
27,3
31,3
41,3
43,3
44,3
63,3
66,3
67,2
72,3
75,3
79,3
83,3
90,3
94,3
110,3
116,1
120,2
127,3
130,3
137,1
143,1
146,2
152,1
157,2
161,2
162,1
163,1
166,2
167,1
170,1
175,2
184,1
191,1
200,1
212,1
215,1
218,1
222,1
230,2
233,1
238,1
245,3
247,3
254,3
257,3
272,2
282,3
288,1
289,3
292,2
296,2
302,1
303,1
310,2
311,2
319,1
325,1
334,1
336,1
338,2
344,2
349,1
351,1
356,1
358,1
368,1
378,2
379,2
390,1
391,1
401,2
405,3
411,1
423,3
428,2
431,3
440,3
441,3
442,3
455,3
462,1
473,3
476,3
479,3
489,2
494,3
495,3
496,3
506,2
507,3
520,3
524,3
527,3
537,3
544,3
559,2
560,3
564,3
565,3
571,3
577,3
589,3
591,3
592,3
609,3
611,3
612,3
613,3
622,3
623,3
635,3
2,3
4,3
7,3
24,3
29,3
30,3
32,3
42,3
45,3
59,3
61,3
65,3
69,3
76,3
85,3
95,3
100,2
101,2
103,2
104,2
115,1
118,2
122,2
124,2
126,3
128,3
133,2
138,3
139,2
140,3
148,1
150,2
159,1
165,1
169,1
171,1
173,1
176,1
186,1
192,1
193,1
214,1
232,1
237,1
249,2
250,3
251,3
255,3
274,2
275,3
281,3
293,2
301,2
307,2
308,1
309,1
318,2
329,1
335,3
352,2
376,2
377,2
382,2
385,2
394,1
396,2
398,2
399,2
413,2
416,2
427,2
435,3
437,3
438,2
445,3
446,3
452,3
460,3
468,3
474,3
475,3
477,3
485,1
487,3
490,3
498,3
499,3
501,3
502,2
510,2
513,3
514,2
516,3
523,2
525,2
530,3
532,3
546,3
547,3
548,2
551,3
585,3
587,3
595,3
599,3
601,3
602,3
610,3
614,3
616,2
617,3
620,3
627,3
634,3
636,3
639,3
5,3
23,3
36,3
40,3
47,3
51,3
55,3
62,3
70,3
86,2
88,3
93,3
99,2
106,2
111,3
123,2
136,1
144,2
145,2
153,1
156,1
160,1
168,1
174,1
187,1
188,1
190,1
194,1
201,1
206,1
207,1
209,1
220,1
224,3
228,1
231,1
233,1
235,1
241,3
244,3
246,3
253,3
262,3
263,3
264,3
267,2
270,3
276,3
279,3
285,3
297,1
298,3
299,3
300,2
304,1
305,2
306,2
316,2
317,2
321,3
323,1
333,1
339,1
341,3
342,3
350,1
353,1
371,3
374,2
375,2
381,3
383,2
384,1
386,3
388,2
395,1
406,2
410,3
412,2
420,3
421,3
429,2
430,2
433,3
434,3
443,3
470,2
478,3
486,3
488,3
492,3
500,3
503,3
508,3
517,3
518,3
521,3
529,3
534,3
539,3
543,2
557,3
557,3
561,3
563,3
575,3
581,3
588,3
593,3
600,3
603,3
608,3
619,3
630,3
632,3
638,3
28,3
34,3
37,3
38,3
39,3
48,3
49,3
53,3
60,3
68,3
77,3
81,3
92,3
96,3
107,2
108,2
109,2
113,2
114,1
117,3
134,2
135,2
151,1
154,1
158,1
172,1
178,1
181,1
182,1
183,1
185,1
189,1
197,3
199,1
203,1
204,1
210,1
221,1
223,1
229,1
233,1
233,1
234,1
236,1
242,3
243,3
248,3
252,3
261,1
265,3
273,1
277,3
278,3
280,3
283,3
287,1
290,2
294,1
312,2
315,1
327,2
328,1
332,2
337,3
348,1
354,3
370,1
373,1
380,2
387,2
389,1
392,1
400,3
402,1
404,3
408,3
414,2
422,3
426,1
432,3
436,3
447,2
449,3
450,2
451,3
454,3
456,3
458,3
481,3
482,3
484,2
497,2
519,3
528,3
531,3
536,3
550,3
552,2
555,3
556,3
562,3
568,3
572,3
573,3
578,2
579,2
586,3
594,3
597,3
598,3
604,3
605,3
606,3
621,3
624,3
626,3
6,2
8,3
10,3
14,3
16,3
19,3
33,3
35,3
46,3
56,3
57,3
58,3
64,3
71,3
73,3
74,3
78,3
80,3
82,3
84,3
91,3
97,3
98,3
102,3
105,2
112,3
119,2
121,3
125,1
129,2
132,3
141,3
142,1
147,1
149,1
155,1
164,3
177,1
179,1
195,1
196,1
198,3
205,1
211,1
216,1
217,1
219,1
225,1
226,1
227,1
239,2
266,3
284,3
286,3
291,2
295,2
313,2
314,1
330,1
331,1
340,2
343,2
346,1
347,1
355,3
357,2
360,1
362,1
364,1
366,1
372,2
393,1
397,1
403,3
407,3
409,2
424,2
425,2
439,3
444,3
448,3
453,1
457,2
464,2
466,3
469,3
471,3
472,3
480,3
483,3
491,3
504,3
505,3
509,2
512,2
515,3
526,3
533,3
535,2
545,3
549,3
554,3
558,3
566,3
567,3
569,3
570,3
574,3
576,2
583,3
590,3
596,3
607,3
615,3
618,3
637,3
