census_code,CHH_prediction_2001
5,1
6,2
12,2
14,2
19,2
24,2
28,3
35,2
40,2
51,2
56,3
59,2
62,2
65,1
66,3
77,2
86,2
91,3
98,3
100,3
101,2
125,1
130,2
132,2
134,1
135,1
137,1
139,2
145,2
147,1
158,1
160,1
165,1
168,2
172,1
173,2
182,1
184,2
186,2
191,2
196,2
204,1
211,1
220,1
228,1
230,2
233,1
233,1
235,1
239,1
245,2
249,1
250,2
252,2
261,1
265,3
280,1
283,2
286,1
290,1
298,2
300,1
312,1
319,1
327,2
329,1
330,1
331,1
334,1
336,1
339,1
340,1
341,2
347,1
351,1
352,1
364,2
373,1
374,1
377,1
389,1
390,1
392,1
395,1
423,2
431,2
433,2
440,1
449,2
456,2
464,1
472,2
477,2
478,2
480,3
488,3
494,3
516,3
523,2
527,3
528,2
536,3
551,3
552,3
562,2
572,2
574,2
589,3
597,2
599,3
604,3
605,2
618,3
622,3
634,3
636,3
21,3
27,3
30,3
33,3
55,3
60,3
69,3
76,2
78,2
82,2
85,2
92,3
94,3
95,3
103,2
107,1
108,1
121,2
138,2
142,1
156,1
163,1
164,2
175,2
178,2
183,1
185,2
189,1
194,2
200,1
206,1
210,1
222,1
223,1
225,1
227,1
233,1
238,1
243,3
244,3
251,2
255,2
257,2
267,1
270,2
272,1
273,1
282,1
284,1
288,2
293,2
296,1
299,2
305,1
307,1
310,2
311,1
321,2
353,1
370,1
371,1
372,2
386,2
393,1
396,1
398,1
401,2
403,1
406,2
408,2
421,3
424,2
434,1
447,2
448,2
451,2
455,2
460,1
466,2
471,2
474,3
475,3
484,2
496,2
498,2
499,3
503,1
505,2
507,2
509,2
514,2
524,2
531,3
532,2
533,3
546,2
547,3
548,3
555,3
557,1
565,3
573,2
577,2
579,1
591,3
592,3
593,3
594,3
598,3
606,3
611,3
614,3
620,3
621,2
623,3
630,3
1,1
16,2
26,3
36,2
45,2
53,2
58,3
61,3
64,2
72,2
73,2
75,2
80,2
81,2
84,2
88,2
93,3
104,2
105,2
110,3
113,2
115,1
116,1
117,2
127,3
128,2
133,2
136,1
144,1
146,2
148,1
157,2
170,2
171,2
187,1
188,2
190,2
192,2
193,2
201,1
203,1
229,1
237,1
247,1
253,2
263,2
274,2
276,2
277,3
278,2
287,1
294,2
295,2
297,1
302,1
303,1
309,2
314,1
317,1
325,1
328,1
333,1
349,2
354,2
358,1
380,1
383,1
388,1
391,1
399,1
402,2
405,1
407,1
409,2
412,2
420,2
425,1
427,2
429,2
430,2
436,2
444,3
445,2
446,2
462,2
473,3
482,3
483,2
495,3
515,3
519,3
530,3
535,2
537,3
539,2
543,3
549,2
554,3
557,1
558,2
560,1
561,2
570,2
576,1
585,3
590,2
595,3
596,2
607,3
612,2
616,1
617,2
619,2
626,2
632,3
638,2
4,1
23,3
29,3
32,3
39,1
41,2
43,2
47,2
48,2
49,2
57,3
63,3
68,1
79,2
83,2
96,3
102,2
106,2
112,2
114,1
119,2
122,2
126,2
140,2
141,3
143,2
149,2
150,1
151,1
152,1
162,1
167,2
169,2
174,1
177,2
197,2
209,1
212,1
214,1
215,1
216,1
224,1
233,1
241,2
248,1
262,3
264,2
266,2
275,2
301,1
306,1
308,1
315,1
316,1
318,1
332,1
337,2
342,3
344,1
350,1
360,2
366,1
368,2
376,1
378,1
379,3
381,1
384,2
385,1
387,1
397,1
404,2
413,2
426,2
432,2
435,2
437,2
439,1
450,2
453,2
454,2
468,2
469,2
479,3
486,3
487,2
489,3
491,3
497,2
501,2
504,2
506,1
508,2
512,2
513,2
525,1
526,3
529,3
534,3
545,2
559,2
563,2
566,2
567,2
571,2
575,3
588,3
600,3
601,3
603,3
608,2
609,2
610,2
613,2
635,3
637,3
2,2
7,3
8,2
10,2
25,2
31,3
34,3
37,2
38,2
42,2
44,1
46,2
67,2
70,2
71,2
74,2
90,3
97,3
99,2
109,2
111,2
118,2
120,1
123,2
124,1
129,1
153,1
154,1
155,1
159,1
161,1
166,2
176,1
179,2
181,1
195,1
198,2
199,2
205,1
207,2
217,1
218,2
219,1
221,1
226,1
231,1
232,1
234,1
236,1
242,1
246,2
254,1
279,1
281,3
285,2
289,2
291,2
292,2
304,1
313,1
323,1
335,2
338,2
343,2
346,1
348,2
355,2
356,1
357,2
362,1
375,1
382,1
394,1
400,2
410,2
411,1
414,2
416,2
422,2
428,2
438,2
441,1
442,1
443,2
452,2
457,2
458,2
470,2
476,3
481,2
485,1
490,3
492,3
500,2
502,2
510,2
517,3
518,3
520,3
521,3
544,3
550,2
556,2
564,2
568,2
569,3
578,2
581,2
583,2
586,3
587,3
602,3
615,2
624,2
627,3
639,3
