census_code,CHH_prediction_2011
6,1
7,3
8,1
16,1
19,3
23,3
25,2
32,2
34,2
37,2
40,2
47,2
59,3
67,2
76,2
79,2
81,2
85,3
86,2
90,3
92,2
93,3
99,2
106,1
111,2
112,2
127,2
128,2
134,2
141,3
145,2
152,1
153,1
155,1
158,1
159,1
161,1
165,1
176,1
181,1
187,1
192,2
198,2
206,1
210,1
217,1
218,2
221,1
227,1
234,1
242,1
243,2
250,3
252,1
253,1
254,3
273,1
285,1
286,3
289,2
303,1
309,2
312,2
337,2
356,1
358,1
371,1
374,1
384,2
392,1
394,1
400,2
412,1
413,2
416,2
424,2
441,1
447,2
449,3
454,2
468,2
471,2
480,2
484,1
488,2
491,2
499,2
500,2
509,2
513,2
515,2
517,3
518,3
523,2
552,3
557,2
559,1
571,2
578,3
583,1
593,3
604,3
607,3
608,3
609,3
610,3
612,3
616,3
618,3
622,3
627,3
632,3
634,3
635,3
636,3
638,2
4,1
12,1
36,3
38,3
39,3
44,2
45,2
46,2
48,3
55,3
69,2
78,2
83,3
95,3
100,2
107,1
119,2
120,2
122,2
126,1
133,3
138,2
146,2
147,1
157,2
166,2
169,2
175,2
178,2
195,2
199,2
201,1
204,1
211,1
224,1
229,1
233,1
233,1
239,1
241,2
255,2
257,2
264,2
265,2
266,2
278,2
279,2
287,2
293,1
294,1
298,2
300,1
304,1
325,1
330,2
341,3
347,1
349,1
352,1
357,2
360,2
364,1
379,1
383,2
387,1
388,1
389,1
396,2
398,2
401,2
403,2
406,2
408,2
409,2
423,2
426,2
427,2
430,2
432,2
436,2
437,2
452,2
455,2
460,2
464,1
474,3
476,3
479,2
486,3
489,1
498,2
503,2
505,3
507,2
521,3
530,2
533,3
537,2
545,2
546,2
554,2
563,1
565,1
567,1
572,3
573,1
577,2
581,3
592,3
595,3
597,3
601,3
615,2
620,3
623,3
637,3
2,1
14,1
21,3
28,3
30,3
31,3
49,2
58,3
60,3
62,3
63,3
65,3
68,2
72,3
77,2
80,2
96,3
108,2
110,3
113,2
114,1
116,1
123,2
129,2
136,1
139,2
140,3
143,1
148,2
149,1
151,1
163,1
164,3
171,2
177,2
184,2
196,2
203,1
212,1
214,1
216,1
228,1
233,1
235,1
244,3
245,3
248,3
249,1
270,2
272,1
274,1
281,1
295,1
297,2
299,2
302,2
306,1
311,2
314,1
315,1
317,3
319,1
323,1
329,1
332,1
335,2
339,2
340,2
343,2
350,1
353,1
354,2
372,2
375,2
376,1
382,1
385,1
390,1
391,1
405,2
407,1
410,3
411,2
421,3
431,2
433,2
434,2
444,3
446,2
448,2
450,2
469,2
472,2
475,2
481,2
485,1
490,3
496,1
497,2
504,3
514,2
524,3
527,3
528,2
535,3
539,2
543,3
544,2
555,1
556,1
561,2
568,2
570,2
587,3
611,3
614,3
1,2
10,2
24,3
26,3
33,3
35,3
42,2
56,3
57,3
61,3
66,3
75,3
88,3
91,3
94,3
97,3
102,2
104,2
109,2
115,1
117,2
118,2
121,1
124,1
135,1
137,1
154,1
167,2
173,1
179,2
182,2
185,2
188,2
193,2
197,2
209,1
215,1
219,1
223,1
225,1
230,2
232,1
237,1
238,1
246,1
247,1
251,2
267,1
275,2
277,3
280,1
288,2
296,1
307,2
308,1
313,1
321,1
328,1
333,2
334,2
336,1
338,2
342,3
344,2
348,1
351,1
362,1
366,1
368,1
370,1
377,1
386,1
393,1
404,2
414,2
422,2
425,2
428,2
435,2
438,1
440,1
445,2
451,3
453,2
456,2
457,2
458,2
462,3
466,2
470,2
473,3
478,3
482,3
483,3
487,1
506,2
526,2
534,2
548,2
550,3
560,1
564,2
566,2
575,3
579,1
585,3
588,3
600,3
602,3
605,3
606,3
617,3
621,3
624,3
626,3
630,3
5,1
27,3
29,3
41,3
43,2
51,3
53,3
64,3
70,2
71,3
73,2
74,3
82,2
84,3
98,3
101,2
103,3
105,1
125,1
130,1
132,2
142,2
144,2
150,1
156,1
160,1
162,1
168,1
170,2
172,1
174,2
183,2
186,2
189,1
190,2
191,2
194,2
200,1
205,1
207,2
220,1
222,1
226,1
231,1
233,1
236,1
261,1
262,2
263,1
276,2
282,2
283,2
284,3
290,2
291,2
292,1
301,1
305,1
310,2
316,1
318,1
327,1
331,1
346,1
355,2
373,1
378,1
380,2
381,1
395,1
397,1
399,1
402,1
420,2
429,3
439,3
442,2
443,2
477,3
492,3
494,3
495,3
501,2
502,2
508,2
510,1
512,1
516,3
519,3
520,3
525,2
529,3
531,3
532,3
536,3
547,2
549,3
551,2
557,2
558,2
562,1
569,3
574,3
576,3
586,3
589,3
590,3
591,3
594,3
596,3
598,3
599,3
603,3
613,3
619,3
639,3
