census_code,FC_prediction_2001
2,1
4,1
6,1
8,1
24,1
35,3
39,3
45,2
49,2
57,1
62,1
67,1
76,3
77,2
90,3
91,3
92,3
112,1
121,1
129,1
133,2
134,1
136,2
139,2
157,3
169,2
175,2
192,2
193,2
204,2
206,2
207,2
209,2
210,2
217,2
220,2
221,2
232,2
239,2
244,3
247,1
253,1
255,1
274,1
276,1
282,3
283,3
292,1
300,1
301,1
305,1
315,1
316,1
318,1
331,2
335,2
342,3
350,2
351,2
353,2
360,2
370,1
372,1
374,1
382,2
386,3
393,1
399,1
400,1
403,1
404,1
405,1
406,1
407,1
410,1
425,1
430,2
440,2
458,1
468,1
475,1
479,1
487,1
495,3
500,1
504,1
505,3
507,1
515,1
517,3
520,3
521,3
526,1
528,1
529,1
530,3
531,3
532,1
537,1
543,1
547,3
566,1
568,1
579,1
581,1
585,3
588,1
591,1
594,3
595,1
605,3
610,1
617,1
618,1
619,1
626,1
1,1
5,1
21,3
23,1
30,1
31,3
36,3
37,3
40,3
46,3
51,3
56,1
78,2
84,2
96,3
98,3
100,2
106,2
114,1
120,1
126,1
132,2
135,2
137,2
143,2
145,2
149,2
156,1
162,1
167,1
173,2
182,1
185,2
194,2
205,2
211,2
216,2
225,2
228,2
233,2
233,2
236,2
241,1
242,1
245,1
257,1
262,1
265,3
284,1
285,1
287,1
302,1
303,2
304,1
308,1
310,1
319,1
323,1
328,1
329,1
333,2
337,3
340,1
349,2
352,2
357,1
362,1
384,1
385,1
390,1
394,1
397,1
398,1
414,1
428,1
432,1
441,1
446,1
455,1
456,1
464,1
466,1
470,1
471,1
476,3
477,2
502,1
503,1
527,3
534,1
535,1
536,3
539,1
546,1
550,1
557,1
561,1
564,1
565,1
567,1
573,1
574,1
576,1
578,1
590,1
593,1
600,1
606,1
612,1
615,1
616,1
620,1
627,3
632,3
638,1
639,3
12,1
14,1
19,1
32,1
33,3
34,3
42,2
43,2
59,1
60,3
63,1
68,3
75,3
88,3
93,3
94,3
107,2
113,1
117,1
127,3
140,3
141,3
146,3
147,2
150,2
152,2
158,2
160,2
164,2
166,2
170,1
171,1
174,2
181,2
183,2
187,1
190,1
191,2
195,2
199,2
200,1
212,2
215,2
227,2
237,2
252,1
254,1
263,1
266,1
267,1
272,1
278,1
288,2
291,1
293,1
295,1
297,1
299,1
306,1
307,1
311,1
317,1
332,2
338,2
339,2
343,2
346,1
355,2
358,1
366,1
373,1
377,2
378,2
387,2
389,1
402,1
413,1
423,1
426,1
427,1
444,1
445,1
447,1
451,1
452,1
454,1
460,1
469,1
473,3
474,3
481,3
483,1
489,1
490,1
492,3
501,1
506,1
510,1
518,3
519,3
525,1
549,1
551,1
556,1
575,1
586,3
589,1
592,1
596,1
603,3
608,3
614,3
621,1
623,3
634,3
636,3
26,1
28,1
38,3
47,2
48,3
53,3
55,3
58,1
61,1
64,1
66,3
71,2
79,2
80,2
85,2
86,2
97,3
101,1
103,1
105,2
108,2
109,1
118,1
119,1
125,1
128,1
130,1
144,2
148,2
151,1
153,1
155,2
163,2
168,2
172,1
176,2
177,1
178,2
179,1
188,1
197,3
203,2
218,2
222,2
223,2
229,2
233,2
234,2
235,2
238,2
246,2
248,3
251,1
261,1
270,1
273,1
277,3
279,1
280,1
289,1
294,1
296,1
313,1
314,1
321,3
325,1
334,2
336,2
347,1
354,2
356,1
376,1
380,2
383,1
388,1
391,1
392,1
396,1
409,1
411,1
422,2
429,1
431,1
434,1
436,1
438,1
439,3
442,1
443,1
448,1
450,1
485,1
488,3
494,3
496,2
499,1
508,1
509,1
516,3
524,1
544,1
545,1
548,1
555,1
559,1
560,1
570,1
571,1
583,1
601,1
607,1
609,1
613,1
622,1
635,1
637,1
7,1
10,1
16,1
25,1
27,1
29,1
41,2
44,2
65,1
69,3
70,2
72,3
73,2
74,2
81,2
82,3
83,2
95,3
99,2
102,1
104,2
110,1
111,1
115,1
116,1
122,1
123,1
124,1
138,2
142,2
154,1
159,2
161,1
165,2
184,2
186,2
189,2
196,2
198,2
201,2
214,2
219,2
224,2
226,2
230,2
231,2
233,2
243,1
249,1
250,1
264,1
275,1
281,1
286,1
290,1
298,1
309,1
312,1
327,1
330,2
341,2
344,2
348,1
364,1
368,1
371,1
375,1
379,2
381,2
395,1
401,1
408,1
412,1
416,1
420,2
421,1
424,1
433,1
435,1
437,1
449,1
453,1
457,1
462,1
472,1
478,2
480,2
482,1
484,1
486,3
491,1
497,1
498,1
512,1
513,1
514,1
523,1
533,1
552,1
554,1
557,1
558,1
562,1
563,1
569,1
572,1
577,3
587,1
597,1
598,3
599,1
602,3
604,3
611,3
624,1
630,1
