census_code,FC_prediction_2011
7,1
21,3
25,1
28,1
37,3
57,1
58,1
61,1
63,1
65,1
69,3
74,3
77,2
80,3
84,2
86,3
90,3
101,2
102,1
106,2
109,1
112,1
118,1
127,3
128,2
134,2
145,2
152,2
153,1
157,3
161,1
174,2
179,1
186,2
193,2
206,2
217,2
221,2
225,2
227,2
228,2
231,2
232,2
233,2
236,2
238,2
244,3
248,3
249,1
254,1
262,1
263,1
267,1
273,1
279,1
284,1
285,1
293,1
296,1
302,1
304,1
309,1
316,1
318,1
329,2
332,2
343,3
381,1
386,1
391,1
394,1
396,1
406,1
421,3
422,2
427,1
435,1
436,1
445,1
447,1
448,1
450,1
456,1
460,1
470,1
471,3
472,1
473,3
479,2
483,1
492,3
494,3
500,1
502,1
514,1
516,3
530,3
537,3
544,1
545,1
551,1
554,1
559,1
561,1
569,1
570,1
572,3
586,3
587,3
589,1
603,3
606,1
607,1
608,1
613,1
626,1
1,1
5,1
14,1
16,1
26,1
29,1
30,1
32,1
38,3
56,1
59,1
81,2
91,3
94,3
96,3
107,2
108,2
116,1
121,1
129,1
133,2
140,3
155,2
156,1
158,1
162,2
164,3
168,2
187,1
191,2
194,2
195,2
200,2
204,2
205,2
209,2
212,2
224,2
234,2
250,1
251,3
257,1
276,1
278,1
280,1
281,1
282,1
287,1
288,1
294,1
299,1
303,2
307,1
311,1
314,1
331,2
334,2
342,3
344,2
347,1
351,2
360,2
368,1
371,1
372,1
375,1
376,1
387,2
393,1
397,1
402,1
409,1
410,1
412,1
413,1
423,1
426,1
431,1
432,1
438,1
442,1
458,1
468,1
476,3
484,1
486,3
488,3
504,1
505,3
513,1
518,3
521,3
525,1
533,1
543,1
546,1
552,1
558,1
562,1
563,1
565,1
566,1
567,1
583,1
592,1
593,3
595,1
600,1
602,3
604,1
610,1
618,1
619,1
621,1
624,1
639,3
6,1
10,3
19,1
33,3
35,3
36,3
41,3
42,2
49,3
51,3
53,3
55,3
60,3
64,1
68,3
70,3
82,3
83,3
85,2
104,2
105,2
111,1
117,1
120,1
123,1
124,1
137,2
138,3
141,3
143,2
144,2
146,2
148,2
151,2
163,2
166,2
169,2
171,1
175,2
178,2
182,2
183,1
184,2
192,2
196,2
235,2
237,2
245,3
246,3
253,1
261,1
272,1
283,3
289,3
312,1
315,1
317,1
321,3
327,1
328,3
330,2
338,3
339,1
349,2
350,2
353,2
354,3
355,2
356,1
358,1
362,1
374,1
380,1
385,1
388,1
392,1
398,1
399,1
401,1
405,1
407,1
408,1
424,1
425,1
440,2
441,2
443,2
444,3
451,3
475,2
478,3
480,1
489,1
490,3
496,1
497,1
498,1
503,1
507,1
519,3
535,1
548,1
550,1
555,1
556,1
564,1
590,1
591,1
599,1
605,1
611,1
615,1
616,1
622,1
630,1
635,3
4,3
8,1
12,2
27,1
39,3
40,3
46,3
48,3
62,1
67,1
71,3
72,3
75,3
76,3
79,2
93,3
98,3
113,1
114,1
119,1
122,1
125,1
126,1
130,1
132,2
139,2
142,2
147,2
149,2
150,2
159,2
181,1
185,2
188,1
189,2
190,2
198,2
214,2
215,2
218,2
219,2
223,2
229,2
230,2
233,2
233,2
239,2
241,1
243,1
247,1
255,1
265,1
266,1
277,3
292,1
298,1
306,1
308,1
323,1
333,2
337,3
346,1
348,1
352,1
370,1
377,1
378,2
379,1
382,2
400,1
404,1
411,1
429,1
430,2
433,1
434,1
439,3
449,1
452,1
453,1
464,1
477,3
482,1
485,1
501,1
508,1
509,1
510,1
515,2
517,3
520,3
523,1
524,1
527,1
528,1
531,1
534,1
536,3
549,1
557,1
557,1
560,1
568,1
573,1
574,1
575,1
577,1
588,1
594,1
598,1
609,3
620,1
627,1
632,3
636,3
637,1
2,2
23,1
24,1
31,1
34,3
43,2
44,2
45,3
47,2
66,3
73,2
78,2
88,3
92,3
95,3
97,3
99,2
100,1
103,1
110,3
115,1
135,2
136,2
154,2
160,2
165,2
167,1
170,2
172,1
173,1
176,1
177,2
197,2
199,2
201,2
203,2
207,2
210,2
211,2
216,2
220,2
222,2
226,2
233,2
242,1
252,1
264,1
270,1
274,1
275,1
286,3
290,1
291,1
295,1
297,1
300,1
301,1
305,1
310,1
313,1
319,1
325,1
335,3
336,2
340,1
341,3
357,3
364,1
366,1
373,1
383,1
384,1
389,1
390,1
395,1
403,1
414,1
416,1
420,2
428,1
437,1
446,1
454,1
455,1
457,1
462,1
466,1
469,1
474,3
481,3
487,1
491,1
495,3
499,1
506,1
512,1
526,1
529,1
532,1
539,1
547,1
571,1
576,1
578,1
579,1
581,1
585,3
596,3
597,3
601,1
612,3
614,1
617,1
623,3
634,3
638,1
