census_code,prediction_2019
1,2
2,3
3,3
4,2
5,2
6,2
7,3
8,3
10,3
12,3
14,3
16,1
19,3
21,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
51,3
53,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
88,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,2
108,3
109,3
110,3
111,3
112,3
113,2
114,2
115,3
116,3
117,2
118,3
119,3
120,3
121,2
122,2
123,3
124,1
125,1
126,3
127,3
128,3
129,2
130,2
132,3
133,3
134,2
135,3
136,3
137,3
138,3
139,3
140,3
141,3
142,3
143,3
144,3
145,3
146,3
147,3
148,3
149,1
150,3
151,3
152,1
153,1
154,1
155,1
156,1
157,3
158,3
159,3
160,2
161,3
162,3
163,2
164,3
165,3
166,3
167,1
168,2
169,3
170,1
171,1
172,2
173,3
174,2
175,3
176,2
177,3
178,3
179,3
180,1
181,2
182,1
183,3
184,1
185,3
186,3
187,3
188,3
189,3
190,3
191,3
192,3
193,3
194,3
195,3
196,3
197,3
198,3
199,3
200,1
201,3
203,2
204,2
205,2
206,2
207,1
208,2
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,3
218,3
219,2
220,2
221,1
222,1
223,1
224,1
225,1
226,2
227,1
228,3
229,1
230,3
231,1
232,2
233,1
234,3
235,1
236,1
237,1
238,2
239,1
241,3
242,2
243,3
244,3
245,2
246,3
247,2
248,3
249,2
250,3
251,3
252,2
253,3
254,2
255,2
257,3
261,1
262,3
263,3
264,3
265,3
266,3
267,1
270,3
272,1
273,1
274,2
275,3
276,3
277,3
278,3
279,2
280,3
281,3
282,3
283,3
284,3
285,3
286,3
287,2
288,3
289,3
290,2
291,2
292,3
293,2
294,1
295,2
296,1
297,2
298,3
299,2
300,2
301,2
302,2
303,2
304,2
305,1
306,2
307,2
308,2
309,3
310,3
311,3
312,3
313,2
314,1
315,2
316,3
317,2
318,2
319,2
321,3
323,3
325,2
327,3
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,3
336,2
337,3
338,3
339,2
340,2
341,3
342,3
343,2
344,2
346,1
347,1
348,3
349,1
350,2
351,1
352,2
353,2
354,3
355,3
356,1
357,3
358,1
360,3
362,1
364,3
366,1
368,2
370,1
371,3
372,2
373,1
374,2
375,2
376,1
377,2
378,1
379,3
380,2
381,3
382,2
383,2
384,2
385,2
386,3
387,2
388,2
389,1
390,1
391,1
392,1
393,2
394,1
395,1
396,1
397,1
398,2
399,3
400,2
401,1
402,1
403,2
404,2
405,1
406,2
407,1
408,2
409,3
410,3
411,1
412,2
413,1
414,1
416,1
418,1
419,1
420,2
421,3
422,3
423,1
424,1
425,2
426,1
427,2
428,2
429,2
430,1
431,1
432,3
433,2
434,3
435,3
436,2
437,3
438,1
439,3
440,1
441,1
442,2
443,2
444,3
445,3
446,2
447,1
448,3
449,3
450,2
451,3
452,1
453,1
454,1
455,2
456,2
457,1
458,1
460,2
462,1
464,1
466,2
468,3
469,3
470,3
471,3
472,2
473,3
474,3
475,3
476,3
477,3
478,3
479,3
480,3
481,3
482,3
483,2
484,1
485,1
486,3
487,2
488,3
489,2
490,3
491,3
492,3
494,3
495,3
496,3
497,1
498,2
499,3
500,2
501,3
502,3
503,3
504,3
505,3
506,3
507,2
508,1
509,3
510,3
512,3
513,3
514,2
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,2
524,3
525,3
526,3
527,3
528,3
529,3
530,3
531,3
532,3
533,3
534,3
535,3
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,2
545,3
546,3
547,2
548,2
549,3
550,3
551,3
552,3
553,3
554,3
555,3
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,3
571,3
572,3
573,3
574,3
575,3
576,3
577,3
578,3
579,3
581,3
583,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,3
600,3
601,3
602,3
603,3
604,3
605,3
606,3
607,3
608,3
609,3
610,3
611,3
612,3
613,3
614,3
615,3
616,3
617,3
618,3
619,3
620,3
621,3
622,3
623,3
624,3
626,3
627,3
629,3
630,3
632,3
634,3
635,3
636,3
637,3
638,3
639,3
