census_code,prediction_2019
1,1
2,1
3,2
4,3
5,1
6,1
7,2
8,1
10,2
12,2
14,1
16,2
19,3
21,3
23,2
24,3
25,3
26,2
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,2
36,3
37,3
38,3
39,3
40,3
41,3
42,2
43,2
44,2
45,3
46,2
47,2
48,3
49,3
51,3
53,2
55,3
56,1
57,2
58,2
59,2
60,3
61,2
62,2
63,2
64,2
65,3
66,3
67,2
68,3
69,3
70,3
71,3
72,3
73,2
74,2
75,3
76,3
77,2
78,2
79,3
80,2
81,2
82,3
83,3
84,3
85,3
86,3
88,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,2
101,3
102,3
103,3
104,1
105,1
106,1
107,1
108,1
109,1
110,3
111,3
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,3
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,3
128,1
129,1
130,1
132,2
133,2
134,2
135,1
136,1
137,1
138,3
139,2
140,3
141,3
142,3
143,2
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,3
158,1
159,1
160,1
161,1
162,1
163,2
164,3
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,2
194,1
195,1
196,1
197,2
198,1
199,1
200,1
201,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,2
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,2
231,2
232,2
233,1
234,1
235,1
236,1
237,1
238,1
239,1
241,3
242,3
243,3
244,3
245,2
246,2
247,1
248,3
249,1
250,2
251,2
252,1
253,2
254,2
255,1
257,2
261,2
262,3
263,2
264,2
265,3
266,2
267,2
270,3
272,2
273,2
274,2
275,2
276,2
277,3
278,3
279,2
280,2
281,2
282,3
283,3
284,2
285,3
286,2
287,2
288,2
289,3
290,2
291,2
292,3
293,2
294,2
295,2
296,1
297,2
298,3
299,1
300,1
301,1
302,2
303,1
304,2
305,2
306,2
307,2
308,1
309,2
310,3
311,2
312,2
313,2
314,2
315,2
316,3
317,2
318,2
319,1
321,3
323,3
325,1
327,3
328,3
329,2
330,1
331,2
332,1
333,1
334,1
335,3
336,2
337,3
338,3
339,1
340,1
341,3
342,3
343,2
344,3
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,3
355,1
356,1
357,3
358,1
360,1
362,1
364,1
366,1
368,1
370,1
371,3
372,3
373,1
374,3
375,1
376,1
377,2
378,1
379,1
380,3
381,1
382,2
383,2
384,1
385,2
386,3
387,3
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,2
410,1
411,1
412,2
413,1
414,1
416,1
418,1
419,1
420,1
421,3
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,2
436,1
437,1
438,1
439,3
440,1
441,1
442,1
443,1
444,3
445,1
446,1
447,1
448,1
449,2
450,1
451,3
452,1
453,1
454,1
455,1
456,1
457,1
458,1
460,1
462,1
464,1
466,1
468,3
469,1
470,3
471,2
472,1
473,3
474,3
475,1
476,3
477,2
478,3
479,2
480,2
481,2
482,2
483,2
484,1
485,1
486,3
487,1
488,3
489,1
490,3
491,3
492,3
494,3
495,3
496,3
497,1
498,1
499,2
500,1
501,1
502,1
503,2
504,2
505,3
506,2
507,2
508,1
509,3
510,2
512,1
513,1
514,1
515,3
516,3
517,2
518,3
519,3
520,3
521,3
522,1
523,1
524,1
525,1
526,2
527,2
528,2
529,3
530,3
531,2
532,1
533,1
534,1
535,1
536,3
537,3
538,1
539,1
540,1
541,2
542,1
543,1
544,2
545,2
546,2
547,3
548,2
549,1
550,1
551,1
552,2
553,1
554,1
555,2
556,1
557,1
558,2
559,1
560,1
561,1
562,3
563,3
564,1
565,1
566,1
567,1
568,3
569,3
570,3
571,1
572,3
573,1
574,1
575,3
576,3
577,3
578,1
579,2
581,3
583,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,3
600,3
601,3
602,3
603,3
604,3
605,3
606,1
607,1
608,3
609,3
610,3
611,3
612,1
613,3
614,3
615,1
616,1
617,2
618,2
619,2
620,3
621,1
622,3
623,3
624,1
626,3
627,3
629,3
630,3
632,3
634,3
635,3
636,3
637,3
638,3
639,3
