census_code,prediction_2019
1,1
2,1
3,2
4,3
5,1
6,1
7,1
8,1
10,2
12,1
14,1
16,2
19,1
21,2
23,1
24,3
25,2
26,1
27,1
28,1
29,3
30,3
31,3
32,1
33,2
34,1
35,1
36,3
37,2
38,2
39,3
40,3
41,2
42,1
43,2
44,2
45,2
46,2
47,2
48,2
49,1
51,3
53,2
55,3
56,1
57,2
58,2
59,1
60,3
61,1
62,2
63,2
64,1
65,1
66,3
67,1
68,1
69,3
70,3
71,1
72,2
73,2
74,1
75,3
76,1
77,2
78,2
79,1
80,2
81,1
82,3
83,1
84,1
85,2
86,1
88,1
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,2
100,2
101,1
102,2
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,2
128,1
129,1
130,1
132,1
133,1
134,1
135,2
136,2
137,1
138,2
139,1
140,1
141,2
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,2
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,2
198,1
199,1
200,1
201,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
241,1
242,1
243,3
244,3
245,1
246,1
247,1
248,1
249,1
250,2
251,1
252,1
253,1
254,2
255,2
257,2
261,2
262,3
263,2
264,2
265,3
266,2
267,2
270,3
272,2
273,2
274,2
275,2
276,2
277,3
278,3
279,2
280,1
281,2
282,2
283,1
284,2
285,2
286,2
287,1
288,2
289,2
290,2
291,2
292,2
293,2
294,2
295,1
296,1
297,2
298,3
299,1
300,1
301,1
302,2
303,1
304,2
305,1
306,2
307,1
308,1
309,2
310,2
311,2
312,2
313,2
314,2
315,2
316,2
317,2
318,1
319,1
321,1
323,1
325,1
327,3
328,1
329,2
330,1
331,1
332,1
333,1
334,1
335,2
336,1
337,2
338,2
339,1
340,1
341,1
342,3
343,2
344,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,2
358,1
360,1
362,1
364,1
366,1
368,1
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
416,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,3
440,1
441,1
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,1
450,1
451,1
452,1
453,1
454,1
455,1
456,1
457,1
458,1
460,1
462,1
464,1
466,1
468,3
469,1
470,1
471,2
472,1
473,2
474,3
475,1
476,3
477,2
478,2
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,3
487,1
488,2
489,1
490,1
491,1
492,3
494,3
495,3
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,3
506,1
507,1
508,1
509,1
510,1
512,1
513,1
514,1
515,1
516,1
517,3
518,1
519,3
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,2
528,1
529,1
530,2
531,1
532,1
533,1
534,1
535,1
536,3
537,1
538,1
539,1
540,1
541,2
542,1
543,1
544,1
545,1
546,1
547,1
548,2
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,2
563,1
564,1
565,1
566,1
567,1
568,2
569,3
570,1
571,1
572,3
573,1
574,1
575,3
576,3
577,2
578,1
579,1
581,1
583,1
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,3
600,3
601,3
602,3
603,3
604,3
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,1
617,1
618,1
619,1
620,1
621,1
622,1
623,3
624,1
626,1
627,3
629,3
630,1
632,3
634,3
635,3
636,3
637,3
638,3
639,3
