census_code,prediction_2019
1,1
2,2
3,2
4,1
5,1
6,1
7,3
8,2
10,2
12,2
14,2
16,2
19,2
21,3
23,3
24,3
25,3
26,3
27,3
28,3
29,2
30,3
31,3
32,3
33,3
34,3
35,1
36,1
37,2
38,1
39,2
40,2
41,2
42,2
43,2
44,1
45,2
46,2
47,2
48,2
49,2
51,3
53,2
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,2
66,3
67,2
68,2
69,3
70,2
71,2
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,2
83,2
84,2
85,2
86,3
88,2
90,3
91,2
92,3
93,3
94,3
95,2
96,3
97,3
98,3
99,2
100,3
101,2
102,2
103,3
104,2
105,2
106,1
107,1
108,2
109,2
110,2
111,3
112,2
113,2
114,1
115,1
116,1
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,1
125,1
126,2
127,2
128,2
129,1
130,2
132,2
133,2
134,2
135,1
136,1
137,1
138,1
139,2
140,2
141,2
142,1
143,2
144,1
145,2
146,2
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,2
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,2
167,2
168,2
169,2
170,2
171,2
172,1
173,2
174,1
175,2
176,1
177,2
178,2
179,2
180,1
181,1
182,1
183,1
184,2
185,2
186,2
187,1
188,2
189,1
190,2
191,2
192,2
193,2
194,2
195,1
196,2
197,2
198,2
199,2
200,2
201,1
203,1
204,1
205,1
206,1
207,2
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,2
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,2
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
241,2
242,1
243,2
244,3
245,2
246,2
247,1
248,1
249,1
250,2
251,2
252,2
253,2
254,2
255,2
257,2
261,1
262,3
263,2
264,2
265,1
266,2
267,1
270,2
272,1
273,1
274,2
275,3
276,3
277,3
278,3
279,1
280,1
281,2
282,2
283,3
284,2
285,2
286,2
287,2
288,3
289,2
290,2
291,1
292,1
293,2
294,2
295,2
296,1
297,1
298,3
299,2
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,2
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
321,1
323,1
325,1
327,3
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,2
336,1
337,3
338,2
339,1
340,1
341,2
342,3
343,1
344,1
346,1
347,1
348,2
349,2
350,1
351,1
352,1
353,1
354,2
355,2
356,1
357,2
358,1
360,2
362,1
364,2
366,1
368,2
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,1
381,1
382,1
383,1
384,1
385,1
386,3
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,2
401,2
402,2
403,1
404,2
405,1
406,1
407,1
408,2
409,2
410,2
411,1
412,2
413,2
414,2
416,2
418,1
419,3
420,2
421,2
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,2
431,2
432,2
433,2
434,2
435,2
436,2
437,2
438,2
439,3
440,1
441,1
442,1
443,2
444,3
445,2
446,2
447,2
448,2
449,2
450,2
451,2
452,2
453,2
454,2
455,2
456,2
457,2
458,2
460,2
462,1
464,1
466,2
468,3
469,2
470,3
471,2
472,2
473,3
474,3
475,3
476,3
477,3
478,3
479,3
480,3
481,3
482,3
483,1
484,2
485,1
486,3
487,2
488,2
489,3
490,3
491,3
492,3
494,3
495,3
496,3
497,2
498,2
499,3
500,2
501,1
502,2
503,2
504,2
505,2
506,2
507,2
508,2
509,1
510,3
512,2
513,2
514,2
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,2
524,2
525,2
526,2
527,3
528,2
529,3
530,2
531,3
532,3
533,3
534,3
535,2
536,3
537,2
538,3
539,3
540,2
541,3
542,2
543,2
544,2
545,3
546,3
547,3
548,2
549,3
550,3
551,3
552,3
553,2
554,3
555,2
556,2
557,2
558,2
559,2
560,2
561,2
562,3
563,2
564,2
565,2
566,2
567,2
568,1
569,3
570,1
571,2
572,3
573,2
574,2
575,3
576,2
577,2
578,2
579,2
581,2
583,2
585,3
586,3
587,3
588,3
589,3
590,1
591,3
592,3
593,2
594,3
595,3
596,2
597,3
598,3
599,2
600,3
601,3
602,3
603,3
604,3
605,3
606,3
607,3
608,3
609,2
610,2
611,3
612,3
613,2
614,3
615,3
616,3
617,3
618,2
619,2
620,2
621,2
622,3
623,2
624,3
626,3
627,3
629,3
630,2
632,2
634,3
635,3
636,3
637,3
638,3
639,3
