census_code,prediction_2019
1,2
2,2
3,3
4,3
5,2
6,2
7,2
8,1
10,3
12,2
14,1
16,2
19,3
21,3
23,2
24,3
25,3
26,2
27,2
28,2
29,3
30,3
31,3
32,2
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,2
43,2
44,2
45,3
46,3
47,2
48,3
49,3
51,3
53,3
55,3
56,1
57,2
58,1
59,2
60,3
61,2
62,2
63,1
64,2
65,2
66,3
67,2
68,3
69,3
70,3
71,3
72,3
73,2
74,2
75,3
76,3
77,2
78,2
79,2
80,2
81,2
82,3
83,3
84,2
85,3
86,3
88,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,3
111,2
112,2
113,3
114,2
115,2
116,2
117,3
118,2
119,3
120,2
121,2
122,2
123,3
124,1
125,1
126,2
127,3
128,1
129,1
130,2
132,2
133,2
134,2
135,2
136,1
137,2
138,3
139,2
140,3
141,3
142,2
143,2
144,1
145,2
146,2
147,2
148,1
149,1
150,2
151,1
152,1
153,1
154,1
155,1
156,1
157,3
158,1
159,1
160,1
161,1
162,1
163,1
164,3
165,1
166,2
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,2
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,3
198,2
199,1
200,1
201,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,2
227,1
228,1
229,1
230,2
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
241,3
242,2
243,3
244,3
245,3
246,3
247,2
248,3
249,2
250,3
251,2
252,3
253,2
254,2
255,2
257,3
261,1
262,3
263,2
264,2
265,3
266,2
267,1
270,3
272,1
273,1
274,2
275,3
276,1
277,3
278,3
279,2
280,2
281,1
282,2
283,3
284,2
285,2
286,2
287,2
288,2
289,3
290,2
291,2
292,3
293,1
294,1
295,2
296,1
297,2
298,3
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,3
307,2
308,1
309,3
310,3
311,3
312,3
313,3
314,1
315,2
316,3
317,2
318,2
319,2
321,3
323,3
325,2
327,3
328,3
329,2
330,2
331,2
332,2
333,2
334,2
335,3
336,2
337,3
338,3
339,2
340,2
341,3
342,3
343,3
344,3
346,1
347,1
348,2
349,1
350,2
351,1
352,2
353,2
354,3
355,2
356,1
357,3
358,1
360,2
362,1
364,2
366,1
368,2
370,1
371,3
372,3
373,1
374,3
375,2
376,1
377,2
378,1
379,1
380,2
381,3
382,2
383,2
384,2
385,2
386,3
387,2
388,2
389,1
390,1
391,1
392,1
393,2
394,1
395,1
396,1
397,1
398,2
399,1
400,2
401,1
402,1
403,2
404,2
405,1
406,2
407,1
408,2
409,2
410,2
411,1
412,2
413,1
414,1
416,1
418,1
419,1
420,1
421,3
422,1
423,1
424,1
425,2
426,1
427,2
428,2
429,2
430,1
431,1
432,2
433,1
434,2
435,2
436,1
437,2
438,1
439,3
440,1
441,1
442,1
443,1
444,3
445,1
446,2
447,1
448,1
449,2
450,2
451,3
452,1
453,1
454,1
455,2
456,1
457,1
458,1
460,2
462,1
464,1
466,2
468,3
469,2
470,2
471,3
472,2
473,3
474,3
475,2
476,3
477,3
478,3
479,2
480,2
481,3
482,2
483,2
484,1
485,1
486,3
487,1
488,3
489,1
490,3
491,3
492,3
494,3
495,3
496,3
497,1
498,2
499,2
500,1
501,2
502,1
503,2
504,2
505,3
506,2
507,2
508,1
509,2
510,1
512,1
513,2
514,2
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,2
523,2
524,2
525,1
526,2
527,2
528,2
529,2
530,3
531,2
532,2
533,2
534,2
535,2
536,3
537,3
538,2
539,2
540,2
541,2
542,2
543,1
544,3
545,2
546,2
547,3
548,3
549,2
550,2
551,2
552,2
553,2
554,2
555,2
556,2
557,2
558,2
559,2
560,1
561,2
562,3
563,3
564,2
565,2
566,2
567,2
568,3
569,3
570,3
571,2
572,3
573,2
574,2
575,3
576,3
577,3
578,2
579,2
581,3
583,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,3
600,3
601,3
602,3
603,3
604,3
605,3
606,2
607,2
608,3
609,3
610,3
611,3
612,3
613,3
614,3
615,2
616,1
617,2
618,2
619,2
620,3
621,2
622,3
623,3
624,3
626,3
627,3
629,3
630,3
632,3
634,3
635,3
636,3
637,3
638,3
639,3
