census_code,prediction_2019
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
10,1
12,1
14,1
16,1
19,1
21,3
23,2
24,2
25,1
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,2
34,2
35,3
36,2
37,2
38,3
39,3
40,2
41,3
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
51,3
53,1
55,3
56,2
57,2
58,2
59,1
60,3
61,3
62,2
63,2
64,3
65,3
66,3
67,1
68,1
69,3
70,3
71,1
72,1
73,1
74,1
75,2
76,3
77,1
78,1
79,1
80,1
81,1
82,3
83,3
84,1
85,2
86,1
88,1
90,2
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
132,2
133,1
134,1
135,1
136,1
137,1
138,2
139,1
140,1
141,3
142,1
143,1
144,2
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,2
162,2
163,1
164,2
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,1
201,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,2
236,1
237,1
238,1
239,1
241,2
242,1
243,3
244,3
245,1
246,1
247,1
248,3
249,1
250,1
251,1
252,1
253,1
254,1
255,1
257,1
261,1
262,3
263,3
264,3
265,3
266,1
267,1
270,3
272,1
273,1
274,2
275,1
276,1
277,3
278,2
279,3
280,1
281,2
282,3
283,3
284,3
285,3
286,3
287,1
288,3
289,3
290,3
291,3
292,3
293,1
294,1
295,1
296,1
297,1
298,2
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,2
308,2
309,1
310,1
311,2
312,2
313,1
314,1
315,1
316,3
317,3
318,1
319,1
321,3
323,3
325,1
327,2
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,3
338,3
339,2
340,1
341,3
342,3
343,1
344,2
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
360,1
362,1
364,1
366,1
368,1
370,1
371,3
372,1
373,1
374,1
375,1
376,1
377,2
378,2
379,2
380,3
381,2
382,2
383,3
384,1
385,3
386,3
387,2
388,1
389,1
390,1
391,2
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,2
410,1
411,1
412,2
413,1
414,1
416,1
418,1
419,1
420,1
421,1
422,2
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,2
440,1
441,1
442,1
443,2
444,3
445,1
446,1
447,1
448,1
449,1
450,1
451,3
452,1
453,1
454,1
455,1
456,1
457,1
458,1
460,1
462,1
464,1
466,1
468,1
469,1
470,1
471,2
472,1
473,2
474,3
475,1
476,2
477,1
478,1
479,1
480,2
481,1
482,3
483,2
484,1
485,1
486,3
487,1
488,3
489,1
490,3
491,3
492,3
494,3
495,3
496,1
497,1
498,1
499,3
500,2
501,3
502,2
503,3
504,2
505,3
506,3
507,2
508,2
509,2
510,2
512,1
513,1
514,2
515,2
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,1
524,2
525,2
526,2
527,3
528,3
529,3
530,3
531,3
532,1
533,1
534,1
535,1
536,3
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,2
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,2
559,1
560,1
561,1
562,2
563,3
564,1
565,1
566,1
567,1
568,2
569,3
570,2
571,1
572,3
573,1
574,1
575,3
576,2
577,1
578,1
579,1
581,1
583,1
585,3
586,3
587,3
588,3
589,3
590,2
591,3
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,3
600,3
601,3
602,2
603,3
604,2
605,2
606,1
607,1
608,1
609,1
610,1
611,3
612,1
613,1
614,2
615,2
616,1
617,2
618,3
619,2
620,2
621,1
622,2
623,2
624,1
626,2
627,2
629,3
630,1
632,3
634,3
635,3
636,3
637,3
638,1
639,3
