census_code,prediction_2019
1,3
2,3
3,3
4,3
5,3
6,3
7,3
8,3
10,3
12,3
14,3
16,3
19,3
21,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
51,3
53,3
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
88,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,2
102,3
103,3
104,3
105,2
106,3
107,3
108,3
109,3
110,3
111,3
112,3
113,3
114,2
115,2
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,2
125,1
126,3
127,3
128,2
129,3
130,2
132,3
133,3
134,2
135,2
136,1
137,2
138,3
139,3
140,3
141,3
142,2
143,2
144,3
145,2
146,3
147,2
148,2
149,1
150,2
151,1
152,1
153,2
154,1
155,1
156,1
157,2
158,1
159,2
160,1
161,2
162,2
163,1
164,3
165,1
166,3
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,2
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,3
189,1
190,2
191,1
192,3
193,2
194,1
195,1
196,1
197,2
198,2
199,1
200,2
201,2
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,2
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,2
227,1
228,1
229,1
230,3
231,1
232,2
233,1
234,1
235,1
236,1
237,1
238,1
239,1
241,3
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
257,3
261,1
262,3
263,3
264,3
265,3
266,3
267,2
270,3
272,3
273,2
274,3
275,3
276,3
277,3
278,3
279,3
280,2
281,3
282,3
283,3
284,3
285,3
286,3
287,3
288,3
289,3
290,3
291,3
292,3
293,2
294,2
295,2
296,2
297,2
298,3
299,2
300,2
301,2
302,2
303,2
304,2
305,2
306,2
307,2
308,1
309,2
310,2
311,3
312,3
313,2
314,1
315,3
316,2
317,2
318,1
319,2
321,3
323,3
325,2
327,3
328,2
329,2
330,2
331,2
332,2
333,2
334,2
335,3
336,2
337,3
338,3
339,2
340,2
341,3
342,3
343,2
344,3
346,1
347,1
348,2
349,1
350,2
351,1
352,2
353,2
354,3
355,2
356,1
357,3
358,1
360,2
362,1
364,2
366,1
368,2
370,2
371,3
372,3
373,1
374,3
375,2
376,1
377,3
378,3
379,2
380,3
381,3
382,3
383,3
384,2
385,3
386,3
387,3
388,2
389,2
390,1
391,1
392,2
393,2
394,2
395,1
396,2
397,1
398,1
399,1
400,2
401,2
402,2
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,3
411,2
412,3
413,2
414,2
416,1
418,2
419,1
420,1
421,3
422,2
423,2
424,2
425,3
426,1
427,3
428,2
429,3
430,3
431,2
432,3
433,3
434,3
435,3
436,3
437,3
438,3
439,3
440,3
441,3
442,2
443,3
444,3
445,3
446,3
447,3
448,3
449,3
450,3
451,3
452,3
453,1
454,2
455,3
456,3
457,2
458,3
460,2
462,1
464,3
466,3
468,3
469,3
470,3
471,3
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,3
480,3
481,3
482,3
483,3
484,3
485,3
486,3
487,3
488,3
489,3
490,3
491,3
492,3
494,3
495,3
496,3
497,2
498,3
499,3
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,3
509,3
510,2
512,3
513,3
514,3
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,3
524,3
525,2
526,3
527,3
528,3
529,3
530,3
531,3
532,3
533,3
534,3
535,3
536,3
537,3
538,3
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,3
555,3
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,3
571,3
572,3
573,3
574,3
575,3
576,3
577,3
578,3
579,3
581,3
583,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,3
600,3
601,3
602,3
603,3
604,3
605,3
606,3
607,3
608,3
609,3
610,3
611,3
612,3
613,3
614,3
615,3
616,3
617,3
618,3
619,3
620,3
621,3
622,3
623,3
624,3
626,3
627,3
629,3
630,3
632,3
634,3
635,3
636,3
637,3
638,3
639,3
