census_code,prediction_2019
1,2
2,2
3,3
4,3
5,2
6,3
7,2
8,2
10,2
12,2
14,2
16,2
19,3
21,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,2
33,3
34,3
35,2
36,2
37,2
38,2
39,3
40,3
41,3
42,2
43,3
44,2
45,2
46,3
47,3
48,3
49,3
51,3
53,3
55,3
56,2
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,2
68,3
69,3
70,2
71,3
72,3
73,2
74,2
75,3
76,3
77,3
78,2
79,3
80,3
81,3
82,3
83,3
84,2
85,3
86,3
88,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,2
101,2
102,1
103,2
104,3
105,2
106,2
107,2
108,1
109,2
110,3
111,2
112,1
113,1
114,1
115,1
116,2
117,1
118,2
119,3
120,2
121,1
122,2
123,2
124,2
125,1
126,2
127,2
128,2
129,2
130,2
132,1
133,1
134,1
135,1
136,1
137,1
138,3
139,1
140,3
141,3
142,1
143,1
144,2
145,1
146,3
147,2
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,2
158,1
159,1
160,1
161,1
162,1
163,1
164,2
165,1
166,2
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,2
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,2
198,1
199,1
200,1
201,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,2
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
241,3
242,3
243,3
244,3
245,3
246,3
247,2
248,3
249,2
250,3
251,3
252,3
253,2
254,3
255,2
257,2
261,1
262,3
263,3
264,3
265,3
266,2
267,1
270,3
272,2
273,1
274,2
275,3
276,2
277,3
278,2
279,2
280,2
281,1
282,3
283,3
284,2
285,3
286,3
287,1
288,1
289,3
290,2
291,1
292,1
293,2
294,1
295,2
296,1
297,2
298,3
299,2
300,1
301,1
302,1
303,1
304,1
305,2
306,1
307,1
308,1
309,2
310,2
311,2
312,2
313,1
314,1
315,2
316,1
317,1
318,1
319,1
321,2
323,2
325,1
327,2
328,2
329,1
330,1
331,2
332,1
333,1
334,2
335,1
336,2
337,1
338,3
339,2
340,1
341,3
342,3
343,1
344,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,3
355,2
356,1
357,3
358,1
360,2
362,1
364,2
366,1
368,2
370,1
371,1
372,1
373,1
374,2
375,1
376,1
377,1
378,1
379,1
380,2
381,2
382,1
383,2
384,2
385,2
386,2
387,2
388,2
389,1
390,1
391,1
392,2
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,2
401,1
402,2
403,3
404,2
405,2
406,3
407,2
408,3
409,3
410,3
411,3
412,3
413,1
414,1
416,1
418,2
419,1
420,1
421,3
422,1
423,2
424,1
425,1
426,1
427,1
428,2
429,2
430,2
431,2
432,3
433,2
434,2
435,3
436,2
437,3
438,2
439,3
440,2
441,2
442,2
443,2
444,3
445,2
446,1
447,2
448,2
449,3
450,2
451,3
452,2
453,1
454,2
455,3
456,2
457,1
458,2
460,2
462,1
464,2
466,2
468,3
469,2
470,3
471,3
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,3
480,3
481,3
482,3
483,3
484,2
485,2
486,3
487,2
488,3
489,2
490,3
491,3
492,3
494,3
495,3
496,3
497,2
498,3
499,3
500,3
501,3
502,3
503,3
504,3
505,3
506,3
507,3
508,1
509,3
510,1
512,2
513,3
514,3
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,3
524,3
525,3
526,1
527,3
528,3
529,3
530,3
531,3
532,2
533,2
534,2
535,2
536,3
537,3
538,2
539,2
540,2
541,2
542,2
543,2
544,3
545,3
546,3
547,3
548,3
549,2
550,3
551,2
552,2
553,2
554,3
555,3
556,3
557,2
558,3
559,2
560,2
561,3
562,3
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,3
571,3
572,3
573,3
574,3
575,3
576,3
577,3
578,3
579,2
581,3
583,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,3
595,3
596,3
597,3
598,3
599,3
600,3
601,3
602,2
603,3
604,3
605,3
606,2
607,3
608,2
609,2
610,3
611,3
612,3
613,3
614,3
615,3
616,2
617,3
618,3
619,3
620,3
621,3
622,3
623,2
624,3
626,3
627,3
629,3
630,3
632,2
634,3
635,3
636,3
637,3
638,3
639,3
