census_code,prediction_2019
1,1
2,3
3,1
4,3
5,2
6,1
7,3
8,3
10,3
12,3
14,3
16,3
19,1
21,3
23,3
24,3
25,3
26,3
27,3
28,3
29,3
30,3
31,3
32,3
33,3
34,3
35,3
36,3
37,3
38,3
39,3
40,3
41,3
42,2
43,2
44,3
45,3
46,3
47,2
48,3
49,3
51,3
53,2
55,3
56,3
57,3
58,3
59,3
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,2
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,3
77,3
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,3
86,3
88,3
90,3
91,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,2
105,2
106,2
107,2
108,2
109,2
110,3
111,3
112,1
113,1
114,2
115,1
116,1
117,3
118,1
119,3
120,2
121,2
122,2
123,3
124,2
125,2
126,2
127,3
128,2
129,2
130,2
132,2
133,2
134,2
135,2
136,2
137,2
138,2
139,2
140,2
141,3
142,2
143,2
144,2
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,2
155,2
156,2
157,2
158,2
159,2
160,2
161,2
162,2
163,2
164,3
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,2
179,2
180,2
181,2
182,2
183,2
184,2
185,2
186,2
187,2
188,2
189,2
190,2
191,2
192,2
193,2
194,2
195,2
196,2
197,3
198,2
199,2
200,2
201,2
203,2
204,2
205,2
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,2
214,2
215,2
216,2
217,2
218,2
219,2
220,2
221,2
222,2
223,2
224,2
225,2
226,2
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,2
235,2
236,2
237,2
238,2
239,2
241,3
242,3
243,3
244,3
245,3
246,3
247,3
248,3
249,3
250,3
251,3
252,3
253,3
254,3
255,3
257,3
261,1
262,1
263,3
264,1
265,1
266,3
267,3
270,1
272,1
273,2
274,1
275,1
276,1
277,3
278,1
279,1
280,1
281,1
282,3
283,3
284,3
285,3
286,1
287,1
288,3
289,3
290,1
291,1
292,1
293,1
294,2
295,1
296,2
297,1
298,3
299,1
300,2
301,2
302,2
303,2
304,2
305,2
306,1
307,2
308,2
309,3
310,3
311,3
312,3
313,3
314,2
315,1
316,1
317,1
318,1
319,2
321,3
323,3
325,2
327,1
328,1
329,2
330,2
331,2
332,2
333,2
334,2
335,3
336,2
337,3
338,3
339,2
340,2
341,3
342,3
343,3
344,2
346,2
347,2
348,1
349,1
350,2
351,2
352,2
353,2
354,1
355,1
356,1
357,3
358,2
360,1
362,2
364,1
366,1
368,2
370,2
371,3
372,2
373,2
374,3
375,2
376,2
377,2
378,2
379,2
380,2
381,3
382,2
383,1
384,1
385,2
386,1
387,2
388,2
389,2
390,1
391,2
392,2
393,2
394,2
395,2
396,2
397,2
398,2
399,2
400,2
401,2
402,2
403,2
404,2
405,2
406,2
407,2
408,2
409,2
410,2
411,2
412,2
413,2
414,2
416,2
418,2
419,2
420,2
421,3
422,2
423,2
424,2
425,2
426,2
427,2
428,2
429,2
430,2
431,2
432,1
433,1
434,2
435,2
436,2
437,2
438,2
439,3
440,3
441,2
442,2
443,2
444,3
445,2
446,2
447,2
448,2
449,2
450,2
451,3
452,2
453,2
454,2
455,1
456,2
457,2
458,2
460,2
462,2
464,2
466,3
468,3
469,3
470,3
471,3
472,3
473,3
474,3
475,3
476,3
477,3
478,3
479,3
480,3
481,3
482,3
483,3
484,2
485,2
486,3
487,2
488,3
489,2
490,3
491,3
492,3
494,3
495,3
496,2
497,3
498,3
499,3
500,3
501,3
502,1
503,3
504,3
505,3
506,1
507,2
508,2
509,2
510,1
512,2
513,2
514,1
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,1
523,3
524,3
525,3
526,3
527,3
528,3
529,1
530,3
531,3
532,2
533,3
534,3
535,3
536,3
537,3
538,3
539,3
540,3
541,3
542,2
543,2
544,3
545,3
546,3
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,3
555,3
556,3
557,3
558,3
559,3
560,3
561,3
562,3
563,1
564,3
565,3
566,3
567,3
568,3
569,1
570,3
571,3
572,3
573,3
574,3
575,1
576,1
577,3
578,3
579,3
581,3
583,3
585,3
586,3
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,3
603,3
604,3
605,3
606,3
607,3
608,3
609,3
610,3
611,3
612,3
613,3
614,3
615,3
616,3
617,3
618,3
619,3
620,3
621,3
622,3
623,3
624,3
626,3
627,3
629,3
630,3
632,3
634,3
635,3
636,1
637,3
638,3
639,3
