census_code,FC_prediction_2001
2,1
4,1
6,1
24,2
29,3
39,3
48,1
57,2
67,1
72,1
73,1
77,1
78,1
79,1
82,2
84,1
85,2
93,3
105,1
106,1
109,1
114,1
127,1
128,1
145,1
150,1
152,1
153,1
160,2
163,1
169,1
172,1
173,2
185,1
195,1
204,1
206,1
209,1
210,1
218,1
222,1
224,1
225,1
228,1
229,1
253,1
261,1
262,3
273,1
279,3
287,1
289,3
293,1
296,1
305,1
314,2
317,3
319,1
323,2
337,3
349,1
351,1
353,1
356,1
368,1
377,2
382,2
383,2
384,1
388,1
392,1
404,1
408,1
409,2
414,1
426,1
433,1
436,1
439,2
444,2
445,2
447,1
451,3
455,1
460,1
469,1
473,2
475,1
477,1
483,2
484,1
488,2
491,3
492,3
494,3
496,1
502,2
507,2
523,2
525,2
527,3
530,3
534,1
548,1
557,1
561,1
568,2
573,1
593,3
599,3
607,1
608,1
615,1
616,1
626,2
637,3
7,1
19,1
21,3
23,1
25,1
35,3
55,3
58,2
64,2
68,2
75,2
76,2
81,1
83,2
99,1
104,1
108,1
110,2
111,1
116,1
118,1
120,1
132,1
135,1
136,1
137,1
138,2
139,1
155,1
177,1
184,1
196,1
197,2
201,1
203,1
211,1
214,1
233,1
236,1
241,2
250,1
254,1
263,3
264,2
267,1
272,1
274,3
281,2
283,3
284,2
290,3
292,2
299,1
302,1
306,1
309,2
311,2
318,1
321,3
328,1
330,1
334,1
336,1
348,1
352,1
354,1
375,1
376,1
379,2
380,3
386,2
390,1
393,1
394,1
397,1
398,1
406,1
411,1
424,1
427,1
428,1
449,1
450,1
453,1
462,1
468,2
476,2
481,1
485,1
487,1
490,3
498,1
513,2
516,2
520,3
524,1
529,3
532,1
545,2
546,1
547,2
552,1
560,1
563,3
564,1
569,3
571,1
581,1
587,3
588,3
591,3
597,3
605,2
619,3
623,2
638,2
5,1
14,1
26,2
27,3
28,3
30,3
32,2
36,3
37,2
40,2
51,3
60,3
61,3
70,2
74,1
80,1
91,3
98,3
100,1
115,1
117,1
121,1
123,1
125,1
126,1
129,1
133,2
143,1
146,1
147,1
149,1
157,1
158,1
161,2
174,1
178,1
182,1
186,1
187,1
191,1
193,1
198,1
199,1
217,1
221,1
232,1
233,1
234,1
238,1
244,3
246,1
257,1
266,1
288,3
291,3
295,1
297,1
301,1
303,1
310,1
313,2
327,2
329,1
339,1
343,1
344,2
346,1
347,1
355,1
357,1
358,1
366,1
371,3
373,1
374,1
378,2
391,1
401,1
405,1
416,1
422,1
425,1
429,1
454,1
470,1
482,3
486,2
489,1
500,2
503,3
508,1
509,2
510,2
514,1
517,3
526,1
528,3
536,3
544,1
557,1
559,1
566,1
576,3
577,1
579,1
592,3
603,3
604,2
610,1
614,2
622,2
624,1
630,2
632,3
634,3
636,3
1,1
10,1
12,1
33,3
42,1
53,1
56,1
59,1
65,3
66,3
71,2
86,1
92,3
94,3
95,3
97,3
103,1
112,1
113,1
130,1
140,1
144,1
148,1
159,1
162,2
165,1
166,2
170,1
171,1
176,1
183,1
189,1
192,1
194,1
200,1
205,1
207,1
215,1
219,1
223,1
226,1
231,1
233,1
237,1
239,1
245,1
247,1
248,3
252,1
255,1
270,3
276,2
278,2
282,3
294,2
298,2
332,1
333,1
335,1
340,1
350,1
360,2
362,1
370,1
381,2
385,3
387,3
389,1
395,1
399,1
403,2
413,1
420,1
421,1
430,1
431,1
432,2
435,2
438,1
440,1
441,1
448,1
457,1
458,1
472,1
474,2
478,1
479,2
495,3
499,3
501,3
505,3
512,1
519,3
521,3
533,1
535,1
537,1
539,1
550,1
558,1
565,1
567,1
572,2
574,1
575,3
583,2
585,3
589,3
595,3
602,2
606,1
609,1
613,1
617,1
635,3
8,1
16,1
31,2
34,2
38,3
41,2
43,1
44,1
45,2
46,1
47,1
49,2
62,3
63,2
69,3
88,1
90,3
96,3
101,1
102,1
107,1
119,1
122,1
124,1
134,1
141,3
142,1
151,1
154,1
156,1
164,2
167,1
168,1
175,1
179,1
181,1
188,1
190,1
212,1
216,1
220,1
227,1
230,1
233,1
235,1
242,1
243,3
249,1
251,1
265,3
275,1
277,3
280,1
285,3
286,3
300,1
304,1
307,1
308,1
312,2
315,1
316,3
325,1
331,2
338,3
341,3
342,3
364,1
372,1
396,1
400,1
402,1
407,1
410,1
412,2
423,1
434,1
437,1
442,1
443,1
446,2
452,1
456,1
464,1
466,1
471,2
480,2
497,1
504,2
506,2
515,3
518,3
531,3
543,1
549,1
551,1
554,1
555,1
556,1
562,2
570,2
578,1
586,3
590,3
594,3
596,3
598,3
600,3
601,3
611,2
612,1
618,3
620,3
621,1
627,3
639,3
