census_code,CHH_prediction_2011
12,1
19,2
28,3
35,3
36,3
37,2
40,3
42,2
46,1
57,2
73,1
86,1
90,3
91,3
92,3
132,2
135,1
144,1
145,2
150,1
151,1
153,1
154,1
162,3
166,1
178,1
182,1
185,1
191,1
195,1
201,1
205,2
211,1
212,1
214,1
218,1
223,1
227,1
244,3
250,2
263,3
264,3
270,2
282,3
283,3
288,3
290,3
292,3
300,2
302,1
311,2
316,2
321,2
327,2
328,1
330,1
332,1
333,1
342,3
346,1
347,1
348,1
350,2
352,1
355,1
360,1
370,1
383,3
385,3
387,2
389,3
391,2
394,1
404,2
405,1
409,3
411,1
412,3
413,2
423,1
433,3
435,2
444,3
448,1
453,2
457,2
468,1
489,1
495,3
497,1
501,3
506,3
515,2
519,3
527,3
531,3
535,1
536,3
537,2
543,2
547,2
563,3
568,2
569,3
572,3
573,1
586,3
608,2
609,2
610,2
611,3
614,2
617,3
630,2
638,3
639,3
1,2
14,2
27,3
29,3
38,3
45,2
60,3
64,3
68,2
75,3
76,3
80,1
93,3
97,3
99,2
102,2
103,3
104,2
106,2
113,2
116,1
119,2
130,2
134,2
138,2
140,3
155,1
157,3
168,1
170,1
173,1
175,2
181,1
194,1
200,1
209,1
220,1
228,1
230,1
232,1
233,1
234,1
237,1
239,1
242,1
251,2
261,2
265,3
275,1
278,3
284,3
285,3
289,3
291,1
301,2
303,2
304,1
305,2
307,3
308,2
315,1
317,2
334,2
335,3
343,3
344,3
351,1
357,3
358,1
362,1
366,1
371,3
376,1
377,3
386,3
390,2
393,1
396,2
408,3
420,3
424,1
425,1
440,1
446,3
452,3
464,1
480,2
481,2
487,1
490,3
494,3
499,2
508,1
512,1
520,3
524,3
528,3
529,3
554,2
557,1
560,2
574,2
575,3
576,3
577,2
585,3
594,3
601,3
603,3
605,3
607,1
613,2
616,2
621,3
627,3
632,3
2,1
24,3
30,3
34,3
43,1
47,1
51,3
55,3
63,2
65,2
66,3
69,3
78,1
79,1
94,3
96,3
98,3
100,1
108,2
114,1
115,1
120,1
122,1
125,1
126,1
128,1
136,1
137,1
141,2
143,1
146,1
148,1
159,1
164,3
169,1
177,1
179,1
183,1
184,1
186,1
190,1
192,1
193,1
198,1
225,1
226,1
229,1
233,1
233,1
243,1
245,2
246,2
247,1
249,1
253,2
267,1
272,1
273,2
281,3
297,1
298,3
299,1
339,2
340,1
349,1
353,1
354,1
364,1
368,1
378,3
380,3
381,3
382,2
384,3
388,1
398,2
403,2
407,1
427,1
428,1
432,1
436,3
441,1
442,1
449,3
455,1
458,1
462,1
473,3
488,3
491,3
492,3
502,2
505,3
507,3
517,3
526,2
530,3
533,1
539,2
545,2
549,1
564,1
567,1
571,1
578,1
579,1
583,1
592,3
593,3
599,3
606,1
619,3
624,3
626,3
635,3
6,1
7,2
23,1
25,2
33,3
48,2
49,2
53,2
61,3
67,1
70,2
71,3
82,3
84,3
85,2
95,3
101,1
110,3
111,3
118,1
121,1
123,2
124,1
129,1
142,1
147,1
152,1
156,1
158,1
161,2
163,1
172,1
176,1
188,1
199,1
203,1
204,1
207,1
219,1
221,1
222,1
224,1
231,1
235,1
241,2
248,3
252,2
254,2
255,2
257,2
262,3
266,3
274,3
276,1
277,3
279,3
280,1
286,3
294,2
295,2
296,1
309,2
313,3
314,1
337,3
338,3
341,3
356,1
379,3
395,1
401,1
406,1
414,1
422,2
430,1
431,1
434,1
447,1
450,1
451,3
460,1
474,3
475,1
477,2
483,3
484,1
486,3
504,3
514,1
516,2
518,3
523,1
525,3
532,1
544,2
548,1
550,1
551,1
555,1
558,1
561,1
565,1
566,1
587,3
591,3
595,3
596,3
597,3
598,3
600,3
602,3
612,3
620,3
622,3
634,3
637,3
4,1
5,1
8,1
10,1
16,1
21,3
26,3
31,3
32,3
39,3
41,3
44,1
56,1
58,2
59,1
62,3
72,2
74,2
77,1
81,1
83,3
88,3
105,1
107,2
109,1
112,1
117,1
127,3
133,2
139,2
149,1
160,1
165,1
167,1
171,1
174,1
187,2
189,1
196,1
197,1
206,1
210,1
215,1
216,1
217,1
233,1
236,1
238,1
287,3
293,1
306,2
310,3
312,3
318,1
319,1
323,1
325,1
329,1
331,1
336,1
372,1
373,1
374,1
375,1
392,1
397,1
399,2
400,2
402,1
410,3
416,1
421,3
426,1
429,1
437,1
438,2
439,3
443,1
445,1
454,1
456,1
466,1
469,1
470,1
471,3
472,1
476,3
478,3
479,1
482,3
485,1
496,2
498,3
500,2
503,3
509,3
510,3
513,1
521,3
534,1
546,3
552,1
556,2
557,1
559,1
562,3
570,3
581,1
588,3
589,3
590,3
604,3
615,2
618,3
623,3
636,3
