census_code,MSL_prediction_2001
8,2
10,2
14,2
24,3
25,3
34,3
41,3
45,3
46,3
49,3
59,3
61,3
66,3
70,3
77,2
88,2
91,3
92,3
93,3
94,3
102,2
103,2
115,1
119,3
126,2
134,2
136,1
145,2
152,1
155,1
158,1
170,1
172,1
184,1
185,1
186,1
189,1
191,1
194,1
196,1
199,1
203,1
207,1
211,1
212,1
224,1
225,1
226,2
230,1
233,1
233,1
235,1
241,3
245,2
250,2
251,3
265,3
275,3
282,3
283,3
295,1
301,1
304,1
305,1
307,1
315,2
327,3
329,1
333,1
334,1
350,1
352,1
366,1
370,2
374,1
379,1
380,1
399,1
408,2
410,2
416,1
420,1
440,2
446,1
464,1
475,3
477,3
482,3
486,3
489,2
492,3
494,3
501,3
504,3
505,3
510,2
517,3
524,3
537,3
543,2
555,3
556,3
558,3
568,3
578,2
588,3
590,2
591,3
601,3
609,2
612,3
615,3
618,3
621,3
632,3
637,3
2,2
5,2
37,3
38,3
40,3
47,3
48,3
51,3
53,2
57,2
63,2
80,3
84,3
97,3
99,3
110,2
114,2
116,2
121,1
139,1
144,1
146,3
148,1
154,1
159,1
160,1
161,2
163,1
165,1
188,1
195,1
201,1
204,1
210,1
214,1
228,1
231,1
233,1
236,1
239,1
253,3
278,3
285,2
290,1
293,2
294,1
311,1
321,2
323,2
328,2
335,1
344,1
348,1
349,1
351,1
356,1
368,2
371,1
381,1
390,1
392,1
393,1
394,1
400,2
405,2
409,2
412,2
421,2
422,2
430,1
431,1
435,3
437,3
445,2
447,2
454,2
460,2
462,1
469,2
471,3
485,2
487,2
491,3
496,3
497,2
506,2
512,2
515,3
516,3
520,3
528,2
530,3
531,2
544,2
545,3
550,3
554,2
557,2
560,2
566,3
571,3
573,3
577,3
581,3
585,3
587,3
595,3
606,3
608,3
610,3
613,3
614,3
616,2
622,3
630,3
639,3
4,3
6,2
12,2
21,3
23,3
28,3
43,3
60,3
62,3
75,3
76,3
78,3
82,3
86,3
90,3
96,3
98,3
100,2
101,1
105,2
112,1
113,1
120,2
132,1
133,2
137,1
143,2
147,1
164,2
166,2
168,1
169,1
179,1
190,1
198,1
209,1
215,1
216,1
217,1
218,1
220,1
227,1
229,1
247,2
249,3
252,2
254,2
262,3
263,3
266,3
267,2
276,1
279,2
299,2
306,1
308,1
312,1
313,1
314,1
318,1
331,2
336,2
343,2
346,1
353,1
354,2
357,3
358,1
362,1
364,2
372,1
373,1
375,1
383,1
386,2
396,1
403,3
406,2
423,2
425,1
433,2
438,2
441,3
444,3
448,2
450,2
457,2
472,3
474,3
479,3
481,3
483,3
495,3
499,3
509,3
513,3
521,3
534,2
536,3
539,2
562,3
563,3
564,3
565,2
570,3
574,3
592,3
593,3
594,3
596,3
597,3
599,3
623,3
624,3
627,3
634,3
27,3
29,3
30,3
31,3
33,3
36,3
39,3
42,3
44,2
55,3
67,3
68,2
71,3
72,3
81,3
83,3
85,3
104,3
106,2
108,2
118,2
122,2
123,2
127,3
129,2
141,3
142,1
150,1
157,1
162,1
174,1
181,1
183,1
187,1
193,1
197,1
205,1
206,1
219,1
221,1
232,1
234,1
238,1
243,3
257,2
261,1
272,2
274,1
281,2
284,2
286,2
287,2
288,1
289,3
291,1
292,1
296,1
297,2
298,3
302,1
303,1
310,1
330,1
338,2
342,3
347,1
355,2
376,1
377,1
378,1
382,1
385,1
389,2
391,1
402,1
411,2
414,1
424,2
427,2
428,2
429,2
434,2
442,2
443,2
449,3
452,2
468,3
470,3
478,3
498,3
500,2
503,3
507,2
508,2
518,3
523,3
526,1
529,3
532,2
546,3
549,2
557,2
561,3
567,3
575,3
576,3
579,2
586,3
589,3
598,3
604,3
617,3
619,3
635,3
636,3
638,3
1,2
7,3
16,2
19,2
26,2
32,2
35,3
56,3
58,2
64,2
65,2
69,3
73,3
74,3
79,2
95,3
107,1
109,1
111,2
117,2
124,1
125,1
128,2
130,1
135,1
138,2
140,3
149,1
151,1
153,1
156,1
167,1
171,1
173,1
175,1
176,1
177,1
178,1
182,1
192,1
200,1
222,1
223,1
233,1
237,1
242,3
244,3
246,2
248,3
255,2
264,2
270,3
273,1
277,3
280,2
300,1
309,3
316,2
317,1
319,1
325,1
332,1
337,2
339,2
340,1
341,2
360,2
384,1
387,1
388,1
395,1
397,1
398,1
401,1
404,2
407,2
413,1
426,1
432,2
436,3
439,3
451,3
453,1
455,3
456,2
458,2
466,2
473,3
476,3
480,3
484,3
488,3
490,3
502,2
514,3
519,3
525,2
527,2
533,2
535,2
547,2
548,2
551,2
552,2
559,2
569,3
572,3
583,3
600,3
602,3
603,3
605,3
607,3
611,2
620,3
626,3
