census_code,MSW_prediction_2001
5,1
16,3
26,3
30,3
41,3
43,2
71,3
74,3
79,3
81,3
82,3
88,2
94,3
95,3
98,3
101,3
104,2
111,3
123,2
136,2
142,2
143,2
149,2
151,2
158,2
159,2
161,2
162,2
171,2
175,2
184,2
187,2
188,2
189,2
192,2
193,1
199,2
207,2
209,2
210,2
212,2
217,2
219,2
226,2
228,2
236,2
238,2
252,3
263,3
264,1
266,3
270,1
275,1
279,1
282,2
287,1
290,1
292,1
301,1
304,1
308,1
317,1
318,1
323,2
339,2
344,1
350,2
351,2
357,2
360,1
366,1
371,2
374,2
375,1
384,1
387,1
397,2
403,2
405,2
407,2
421,2
435,2
441,2
442,2
451,2
478,3
487,2
489,2
490,3
491,2
497,2
501,3
502,1
512,2
513,2
515,3
521,3
527,3
528,3
530,3
534,3
547,3
560,3
563,1
567,3
569,1
573,3
575,1
579,3
586,3
589,1
607,3
610,3
619,3
623,3
636,1
1,2
32,3
35,2
36,2
44,2
47,2
56,3
62,1
63,3
69,3
70,3
78,3
86,3
91,3
92,3
102,3
108,2
115,1
117,2
118,1
121,2
130,2
132,2
134,1
137,2
152,2
154,2
157,2
160,2
163,1
165,2
167,2
169,2
178,2
182,2
183,2
195,2
198,2
201,2
214,2
215,2
222,2
227,2
229,2
231,2
232,2
233,2
237,2
239,2
244,3
246,3
247,3
253,3
254,3
255,2
261,1
274,1
276,1
285,2
289,1
291,1
298,3
303,2
306,1
316,1
330,2
331,2
335,2
347,1
348,1
356,1
364,1
368,1
370,2
380,2
388,1
389,1
390,1
392,2
393,2
395,2
400,1
427,2
433,1
440,3
446,2
448,2
450,2
453,2
454,2
455,1
456,2
460,2
476,3
482,3
496,2
507,2
516,3
531,3
537,3
543,2
549,3
558,3
568,3
574,3
581,3
585,3
588,1
590,1
592,1
593,1
594,1
597,1
613,3
615,3
624,3
14,3
21,3
23,3
29,3
31,3
37,2
45,2
55,3
57,3
60,3
61,3
65,1
68,2
73,2
90,3
97,3
99,3
105,2
109,2
124,2
140,2
144,2
146,2
155,2
156,2
164,2
166,2
170,2
172,2
179,2
186,2
200,2
204,2
205,1
223,2
233,2
234,2
243,3
249,3
251,3
272,1
278,1
280,1
281,1
293,1
297,1
300,2
310,1
311,1
313,2
315,1
337,2
338,2
340,2
346,1
352,2
355,3
372,2
373,2
376,2
378,2
381,2
382,1
383,1
386,1
391,2
396,2
399,2
402,2
404,1
408,2
416,2
425,2
428,2
429,2
430,2
434,2
437,2
443,2
444,3
449,2
462,2
472,2
477,3
480,3
483,3
488,3
492,3
494,3
500,3
504,2
505,3
506,1
508,2
514,1
518,3
519,3
524,3
525,3
536,3
544,2
551,3
559,3
564,3
591,1
599,1
600,1
601,1
602,3
609,3
611,3
616,3
621,3
634,3
638,3
639,3
4,3
7,3
10,3
19,3
24,3
25,3
27,3
34,3
38,2
53,2
59,3
64,3
66,3
75,3
83,3
93,3
100,3
103,3
106,2
107,2
114,1
116,1
119,3
120,2
122,2
125,2
127,3
129,2
135,2
138,2
141,3
147,2
148,2
173,2
176,2
181,2
191,2
196,2
203,2
206,2
218,2
220,2
221,2
224,2
225,2
230,2
233,2
233,2
235,2
241,3
242,3
248,1
265,1
273,1
283,3
284,3
288,3
299,1
305,1
309,1
319,1
325,2
329,2
336,2
341,1
349,1
358,2
362,2
377,2
379,2
394,2
401,2
409,2
410,2
411,2
413,2
420,2
422,2
424,2
436,2
439,2
457,2
464,1
466,3
468,3
469,3
470,3
471,3
473,3
474,3
485,2
486,3
509,2
517,3
520,3
526,3
529,1
539,3
555,3
557,3
566,3
570,3
577,2
578,3
587,1
598,1
603,3
604,3
612,3
614,3
617,3
618,1
630,3
632,3
635,3
637,3
2,3
6,1
8,3
12,3
28,3
33,3
39,2
40,2
42,2
46,2
48,3
49,2
51,3
58,3
67,2
72,2
76,3
77,3
80,3
84,3
85,3
96,3
110,3
112,1
113,1
126,2
128,2
133,2
139,2
145,2
150,2
153,2
168,2
174,2
177,2
185,2
190,2
194,2
197,2
211,2
216,2
245,3
250,3
257,3
262,1
267,3
277,1
286,1
294,1
295,1
296,1
302,2
307,2
312,2
314,1
321,2
327,1
328,1
332,2
333,2
334,2
342,3
343,2
353,2
354,1
385,1
398,2
406,2
412,1
414,2
423,2
426,2
431,2
432,1
438,2
445,2
447,2
452,2
458,2
475,3
479,3
481,3
484,2
495,3
498,3
499,3
503,3
510,1
523,3
532,2
533,3
535,3
545,3
546,3
548,3
550,3
552,3
554,3
556,3
557,3
561,3
562,3
565,3
571,3
572,3
576,1
583,3
595,1
596,1
605,3
606,3
608,3
620,3
622,3
626,3
627,3
