census_code,MSW_prediction_2011
1,2
2,3
4,1
7,3
25,3
26,3
28,3
45,2
46,2
49,2
62,3
79,3
80,3
83,2
84,3
88,3
92,3
97,3
98,3
109,2
123,2
129,2
133,3
139,3
146,2
154,2
155,2
162,2
173,2
178,2
179,2
186,2
187,2
191,2
197,2
206,2
207,2
209,2
212,2
214,2
215,2
220,2
224,2
227,2
228,2
236,2
237,2
238,1
239,2
241,1
243,3
264,3
266,3
270,1
274,1
278,1
298,3
299,1
300,2
308,2
315,1
317,1
323,2
329,2
335,2
338,3
341,3
356,1
362,2
368,1
388,2
390,1
392,2
393,2
395,2
397,2
406,2
407,2
412,2
413,2
424,2
428,1
432,3
444,3
445,2
446,2
450,2
453,1
454,1
455,3
456,2
471,3
472,3
478,3
480,3
486,3
499,3
505,3
506,1
509,2
533,3
550,3
558,3
570,3
575,1
585,3
591,1
597,1
606,3
608,3
611,3
617,3
621,3
624,2
630,3
636,1
5,2
23,3
27,3
30,3
34,3
40,3
41,3
44,2
57,3
63,3
64,3
66,3
68,2
70,3
74,2
85,3
86,3
91,3
93,3
96,3
99,3
105,2
108,2
122,2
125,2
134,2
135,2
136,2
137,2
138,2
143,2
150,2
156,2
158,2
163,2
175,2
181,2
199,2
203,2
205,2
211,2
217,2
221,2
242,3
249,1
250,3
252,3
276,1
279,2
282,1
289,1
290,2
291,1
305,2
309,2
314,1
321,3
327,1
333,2
334,2
336,2
337,3
342,3
343,3
346,1
352,2
366,2
370,2
372,2
373,2
374,2
375,1
380,3
381,1
384,2
400,1
409,2
416,2
427,2
457,2
466,3
470,3
479,3
481,3
482,3
500,3
510,2
521,3
526,3
528,1
531,3
537,3
544,1
545,1
547,3
555,3
556,3
560,3
561,3
563,1
564,3
565,3
566,3
567,3
574,3
578,3
579,3
583,1
592,1
594,1
602,3
604,3
607,3
610,3
623,3
635,3
6,2
12,3
19,2
24,3
31,3
32,3
35,3
37,3
38,3
42,2
47,2
53,3
60,3
69,3
71,2
73,2
77,2
82,2
95,3
102,3
104,2
114,1
115,1
119,3
120,1
124,2
141,2
142,2
144,2
145,2
160,2
166,2
168,2
169,2
171,2
174,2
182,2
185,2
188,2
192,2
194,2
196,2
198,2
204,2
218,2
219,2
225,2
230,2
232,2
244,3
265,1
275,1
280,2
283,3
284,3
287,1
295,1
296,1
297,1
302,2
303,2
304,2
310,2
325,2
331,2
344,2
360,1
371,1
386,1
389,1
401,2
402,1
411,2
425,2
430,1
431,1
435,2
438,2
440,3
443,2
460,1
462,1
474,3
489,2
495,3
496,2
501,3
502,2
503,3
504,3
514,3
518,3
529,3
532,2
535,3
548,2
549,2
551,3
557,2
559,3
571,3
581,3
588,1
589,1
593,1
595,1
596,1
598,1
599,1
600,1
605,3
612,3
615,3
620,3
632,3
637,3
8,1
14,1
16,3
21,3
29,3
36,2
39,2
51,3
56,3
58,3
61,3
65,3
75,2
76,2
78,2
94,3
110,3
117,2
118,1
121,2
130,2
132,2
147,2
148,2
152,2
153,2
159,2
170,2
177,2
183,2
184,2
190,2
200,2
201,2
216,2
229,2
233,2
233,2
233,2
235,2
248,3
253,2
257,3
263,1
267,3
272,2
273,1
277,3
286,1
292,1
301,2
306,2
311,2
318,1
319,2
328,2
330,2
332,2
347,2
350,1
358,1
377,2
378,2
385,2
387,2
391,2
394,2
403,2
404,1
405,2
410,2
414,2
421,3
422,2
423,2
426,1
429,1
433,2
434,2
436,2
439,3
441,2
448,2
452,2
458,2
468,3
469,3
473,3
476,3
477,3
487,2
491,3
494,3
497,3
508,1
512,2
515,3
519,3
520,3
524,3
525,3
530,3
534,1
539,3
554,3
562,3
569,1
572,3
573,3
577,3
590,1
601,1
613,3
614,3
619,2
627,3
10,3
33,3
43,2
48,2
55,3
59,3
67,2
72,3
81,3
90,3
100,3
101,3
103,3
106,2
107,2
111,3
112,1
113,3
116,2
126,2
127,3
128,2
140,3
149,2
151,2
157,3
161,2
164,3
165,2
167,2
172,2
176,2
189,2
193,2
195,2
210,2
222,2
223,2
226,2
231,2
233,2
234,2
245,3
246,3
247,3
251,3
254,3
255,3
261,2
262,1
281,1
285,1
288,1
293,2
294,2
307,2
312,1
313,2
316,1
339,2
340,2
348,2
349,2
351,2
353,2
354,1
355,1
357,1
364,1
376,2
379,2
382,1
383,3
396,2
398,2
399,2
408,2
420,1
437,2
442,2
447,2
449,2
451,3
464,2
475,3
483,3
484,2
485,2
488,3
490,3
492,3
498,3
507,1
513,2
516,3
517,3
523,3
527,3
536,3
543,1
546,3
552,3
557,2
568,3
576,1
586,3
587,1
603,3
609,3
616,3
618,2
622,3
626,3
634,3
638,1
639,3
