censuscode,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,MSW+AF8-2011,BF+AF8-2011,MSL+AF8-2011,FC+AF8-2011,CHH+AF8-2011,EMP+AF8-2011
1,3166,1717,935,359,491,238,236,353,275,2010,2991,1123,926,676,557,593,559,235,250,1870,2379,1159,719,845,905,734,607,324,461,1647,5287,1237,506,315,277,257,197,188,180,1336,5387,793,523,625,746,590,483,346,181,106,7122,2534,67,40,7,10,0,0,0,0,7157,2479,104,23,10,7,0,0,0,0,4406,1034,643,534,519,782,722,659,373,108,4428,1113,997,491,293,282,151,178,313,1534,2173,1242,1422,1031,736,614,597,778,1012,175,4418,762,446,375,382,445,755,925,728,544,316,327,503,524,516,540,522,649,785,5098,1,2,3,1,1,1
2,1249,1069,610,428,215,97,63,61,339,2073,1006,903,918,493,229,115,93,256,1247,944,794,611,835,738,445,242,311,874,546,808,3409,1123,325,133,102,82,104,91,135,700,1116,587,897,1227,1104,634,389,155,85,10,4857,1345,1,1,0,0,0,0,0,0,4881,1321,2,0,0,0,0,0,0,0,677,419,560,647,972,1279,930,541,157,22,1383,1274,892,490,394,452,157,136,211,815,1737,699,398,554,676,496,417,561,607,59,884,591,385,425,464,853,1133,1020,387,62,169,248,410,544,453,449,484,402,729,2316,3,2,3,1,2,1
3,21333,19846,19392,14329,14636,18260,24407,26167,46166,132070,9460,8540,6741,6627,6555,9336,11705,20393,78857,178388,5483,4097,4897,4851,5277,7042,9975,21007,88231,185696,86388,26399,15208,12344,13124,15405,15451,21212,29754,101306,60379,23626,15602,13754,14122,17130,20808,30031,48126,92982,246437,66047,7060,6812,3714,3232,1901,904,244,53,247645,63244,9813,5410,4027,2661,2252,1026,239,48,21295,18158,15075,12602,12358,13351,17563,27065,58794,140342,36505,11963,8645,7913,7909,9235,12976,21036,66019,154406,318350,16696,335,114,79,77,111,114,86,79,59343,7445,5741,6304,8541,12741,19937,33225,54432,127377,5083,11961,21606,24197,24066,27239,31045,33992,39697,115173,1,2,3,3,2,3
4,958,1006,914,678,638,810,873,1128,1626,63366,304,532,455,403,449,519,752,1269,4068,63246,58,300,382,341,462,522,774,1496,5888,61774,6995,1994,1206,970,899,1004,1103,1599,2443,53784,39329,10145,5310,3822,3363,2728,2488,2261,1790,761,69823,1679,194,102,72,36,60,22,8,1,69881,1606,205,96,84,34,51,31,8,1,15597,13155,8997,6094,5133,4887,4940,5407,5430,2357,2485,954,698,548,649,682,879,1409,3776,59917,57572,14034,104,51,37,36,57,35,47,24,59636,2076,1145,899,826,862,1239,1893,1976,1445,5,39,88,152,244,408,652,1188,2275,66946,3,3,3,1,1,3
5,9347,1780,206,93,27,15,18,12,9,52,6633,3719,723,214,113,39,20,22,34,42,4126,4396,1956,579,239,108,53,28,43,31,4353,1827,1051,939,834,774,895,570,269,47,3172,2445,1653,1298,1012,841,635,391,109,3,2923,5699,1530,1117,213,68,9,0,0,0,2976,5129,2412,728,236,60,18,0,0,0,2134,2366,2284,1626,1365,820,657,232,72,3,6069,2198,1149,964,589,306,159,65,34,26,62,78,108,143,195,328,782,2523,5827,1513,664,1909,2836,2549,1837,1056,431,168,69,40,2132,1373,1245,1148,1239,1041,1002,862,701,816,1,1,3,1,1,1
6,6305,2588,262,78,15,2,3,0,0,0,5164,3341,508,117,58,38,18,8,1,0,3207,4202,1347,266,111,65,34,19,2,0,1952,1536,1090,1078,998,860,981,526,215,17,1900,2328,1477,1115,907,749,433,256,83,5,377,3672,2487,2460,226,31,0,0,0,0,391,3088,4023,1491,232,28,0,0,0,0,1153,2476,2106,1146,1160,552,409,182,65,4,4174,2551,983,818,398,179,113,31,6,0,0,3,21,50,84,109,249,1221,5485,2031,559,2251,2340,1825,1135,642,296,132,63,10,1303,1249,1254,1192,1078,1036,871,698,474,98,1,1,3,1,2,1
7,1676,4305,2118,1120,426,306,215,175,127,746,1191,3523,2395,1546,784,376,297,218,231,653,710,3712,3193,1185,577,431,317,272,278,539,2078,1630,956,669,892,958,1157,1225,988,661,1557,1779,2829,2471,1246,693,390,213,36,0,1274,4941,2360,1571,657,294,98,19,0,0,1275,4457,3149,1245,677,280,113,18,0,0,937,1328,3067,2403,1598,929,528,314,110,0,2524,1691,1189,1143,1012,1252,1081,542,208,572,599,541,348,372,517,780,1281,2620,3571,585,1090,2242,2625,2151,1552,928,404,159,57,6,19,319,799,1295,1583,1601,1683,1586,1043,1286,3,1,3,1,3,1
8,904,362,211,123,228,139,406,675,3001,2556,953,408,259,180,193,614,1231,2052,1845,870,851,401,217,367,502,997,2683,1448,361,778,6212,1048,253,100,61,64,49,56,79,683,1976,904,1137,1537,1548,734,463,229,72,5,8321,283,0,1,0,0,0,0,0,0,8325,279,1,0,0,0,0,0,0,0,1417,559,708,950,1139,1838,1025,788,169,12,1746,825,1923,1352,891,650,157,141,136,784,2186,3618,1170,324,257,257,293,264,223,13,1593,371,264,286,388,970,1558,1879,1068,228,65,79,103,162,222,325,492,896,2397,3864,3,2,3,1,2,1
9,2379,663,419,219,361,188,329,408,820,5389,2493,879,363,192,207,508,588,491,453,5001,2132,838,438,554,433,431,607,426,641,4675,4665,615,408,288,229,268,203,220,258,4021,7057,846,534,463,504,309,344,378,443,297,10804,366,3,2,0,0,0,0,0,0,10845,317,11,2,0,0,0,0,0,0,5438,1278,952,604,430,609,335,570,635,324,3767,466,493,301,233,355,138,329,423,4670,5927,1654,1124,587,334,391,364,396,350,48,6231,780,455,378,388,475,557,593,427,891,714,377,280,230,181,224,283,356,771,7759,3,2,3,1,2,1
10,1052,375,262,113,290,129,231,164,544,2011,1132,524,271,111,136,266,262,497,1281,691,906,446,315,295,231,345,745,668,641,579,3225,602,305,156,142,111,73,50,37,470,1850,671,519,384,392,309,307,331,309,99,4850,310,8,2,1,0,0,0,0,0,4871,285,13,1,1,0,0,0,0,0,1406,409,594,474,333,503,324,523,464,141,1924,294,543,294,266,510,169,312,228,631,1665,1762,625,283,205,183,177,175,89,7,1141,323,227,270,344,559,601,483,413,810,441,251,176,170,137,127,189,276,594,2810,3,3,3,3,3,3
