,district name,district code,1. Under-Developed_BF,2. Moderately-Developed_BF,3. Developed_BF,1. Under-Developed_FC,2. Moderately-Developed_FC,3. Developed_FC,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,Water,Evergreen Needleleaf forest,Evergreen Broadleaf forest,Deciduous Needleleaf forest,Deciduous Broadleaf forest,Mixed forest,Closed shrublands,Open shrublands,Woody savannas,Savannas,Grasslands,Permanent wetlands,Croplands,Urban and built-up,Cropland/Natural vegetation mosaic,Snow and ice,Barren or sparsely vegetated,No_HH,ELG_POP,BF_RUD,BF_INT,BF_ADV,CHH_RUD,CHH_INT,CHH_ADV,FC_RUD,FC_INT,FC_ADV,MSL_INT,MSL_ADV,MSW_RUD,MSW_INT,MSW_ADV,EMP_AL,EMP_NAL,EMP_UN,ASSET_TV,ASSET_COMPUTER,ASSET_MOBILE,ASSET_NONE,ASSET_VEHICLE,EMP_F,LIT%,MSL,MSW,CHH,FC,BF,EMP_AG_NONAG,Asset,EMP_FEMALE,LIT
0,South Andaman,640,0.29,0.01,0.71,0.45,0.03,0.52,2398,0,0,0,52,219,39,48,16,14,15,2,10,6,11,0,3,2,4,3,3,4,3,2,0,1,1,2,9,0,1,1,5,0,1,1,1,1,2,2,0,3,0,1,1,0,2,0,1,1,2,0,0,0,1,2,1,0,1,0,2,1,1,0,438.0313725,1.545098039,7872.235294,5.941176471,16.20392157,112.9647059,1,0,44.39607843,7,4.592156863,1137.207843,41.68235294,54.70196078,246.7098039,0.576470588,1.937254902,94319,339902,17.9049428,0.950246504,81.07320158,74.02022922,24.22025785,1.746671402,12.088488,25.21819888,61.0505105,5.18641419,94.45335404,6.448257509,0.496225575,93.0776853,1.917905749,38.62054357,54.76254921,0.814774149,0.135145591,0.79810244,0.031746986,0.436565654,9.069378821,89.57287689,3. Developed,3. Developed,1. Under-Developed,3. Developed,3. Developed,3. High Non-AL,2. Mod Asset Ownership,1. Low Female Emp,3. High Literacy
1,Nicobar,638,0.24,0.00,0.76,0.63,0.03,0.34,1877,0,0,0,0,50,30,1,14,14,7,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.8588235,1.290196078,4999.184314,3.156862745,2,68.2745098,0,0,15.29411765,0,9.682352941,962.827451,24.21568627,4,365.4745098,0.749019608,17.20392157,8687,29570,21.74098078,0.616438356,77.59898699,72.68631288,26.16911477,1.162933119,49.77385749,12.31872914,35.91295039,6.782398987,92.49031887,22.64792218,0.031518361,77.3085415,0.923233006,27.38924586,48.74196821,0.472218718,0.023236445,0.619467135,0.106270174,0.216456775,13.22286101,77.74433548,3. Developed,3. Developed,1. Under-Developed,1. Under-Developed,3. Developed,3. High Non-AL,2. Mod Asset Ownership,1. Low Female Emp,2. Moderate Literacy
2,North & Middle Andaman,639,0.74,0.03,0.23,0.87,0.02,0.11,3635,0,0,0,167,131,34,22,14,5,10,4,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.8156863,10.84313725,10873.31373,7.803921569,20,159.7803922,2,1,270.3411765,14.3254902,5.352941176,1387.117647,32.13333333,0,657.7176471,1.643137255,0.545098039,26888,96122,51.51350788,6.583289944,41.28949345,52.21807498,44.85192651,2.930560101,61.91402484,14.56700759,22.52793439,27.82831747,71.50220916,22.23425692,0.546954032,77.21375335,9.64607478,23.42751919,58.91679324,0.562869347,0.045567242,0.61533554,0.160854768,0.169996243,8.496494039,83.97557271,2. Moderately-Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,1. Under-Developed,3. High Non-AL,2. Mod Asset Ownership,1. Low Female Emp,3. High Literacy
3,Lawangtlai,287,0.41,0.39,0.20,0.89,0.00,0.11,2500,0,0,0,0,0,7,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4667.121569,0,0,86.72941176,0,0,3783.176471,6,0,1,12,0,122.7803922,0,0,26894,113119,28.57008255,34.76019558,34.94955752,50.54196847,45.34657173,4.1101584,66.24251878,2.063188815,31.51145609,44.53482189,54.19257083,64.97692422,1.295746263,33.73565107,24.27443666,14.14616466,53.7982125,0.349466126,0.075037852,0.354008106,0.415379787,0.073794081,16.84509234,70.54517809,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,2. High AL,1. Low Asset Ownership,2. Moderate Female Emp,1. Low Literacy
4,Lunglei,286,0.16,0.57,0.27,0.80,0.00,0.20,5650,0,0,0,0,3,17,14,13,7,6,7,1,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16962.35294,0,0,192.3490196,0,0,2464.85098,3.823529412,0,1.309803922,8.733333333,0,80.29411765,0,0,47173,196651,9.597952218,32.2171242,57.95128145,61.95125602,36.00628961,2.04245013,42.06450936,1.500582961,56.23114069,11.77145401,87.16142497,36.09887436,1.114285714,62.7636275,24.82926606,18.65589293,45.87162028,0.565110445,0.140668985,0.650324783,0.188528247,0.213385814,21.12117406,91.59882228,3. Developed,3. Developed,1. Under-Developed,3. Developed,2. Moderately-Developed,2. High AL,2. Mod Asset Ownership,3. High Female Emp,3. High Literacy
5,Saiha,288,0.06,0.66,0.29,0.71,0.00,0.29,2472,0,0,0,0,0,0,2,6,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7542.643137,0,0,289.6392157,0,0,705.6627451,0,0,0,5.109803922,0,31.65490196,0,0,15751,68235,6.692076694,50.01625294,43.15732334,66.30250778,30.10641229,3.556955114,39.35493619,3.302450638,57.17094788,22.0650054,77.4750873,32.17409053,1.794343216,66.0310266,12.28401847,18.52861435,59.64387778,0.519526633,0.132446765,0.529404609,0.260520665,0.096452162,14.76368433,91.59961896,3. Developed,3. Developed,1. Under-Developed,3. Developed,2. Moderately-Developed,1. High Unemployement,2. Mod Asset Ownership,2. Moderate Female Emp,3. High Literacy
6,Dibang Valley,257,0.41,0.24,0.36,0.93,0.00,0.07,9877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.1176471,3132.184314,188.6196078,10.9372549,10,17518.8902,0,711.1058824,237.2,25.81176471,9281.792157,2,2,0,31,2690.866667,21,2572,8993,26.73538103,23.30318818,46.64027994,44.64276827,49.02321151,6.334020218,53.36866252,1.295762053,44.9214619,10.1433126,75.75159409,9.040940902,0,91.00734837,9.729789837,26.1759146,50.31691315,0.469331649,0.084241058,0.418316096,0.274804044,0.204642691,18.11408874,68.70899589,3. Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,3. High Non-AL,1. Low Asset Ownership,2. Moderate Female Emp,1. Low Literacy
7,Upper Siang,252,0.61,0.05,0.34,0.92,0.02,0.06,9008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.94901961,3917.796078,2845.211765,3.062745098,4,20144.4549,1,152.3882353,109.8431373,6,2759.556863,125.372549,9,0,8.37254902,840.3137255,3,8919,35987,34.96235004,7.529005494,42.81270322,63.58759951,35.74866016,0.662024891,68.28211683,1.28956161,30.28417984,2.180479874,94.12726763,4.315035318,0.008072654,95.67468326,25.10073082,21.21599466,43.38233251,0.467360579,0.071811526,0.446783944,0.305158762,0.235570468,24.21429961,63.00052797,3. Developed,3. Developed,1. Under-Developed,1. Under-Developed,3. Developed,2. High AL,1. Low Asset Ownership,3. High Female Emp,1. Low Literacy
8,Lower Dibang Valley,258,0.57,0.19,0.25,0.92,0.00,0.08,7536,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.29411765,1312.8,4009.227451,1,7,15275.03922,26.46666667,361.2862745,1059.737255,81.51372549,1807.494118,85.90588235,493.0509804,14,1264.239216,105.0980392,7,14217,56303,36.81225294,17.76259408,43.35375958,51.40396708,45.17858901,3.411324471,58.66264331,1.448385735,39.62459028,23.63434621,73.00690019,9.954990504,18.60668917,71.40386157,20.32218532,21.47842921,53.55487274,0.482408314,0.081605542,0.572052261,0.161645917,0.28295231,15.92099888,72.63023285,2. Moderately-Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,3. Developed,1. High Unemployement,2. Mod Asset Ownership,2. Moderate Female Emp,1. Low Literacy
9,Tuensang,267,0.44,0.28,0.28,0.99,0.00,0.01,3169,0,0,0,0,13,15,9,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5715.117647,0,4.125490196,4123.756863,0,0,712.1960784,1,2,0,10,0,470.9960784,0,0,43702,191851,37.43704865,24.5131939,37.25440026,42.19796119,54.44443733,3.376827148,95.06823944,1.464827697,3.326953,22.91467896,71.03833921,29.91835614,0.041499245,70.03725916,31.64539148,11.61057279,41.85748315,0.261190197,0.065241613,0.401487964,0.452408471,0.059715963,26.09785719,76.13721065,2. Moderately-Developed,3. Developed,2. Moderately-Developed,1. Under-Developed,2. Moderately-Developed,2. High AL,1. Low Asset Ownership,3. High Female Emp,2. Moderate Literacy
