,census_code,change
0,8,0
1,16,0
2,21,0
3,28,0
4,31,0
5,33,0
6,35,0
7,43,0
8,53,1
9,61,0
10,64,0
11,67,0
12,77,0
13,80,1
14,81,0
15,84,0
16,101,0
17,103,0
18,107,0
19,112,0
20,115,0
21,124,0
22,132,0
23,136,0
24,144,0
25,147,0
26,150,0
27,151,0
28,153,0
29,163,0
30,177,0
31,181,1
32,187,0
33,194,0
34,200,0
35,206,0
36,207,0
37,210,0
38,211,0
39,218,0
40,223,0
41,224,0
42,231,0
43,247,0
44,248,0
45,249,1
46,250,0
47,251,1
48,253,0
49,254,0
50,265,0
51,266,0
52,286,0
53,292,0
54,296,0
55,305,0
56,312,0
57,315,0
58,318,0
59,342,0
60,349,0
61,353,0
62,354,1
63,357,0
64,370,0
65,371,0
66,376,0
67,381,0
68,383,0
69,403,0
70,408,0
71,410,0
72,412,0
73,423,0
74,426,0
75,434,0
76,440,0
77,441,0
78,455,0
79,466,0
80,475,0
81,482,0
82,484,0
83,492,0
84,494,0
85,498,0
86,499,0
87,500,0
88,502,0
89,516,0
90,517,0
91,521,0
92,525,0
93,533,0
94,536,0
95,543,0
96,557,0
97,558,0
98,560,0
99,561,0
100,562,0
101,570,0
102,572,0
103,573,0
104,575,1
105,581,0
106,603,0
107,606,0
108,609,1
109,610,0
110,611,1
111,616,0
112,619,0
113,626,0
114,630,0
115,639,1
0,2,0
1,4,0
2,5,0
3,12,0
4,14,0
5,23,0
6,24,0
7,29,0
8,32,0
9,36,0
10,44,1
11,46,0
12,56,0
13,58,0
14,59,0
15,66,0
16,71,0
17,72,0
18,75,0
19,86,0
20,88,0
21,93,0
22,94,0
23,102,0
24,109,0
25,125,0
26,126,0
27,135,1
28,138,0
29,145,0
30,152,0
31,154,0
32,162,0
33,165,0
34,166,1
35,169,0
36,172,0
37,173,0
38,191,0
39,196,0
40,198,0
41,204,0
42,205,0
43,209,0
44,212,0
45,216,0
46,219,0
47,227,0
48,229,0
49,230,1
50,235,0
51,236,0
52,262,0
53,263,0
54,264,0
55,270,1
56,276,0
57,284,0
58,287,0
59,288,0
60,289,1
61,290,0
62,291,0
63,295,0
64,302,0
65,304,0
66,325,0
67,328,0
68,332,1
69,333,1
70,341,0
71,343,1
72,346,0
73,351,0
74,356,0
75,366,0
76,385,0
77,393,0
78,396,0
79,400,0
80,402,0
81,404,0
82,405,0
83,407,0
84,409,0
85,428,0
86,431,0
87,437,0
88,442,0
89,453,0
90,473,0
91,487,0
92,489,0
93,495,0
94,506,0
95,508,0
96,512,0
97,519,0
98,526,0
99,531,0
100,545,0
101,548,0
102,563,1
103,565,0
104,567,0
105,574,0
106,576,1
107,578,0
108,591,1
109,596,1
110,617,0
111,620,0
112,621,0
113,622,0
114,627,0
115,638,0
0,6,0
1,25,1
2,26,0
3,38,0
4,45,0
5,49,1
6,63,0
7,65,0
8,69,0
9,74,0
10,82,0
11,85,0
12,90,0
13,92,0
14,97,0
15,99,0
16,100,0
17,104,0
18,113,0
19,120,0
20,121,0
21,123,0
22,133,0
23,137,0
24,143,0
25,156,0
26,160,0
27,164,0
28,167,0
29,168,0
30,183,0
31,185,0
32,188,0
33,217,0
34,225,0
35,228,0
36,233,0
37,241,0
38,242,0
39,244,0
40,257,0
41,261,0
42,273,0
43,274,0
44,285,1
45,294,0
46,298,1
47,299,0
48,301,0
49,303,0
50,307,0
51,314,0
52,316,1
53,323,0
54,329,0
55,339,0
56,352,0
57,362,0
58,374,0
59,375,0
60,377,0
61,378,0
62,380,0
63,384,0
64,388,0
65,389,0
66,390,0
67,392,0
68,399,0
69,413,0
70,414,0
71,416,0
72,420,0
73,422,0
74,424,0
75,425,0
76,435,0
77,444,0
78,446,0
79,448,0
80,450,0
81,452,0
82,456,0
83,457,0
84,460,0
85,462,0
86,468,0
87,470,0
88,476,0
89,477,1
90,479,0
91,480,0
92,483,1
93,485,0
94,491,1
95,496,0
96,501,1
97,523,0
98,528,0
99,535,0
100,537,0
101,544,0
102,566,0
103,569,1
104,579,0
105,583,0
106,586,0
107,589,1
108,590,1
109,593,1
110,595,1
111,598,1
112,599,1
113,601,1
114,632,0
115,637,0
0,7,0
1,30,0
2,34,0
3,37,0
4,40,1
5,42,1
6,51,0
7,57,0
8,68,0
9,78,1
10,91,0
11,96,0
12,108,0
13,110,0
14,111,0
15,114,0
16,116,0
17,118,0
18,122,0
19,128,0
20,130,0
21,134,1
22,141,0
23,148,0
24,149,0
25,155,0
26,161,0
27,174,0
28,175,0
29,176,0
30,186,0
31,192,0
32,193,0
33,197,1
34,203,0
35,215,0
36,220,0
37,221,0
38,232,0
42,234,0
43,239,0
44,245,0
45,272,0
46,278,0
47,279,0
48,280,0
49,282,1
50,293,0
51,297,0
52,309,0
53,310,0
54,311,0
55,317,0
56,321,0
57,330,0
58,331,0
59,334,0
60,336,1
61,337,1
62,338,1
63,340,0
64,344,0
65,355,1
66,360,0
67,372,0
68,373,0
69,379,0
70,386,1
71,387,1
72,391,0
73,394,0
74,395,0
75,397,0
76,411,0
77,421,0
78,429,0
79,430,0
80,433,0
81,436,0
82,438,0
83,449,0
84,451,0
85,454,0
86,472,0
87,503,0
88,504,1
89,505,0
90,515,0
91,518,0
92,530,0
93,546,0
94,547,1
95,550,0
96,551,0
97,556,0
98,559,0
99,564,0
100,568,0
101,571,0
102,577,0
103,588,1
104,594,1
105,600,1
106,602,0
107,607,0
108,612,0
109,613,0
110,614,0
111,615,0
112,618,0
113,623,0
114,635,0
115,636,0
0,1,0
1,10,0
2,19,1
3,27,0
4,39,1
5,41,0
6,47,1
7,48,0
8,55,0
9,60,0
10,62,0
11,70,0
12,73,0
13,76,0
14,79,1
15,83,0
16,95,0
17,98,0
18,105,0
19,106,1
20,117,1
21,119,1
22,127,0
23,129,0
24,139,0
25,140,0
26,142,0
27,146,1
28,157,0
29,158,0
30,159,0
31,170,0
32,171,0
33,178,0
34,179,0
35,182,0
36,184,0
37,189,0
38,190,0
39,195,0
40,199,0
41,201,0
42,214,0
43,222,0
44,226,0
45,237,0
46,238,0
47,243,0
48,246,0
49,252,0
50,255,0
51,267,0
52,275,1
