,census_code,change
0,1,1
1,4,0
2,10,0
3,23,0
4,24,0
5,31,0
6,33,0
7,35,1
8,37,1
9,39,1
10,44,0
11,48,1
12,53,1
13,58,0
14,63,0
15,67,0
16,77,0
17,82,1
18,86,0
19,90,0
20,100,0
21,110,0
22,116,1
23,118,0
24,124,0
25,125,0
26,140,1
27,146,0
28,150,0
29,151,0
30,157,0
31,162,0
32,168,0
33,170,0
34,172,0
35,177,0
36,186,0
37,188,0
38,190,0
39,192,0
40,206,0
41,219,0
42,224,0
43,227,0
44,231,0
45,234,0
46,236,0
47,247,0
48,248,0
49,250,0
50,267,0
51,270,1
52,272,1
53,274,1
54,275,0
55,284,1
56,291,1
57,299,1
58,307,0
59,312,0
60,316,0
61,342,0
62,356,1
63,362,1
64,368,1
65,370,0
66,372,0
67,379,0
68,383,1
69,390,1
70,392,0
71,394,0
72,405,0
73,410,0
74,416,0
75,427,1
76,428,1
77,432,0
78,435,0
79,440,0
80,451,0
81,460,1
82,472,0
83,473,0
84,474,0
85,482,0
86,484,1
87,490,0
88,509,0
89,517,0
90,520,0
91,525,0
92,526,0
93,528,1
94,530,0
95,532,1
96,535,0
97,543,0
98,544,0
99,546,0
100,563,0
101,564,0
102,567,0
103,577,0
104,579,0
105,592,0
106,597,0
107,598,1
108,599,1
109,600,0
110,604,0
111,605,0
112,607,0
113,609,0
114,615,0
115,632,0
0,2,0
1,5,1
2,19,1
3,32,0
4,34,0
5,38,0
6,40,1
7,45,0
8,46,0
9,51,0
10,57,0
11,60,0
12,61,0
13,71,0
14,74,0
15,84,0
16,92,0
17,97,0
18,107,1
19,108,1
20,109,1
21,117,0
22,120,1
23,129,0
24,138,0
25,139,1
26,142,0
27,144,0
28,148,0
29,149,0
30,152,0
31,160,0
32,167,1
33,191,0
34,193,0
35,195,0
36,196,0
37,197,0
38,203,0
39,209,0
40,211,0
41,212,0
42,214,0
43,228,0
44,230,0
45,233,0
46,235,0
47,237,0
48,238,0
49,243,0
50,251,0
51,253,1
52,255,0
53,261,1
54,265,1
55,266,0
56,287,1
57,294,1
58,298,0
59,300,1
60,309,0
61,315,0
62,321,0
63,339,1
64,346,1
65,347,1
66,351,0
67,354,1
68,355,0
69,382,1
70,386,0
71,388,0
72,389,1
73,393,0
74,395,0
75,403,0
76,406,0
77,407,0
78,409,0
79,411,0
80,420,0
81,421,0
82,422,0
83,423,1
84,425,1
85,431,1
86,446,0
87,462,1
88,466,0
89,471,0
90,475,0
91,481,0
92,488,0
93,505,0
94,512,0
95,514,0
96,516,0
97,545,1
98,548,0
99,559,0
100,560,0
101,561,0
102,566,0
103,569,0
104,572,0
105,573,0
106,596,0
107,612,0
108,617,0
109,618,0
110,620,0
111,630,0
112,634,0
113,636,0
114,637,0
115,639,0
0,7,0
1,21,0
2,26,0
3,41,1
4,42,0
5,55,0
6,56,0
7,62,0
8,72,0
9,75,1
10,78,0
11,80,0
12,81,0
13,83,0
14,85,0
15,91,0
16,93,0
17,95,0
18,98,0
19,104,0
20,106,1
21,111,0
22,113,0
23,115,1
24,126,0
25,134,0
26,135,0
27,136,0
28,145,0
29,155,0
30,159,0
31,171,0
32,175,1
33,178,0
34,183,0
35,187,0
36,194,0
37,200,0
38,201,0
39,205,0
40,207,0
41,210,0
42,217,0
43,222,0
44,232,0
46,242,0
47,244,0
48,245,0
49,246,0
50,252,0
51,277,0
52,280,0
53,281,1
54,282,1
55,289,0
56,290,0
57,295,1
58,302,1
59,303,0
60,317,0
61,330,0
62,333,0
63,334,0
64,335,0
65,338,1
66,340,0
67,341,1
68,348,0
69,350,0
70,357,1
71,364,1
72,366,1
73,375,1
74,378,0
75,384,1
76,385,1
77,396,0
78,402,1
79,408,0
80,426,1
81,433,1
82,436,0
83,438,0
84,447,0
85,450,0
86,456,0
87,457,1
88,469,0
89,483,0
90,489,0
91,498,0
92,500,0
93,502,1
94,507,1
95,519,0
96,523,0
97,529,1
98,533,0
99,534,0
100,536,0
101,547,0
102,550,0
103,551,0
104,565,0
105,570,0
106,576,0
107,578,0
108,585,0
109,589,0
110,590,0
