census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
80,2,2,1,1,1,2
178,1,1,1,1,1,1
339,1,1,1,1,1,1
469,1,1,1,1,1,1
352,1,1,1,1,1,1
69,3,3,2,2,3,2
256,1,1,2,2,1,2
598,2,2,1,1,1,1
22,1,2,2,3,2,2
574,1,1,1,1,1,1
474,3,2,2,2,3,2
281,1,1,1,1,1,1
569,2,1,1,1,1,1
229,1,1,1,1,1,1
237,1,1,1,1,1,1
567,1,1,1,1,1,1
315,1,1,1,1,1,1
582,1,1,1,1,1,1
52,3,1,1,1,3,2
26,1,2,1,1,1,2
453,1,1,1,1,1,1
135,1,1,1,1,2,1
203,1,1,1,1,1,1
383,1,2,1,1,1,1
528,1,1,1,1,1,1
285,1,1,1,1,1,1
81,1,1,1,1,1,1
518,3,3,3,3,3,3
501,1,1,1,1,1,1
476,2,2,2,2,2,1
8,1,1,1,1,1,1
458,1,1,1,1,1,1
337,1,1,1,1,1,1
487,1,1,1,1,1,1
640,2,2,2,2,2,2
365,1,1,1,1,1,1
588,1,1,1,1,1,1
300,1,1,1,1,1,1
362,1,1,1,1,1,1
76,2,2,2,1,1,1
461,1,2,1,1,1,1
248,2,1,1,2,2,1
600,1,2,2,1,1,1
624,1,1,1,1,1,1
390,1,1,1,1,1,1
513,1,1,1,1,1,1
176,1,1,1,1,1,1
277,2,1,1,1,1,1
133,1,1,1,1,1,1
71,2,1,1,1,1,1
286,1,1,1,1,1,1
486,2,1,1,1,1,1
66,2,2,2,1,2,2
578,1,1,1,1,1,1
227,1,1,1,1,1,1
313,1,1,1,1,1,1
23,1,1,2,1,1,1
217,1,1,1,1,1,1
305,1,1,1,1,1,1
296,1,1,1,1,1,1
5,1,1,1,2,1,1
321,1,1,1,1,1,1
416,1,1,1,1,1,1
247,1,1,3,1,2,1
618,1,2,1,2,2,1
191,1,1,1,1,1,1
460,1,1,1,1,1,1
497,1,1,1,2,2,1
407,1,1,1,1,1,1
187,1,1,1,1,1,1
371,1,1,1,1,1,1
120,1,1,1,1,1,1
163,1,1,1,1,1,1
166,1,2,1,1,1,1
35,3,2,1,1,1,2
295,1,1,1,1,1,1
506,1,1,1,1,1,1
19,1,1,1,1,1,1
100,1,2,2,1,1,1
470,1,1,1,1,1,1
555,1,1,1,1,1,1
556,1,1,1,1,2,2
311,1,1,1,1,1,2
441,1,1,1,1,2,1
381,1,1,1,2,1,2
503,1,1,1,1,1,1
130,1,1,1,1,1,1
158,1,1,1,1,1,1
172,1,1,1,1,1,1
54,3,2,2,1,2,2
490,1,1,1,1,1,1
233,1,1,1,1,2,1
233,1,1,1,1,2,1
233,1,1,1,1,2,1
233,1,1,1,1,2,1
215,1,1,1,1,1,1
153,1,1,1,1,1,1
307,1,1,1,1,3,2
278,1,1,1,1,1,1
438,1,1,1,1,1,1
547,1,1,1,1,1,1
451,2,2,1,2,1,1
145,1,1,1,1,1,1
481,1,2,2,1,1,1
253,1,1,2,1,1,1
534,1,1,1,1,1,1
27,2,2,2,2,2,2
484,1,1,1,1,1,1
293,1,1,1,1,1,1
319,1,1,1,1,1,1
103,1,1,1,1,1,1
159,1,1,1,1,1,1
263,1,1,1,2,1,1
491,1,1,1,1,1,1
493,1,1,1,1,1,1
440,1,1,1,1,1,1
51,3,3,3,3,3,1
39,3,1,1,1,3,2
394,1,1,1,1,1,1
393,1,1,1,1,1,1
586,3,1,3,1,1,1
165,1,1,1,1,1,1
482,1,2,1,1,2,1
55,3,3,3,3,3,3
335,1,1,2,1,1,1
17,1,2,2,2,1,2
269,1,1,1,2,1,1
537,2,1,1,1,1,1
444,3,1,1,2,1,1
251,1,2,2,2,1,1
128,1,2,2,1,1,1
244,2,2,2,2,2,1
24,2,2,1,2,2,2
632,2,1,1,1,2,2
116,1,1,1,1,1,1
49,3,2,1,1,1,2
446,1,1,1,1,1,1
602,2,1,1,1,1,2
514,1,1,1,1,1,1
183,1,1,1,1,1,1
638,1,2,2,2,2,2
56,1,1,1,1,1,1
400,1,1,1,1,1,1
235,1,1,1,1,1,1
57,1,1,1,1,2,1
425,1,1,1,1,1,1
331,1,1,1,1,1,1
421,2,1,1,1,2,1
426,1,1,1,1,1,1
546,1,1,1,1,1,1
202,1,1,1,1,1,1
581,1,1,1,1,1,1
596,1,1,1,1,1,1
450,1,1,1,1,1,1
616,1,2,2,2,1,1
189,1,1,1,1,1,1
525,1,1,1,1,1,1
457,1,1,1,1,1,1
261,1,1,1,2,2,1
590,1,1,1,1,1,1
47,2,2,2,1,1,2
85,2,2,1,1,1,1
485,1,1,1,1,1,1
15,1,1,1,1,1,1
