census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
80,2,2,2,1,1,1
178,1,1,1,1,1,1
339,1,1,1,1,1,1
469,1,1,1,1,1,1
352,1,1,1,2,2,2
69,2,2,2,2,1,2
256,2,1,3,3,2,3
598,3,2,1,1,1,1
22,2,1,2,2,2,2
574,1,1,1,1,1,1
474,3,3,1,3,3,3
281,2,2,2,2,2,2
569,2,3,3,3,3,3
229,1,2,1,1,2,1
237,1,1,1,1,1,1
567,1,1,1,1,1,1
315,2,2,2,2,2,2
582,1,1,1,1,1,1
52,2,2,2,2,1,1
26,1,3,1,1,1,3
453,1,1,1,1,1,1
135,2,2,1,1,2,1
203,1,2,1,1,1,1
383,1,2,1,1,1,1
528,1,1,1,1,1,1
285,2,2,2,2,2,2
81,1,1,1,1,1,1
518,1,1,1,1,1,1
501,1,2,2,2,2,1
476,3,3,3,3,3,1
8,2,2,2,2,1,2
458,1,1,1,2,1,1
337,2,2,1,2,1,2
487,1,1,1,1,1,1
640,3,3,3,3,3,3
365,1,1,1,1,1,1
588,3,3,3,3,3,3
300,1,2,2,2,2,1
362,1,1,1,1,1,1
76,1,2,2,1,1,1
461,1,1,1,1,1,1
248,2,2,2,2,3,2
600,3,3,3,3,3,2
624,1,1,1,1,1,1
390,1,1,1,1,1,1
513,1,1,1,1,1,1
176,1,1,1,1,1,1
277,2,3,2,2,2,2
133,2,1,1,1,1,2
71,2,1,1,1,1,1
286,2,2,2,2,2,2
486,3,1,1,1,1,1
66,2,2,2,2,2,2
578,1,1,2,2,1,1
227,1,2,1,1,1,1
313,2,1,2,2,2,2
23,1,1,1,1,1,1
217,1,1,1,1,2,1
305,2,1,2,2,2,2
296,1,1,2,2,1,2
5,1,1,2,1,2,1
321,2,2,2,2,2,2
416,1,1,1,2,2,1
247,1,3,1,3,3,1
618,1,2,1,3,3,1
191,1,1,1,1,1,1
460,1,1,1,1,1,1
497,1,1,1,1,1,1
407,1,1,1,1,1,1
187,1,1,1,1,1,2
371,1,1,1,1,1,2
120,1,1,1,1,1,1
163,1,1,1,1,1,1
166,1,1,1,1,1,1
35,1,2,1,1,2,2
295,2,2,2,2,2,2
506,1,1,1,1,1,1
19,1,1,2,2,2,2
100,2,2,1,1,1,1
470,1,1,1,1,1,1
555,1,1,1,1,1,1
556,1,1,1,1,1,1
311,2,2,2,2,2,1
