census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
80,2,2,2,2,2,2
178,2,2,2,2,2,2
339,1,1,1,1,1,1
469,1,1,1,1,1,1
352,1,2,2,2,2,1
69,3,3,3,3,3,3
256,1,1,2,2,1,2
598,1,1,1,1,1,1
22,2,3,3,3,3,3
574,1,1,1,1,1,1
474,3,2,3,2,3,2
281,1,1,1,1,1,1
569,1,1,1,1,1,1
229,2,2,2,2,3,2
237,2,2,2,2,3,2
567,1,1,1,1,1,1
315,1,1,1,1,1,1
582,2,1,2,2,2,2
52,3,2,2,2,3,3
26,1,2,1,2,2,2
453,1,1,1,1,1,1
135,2,2,2,2,2,2
203,2,2,2,2,1,2
383,1,1,1,1,1,2
528,1,2,1,1,1,1
285,1,1,1,1,1,1
81,2,2,2,2,1,2
518,3,3,3,3,3,3
501,1,1,1,1,1,1
476,3,3,3,1,1,1
8,1,1,1,1,1,1
458,1,1,1,1,1,1
337,2,2,2,2,2,2
487,1,1,1,1,1,1
640,2,2,2,2,2,2
365,2,1,2,1,2,2
588,1,1,1,1,1,1
300,1,1,1,3,1,1
362,1,3,3,1,3,1
76,3,3,3,2,2,2
461,1,2,1,1,1,1
248,3,1,1,1,2,3
600,1,2,1,1,1,1
624,1,1,1,1,1,1
390,1,1,1,1,1,1
513,1,1,1,1,1,2
176,1,2,2,2,2,2
277,3,1,1,1,1,1
133,2,1,1,1,1,1
71,3,1,3,1,1,1
286,1,1,1,3,1,1
486,3,1,1,1,1,1
66,3,3,3,3,3,3
578,1,1,1,1,1,1
227,2,2,2,2,2,2
313,1,1,1,2,1,2
23,1,1,1,1,1,1
217,2,2,2,2,2,2
305,1,1,2,1,1,1
296,1,1,1,1,1,1
5,1,1,1,1,1,1
321,3,1,2,1,2,1
416,1,1,2,1,1,1
247,1,1,1,3,2,1
618,1,3,1,3,2,1
191,2,1,2,2,2,2
460,1,1,1,1,1,1
497,1,1,1,1,1,1
407,1,1,1,1,1,1
187,1,2,2,3,2,2
371,1,2,1,1,2,2
120,1,2,1,1,1,1
163,2,1,2,2,2,2
166,2,2,2,2,2,2
35,3,3,2,3,3,2
295,1,1,1,1,1,1
506,1,2,1,2,1,2
19,1,1,1,1,1,1
100,1,2,2,2,2,2
470,1,1,1,1,1,1
555,1,1,1,1,1,1
556,1,3,1,1,1,1
311,1,2,1,2,1,1
441,2,1,1,1,1,1
381,1,1,1,1,1,2
503,1,1,1,2,2,2
130,1,1,1,1,1,1
158,1,1,2,2,2,2
172,1,1,2,2,2,2
54,2,3,3,3,3,3
490,1,1,1,1,1,1
233,2,2,2,2,2,2
233,2,2,2,2,2,2
233,2,2,2,2,2,2
233,2,2,2,2,2,2
215,2,1,2,3,2,2
153,1,2,1,1,1,1
307,1,2,1,2,3,1
278,1,1,1,2,1,1
438,2,3,2,1,1,1
547,1,1,1,1,2,1
451,1,1,1,1,1,1
145,2,2,1,2,1,2
481,2,2,2,1,2,2
253,1,2,2,1,2,2
534,1,1,2,2,1,2
27,1,3,1,1,1,1
484,1,1,1,1,1,1
293,1,1,1,1,1,1
319,1,1,2,1,1,2
103,1,1,1,1,1,2
159,2,2,2,2,2,1
263,1,1,1,1,1,1
491,1,1,1,1,1,3
493,1,1,1,1,1,1
440,2,1,1,1,1,1
51,3,3,2,3,3,2
39,2,2,2,2,3,3
394,1,1,1,1,1,1
393,1,1,1,1,1,1
586,3,1,1,1,1,3
165,2,1,2,2,2,2
482,1,1,1,1,1,3
55,3,3,3,3,3,3
335,2,1,1,1,1,1
17,1,3,3,3,3,3
269,1,3,1,3,1,1
537,3,2,1,2,1,2
444,3,1,1,1,1,1
251,1,3,2,2,2,2
128,2,2,1,1,1,2
244,3,2,2,3,2,1
24,1,1,1,1,1,1
632,3,1,1,1,1,1
116,1,1,1,1,1,1
49,2,3,2,2,2,3
446,1,1,1,1,1,2
602,3,2,1,3,1,3
514,1,1,1,1,1,1
183,1,2,2,2,2,2
638,1,2,2,2,2,2
56,1,1,1,1,3,1
400,1,1,1,1,1,1
235,2,2,2,2,2,2
57,1,1,3,3,1,1
425,1,1,1,1,1,1
331,2,2,2,2,1,2
421,3,1,2,1,3,2
426,1,1,1,1,1,1
546,1,1,1,1,1,1
202,1,2,1,1,1,1
581,1,1,1,1,1,1
596,1,1,1,1,1,1
450,1,1,1,1,1,1
616,1,3,3,3,1,1
189,2,2,2,2,2,2
525,1,1,1,1,1,2
457,1,1,1,1,1,1
261,1,1,1,1,1,1
590,1,1,1,1,1,1
47,2,2,2,2,2,2
85,2,3,1,1,2,2
485,1,1,1,1,1,1
15,2,2,1,1,1,1
127,2,2,2,2,2,2
139,2,1,1,1,1,2
164,3,2,2,2,2,2
214,2,2,2,1,2,2
494,3,3,3,3,3,3
583,1,2,2,2,1,2
367,1,1,1,1,1,2
147,2,2,1,2,2,1
252,1,1,1,1,1,3
194,2,1,2,2,2,2
79,2,2,2,2,2,2
270,1,1,1,1,1,1
257,1,2,2,2,2,2
119,1,1,1,1,1,1
225,2,1,1,1,2,1
445,1,1,1,1,1,1
516,3,3,3,1,3,1
262,1,1,1,2,1,1
53,2,2,2,2,2,2
563,1,1,1,1,1,1
634,3,3,3,3,3,3
358,1,1,2,1,1,1
422,2,1,2,1,1,1
91,3,3,3,3,3,3
639,2,2,2,2,2,2
515,2,1,1,1,1,1
603,3,3,3,3,3,3
46,3,2,2,2,2,2
6,1,1,1,1,1,1
576,1,1,1,1,1,1
350,2,1,1,1,1,1
222,2,2,2,2,2,2
571,1,1,3,3,1,2
11,3,3,1,1,3,1
455,1,1,1,1,1,1
589,1,1,1,1,1,1
606,1,1,1,1,1,1
573,1,1,1,1,1,1
326,1,1,1,2,1,3
612,1,1,3,2,2,2
131,1,1,1,1,1,1
619,1,3,1,1,1,1
195,2,2,2,2,2,2
124,1,1,1,1,1,1
475,2,2,3,2,2,2
536,3,3,3,3,3,3
21,3,3,3,3,3,3
559,1,1,1,1,1,1
427,1,1,1,1,1,3
471,1,1,3,1,1,1
101,2,1,2,2,1,2
297,1,1,1,1,1,1
299,1,1,1,1,1,1
478,2,2,2,2,2,2
190,2,1,2,2,2,2
369,2,1,1,1,2,2
507,1,1,1,1,1,1
432,1,1,1,1,1,1
231,2,2,2,2,2,2
74,3,2,2,2,2,2
245,1,2,1,1,2,1
218,2,1,2,2,2,2
328,1,2,1,1,1,1
162,2,2,2,2,2,2
94,3,3,3,3,3,3
566,1,1,1,1,1,1
527,1,1,1,1,1,1
169,2,2,2,1,2,2
287,1,1,1,1,1,1
615,1,2,3,3,1,3
406,1,1,1,1,1,1
73,2,2,2,2,3,2
637,1,3,3,3,2,3
480,2,2,2,1,1,1
141,3,1,1,1,1,1
621,1,1,1,1,1,1
241,1,1,2,2,2,1
276,1,1,1,1,2,1
273,1,1,1,1,1,1
420,2,1,2,1,2,2
223,2,2,2,1,2,2
368,1,1,1,1,1,1
524,1,2,1,1,1,1
395,1,1,1,1,1,1
502,1,2,2,2,2,2
594,1,1,1,1,1,1
392,1,1,2,1,1,2
599,2,1,1,1,1,1
170,2,2,2,2,2,2
7,1,3,3,1,1,1
550,1,1,1,1,1,1
150,2,2,1,1,3,3
16,1,1,1,3,1,1
610,1,1,1,1,1,1
521,2,1,2,2,2,2
508,1,1,1,1,1,1
75,3,3,3,3,3,3
68,2,1,2,2,3,2
442,1,1,1,2,1,1
152,2,2,1,1,1,1
224,2,1,1,1,1,1
249,1,3,2,2,2,2
112,1,1,1,1,1,1
312,1,2,1,2,1,3
20,1,1,1,3,1,1
199,2,2,1,1,2,1
309,1,1,1,1,1,1
405,1,2,2,2,2,2
33,3,1,1,1,1,1
467,1,1,1,1,1,1
479,2,2,1,1,1,1
266,1,1,1,1,1,1
613,1,3,1,1,1,3
267,1,1,1,3,1,1
144,2,3,2,3,2,1
288,1,1,1,1,1,1
123,1,1,1,1,1,1
325,1,1,2,1,1,1
107,2,1,1,1,3,2
104,2,2,1,1,1,1
301,1,1,2,2,2,2
136,2,2,2,2,3,2
468,1,1,1,1,1,1
87,1,1,1,2,1,2
557,1,1,1,1,1,3
557,1,1,1,1,1,3
388,1,1,1,1,1,1
363,1,1,1,1,2,1
43,2,2,2,2,2,2
