census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
80,3,3,2,2,3,3
178,2,2,2,2,2,2
339,2,3,3,3,3,3
469,3,3,3,3,3,3
352,2,2,2,2,2,2
69,3,3,3,3,3,2
256,1,3,1,1,1,1
598,1,3,2,2,2,2
22,3,3,2,3,3,2
574,3,3,3,3,3,3
474,3,3,3,3,3,3
281,1,3,3,1,1,1
569,1,1,1,1,1,1
229,2,2,2,2,2,2
237,2,2,2,2,1,2
567,3,3,3,3,3,3
315,1,1,1,1,1,1
582,3,2,3,3,3,3
52,2,2,2,2,3,2
26,3,1,2,1,3,1
453,1,3,1,1,1,1
135,2,2,2,2,2,2
203,2,2,2,2,2,2
383,1,2,1,1,1,1
528,1,2,1,1,1,1
285,1,1,1,1,1,1
81,3,3,2,3,3,3
518,3,3,3,3,3,3
501,3,1,2,1,1,2
476,3,3,3,3,3,3
8,1,3,3,3,3,3
458,2,3,3,3,3,3
337,2,2,2,2,2,2
487,2,3,3,3,3,3
640,1,1,1,1,1,1
365,2,1,1,1,1,1
588,1,1,1,1,1,1
300,1,2,2,1,2,1
362,1,2,2,3,3,3
76,2,2,2,2,2,2
461,3,1,1,1,1,1
248,3,1,1,1,1,3
600,1,1,1,1,1,3
624,3,3,1,3,1,3
390,1,1,1,1,1,1
513,2,3,3,2,2,3
176,2,2,2,2,2,2
277,3,1,1,1,1,1
133,2,3,3,3,3,3
71,2,3,2,3,2,2
286,1,1,1,1,1,1
486,3,3,3,2,3,3
66,3,1,1,1,1,1
578,3,3,1,1,1,1
227,2,2,2,2,2,2
313,2,3,1,2,2,2
23,3,3,3,3,3,3
217,2,2,2,2,2,2
305,2,3,2,2,2,1
296,1,1,1,3,1,3
5,1,3,3,3,3,3
321,2,3,2,1,2,1
416,2,1,3,1,3,3
247,3,1,3,3,1,1
618,2,2,3,2,1,3
191,2,3,2,2,2,2
460,1,2,1,1,1,1
497,3,3,3,3,3,3
407,2,1,1,1,1,1
187,2,2,2,1,2,2
371,1,1,1,1,1,1
120,1,1,1,1,1,1
163,2,1,2,3,2,2
166,2,2,2,1,2,2
35,2,2,2,2,2,2
295,1,1,1,1,1,1
506,1,1,1,1,2,2
19,1,3,1,1,3,3
100,3,3,3,3,3,3
470,3,3,3,3,3,3
555,3,3,3,3,3,3
556,3,3,3,3,3,3
311,2,2,1,2,1,3
441,2,3,3,3,3,3
381,1,1,1,1,1,3
503,3,2,2,2,2,2
130,2,2,3,3,2,3
158,2,3,2,2,2,2
172,2,3,2,3,2,2
54,2,2,2,2,2,2
490,3,3,1,3,3,3
233,2,2,2,2,2,2
233,2,2,2,2,2,2
233,2,2,2,2,2,2
233,2,2,2,2,2,2
215,2,3,2,2,2,2
153,2,2,3,3,2,3
307,1,2,2,2,3,3
278,1,1,1,2,1,1
438,2,3,3,3,3,3
547,3,2,3,1,2,3
451,3,3,1,3,1,2
145,2,1,2,1,3,1
481,3,3,3,3,3,3
253,1,2,1,2,2,2
534,1,3,3,3,3,3
27,3,3,3,3,3,3
484,1,3,3,3,3,3
293,1,1,2,1,1,1
319,1,3,2,1,2,1
103,3,1,1,2,2,2
159,2,2,2,2,2,3
263,1,2,1,1,1,1
491,2,2,3,3,3,3
493,2,2,3,3,3,3
440,3,3,3,3,3,3
51,3,2,2,3,2,2
39,2,2,2,2,2,2
394,2,1,1,1,1,1
393,2,1,1,1,1,1
586,3,1,1,1,1,1
165,2,3,2,2,2,2
482,3,2,2,3,3,3
55,3,3,3,3,3,3
335,2,1,1,1,1,1
17,3,3,3,3,3,3
269,3,3,3,3,1,3
537,3,2,2,2,2,2
444,3,3,3,3,3,3
251,3,1,1,1,3,3
128,2,2,3,2,3,3
244,3,1,1,3,1,3
24,3,1,1,3,1,3
632,3,3,3,3,3,3
116,1,1,1,1,1,1
49,2,2,2,2,2,2
446,2,2,1,2,2,2
602,3,3,3,1,1,3
514,3,3,2,2,3,2
183,2,2,2,2,2,2
638,1,1,1,1,1,1
56,3,3,3,3,3,3
400,1,1,1,1,1,1
235,2,2,2,2,2,2
57,3,3,3,3,3,3
425,1,3,1,1,2,3
331,2,2,2,2,2,2
421,3,3,2,2,3,3
426,1,1,1,1,2,1
546,3,3,1,2,2,3
202,3,2,3,3,3,3
581,3,2,3,3,3,3
596,1,3,1,1,1,1
450,2,3,1,1,1,1
616,3,3,3,3,3,3
189,2,2,2,2,2,2
525,3,3,3,3,3,3
457,1,1,1,1,1,1
261,1,1,1,1,1,1
590,1,1,1,1,1,1
47,2,2,2,2,2,2
85,3,3,3,3,2,2
485,2,2,3,3,3,3
15,3,3,3,3,3,3
127,3,3,3,2,3,3
139,2,3,3,3,3,2
164,2,3,2,3,2,2
214,2,2,2,2,2,2
494,3,3,3,3,3,3
583,3,2,2,2,2,2
367,1,1,1,1,1,1
147,2,3,3,3,2,3
252,3,3,1,3,3,3
194,2,3,2,2,2,2
79,3,3,3,2,3,3
270,1,3,1,1,1,1
257,3,1,1,1,1,1
119,3,2,1,1,1,3
225,1,3,3,3,3,3
445,2,3,2,1,2,3
516,3,3,3,3,3,3
262,1,1,1,1,1,1
53,2,2,2,2,2,2
563,1,1,1,1,1,1
634,3,3,3,3,3,3
358,1,1,1,1,2,2
422,2,2,3,3,3,2
91,3,3,3,3,3,3
639,1,1,1,1,1,1
515,3,3,3,2,3,3
603,3,3,3,3,3,3
46,2,2,2,2,2,2
6,1,3,3,3,3,3
576,1,1,1,1,1,1
350,1,3,3,3,3,3
222,2,2,2,2,2,2
571,3,3,3,3,3,3
11,3,3,3,3,3,3
455,3,1,3,1,1,1
589,1,1,1,1,1,1
606,3,3,3,3,3,3
573,3,3,3,3,3,3
326,2,1,3,2,2,1
612,3,3,3,3,3,3
131,3,2,3,3,3,3
619,2,1,3,1,3,3
195,2,2,2,2,2,2
124,2,2,3,3,1,2
475,3,3,3,3,3,3
536,3,3,3,3,3,3
21,3,3,2,3,3,2
559,3,1,1,1,1,1
427,1,1,3,1,1,2
471,3,3,3,3,3,3
101,3,1,1,1,1,1
297,1,2,1,1,1,1
299,1,1,1,1,1,1
478,3,3,3,3,3,3
190,2,3,2,2,2,2
369,1,1,1,1,1,2
507,1,1,1,1,1,1
432,3,2,2,2,2,3
231,2,2,2,2,2,2
74,2,2,2,2,2,2
245,3,1,3,3,1,3
218,2,3,2,2,2,2
328,1,2,1,1,2,1
162,2,2,2,3,2,3
94,3,3,3,3,3,3
566,3,3,3,3,3,3
527,3,3,3,3,3,3
169,1,2,2,1,2,2
287,1,1,1,1,1,1
615,3,3,3,3,3,3
406,2,1,2,1,1,1
73,2,2,2,2,2,2
637,3,3,3,3,1,3
480,3,3,3,3,3,3
141,2,3,3,3,3,3
621,3,3,3,3,3,3
241,1,3,1,1,1,3
276,1,1,1,2,1,1
273,1,3,1,1,1,3
420,1,1,3,3,1,2
223,2,2,2,2,2,2
368,1,1,1,1,1,1
524,3,3,1,1,3,2
395,2,1,1,1,1,1
502,1,2,2,2,2,2
594,1,1,1,1,1,1
392,2,1,1,1,1,2
599,1,1,3,3,3,3
170,2,2,2,2,2,2
7,3,3,2,3,3,3
550,3,3,3,3,3,3
150,2,2,3,3,3,3
16,3,3,3,3,3,3
610,3,3,3,3,3,3
521,1,3,2,3,2,2
508,1,2,1,1,1,1
75,2,2,2,2,2,2
68,2,3,2,2,3,2
442,2,2,2,3,3,2
152,2,2,3,3,3,2
224,2,3,3,3,3,3
249,3,3,2,2,2,2
112,1,1,1,1,1,1
312,1,2,1,2,2,3
20,1,1,1,3,3,3
199,2,2,2,3,3,3
309,2,1,3,1,1,1
405,2,1,1,1,1,2
33,3,3,3,3,3,1
467,2,3,3,3,3,3
479,3,3,3,3,3,3
266,3,3,3,1,1,3
613,3,3,3,3,3,3
267,3,2,3,1,3,3
144,2,3,3,3,2,3
288,1,3,3,1,1,1
123,2,2,1,3,2,3
325,2,2,2,2,2,2
107,1,3,1,1,3,1
104,1,3,2,2,3,2
301,2,3,2,2,2,1
136,2,2,2,2,2,2
468,3,3,3,3,3,3
87,3,3,2,2,2,2
557,2,3,3,3,3,3
557,2,3,3,3,3,3
388,2,1,1,1,1,2
363,3,3,3,3,3,1
43,2,2,2,2,2,2
37,2,2,2,2,2,2
134,2,2,2,2,2,2
86,3,3,3,3,2,3
228,2,2,3,2,2,2
291,1,1,1,1,1,1
398,2,1,3,3,3,3
283,1,3,3,1,1,1
530,3,3,3,1,1,1
554,3,3,3,3,3,3
344,2,3,3,3,3,3
412,2,1,1,1,1,1
543,1,1,3,3,1,3
342,3,3,3,3,3,3
44,2,2,2,2,2,2
320,1,3,2,1,2,3
34,3,3,3,3,3,3
142,2,2,2,2,2,2
459,2,3,2,2,3,2
488,3,3,2,3,3,3
310,2,3,1,1,1,3
