census_code,predictions_2011,predictions_2013,predictions_2015,predictions_2017,predictions_2019
80,2,1,2,2,2
178,2,2,2,2,2
339,1,1,1,1,1
469,1,1,1,1,1
352,1,1,1,1,1
69,3,2,2,1,2
256,2,2,1,2,2
598,2,3,3,2,2
22,2,3,1,3,3
574,2,2,1,1,1
474,3,1,2,2,2
281,1,1,1,2,1
569,2,3,3,2,1
229,1,1,1,1,2
237,1,1,1,1,1
567,2,2,1,2,1
315,1,1,1,1,1
582,2,1,2,2,2
52,3,2,3,1,3
26,2,2,1,2,2
180,1,1,1,1,1
453,1,1,1,1,2
135,2,2,1,2,2
203,1,2,2,1,1
383,1,1,1,1,1
528,1,1,1,1,1
285,2,2,1,2,2
81,2,2,2,2,2
518,3,3,3,3,3
501,1,1,2,1,2
476,2,2,2,2,2
8,2,2,2,2,2
458,1,1,1,1,1
337,2,1,2,2,1
487,1,1,1,2,1
640,2,2,2,2,2
365,1,1,1,1,1
588,2,3,3,3,3
300,1,1,1,1,1
362,1,1,1,1,1
76,2,3,3,3,2
461,1,1,1,1,1
248,3,3,2,2,2
540,2,2,2,2,1
600,2,2,3,2,2
624,2,2,2,2,2
390,1,1,1,1,1
513,1,1,2,2,1
176,1,2,1,2,2
277,3,3,2,2,3
133,2,2,2,1,2
71,2,3,3,1,3
286,2,2,1,2,2
486,3,3,3,1,1
66,2,2,2,1,1
578,1,2,1,2,2
227,1,1,1,1,1
313,1,1,1,1,1
23,2,2,1,2,2
217,2,2,2,2,2
305,1,1,2,1,1
296,1,1,1,1,1
5,1,1,2,2,1
321,1,1,1,1,1
416,1,1,1,2,1
247,1,1,1,2,3
618,2,3,3,3,1
191,2,2,2,1,2
460,1,1,1,1,2
497,1,1,1,1,1
407,1,1,1,1,1
187,2,2,2,1,2
371,2,2,1,2,1
120,2,2,2,2,2
163,1,2,2,2,2
166,2,1,1,2,1
35,2,3,1,2,2
295,1,1,1,2,2
506,1,1,1,1,1
19,2,2,1,1,2
100,2,2,2,2,2
470,2,2,2,2,2
555,2,1,1,2,2
556,2,1,1,1,1
311,2,1,1,1,1
441,1,1,1,1,1
381,2,1,1,2,1
503,1,1,3,2,1
130,2,2,1,1,2
158,2,2,2,2,2
172,1,2,2,2,2
54,2,3,1,2,2
490,2,2,2,2,2
233,1,1,1,1,1
215,1,1,1,1,2
153,1,1,2,1,1
307,1,2,1,2,1
278,2,2,2,2,2
438,1,1,1,1,1
547,2,2,2,3,1
451,2,2,1,2,2
145,2,2,2,2,2
481,2,2,2,2,2
253,1,2,1,1,2
534,2,2,2,2,2
27,2,2,2,2,3
484,1,1,1,1,1
293,1,1,1,1,1
319,1,1,1,1,1
103,2,2,2,2,1
159,2,2,2,2,2
263,1,2,1,1,1
491,2,2,2,2,1
493,1,1,1,1,1
440,1,1,2,1,1
51,3,3,2,3,3
39,2,3,2,2,3
394,1,1,1,1,1
393,1,1,1,1,1
586,3,3,3,3,1
165,2,1,2,2,2
482,2,2,3,3,3
55,3,3,3,3,3
418,1,1,1,2,1
335,2,1,1,2,2
17,1,2,1,1,2
269,1,1,1,1,1
3,2,2,2,1,2
537,3,2,1,1,1
444,3,2,1,2,3
251,2,2,1,2,2
128,2,1,1,2,1
244,2,1,2,2,2
24,2,2,2,2,2
632,3,2,1,1,1
116,1,2,1,1,2
49,3,3,1,2,2
446,1,1,2,2,2
602,3,3,2,2,1
514,1,1,2,1,2
183,2,2,2,2,1
638,2,2,2,2,2
56,1,2,2,1,2
400,1,1,1,1,1
235,1,1,1,1,1
57,2,1,2,1,2
425,1,1,1,2,1
331,1,1,1,1,1
421,2,1,1,2,1
426,1,1,1,1,1
546,2,2,2,2,1
202,1,2,2,2,2
581,2,2,2,2,2
596,2,2,2,2,1
450,1,1,1,1,1
616,2,1,2,2,1
189,2,2,2,1,2
525,1,1,1,3,2
457,1,1,1,1,1
261,1,1,1,1,2
590,2,1,1,1,1
47,2,3,1,3,3
85,2,2,2,2,2
485,1,1,1,1,1
15,2,2,2,1,2
127,2,1,1,2,2
139,2,2,2,1,2
164,2,2,2,2,2
214,1,1,1,1,2
494,2,2,2,2,2
583,2,2,2,2,1
367,1,1,1,1,1
147,2,2,2,2,2
252,1,1,1,1,3
194,2,2,2,2,2
79,2,1,1,2,2
270,2,2,2,2,2
257,1,1,1,2,2
119,2,2,2,2,2
225,1,1,1,1,1
445,2,2,2,3,1
516,2,2,2,2,2
553,2,2,2,2,2
262,2,2,2,1,2
53,2,3,2,2,2
563,2,2,2,2,2
634,2,2,2,3,2
358,1,1,1,1,1
422,1,1,1,3,2
91,3,3,3,3,3
639,2,2,2,2,2
515,2,2,1,2,1
603,3,3,2,3,3
46,3,1,1,2,3
6,1,2,2,1,3
576,2,2,1,1,1
350,1,1,1,1,1
222,1,1,1,2,2
571,2,2,2,2,1
11,2,2,2,2,1
455,1,1,1,1,1
589,2,3,3,3,3
606,2,1,1,2,1
573,2,2,1,1,1
326,1,1,1,1,1
612,2,2,2,2,1
131,1,1,1,1,1
619,2,3,3,2,1
195,2,2,2,1,2
124,1,1,1,1,1
475,2,2,2,2,2
536,3,3,3,3,3
21,3,3,3,3,3
559,2,2,2,2,2
427,1,1,1,2,1
471,2,1,2,1,2
101,2,2,2,2,1
297,1,1,1,1,1
299,1,1,1,1,1
478,2,2,1,1,2
190,2,2,2,1,2
369,1,1,3,2,1
507,1,1,1,1,1
432,2,2,1,2,1
231,1,1,2,1,1
74,3,3,3,1,2
245,1,1,1,1,2
218,2,2,2,1,2
328,1,1,1,1,1
162,2,2,2,2,2
94,3,3,3,3,3
566,2,2,2,2,2
527,2,2,2,2,1
169,2,1,1,2,2
287,1,1,1,1,1
615,2,2,2,2,2
406,1,1,1,1,1
73,2,3,3,1,2
637,2,2,2,2,2
480,2,1,1,1,2
141,3,2,2,3,3
621,2,2,1,2,1
241,2,1,1,2,1
276,2,2,2,2,2
273,1,1,1,1,1
420,1,1,1,2,1
223,1,1,1,1,2
368,1,1,1,1,1
524,2,1,2,2,2
395,1,1,1,1,1
502,1,1,2,2,2
594,3,3,3,2,1
392,1,1,1,1,1
599,3,3,1,2,2
170,1,1,1,2,2
7,2,2,1,3,2
550,2,2,2,2,2
150,2,2,1,1,1
16,1,3,2,1,1
610,2,1,1,2,1
521,3,2,2,3,2
508,1,1,1,1,1
75,2,3,3,3,3
68,2,2,1,1,1
442,1,2,2,2,1
152,1,1,1,2,1
224,1,1,1,1,2
249,1,1,1,2,1
112,2,2,1,2,1
312,2,1,1,1,1
20,1,2,2,2,2
199,2,1,1,1,2
309,2,2,1,2,1
405,1,1,1,1,1
33,2,2,2,2,2
467,1,1,1,3,1
479,2,2,2,2,2
266,1,2,1,1,2
613,2,2,2,2,2
267,1,1,1,1,1
144,2,2,2,2,3
288,2,2,2,2,2
123,2,2,1,2,1
325,1,1,1,1,1
107,1,2,2,2,2
104,2,1,3,2,3
301,1,1,1,1,1
136,2,2,2,1,2
468,2,2,2,2,2
87,2,3,2,2,2
557,2,2,2,2,2
388,1,1,1,1,1
363,1,1,1,1,1
43,2,2,2,2,2
37,3,3,1,3,3
134,2,1,2,1,1
86,3,2,3,2,3
228,1,1,1,3,1
291,1,1,1,3,1
398,1,1,1,2,1
283,3,1,1,1,1
530,2,1,1,1,1
554,2,2,2,2,2
344,1,1,1,2,1
412,1,1,1,1,2
543,1,1,1,2,1
342,3,3,3,3,3
44,2,3,2,3,1
320,1,1,1,1,1
34,2,1,2,1,1
142,2,2,2,2,2
459,1,1,1,1,1
488,2,2,2,2,2
310,2,2,1,2,1
428,1,1,1,1,1
114,1,2,2,2,2
378,1,1,1,1,1
154,1,1,2,1,1
272,1,1,1,1,1
148,2,2,2,2,2
410,2,2,1,2,1
284,2,2,1,1,2
341,2,2,1,1,1
384,1,1,1,1,1
198,2,2,2,2,2
48,3,1,3,2,2
338,2,1,2,1,1
132,2,1,2,1,2
544,2,2,2,2,1
526,2,2,2,2,2
593,2,2,2,3,2
355,2,1,2,1,1
264,1,2,2,1,2
572,3,2,1,2,1
449,2,2,1,1,1
317,1,1,2,1,1
31,2,2,3,1,2
232,1,2,2,2,2
207,1,1,1,2,1
290,1,1,1,1,1
374,2,1,1,2,1
545,2,2,2,2,2
608,2,1,1,1,1
179,2,2,2,2,2
376,1,1,1,1,1
336,1,1,1,1,2
636,3,3,3,3,3
424,1,1,1,2,2
385,1,1,1,1,1
377,1,1,1,1,1
483,1,1,1,2,1
541,2,2,2,2,2
561,2,1,2,2,1
411,1,1,1,1,1
391,1,1,1,1,1
250,2,1,2,2,2
353,1,1,1,1,1
303,1,1,1,1,1
192,2,2,2,2,2
538,2,2,2,1,2
88,3,2,3,2,3
327,2,3,1,1,2
318,1,1,1,2,2
234,2,1,2,1,1
466,1,1,2,1,1
366,1,1,1,1,1
340,1,1,1,1,1
205,1,2,2,2,2
386,3,1,1,1,1
268,1,1,1,1,2
308,1,1,1,2,1
230,2,1,1,1,2
1,1,1,1,2,2
155,1,1,1,1,2
447,1,1,2,2,1
143,2,2,2,1,3
161,2,2,2,2,2
592,2,3,2,3,2
577,2,2,1,2,1
436,1,2,1,2,1
549,2,2,2,2,2
40,3,3,3,3,3
167,1,1,1,1,1
243,2,2,2,2,2
32,2,2,2,2,3
226,1,1,1,1,1
489,1,2,2,2,2
380,1,1,1,2,1
417,1,1,1,1,1
126,2,1,2,2,2
95,3,3,3,3,3
330,1,1,1,1,1
77,2,3,3,3,2
333,1,1,1,1,2
151,1,2,1,1,1
18,1,2,1,2,1
382,1,1,1,1,1
595,3,3,3,2,1
193,2,2,2,1,2
520,3,3,2,2,2
174,1,2,2,2,2
323,1,1,1,1,2
173,2,2,2,2,2
204,1,2,2,1,2
354,2,1,1,2,1
140,3,1,2,3,3
584,2,2,1,2,1
25,2,2,2,2,2
562,2,2,2,2,2
61,2,2,2,1,1
10,3,3,2,2,1
240,1,1,1,1,1
402,1,1,1,1,1
13,2,3,2,2,1
84,2,2,2,2,2
42,3,3,1,3,2
149,1,1,1,1,2
500,1,1,2,1,2
78,2,3,2,3,2
255,2,2,2,2,2
184,2,1,1,2,1
558,2,2,2,2,2
397,1,1,1,1,1
4,1,2,2,1,2
41,3,3,2,3,2
435,2,2,1,2,2
265,2,2,2,2,2
294,1,1,1,1,1
401,1,1,1,1,1
473,3,3,2,3,2
533,2,1,1,2,1
125,1,1,1,1,1
96,3,3,3,3,3
28,2,2,2,3,3
14,1,2,1,2,1
271,1,1,1,1,2
