census_code,predictions_2011,predictions_2013,predictions_2015,predictions_2017,predictions_2019
80,2,2,2,2,2
178,1,1,2,2,1
339,1,1,1,1,1
469,1,1,1,1,1
352,1,2,2,1,2
69,3,3,3,2,3
256,3,3,2,3,3
598,3,3,3,3,3
22,1,3,2,3,3
574,1,1,1,1,1
474,3,1,1,2,3
281,2,2,3,2,3
569,3,3,3,3,3
229,1,2,2,1,1
237,1,1,2,1,1
567,2,1,1,1,1
315,2,2,2,2,2
582,1,1,1,1,1
52,3,3,3,2,1
26,3,2,2,3,3
180,1,1,1,1,1
453,1,1,2,1,2
135,2,1,2,1,1
203,1,3,2,1,2
383,1,1,1,1,1
528,3,1,3,1,3
285,3,3,3,3,3
81,2,1,1,1,2
518,2,2,2,2,3
501,2,2,2,1,3
476,3,3,1,3,1
8,2,2,2,2,3
458,1,1,1,1,1
337,2,2,2,2,2
487,1,1,1,1,1
640,3,3,3,3,3
365,1,1,1,1,1
588,3,3,3,3,3
300,1,2,2,2,2
362,1,1,1,1,1
76,3,2,3,2,3
461,1,1,1,1,1
248,3,2,2,2,3
540,1,1,1,1,1
600,3,3,3,3,3
624,1,1,1,3,1
390,1,1,1,2,1
513,1,2,1,2,2
176,1,1,1,2,2
277,3,3,3,3,3
133,3,1,2,3,3
71,2,2,3,2,3
286,2,2,2,2,2
486,3,1,1,1,1
66,3,3,3,2,3
578,1,1,1,1,1
227,1,1,1,1,1
313,2,2,2,2,2
23,2,2,2,2,2
217,1,2,1,1,1
305,2,1,2,2,2
296,2,2,2,2,2
5,1,1,3,1,2
321,2,2,2,2,2
416,1,1,1,3,1
247,1,1,2,3,3
618,1,2,1,1,1
191,1,1,2,2,1
460,1,1,1,1,1
497,1,1,1,1,1
407,1,1,1,1,1
187,1,3,2,1,2
371,1,1,1,1,1
120,1,1,1,1,1
163,1,2,2,2,1
166,1,1,1,1,1
35,2,2,2,3,3
295,2,3,3,3,3
506,2,1,1,1,1
19,1,3,2,1,3
100,2,2,2,2,2
470,2,2,2,2,2
555,1,3,1,1,1
556,1,1,1,1,1
311,2,2,1,2,2
441,1,1,1,1,1
381,1,2,1,2,2
503,2,1,2,1,1
130,1,1,1,1,1
158,1,1,2,2,2
172,1,2,2,2,1
54,2,3,3,3,2
490,2,2,2,2,2
233,1,1,1,1,1
215,1,1,1,1,1
153,1,1,1,1,1
307,2,2,1,3,2
278,3,3,3,2,3
438,1,2,2,1,1
547,3,1,3,3,1
451,2,1,3,2,2
145,1,2,1,1,1
481,2,2,1,2,1
253,2,2,3,2,3
534,2,1,1,3,1
27,3,3,3,3,3
484,1,1,1,1,1
293,2,2,2,2,2
319,2,2,2,2,2
103,2,1,1,2,1
159,1,3,1,3,1
263,2,2,3,3,3
491,2,2,2,2,2
493,1,1,1,1,1
440,1,1,2,1,1
51,3,3,3,3,3
39,3,3,3,3,3
394,1,1,1,1,1
393,1,1,1,1,1
586,3,3,3,3,3
165,1,1,1,1,2
482,2,2,2,2,2
55,3,3,3,3,3
418,1,1,1,1,1
335,2,1,1,1,1
17,1,3,1,1,3
269,2,2,2,2,3
3,2,1,2,1,1
537,3,1,1,1,1
444,3,2,1,3,3
251,2,2,2,2,2
128,1,1,1,1,1
244,3,3,3,3,3
24,3,3,2,3,3
632,3,1,1,1,1
116,1,1,1,1,1
49,3,2,1,3,3
446,1,1,1,1,1
602,3,1,3,1,1
514,1,1,1,2,1
183,1,1,1,2,1
638,3,3,3,3,3
56,2,2,2,2,3
400,1,1,1,1,1
235,1,1,1,1,1
57,2,2,2,2,3
425,1,1,1,1,1
331,1,1,2,1,2
421,3,1,1,1,1
426,1,1,1,1,1
546,3,1,2,3,1
202,1,2,3,1,1
581,1,1,1,1,1
596,3,3,3,3,3
450,1,1,1,1,1
616,1,1,1,1,1
189,1,3,1,1,2
525,1,1,1,1,1
457,1,1,1,1,1
261,2,2,2,2,2
590,3,3,3,3,3
47,2,2,2,2,1
85,2,1,1,1,1
485,1,1,1,1,1
15,1,2,2,2,2
127,2,1,1,1,1
139,3,1,3,1,3
164,3,2,2,2,1
214,1,1,1,1,1
494,3,3,3,3,3
583,2,1,1,2,1
367,1,1,1,1,1
147,1,2,1,1,1
252,2,2,2,2,3
194,1,1,2,1,1
79,2,1,1,2,1
270,3,3,3,3,3
