census_code,predictions_2011,predictions_2013,predictions_2015,predictions_2017,predictions_2019
80,2,2,3,2,2
178,2,2,1,1,2
339,1,2,2,1,1
469,2,3,3,3,3
352,1,1,1,1,1
69,3,3,3,3,3
256,3,2,3,3,2
598,3,3,3,3,2
22,3,3,1,3,3
574,2,2,2,2,2
474,3,3,3,3,3
281,2,2,1,3,1
569,3,3,3,3,2
229,1,1,1,1,2
237,1,1,1,1,1
567,2,2,2,2,2
315,1,2,2,1,3
582,3,2,2,3,2
52,3,3,3,1,3
26,3,3,2,2,3
180,1,1,2,1,2
453,2,2,2,2,3
135,1,1,2,1,2
203,1,1,1,1,1
383,1,1,1,1,1
528,3,2,2,2,2
285,2,3,3,2,3
81,2,2,2,2,2
518,3,3,3,3,3
501,2,2,2,3,2
476,3,3,3,3,3
8,2,2,2,2,3
458,2,2,2,2,2
337,2,1,1,1,2
487,2,2,2,2,2
640,3,3,3,3,3
365,1,1,1,1,1
588,3,3,3,3,2
300,1,1,2,1,1
362,1,1,1,2,1
76,2,2,2,2,2
461,3,1,1,1,3
248,2,3,2,2,3
540,2,3,3,2,2
600,3,3,3,2,3
624,3,3,3,3,3
390,1,1,2,1,2
513,2,2,2,2,2
176,1,1,2,1,2
277,3,3,3,3,3
133,2,1,2,1,2
71,2,1,3,2,3
286,2,2,1,2,2
486,3,3,3,3,3
66,3,3,3,2,3
578,2,3,2,2,2
227,1,1,1,1,1
313,1,1,1,1,1
23,3,3,3,3,3
217,1,1,2,2,2
305,1,1,1,1,1
296,1,1,1,1,1
5,1,3,2,1,2
321,1,1,1,1,1
416,2,2,2,3,2
247,1,1,2,3,3
618,2,3,3,3,1
191,2,2,2,2,2
460,2,1,2,2,2
497,2,2,2,2,2
407,1,2,2,2,2
187,1,2,1,1,2
371,1,1,1,3,1
120,2,2,2,2,2
163,1,2,2,2,1
166,2,2,2,3,2
35,2,1,2,2,3
295,2,2,2,2,3
506,2,1,2,2,2
19,2,3,2,2,3
100,3,1,2,3,2
470,3,3,2,3,3
555,3,2,2,2,2
556,2,2,2,2,2
311,1,1,1,2,1
441,1,2,2,2,2
381,1,1,1,1,2
503,2,2,3,2,2
130,2,2,2,3,2
158,1,1,1,3,2
172,1,2,1,1,2
54,2,2,1,3,2
490,3,3,3,3,3
233,1,1,1,1,2
215,1,1,1,2,1
153,1,1,1,2,2
307,1,1,1,2,1
278,3,1,1,3,3
438,2,2,2,2,2
547,3,3,3,3,2
451,2,2,2,2,2
145,2,1,2,2,2
481,3,3,3,3,3
253,2,3,2,2,3
534,3,3,3,3,2
27,3,3,3,3,3
484,2,2,2,2,2
293,2,2,1,2,2
319,1,1,1,1,1
103,3,3,2,2,2
159,1,1,2,1,2
263,2,2,2,2,2
491,3,3,3,3,3
493,3,2,2,2,2
440,1,2,2,2,2
51,3,3,3,3,3
39,2,2,3,3,3
394,1,1,2,1,2
393,1,1,1,1,1
586,3,3,3,3,2
165,1,2,2,2,1
482,3,3,3,3,3
55,3,3,3,3,3
418,1,2,2,2,2
335,2,2,1,2,1
17,2,3,2,3,2
269,2,2,1,2,2
3,2,3,3,2,3
537,3,2,2,2,2
444,3,3,3,2,3
251,2,2,1,2,2
128,2,2,2,3,2
244,3,2,3,3,3
24,3,1,2,2,3
632,3,3,1,3,2
116,1,3,1,3,2
49,2,1,1,2,2
446,2,2,2,2,2
602,3,1,1,2,1
514,2,2,2,2,2
183,1,2,2,2,2
638,3,3,3,3,3
56,3,3,3,3,3
400,2,2,1,1,2
235,1,1,1,1,1
57,3,3,3,2,3
425,2,2,2,2,2
331,1,1,1,1,1
421,3,2,2,3,2
426,2,2,2,2,2
546,3,3,3,3,3
202,1,2,2,2,2
581,2,2,3,3,2
596,2,2,3,3,1
450,2,2,2,2,2
616,2,3,3,3,3
189,1,2,1,1,2
525,2,2,2,2,2
457,2,1,2,2,2
261,1,1,1,2,2
590,2,3,2,2,2
47,2,2,2,2,2
85,2,2,2,2,3
485,1,1,1,1,2
15,2,3,2,1,2
127,3,2,2,2,2
139,2,2,2,2,3
164,2,2,2,1,1
214,1,1,1,1,2
494,3,3,3,3,3
583,3,3,3,3,2
367,1,1,1,1,1
147,1,2,2,2,1
252,3,3,3,3,3
194,2,1,2,2,2
79,2,1,2,2,2
270,3,3,3,3,3
257,2,3,3,3,3
119,2,2,2,2,2
225,1,1,1,1,1
445,2,2,2,2,2
516,3,3,3,3,3
553,3,2,2,2,2
262,3,3,3,3,3
53,2,2,2,2,3
563,2,2,2,2,2
634,3,3,3,3,3
358,1,1,1,1,1
422,2,1,2,2,2
91,2,3,3,3,3
639,3,3,3,3,3
515,3,2,3,3,2
603,3,3,3,3,3
46,2,1,2,2,2
6,2,2,3,2,3
576,2,1,1,2,2
350,1,1,1,1,1
222,1,1,1,1,2
571,2,2,2,2,2
11,2,2,2,3,2
455,2,2,2,2,2
589,3,3,3,3,3
606,3,2,3,2,2
573,2,2,2,2,2
326,1,1,1,1,1
612,3,3,2,2,2
131,1,2,2,2,2
619,2,3,3,3,1
195,1,1,2,2,2
124,1,2,2,2,1
475,3,3,3,3,3
536,3,3,3,3,3
21,3,3,3,3,3
559,2,3,2,2,3
427,2,2,2,2,2
471,3,2,2,3,3
101,2,2,2,3,1
297,1,1,3,1,3
299,2,1,1,2,1
478,3,3,3,3,3
190,2,2,2,1,2
369,2,1,1,1,1
507,2,1,2,2,2
432,2,2,2,2,2
231,1,1,1,1,2
74,2,1,2,1,2
245,2,2,3,2,3
218,2,1,2,1,2
328,1,1,1,1,1
162,1,1,2,1,1
94,3,3,3,3,3
566,2,2,2,2,2
527,3,3,3,3,2
169,2,1,1,1,1
287,2,2,2,2,3
615,3,3,3,3,3
406,1,1,2,1,2
73,2,2,2,1,2
637,3,3,3,3,3
480,3,3,3,3,2
141,3,2,2,3,3
621,2,3,2,3,2
241,2,3,1,2,1
276,3,3,3,3,3
273,1,1,1,2,2
420,2,1,2,2,2
223,1,1,1,1,2
368,2,1,2,2,2
524,2,2,2,2,2
395,1,1,1,1,2
502,2,2,2,2,2
594,3,3,3,3,2
392,1,1,1,1,1
599,3,3,2,3,2
170,2,2,2,2,2
7,3,3,2,3,3
550,3,3,3,3,3
150,1,1,2,1,2
16,1,3,1,3,2
610,3,2,1,2,2
521,3,3,3,3,3
508,2,1,2,2,2
75,2,2,3,2,3
68,2,1,1,1,3
442,1,2,2,2,2
152,1,2,2,2,2
224,1,1,2,1,2
249,1,3,3,3,3
112,2,1,1,2,2
312,1,1,1,2,1
20,2,3,2,1,3
199,2,1,2,2,2
309,2,1,1,3,2
405,1,1,1,1,1
33,3,3,3,3,3
467,2,2,3,2,2
479,3,3,3,3,3
266,2,2,1,2,2
613,3,3,1,3,1
267,1,1,1,1,2
144,1,2,2,2,2
288,3,3,2,2,3
123,2,2,2,2,2
325,1,1,1,1,1
107,1,2,2,2,2
104,2,3,3,3,3
301,1,1,1,1,1
136,1,1,1,2,2
468,3,3,3,3,3
87,1,2,2,2,2
557,2,2,2,2,2
388,1,1,1,2,2
363,1,1,1,2,1
43,2,1,2,2,2
37,2,1,1,2,3
134,2,1,1,1,2
86,3,1,3,1,3
228,1,1,1,1,1
291,2,2,2,3,2
398,1,2,2,1,2
283,3,2,2,1,2
530,3,3,2,3,3
554,3,3,3,2,3
344,1,2,2,2,1
412,2,1,2,1,2
543,3,2,1,3,3
342,3,3,3,3,3
44,1,2,2,2,2
320,1,1,1,1,1
34,3,2,3,3,2
142,1,1,2,1,2
459,2,2,2,2,2
488,3,3,2,3,3
310,2,1,1,2,2
428,2,2,2,2,2
114,1,3,2,2,2
378,1,1,1,1,1
154,1,1,2,2,2
272,1,2,1,1,2
148,1,2,2,2,2
410,2,3,2,2,2
284,2,2,1,1,2
341,2,2,2,2,2
384,1,1,1,1,1
198,2,2,2,1,2
48,2,2,2,1,3
338,2,2,2,2,1
132,2,1,2,1,3
544,3,3,2,3,3
526,3,2,2,3,3
593,3,3,1,3,2
355,2,1,1,1,2
264,2,3,3,3,3
572,3,3,3,3,1
449,2,2,2,2,2
317,1,2,2,2,3
31,3,3,3,2,3
232,1,1,2,1,1
207,2,1,1,1,1
290,2,2,2,2,2
374,1,1,1,1,1
545,3,3,3,3,3
608,3,2,2,1,1
179,2,2,2,2,2
376,1,2,1,1,1
336,1,1,2,1,3
636,3,3,3,3,3
424,2,2,2,2,2
385,1,1,1,1,2
377,1,1,1,2,1
483,2,2,2,3,2
541,3,3,3,3,2
561,2,2,2,2,2
411,1,1,1,1,1
391,1,1,1,1,1
250,2,3,3,3,3
353,1,3,1,1,1
303,1,1,1,1,1
192,2,2,2,1,2
538,3,3,3,2,3
88,2,2,3,2,3
327,2,3,1,1,1
318,1,2,2,2,3
234,1,2,1,1,1
466,2,2,2,3,2
366,1,2,1,1,1
340,1,2,2,1,1
205,1,3,3,2,3
386,2,1,1,1,1
268,1,3,3,3,3
308,1,1,1,2,2
230,2,1,1,1,1
1,1,2,2,3,3
155,1,2,2,1,2
447,2,2,2,2,2
143,2,2,2,2,2
161,1,2,2,2,2
592,3,3,3,3,2
577,2,2,2,2,2
436,2,2,2,2,2
549,3,3,3,3,3
40,2,2,3,2,3
167,2,2,2,2,2
243,2,2,3,2,3
32,3,3,2,3,3
226,1,1,1,1,1
489,3,3,3,3,3
380,1,1,1,2,1
417,1,1,2,3,2
126,2,2,2,2,2
95,2,3,3,2,3
330,1,2,2,1,1
77,2,2,3,1,2
333,1,1,1,1,1
151,1,1,1,1,3
18,2,3,2,3,2
382,1,1,1,1,1
595,3,3,3,3,3
193,2,1,1,1,2
520,3,3,3,3,2
174,1,2,1,1,2
323,1,1,1,1,2
173,2,1,2,1,2
204,1,2,2,1,2
354,2,1,1,1,1
140,2,1,2,1,3
584,2,2,2,2,2
25,3,3,3,3,2
562,3,2,2,2,3
61,3,3,2,2,3
10,3,3,2,3,2
240,1,1,1,1,1
402,2,2,2,2,1
13,3,3,2,3,3
84,2,2,2,2,2
42,2,1,2,3,2
149,1,1,2,2,3
500,2,2,2,2,2
78,2,2,2,2,2
255,3,3,3,3,3
184,2,2,1,2,2
558,2,3,3,2,3
397,1,1,1,1,2
4,1,3,2,3,2
41,2,1,1,2,2
435,2,2,2,2,2
265,2,3,2,3,3
294,2,2,3,1,1
401,2,2,2,2,2
473,3,3,3,3,3
533,3,3,2,2,2
125,1,2,2,2,2
96,3,3,3,3,3
28,3,3,3,3,3
14,2,2,2,3,2
271,2,3,1,1,3
587,3,3,3,3,3
570,2,3,2,2,2
304,1,1,1,1,1
254,2,2,1,3,2
115,1,1,1,1,1
443,2,3,2,2,3
551,3,3,3,3,3
298,2,1,1,1,1
564,2,2,2,2,2
146,2,2,2,2,2
351,1,1,1,1,1
98,3,3,3,3,3
138,2,1,2,3,2
605,3,2,3,2,2
364,2,1,1,2,1
322,3,3,3,3,3
439,3,3,3,3,2
117,2,3,2,3,2
175,2,1,2,1,2
160,1,1,2,2,1
2,2,3,2,2,2
332,1,1,1,1,1
517,3,3,3,3,3
504,2,2,2,2,2
279,1,1,1,1,1
345,1,1,1,1,1
59,3,3,2,1,3
465,1,1,2,1,2
404,2,2,1,1,1
282,2,2,3,3,3
99,2,2,2,2,2
242,2,2,3,2,3
623,3,3,2,3,1
275,3,3,3,3,3
387,1,1,1,1,1
519,3,3,3,3,3
492,3,3,3,3,3
137,1,1,2,1,3
614,3,3,2,2,2
30,3,3,3,3,3
196,2,2,1,1,1
414,2,2,1,2,2
512,2,2,3,2,2
495,3,3,3,3,3
609,3,3,1,2,2
409,2,2,2,2,2
63,3,3,2,3,2
510,2,3,2,2,3
357,2,1,1,2,1
64,3,3,3,1,3
182,1,2,2,1,2
70,2,2,3,1,3
122,2,2,2,2,2
462,3,1,1,3,1
65,2,2,2,2,3
403,1,1,1,1,1
472,2,2,2,2,2
292,2,2,2,1,2
372,1,2,2,2,1
60,3,1,2,3,3
611,3,1,1,3,1
62,3,3,3,3,2
532,3,3,3,3,2
238,1,1,1,1,1
542,3,2,2,3,2
186,2,1,1,1,2
454,2,2,2,2,2
568,2,3,2,2,2
302,1,1,1,1,1
361,2,1,1,3,3
111,3,2,2,1,2
375,1,1,1,1,1
274,2,1,1,2,2
626,3,2,2,2,3
156,1,1,2,2,2
197,2,2,1,2,2
206,1,1,1,1,2
97,3,3,3,3,3
50,1,2,1,2,3
522,3,3,3,3,3
246,2,2,2,2,3
399,1,2,2,1,2
531,3,3,3,3,3
324,1,1,1,1,1
177,2,1,1,1,1
630,3,2,2,2,2
464,1,2,2,2,2
306,1,1,1,1,1
548,3,3,3,3,3
509,2,2,2,3,2
90,3,3,3,3,3
379,1,1,1,1,1
575,3,3,3,3,2
601,3,3,3,2,3
529,3,3,3,3,3
45,2,2,2,3,2
633,3,2,1,3,1
