census_code,predictions_2011,predictions_2013,predictions_2015,predictions_2017,predictions_2019
80,2,2,2,2,2
178,2,2,2,2,2
339,2,1,1,2,1
469,1,1,1,1,1
352,2,1,1,2,1
69,3,3,3,3,3
256,1,1,1,1,1
598,3,3,3,1,3
22,3,3,1,3,3
574,1,1,1,1,1
474,3,3,3,3,3
281,1,1,1,3,1
569,1,1,1,1,1
229,2,2,2,2,2
237,2,2,1,1,1
567,1,1,1,1,1
315,1,1,1,1,1
582,1,1,1,1,1
52,3,3,3,3,3
26,1,1,1,1,1
180,1,2,1,3,2
453,1,1,1,1,1
135,2,2,2,2,1
203,2,1,1,1,1
383,1,1,1,1,1
528,1,1,1,1,1
285,1,1,1,1,1
81,2,2,1,2,2
518,3,3,3,3,3
501,1,1,3,1,3
476,3,3,3,3,3
8,1,1,1,1,1
458,1,1,1,1,1
337,3,2,3,1,1
487,1,1,1,1,1
640,1,1,1,1,1
365,1,1,1,1,1
588,1,3,3,1,1
300,1,1,1,1,1
362,1,1,1,1,1
76,3,2,3,3,3
461,1,1,1,1,1
248,3,1,1,3,3
540,1,1,1,1,1
600,1,1,3,1,3
624,3,1,1,1,1
390,1,1,1,1,1
513,1,1,1,1,1
176,1,2,2,1,2
277,3,3,3,3,3
133,2,3,3,1,1
71,3,3,3,2,3
286,1,1,1,1,1
486,3,3,3,3,3
66,3,1,1,1,1
578,1,1,1,1,1
227,2,2,2,2,1
313,1,1,1,1,1
23,1,1,1,1,1
217,2,2,2,2,2
305,1,1,1,1,1
296,1,1,1,1,1
5,1,1,1,1,1
321,1,1,1,1,1
416,1,1,1,1,1
247,1,1,1,1,3
618,1,3,3,3,2
191,2,1,2,1,2
460,1,1,1,1,1
497,1,1,1,1,1
407,1,1,1,1,1
187,1,1,1,1,1
371,1,1,1,1,1
120,1,1,1,1,2
163,2,2,2,2,2
166,2,2,2,2,2
35,3,3,1,3,3
295,1,1,1,1,1
506,1,1,1,1,1
19,1,1,1,1,1
100,2,2,2,2,2
470,1,2,2,2,2
555,1,1,1,1,1
556,1,1,1,1,1
311,1,1,2,1,1
441,1,1,1,1,1
381,2,1,1,1,1
503,1,3,1,1,1
130,1,1,1,1,1
158,1,1,1,2,2
172,1,2,2,2,2
54,3,3,2,3,1
490,1,1,1,1,1
233,2,2,1,2,1
215,2,2,2,2,2
153,1,2,1,3,3
307,1,1,1,1,1
278,3,3,1,1,1
438,1,1,1,3,1
547,3,1,3,3,1
451,1,1,1,1,1
145,2,2,2,2,2
481,3,3,3,3,1
253,1,1,1,1,1
534,1,1,1,1,1
27,1,1,1,1,1
484,1,1,1,1,1
293,1,1,1,1,1
319,1,1,1,1,1
103,1,1,1,1,2
159,2,3,2,2,1
263,1,1,1,1,1
491,1,1,1,1,1
493,1,1,1,1,1
440,2,1,1,1,1
51,3,3,3,3,3
39,3,3,3,3,3
394,1,1,1,1,1
393,1,1,1,1,1
586,3,3,1,3,1
165,2,2,2,2,2
482,1,3,3,3,3
55,3,3,3,3,3
418,1,1,1,1,1
335,2,1,1,3,2
17,1,1,1,1,1
269,1,1,1,1,1
3,3,1,1,3,1
537,3,1,1,1,1
444,3,1,3,1,3
251,1,1,1,1,1
128,1,1,1,1,1
244,3,3,1,1,1
24,1,1,1,1,1
632,3,1,1,1,1
116,1,2,1,2,2
49,3,2,2,3,3
446,1,1,1,1,1
602,3,3,1,1,1
514,1,1,1,1,1
183,1,1,2,1,2
638,1,1,1,1,1
56,1,1,1,1,1
400,1,1,1,1,1
235,2,2,2,2,2
57,1,1,1,1,1
425,1,1,1,1,1
331,2,2,1,2,1
421,3,1,1,1,2
426,1,1,1,1,1
546,1,3,1,1,1
202,2,2,3,2,3
581,1,1,1,1,1
596,1,1,1,1,1
450,1,1,1,1,1
616,1,3,3,3,3
189,2,3,2,2,1
525,1,1,1,1,1
457,1,1,1,1,1
261,1,1,1,1,1
590,1,1,1,1,1
47,2,2,2,3,3
85,2,3,1,1,3
485,1,1,1,1,1
15,1,1,1,1,1
127,3,2,3,2,3
139,2,2,3,1,3
164,3,2,2,2,2
214,2,2,2,2,1
494,3,3,3,3,3
583,1,1,1,1,1
367,1,1,1,1,1
147,2,2,2,2,1
252,1,1,1,1,3
194,2,2,2,2,2
79,2,2,2,3,1
270,1,1,1,1,3
257,1,1,1,1,1
119,1,1,2,1,1
225,2,2,2,2,2
445,1,1,1,1,1
516,3,3,3,1,3
553,1,1,1,1,1
262,1,1,1,1,3
53,3,3,3,3,3
563,1,1,1,1,1
634,3,3,3,3,3
358,1,1,1,1,1
422,2,2,1,3,2
91,3,3,3,3,3
639,1,1,1,1,1
515,1,1,1,3,1
603,3,3,1,3,3
46,3,2,2,3,1
6,1,1,1,1,3
576,1,1,1,1,1
350,2,2,2,2,2
222,2,2,2,2,1
571,1,1,1,1,1
11,1,1,1,1,1
455,1,1,1,1,1
589,1,3,1,1,1
606,1,1,1,1,1
573,1,1,1,1,1
326,1,1,1,1,1
612,1,1,1,1,1
131,1,1,1,1,1
619,1,3,3,3,2
195,2,1,1,2,2
124,1,1,1,1,1
475,1,3,3,3,3
536,3,3,3,3,3
21,3,3,3,3,3
559,1,1,1,1,1
427,1,1,1,1,1
471,3,3,3,3,3
101,1,1,2,1,2
297,1,1,1,1,1
299,1,1,1,1,1
478,3,3,3,3,3
190,1,2,2,2,2
369,1,1,1,1,1
507,1,1,1,1,1
432,1,1,1,1,1
231,2,3,1,2,2
74,3,2,3,2,3
245,1,1,1,1,1
218,2,3,2,2,2
328,1,1,1,1,1
162,1,2,3,3,2
94,3,3,3,3,3
566,1,1,1,1,1
527,3,3,3,3,1
169,2,2,2,1,1
287,1,3,1,1,3
615,1,3,1,3,3
406,1,1,1,1,1
73,2,3,3,2,3
637,3,3,3,3,3
480,2,3,1,1,1
141,3,2,3,3,3
621,1,1,1,1,1
241,1,1,1,1,1
276,1,3,3,1,1
273,1,1,1,1,1
420,2,2,2,2,2
223,2,2,2,2,1
368,1,1,1,1,1
524,1,1,1,1,1
395,1,1,1,1,1
502,1,1,1,1,1
594,3,1,1,3,1
392,1,1,2,1,2
599,1,1,1,1,1
170,1,2,2,2,2
7,1,1,1,1,1
550,1,1,1,1,1
150,2,2,2,2,3
16,1,1,1,3,1
610,3,1,1,1,1
521,3,3,3,3,3
508,1,1,1,1,1
75,3,2,3,3,3
68,3,2,1,1,1
442,1,1,1,1,1
152,2,1,1,2,2
224,2,2,2,2,1
249,1,1,1,1,1
112,1,1,2,1,2
312,1,1,1,1,1
20,1,1,1,1,1
199,2,2,2,2,2
309,1,1,1,1,1
