census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
80,2,2,2,2,1,2
178,2,2,1,1,1,2
339,2,3,2,3,1,1
469,3,3,3,3,3,2
352,1,1,1,1,1,1
69,3,2,2,2,3,3
256,2,3,3,3,3,3
598,2,3,3,2,2,3
22,2,3,3,3,3,3
574,2,2,2,2,2,2
474,3,3,3,3,3,3
281,2,2,3,2,3,2
569,3,3,3,3,3,3
229,1,2,1,1,1,1
237,1,1,2,1,1,1
567,2,2,2,2,2,2
315,1,3,3,1,3,1
582,2,2,3,2,3,3
52,2,1,1,1,2,3
26,2,3,1,3,2,3
453,2,3,2,2,2,2
135,2,1,1,1,1,1
203,1,1,1,1,1,1
383,1,1,1,1,1,1
528,2,2,2,2,2,3
285,3,2,3,2,3,2
81,2,2,1,2,2,2
518,3,3,3,3,3,3
501,1,2,2,2,2,2
476,2,3,3,3,3,3
8,2,2,1,2,3,2
458,2,2,2,2,2,2
337,1,3,2,2,1,2
487,2,2,2,2,2,2
640,3,3,3,3,3,3
365,2,1,1,1,1,1
588,3,3,3,3,3,3
300,1,1,1,2,1,1
362,3,3,1,1,2,1
76,2,2,2,2,2,2
461,2,3,2,2,1,3
248,3,2,2,2,3,2
600,2,3,3,3,3,3
624,1,2,3,3,2,3
390,1,2,1,1,2,1
513,2,2,3,2,2,2
176,1,2,2,1,1,1
277,3,3,3,3,3,3
133,3,2,1,1,2,2
71,2,2,3,2,2,2
286,2,2,2,1,3,2
486,3,3,3,3,3,3
66,2,3,3,2,1,3
578,2,2,3,2,3,2
227,1,1,1,1,3,1
313,1,3,1,1,1,1
23,3,3,3,3,3,3
217,1,1,1,2,2,1
305,1,2,1,1,1,1
296,2,2,1,1,2,1
5,2,3,2,3,2,1
321,1,2,1,1,1,1
416,1,1,3,2,2,2
247,3,3,1,3,3,1
618,1,3,3,3,3,2
191,2,2,2,2,2,2
460,2,2,2,2,2,2
497,2,2,2,2,2,2
407,2,2,2,2,2,1
187,2,2,2,2,2,1
371,2,1,1,1,3,1
120,2,2,2,2,2,2
163,2,1,1,1,1,1
166,2,2,2,2,2,2
35,1,2,2,1,2,2
295,1,3,2,3,1,2
506,1,1,3,1,1,2
19,2,3,2,3,2,2
100,2,2,2,1,1,3
470,2,2,3,3,2,3
555,3,2,3,3,2,3
556,2,3,2,2,2,2
311,3,2,2,2,3,1
441,2,2,2,2,2,1
381,2,1,1,2,1,1
503,1,2,2,3,2,2
130,2,2,2,2,2,2
158,2,1,1,1,2,1
172,2,1,1,1,1,1
54,2,2,2,1,2,2
490,3,3,3,3,3,3
233,2,1,1,1,1,1
233,2,1,1,1,1,1
233,2,1,1,1,1,1
233,2,1,1,1,1,1
215,1,1,2,1,2,1
153,2,1,2,3,3,1
307,3,1,2,1,3,1
278,3,3,3,1,3,3
438,2,2,2,2,2,2
547,3,2,3,3,3,3
451,2,2,2,2,2,2
145,2,2,1,3,2,2
481,2,3,3,3,3,3
253,2,3,3,1,2,2
534,2,3,2,2,2,3
27,2,3,3,3,3,3
484,2,2,2,2,2,2
293,2,2,1,2,2,2
319,1,1,1,1,1,1
103,3,2,3,1,3,3
159,2,1,1,1,2,1
263,2,2,2,3,3,2
491,3,2,3,3,3,3
493,1,2,2,3,3,3
440,2,3,3,2,3,1
51,3,2,2,2,3,3
39,2,2,2,2,3,2
394,2,1,2,1,1,1
393,1,2,1,1,1,1
586,3,3,3,3,3,3
165,2,1,2,1,2,1
482,3,3,3,3,3,3
55,3,3,3,3,3,3
335,2,1,3,1,2,2
17,2,2,2,3,2,2
269,2,2,2,3,2,2
537,2,2,2,2,2,3
444,1,3,3,2,3,3
251,2,3,3,3,2,2
128,2,2,2,2,2,2
244,3,3,3,3,3,3
24,2,2,3,3,3,3
632,2,3,2,3,3,3
116,1,3,1,3,1,1
49,2,2,2,1,2,2
446,2,2,2,2,2,2
