census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
80,1,3,1,1,1,3
178,3,1,1,1,1,1
339,3,3,2,3,3,2
469,3,3,3,2,2,2
352,1,1,1,1,2,1
69,3,3,3,3,3,3
256,3,3,3,3,3,3
598,3,3,3,3,3,3
22,3,3,3,3,3,3
574,2,3,3,3,3,3
474,3,3,3,3,3,3
281,2,3,3,3,3,2
569,3,3,3,3,3,3
229,1,1,1,1,3,1
237,1,1,1,1,1,1
567,3,3,3,3,3,3
315,2,3,3,2,2,2
582,3,3,3,3,3,3
52,3,1,3,3,3,3
26,3,3,3,3,3,3
453,3,3,2,1,3,1
135,1,3,1,1,1,1
203,1,3,1,1,2,1
383,3,2,1,2,2,2
528,3,3,3,3,3,3
285,3,3,3,3,3,3
81,1,2,1,1,2,3
518,3,3,3,3,3,3
501,2,3,3,3,3,3
476,3,3,3,3,3,3
8,3,3,3,3,3,3
458,3,3,3,3,3,2
337,1,3,3,3,1,2
487,3,3,3,3,3,3
640,3,3,3,3,3,3
365,1,1,1,1,1,1
588,3,3,3,3,3,3
300,1,3,1,1,1,1
362,3,3,1,1,1,1
76,3,3,1,1,1,3
461,3,2,2,2,1,2
248,3,3,3,3,3,3
600,3,3,3,3,3,3
624,2,3,3,3,3,3
390,1,1,1,1,3,1
513,3,3,3,3,3,3
176,1,1,1,1,1,1
277,3,3,3,3,3,3
133,3,1,1,1,1,2
71,3,3,3,3,3,3
286,2,3,3,2,2,3
486,3,3,3,3,3,3
66,2,3,3,3,3,3
578,3,3,3,3,3,3
227,1,1,1,1,3,1
313,1,3,1,1,1,1
23,3,3,3,3,3,3
217,1,1,1,1,3,1
305,1,3,1,1,1,1
296,2,2,2,2,2,2
5,3,3,3,3,3,3
321,1,3,1,1,1,1
416,3,1,3,3,3,1
247,3,3,2,3,3,2
618,1,3,3,3,3,3
191,1,3,1,1,1,1
460,1,2,2,2,3,2
497,3,3,3,3,3,2
407,3,3,2,2,3,3
187,3,3,1,3,3,1
371,3,1,1,3,3,2
120,2,3,2,2,2,2
163,3,3,1,1,1,1
166,1,1,1,2,1,2
35,1,3,1,3,3,3
295,3,3,2,3,2,2
506,3,2,2,1,1,3
19,3,3,3,3,3,3
100,3,3,3,3,3,3
470,3,3,3,3,3,3
555,3,3,3,3,3,3
556,3,3,3,3,3,3
311,3,1,3,1,3,2
441,3,3,3,3,3,3
381,2,3,2,2,2,2
503,3,3,3,3,3,3
130,3,2,2,2,2,2
158,3,3,1,1,1,1
172,3,1,1,1,1,1
54,3,3,3,3,3,3
490,3,3,3,3,3,3
233,3,1,1,1,1,1
233,3,1,1,1,1,1
233,3,1,1,1,1,1
233,3,1,1,1,1,1
215,1,3,1,1,1,1
153,3,1,1,3,3,1
307,3,1,2,1,3,1
278,3,3,3,3,3,3
438,3,2,3,3,3,3
547,3,2,3,3,3,3
451,3,3,3,3,3,3
145,3,3,2,2,3,2
481,3,3,3,3,3,3
253,3,3,3,3,3,2
534,3,3,3,3,3,3
27,3,3,3,3,3,3
484,2,3,3,3,3,3
293,2,2,2,2,2,2
319,1,2,1,3,1,1
103,3,2,3,2,2,3
159,1,1,1,1,1,1
263,3,3,3,3,3,3
491,3,3,3,3,3,3
493,3,3,3,3,3,3
440,3,3,3,3,3,3
51,3,3,3,3,3,3
39,3,3,3,3,3,3
394,3,1,1,1,1,1
393,2,2,1,2,2,1
586,3,3,3,3,3,3
165,1,1,1,1,1,1
482,3,3,3,3,3,3
55,3,3,3,3,3,3
335,3,3,3,1,3,2
17,3,3,2,3,3,2
269,3,3,3,3,3,3
537,3,3,3,3,3,3
444,1,3,3,3,3,3
251,3,3,3,3,3,3
128,2,3,3,2,3,2
244,3,3,3,2,3,3
24,3,3,3,3,3,3
632,3,3,3,3,3,3
116,2,2,2,2,2,2
49,3,3,3,3,3,3
446,3,3,3,3,3,2
602,3,3,3,2,3,3
514,3,3,3,3,3,3
183,1,1,1,1,3,1
638,3,3,3,3,3,3
56,3,3,3,3,3,3
400,3,2,2,2,2,2
235,1,1,1,1,1,1
57,3,3,3,3,3,3
425,3,2,2,2,2,2
331,1,1,1,1,1,2
421,1,3,2,2,1,3
426,2,3,2,2,2,1
546,3,1,3,3,3,3
202,3,1,1,3,3,1
581,3,3,3,3,3,3
596,3,3,3,3,3,3
450,2,3,2,2,2,2
616,3,3,3,3,3,3
189,1,1,1,1,3,1
525,2,3,3,3,3,2
457,2,3,2,2,3,2
261,3,3,3,3,3,1
590,3,3,3,3,2,3
47,1,1,3,1,3,3
85,3,3,1,2,3,3
485,3,2,2,3,2,3
15,3,3,3,2,3,2
127,3,3,3,2,3,3
139,3,1,1,3,1,2
164,3,3,1,1,1,2
214,1,1,1,1,1,1
494,3,3,3,3,3,3
583,3,3,3,3,3,3
367,1,1,1,1,1,1
147,1,2,2,2,1,2
252,3,3,2,3,3,3
194,1,1,1,1,1,1
79,3,3,3,1,3,3
270,3,3,3,3,3,3
257,3,3,3,3,3,3
119,3,3,2,2,2,3
225,3,3,3,1,3,1
445,3,3,3,3,3,3
516,3,3,3,3,3,3
262,3,3,3,3,3,3
53,1,1,3,1,1,3
563,3,3,3,3,3,3
634,3,3,3,3,3,3
358,1,2,1,1,3,1
422,1,3,2,2,3,2
91,3,3,3,3,3,3
639,3,3,3,3,3,3
515,3,3,3,3,3,3
603,3,2,3,3,3,3
46,1,1,3,1,3,3
6,3,3,3,3,3,3
576,3,3,3,3,2,3
350,3,3,1,1,3,2
222,1,1,1,1,1,1
571,3,3,3,3,3,3
11,3,3,3,3,3,3
455,3,3,3,3,3,3
589,3,3,3,3,3,3
606,3,1,3,3,3,3
573,3,2,3,3,3,3
326,1,1,1,1,1,1
612,3,3,3,3,3,3
131,1,2,2,1,3,1
619,1,3,3,3,3,3
195,1,1,1,1,1,1
124,2,2,2,2,2,2
475,3,3,3,3,3,3
536,3,3,3,3,3,3
21,3,3,3,3,3,3
559,3,3,3,3,3,3
427,3,3,2,2,3,2
471,3,3,3,3,3,3
101,3,1,2,2,2,2
297,2,3,2,2,2,2
299,2,3,2,2,2,2
478,3,3,2,3,3,3
190,1,3,1,1,1,1
369,2,1,1,1,2,2
507,3,1,2,3,1,3
432,1,2,2,2,3,3
231,1,1,1,1,1,1
74,3,1,1,1,1,3
245,3,3,3,3,3,3
218,1,3,1,1,3,1
328,2,1,1,1,1,2
162,3,1,1,1,1,1
94,3,3,3,3,3,3
566,3,3,3,3,3,3
527,3,3,3,3,3,3
169,2,1,1,1,1,1
287,2,3,3,2,3,2
615,3,2,3,3,3,3
406,2,2,2,2,2,3
73,3,1,1,1,3,3
637,1,3,3,3,3,3
480,3,3,3,3,3,3
141,1,3,3,3,3,3
621,3,3,3,3,3,3
241,3,2,3,3,3,3
276,3,2,2,3,2,2
