census_code,predictions_2001,predictions_2003,predictions_2005,predictions_2007,predictions_2009,predictions_2011
80,2,2,2,2,2,3
178,2,2,2,2,2,2
339,3,2,2,2,2,2
469,3,3,3,3,3,3
352,2,2,2,2,2,2
69,2,3,3,3,3,3
256,3,3,3,3,1,3
598,2,1,3,1,1,1
22,1,3,3,3,1,3
574,2,3,3,3,1,3
474,3,3,3,3,3,3
281,1,1,3,1,1,1
569,2,1,1,1,1,1
229,1,2,2,2,2,2
237,2,2,2,2,2,2
567,3,2,2,3,2,3
315,1,1,1,1,1,1
582,3,3,3,3,3,3
52,2,2,2,2,3,3
26,2,3,3,3,3,3
453,2,2,2,2,2,2
135,2,2,2,2,2,2
203,2,2,2,2,2,2
383,2,1,2,1,2,1
528,3,3,3,2,2,3
285,1,1,3,1,3,3
81,2,2,2,2,2,3
518,3,3,3,3,3,3
501,2,3,3,3,3,3
476,3,3,3,3,3,3
8,3,3,1,3,3,3
458,2,3,2,1,3,2
337,2,1,2,2,2,2
487,2,2,2,2,2,2
640,3,3,3,3,3,3
365,2,2,2,2,2,1
588,1,3,3,1,1,1
300,1,2,2,2,2,2
362,3,2,2,2,2,2
76,2,2,2,2,2,3
461,2,1,2,2,2,1
248,1,1,3,1,3,3
600,1,3,1,1,1,1
624,2,3,3,3,3,3
390,1,1,1,1,2,1
513,3,2,3,2,3,2
176,2,2,2,2,2,2
277,3,3,3,3,3,3
133,3,2,2,2,2,2
71,3,2,3,2,2,3
286,1,1,1,1,1,1
486,2,3,2,3,3,3
66,1,1,1,1,1,3
578,2,3,3,3,3,3
227,2,2,2,2,3,2
313,2,3,2,2,2,2
23,3,3,3,3,3,3
217,2,2,2,2,2,2
305,2,3,1,2,2,2
296,1,1,1,1,1,1
5,1,3,3,3,1,1
321,2,2,2,1,2,2
416,2,1,3,2,3,2
247,3,3,3,3,3,3
618,2,1,3,1,3,3
191,2,2,2,2,2,2
460,2,2,2,2,2,1
497,2,3,2,2,2,3
407,2,2,2,2,2,2
187,3,2,2,3,2,2
371,2,2,2,2,2,2
120,2,3,2,2,2,2
163,3,3,2,2,2,2
166,2,2,2,2,2,2
35,1,3,2,2,2,2
295,1,1,1,1,1,1
506,2,2,2,2,2,1
19,3,3,1,3,1,1
100,3,2,3,3,3,3
470,3,3,3,3,3,3
555,3,3,3,3,3,3
556,3,1,3,3,2,3
311,1,2,1,2,3,2
441,3,2,2,2,2,2
381,3,1,2,1,2,2
503,2,3,3,3,3,3
130,2,2,2,2,2,2
158,3,2,2,2,2,2
172,3,2,2,2,2,2
54,1,2,2,2,2,3
490,2,2,2,2,2,3
233,2,2,2,2,2,2
233,2,2,2,2,2,2
233,2,2,2,2,2,2
233,2,2,2,2,2,2
215,2,2,2,2,2,2
153,3,2,2,2,3,2
307,3,2,1,2,3,2
278,1,1,1,2,1,1
438,3,2,2,3,2,2
547,3,2,3,3,1,3
451,2,2,2,2,2,2
145,3,2,3,3,3,2
481,3,3,3,3,3,3
253,3,3,3,3,3,1
534,3,3,3,3,3,3
27,1,1,1,3,1,3
484,2,2,2,2,2,2
293,1,1,1,1,1,1
319,2,1,2,1,2,2
103,3,1,3,3,3,3
159,2,2,2,2,2,2
263,1,3,3,1,3,3
491,2,2,2,2,2,2
493,2,2,2,2,2,2
440,2,3,3,3,3,3
51,2,2,2,2,3,3
39,1,2,2,2,3,2
394,2,1,2,2,2,2
393,2,2,2,2,2,2
586,3,1,1,1,1,3
165,2,2,2,2,2,2
482,3,3,3,3,3,3
55,3,3,3,3,3,3
335,1,2,2,2,2,2
17,1,3,3,3,3,3
269,3,3,3,1,3,3
537,3,3,3,1,3,3
444,2,3,3,3,3,3
251,3,1,3,3,3,3
128,2,2,2,2,2,2
244,3,3,3,3,3,3
24,3,1,3,3,1,3
632,2,3,3,3,3,3
116,1,3,1,3,1,1
49,1,2,2,2,2,2
446,3,2,3,2,3,2
602,2,3,3,1,2,3
514,3,3,3,3,3,1
183,2,2,2,2,2,2
638,2,3,3,3,3,3
56,3,3,3,3,3,3
400,1,1,1,2,2,1
235,2,2,2,2,2,2
57,3,3,3,3,3,3
425,2,2,2,2,2,2
331,2,2,2,2,2,2
421,2,3,2,1,2,2
426,2,2,2,2,2,2
546,3,2,1,3,1,3
202,2,2,2,2,2,2
581,3,3,3,2,2,3
596,1,1,1,1,1,1
450,2,1,2,2,2,2
616,3,3,3,3,3,3
189,2,2,2,2,2,2
525,2,2,3,3,3,3
457,2,2,2,2,2,2
261,1,1,1,1,1,1
590,1,1,1,1,1,1
47,1,2,2,2,2,2
85,3,2,2,2,2,3
485,2,2,2,2,2,1
15,1,3,3,3,3,3
