Count of Villages in Different Districts,,,,,,,
District_Code,1. Under-Developed,%,2. Moderately-Developed,%,3. Developed,%,Grand Total
1,232,58%,38,10%,127,32%,397
2,124,23%,53,10%,367,67%,544
3,9,7%,116,85%,12,9%,137
4,6,4%,23,16%,113,80%,142
5,167,87%,,0%,26,13%,193
6,367,89%,,0%,46,11%,413
7,487,84%,6,1%,88,15%,581
8,141,24%,76,13%,382,64%,599
9,54,33%,26,16%,84,51%,164
10,1,1%,1,1%,101,98%,103
11,30,22%,15,11%,92,67%,137
12,109,29%,31,8%,240,63%,380
13,66,28%,43,18%,131,55%,240
14,219,43%,74,15%,215,42%,508
15,181,58%,35,11%,97,31%,313
16,320,74%,2,0%,110,25%,432
17,113,75%,,0%,38,25%,151
18,144,85%,1,1%,24,14%,169
19,327,82%,,0%,70,18%,397
20,243,85%,,0%,42,15%,285
21,724,73%,18,2%,250,25%,992
22,324,80%,5,1%,76,19%,405
23,575,50%,92,8%,476,42%,1143
24,1098,30%,437,12%,2164,59%,3699
25,43,15%,99,35%,140,50%,282
26,131,37%,30,9%,191,54%,352
27,279,10%,541,19%,2087,72%,2907
28,27,2%,230,13%,1452,85%,1709
29,211,25%,59,7%,566,68%,836
30,195,20%,163,16%,632,64%,990
31,612,25%,147,6%,1702,69%,2461
32,244,24%,43,4%,715,71%,1002
33,865,31%,189,7%,1761,63%,2815
34,77,32%,13,5%,148,62%,238
35,681,39%,157,9%,908,52%,1746
36,75,10%,142,20%,508,70%,725
37,52,4%,184,16%,924,80%,1160
38,396,26%,178,12%,957,63%,1531
39,97,18%,48,9%,382,72%,527
40,4,1%,102,20%,414,80%,520
41,39,3%,291,26%,807,71%,1137
42,17,4%,157,39%,224,56%,398
43,148,13%,455,39%,549,48%,1152
44,32,10%,164,53%,113,37%,309
45,5,2%,111,48%,113,49%,229
46,3,1%,323,70%,136,29%,462
47,36,11%,188,60%,91,29%,315
48,42,4%,335,31%,708,65%,1085
49,148,16%,142,16%,613,68%,903
50,47,9%,162,31%,322,61%,531
51,188,28%,71,10%,422,62%,681
52,77,14%,96,18%,374,68%,547
53,18,2%,382,49%,372,48%,772
54,2,1%,138,67%,67,32%,207
55,2,4%,,0%,43,96%,45
56,476,66%,39,5%,201,28%,716
57,500,41%,360,30%,350,29%,1210
58,225,34%,230,35%,206,31%,661
59,717,39%,326,18%,778,43%,1821
60,290,32%,120,13%,494,55%,904
61,1761,55%,612,19%,820,26%,3193
62,743,46%,334,21%,525,33%,1602
63,304,34%,239,27%,341,39%,884
64,876,40%,483,22%,850,38%,2209
65,454,66%,68,10%,165,24%,687
66,202,17%,159,13%,847,70%,1208
67,249,30%,37,4%,558,66%,844
68,283,42%,106,16%,278,42%,667
69,135,48%,26,9%,123,43%,284
70,204,36%,23,4%,345,60%,572
71,341,49%,107,15%,251,36%,699
72,28,6%,137,28%,328,67%,493
73,65,19%,153,44%,130,37%,348
74,50,9%,139,25%,359,66%,548
75,24,10%,26,10%,198,80%,248
76,103,25%,27,7%,283,69%,413
77,106,26%,109,27%,187,47%,402
78,13,4%,206,67%,90,29%,309
79,5,1%,304,71%,118,28%,427
80,43,11%,149,40%,184,49%,376
81,209,39%,115,21%,215,40%,539
82,24,11%,26,12%,163,77%,213
83,60,19%,38,12%,221,69%,319
84,231,53%,70,16%,136,31%,437
85,172,37%,97,21%,191,42%,460
86,61,18%,76,23%,194,59%,331
87,392,82%,24,5%,60,13%,476
88,57,31%,23,12%,105,57%,185
89,231,68%,1,0%,108,32%,340
90,12,5%,1,0%,207,94%,220
91,9,7%,,0%,127,93%,136
92,4,3%,,0%,132,97%,136
93,3,3%,1,1%,115,97%,119
94,3,4%,3,4%,66,92%,72
95,7,6%,,0%,117,94%,124
96,10,6%,1,1%,161,94%,172
97,8,4%,1,0%,194,96%,203
98,15,7%,1,0%,190,92%,206
99,334,11%,2492,80%,289,9%,3115
100,195,10%,1646,82%,162,8%,2003
101,712,71%,95,10%,193,19%,1000
102,445,38%,117,10%,613,52%,1175
103,403,33%,56,5%,771,63%,1230
104,1949,87%,16,1%,277,12%,2242
105,1468,88%,3,0%,202,12%,1673
106,826,91%,1,0%,77,9%,904
107,866,91%,6,1%,78,8%,950
108,762,90%,3,0%,77,9%,842
109,1077,92%,1,0%,93,8%,1171
