Villages of each kind in district,,,,,,,
District_Code,1. Under-Developed,%,2. Moderately-Developed,%,3. Developed,%,Grand Total
1,316,0.795969773,17,0.042821159,64,0.161209068,397
2,289,0.53125,166,0.305147059,89,0.163602941,544
3,35,0.255474453,18,0.131386861,84,0.613138686,137
4,101,0.711267606,20,0.14084507,21,0.147887324,142
5,156,0.808290155,7,0.03626943,30,0.155440415,193
6,321,0.777239709,5,0.012106538,87,0.210653753,413
7,392,0.674698795,1,0.00172117,188,0.323580034,581
8,420,0.701168614,55,0.091819699,124,0.207011686,599
9,116,0.707317073,18,0.109756098,30,0.182926829,164
10,5,0.048543689,,0,98,0.951456311,103
11,85,0.620437956,2,0.01459854,50,0.364963504,137
12,227,0.597368421,66,0.173684211,87,0.228947368,380
13,167,0.695833333,53,0.220833333,20,0.083333333,240
14,356,0.700787402,22,0.043307087,130,0.255905512,508
15,239,0.763578275,59,0.188498403,15,0.047923323,313
16,390,0.902777778,,0,42,0.097222222,432
17,122,0.80794702,,0,29,0.19205298,151
18,152,0.899408284,,0,17,0.100591716,169
19,301,0.758186398,,0,96,0.241813602,397
20,236,0.828070175,2,0.007017544,47,0.164912281,285
21,304,0.306451613,76,0.076612903,612,0.616935484,992
22,157,0.387654321,7,0.017283951,241,0.595061728,405
23,996,0.871391076,2,0.001749781,145,0.126859143,1143
24,2178,0.588807786,3,0.00081103,1518,0.410381184,3699
25,184,0.65248227,39,0.138297872,59,0.209219858,282
26,191,0.542613636,,0,161,0.457386364,352
27,2400,0.825593395,7,0.002407981,500,0.171998624,2907
28,1124,0.657694558,2,0.001170275,583,0.341135167,1709
29,550,0.657894737,2,0.002392344,284,0.339712919,836
30,796,0.804040404,9,0.009090909,185,0.186868687,990
31,1898,0.771231207,17,0.006907761,546,0.221861032,2461
32,816,0.814371257,4,0.003992016,182,0.181636727,1002
33,1426,0.506571936,3,0.001065719,1386,0.492362345,2815
34,83,0.348739496,22,0.092436975,133,0.558823529,238
35,157,0.089919817,425,0.243413517,1164,0.666666667,1746
36,24,0.033103448,173,0.23862069,528,0.728275862,725
37,45,0.038793103,339,0.292241379,776,0.668965517,1160
38,291,0.190071848,68,0.044415415,1172,0.765512737,1531
39,79,0.149905123,130,0.246679317,318,0.60341556,527
40,1,0.001923077,186,0.357692308,333,0.640384615,520
41,19,0.016710642,365,0.321020229,753,0.662269129,1137
42,3,0.007537688,184,0.462311558,211,0.530150754,398
43,195,0.169270833,521,0.452256944,436,0.378472222,1152
44,56,0.181229773,75,0.242718447,178,0.57605178,309
45,12,0.052401747,62,0.270742358,155,0.676855895,229
46,47,0.101731602,170,0.367965368,245,0.53030303,462
47,48,0.152380952,188,0.596825397,79,0.250793651,315
48,28,0.025806452,447,0.411981567,610,0.562211982,1085
49,9,0.009966777,494,0.547065338,400,0.442967885,903
50,7,0.013182674,322,0.606403013,202,0.380414313,531
51,221,0.324522761,112,0.164464023,348,0.511013216,681
52,27,0.049360146,183,0.334552102,337,0.616087751,547
53,19,0.024611399,362,0.468911917,391,0.506476684,772
54,3,0.014492754,86,0.415458937,118,0.570048309,207
55,,0,3,0.066666667,42,0.933333333,45
56,555,0.775139665,3,0.004189944,158,0.220670391,716
57,889,0.734710744,6,0.004958678,315,0.260330579,1210
58,371,0.561270802,3,0.004538578,287,0.43419062,661
59,1180,0.647995607,3,0.001647446,638,0.350356947,1821
60,498,0.550884956,,0,406,0.449115044,904
61,2107,0.65988099,10,0.003131851,1076,0.336987159,3193
62,1173,0.732209738,3,0.001872659,426,0.265917603,1602
63,689,0.779411765,4,0.004524887,191,0.216063348,884
64,1778,0.80488909,8,0.003621548,423,0.191489362,2209
65,504,0.733624454,2,0.002911208,181,0.263464338,687
66,709,0.58692053,,0,499,0.41307947,1208
67,515,0.610189573,16,0.018957346,313,0.370853081,844
68,305,0.457271364,177,0.265367316,185,0.277361319,667
69,110,0.387323944,25,0.088028169,149,0.524647887,284
70,100,0.174825175,146,0.255244755,326,0.56993007,572
71,282,0.403433476,143,0.204577969,274,0.391988555,699
72,23,0.046653144,200,0.405679513,270,0.547667343,493
73,32,0.091954023,204,0.586206897,112,0.32183908,348
74,39,0.071167883,188,0.343065693,321,0.585766423,548
75,23,0.092741935,77,0.310483871,148,0.596774194,248
76,103,0.249394673,81,0.196125908,229,0.554479419,413
77,77,0.191542289,182,0.452736318,143,0.355721393,402
78,57,0.184466019,153,0.495145631,99,0.32038835,309
79,110,0.257611241,200,0.468384075,117,0.274004684,427
80,105,0.279255319,151,0.401595745,120,0.319148936,376
81,258,0.478664193,163,0.302411874,118,0.218923933,539
82,72,0.338028169,44,0.20657277,97,0.455399061,213
83,69,0.21630094,129,0.404388715,121,0.379310345,319
84,87,0.199084668,227,0.519450801,123,0.281464531,437
85,29,0.063043478,280,0.608695652,151,0.32826087,460
86,49,0.148036254,79,0.238670695,203,0.613293051,331
87,211,0.443277311,205,0.430672269,60,0.12605042,476
88,36,0.194594595,85,0.459459459,64,0.345945946,185
89,121,0.355882353,120,0.352941176,99,0.291176471,340
90,1,0.004545455,4,0.018181818,215,0.977272727,220
91,,0,2,0.014705882,134,0.985294118,136
92,,0,2,0.014705882,134,0.985294118,136
93,,0,,0,119,1,119
94,,0,1,0.013888889,71,0.986111111,72
95,,0,1,0.008064516,123,0.991935484,124
96,,0,4,0.023255814,168,0.976744186,172
97,1,0.004926108,1,0.004926108,201,0.990147783,203
98,1,0.004854369,3,0.014563107,202,0.980582524,206
99,1088,0.349277689,1716,0.550882825,311,0.099839486,3115
100,740,0.369445831,1076,0.537194209,187,0.09335996,2003
101,694,0.694,164,0.164,142,0.142,1000
102,898,0.764255319,15,0.012765957,262,0.222978723,1175
103,669,0.543902439,51,0.041463415,510,0.414634146,1230
104,784,0.349687779,1221,0.544603033,237,0.105709188,2242
105,416,0.248655111,1083,0.647340108,174,0.104004782,1673
106,263,0.290929204,570,0.630530973,71,0.078539823,904
107,479,0.504210526,397,0.417894737,74,0.077894737,950
108,327,0.388361045,433,0.514251781,82,0.097387173,842
109,722,0.616567037,365,0.311699402,84,0.071733561,1171
110,1931,0.779886914,218,0.088045234,327,0.132067851,2476
111,1066,0.740792217,21,0.014593468,352,0.244614315,1439
112,1565,0.830679406,49,0.026008493,270,0.143312102,1884
113,1722,0.862725451,114,0.057114228,160,0.080160321,1996
114,736,0.918851436,23,0.028714107,42,0.052434457,801
